,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
RORA,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0
CHD9,0.430611664295875,0,0.524595955542946,0.448672237959009,0.490826745323951,0,0.416942735083761,0,0.677472527472527,0.68973507511843,0.625691135435436,0,0.395842037971417,0.596640783232109,0.47596994218591,0.287664808283081,0,0,0.614631075608259,0.454285309533928,0.683738751983334,0.431933866464678,0,0.546900249823115,0,0.545722494396552,0,0,0
DENND4A,0.417382645803698,0,0.543620667175968,0.449792603240369,0.455598475049528,0,0.396743243891902,0,0.734569597069597,0.540640232359917,0.517097918366266,0,0.4258805108924,0.502884059146684,0.503729318887084,0.315036295369212,0,0,0.664913575499724,0.554665776212738,0.617372716673144,0.453104926998692,0,0.453846708187385,0,0.513770273652295,0,0,0
PSMB3,0,0,-0.435091538335647,0,-0.418596889393231,0,-0.483701435222964,-0.530149531398501,-0.553983516483516,-0.719624526289061,0,0,-0.476558925965504,-0.557051496021735,-0.483808494559687,-0.220415974513597,0,0,0,-0.44957197498634,-0.624861098186476,-0.394993866625393,0,-0.450576733257047,0,-0.458364693795131,-0.729963736775567,0,0
PIKFYVE,0.493883357041252,0,0.59481951511927,0.397390277014426,0.362112764218324,0,0.42872711563385,0,0.513736263736264,0.596511214258434,0.499290739005824,0,0.390352175199763,0.485818280469333,0.498811560980428,0,0,0,0.665626802448539,0.439772934248072,0,0.433274788808225,0,0.480654759305038,0,0.59816166768475,0,0,0
HIPK3,0.419516358463727,0,0.473595246354906,0.442944752133861,0,0,0.337096337541401,0,0.664285714285714,0.584888543125098,0.51065341535963,0,0.43482346046357,0.553255288505654,0,0,0,0,0.690800612754979,0.466656547872018,0.704198568793249,0.365548777185733,0,0.531447358076886,0,0.536988371752546,0,0,0
SLC25A39,0,0,-0.463517888620618,-0.354664900388487,-0.457584638655504,0,-0.362818605097682,-0.506764954626719,-0.480540293040293,-0.597437025899453,-0.521489031987986,0,-0.532594830137462,-0.409071747071989,-0.480674658501795,-0.253538286494482,0,0,-0.640989462847078,-0.405328557262259,0,-0.316097461785635,0,-0.615160375957583,0,0,0,0,0
LSM4,0,0,-0.515856955908809,-0.454350399526487,-0.322875642480475,0,-0.384757644122306,-0.514083024362044,0,-0.568066635996753,0,0,-0.465758517181607,-0.470632652491286,-0.432804500173419,0,0,0,-0.679451001308616,0,-0.667557912574553,-0.399067643208445,0,-0.573558276045807,0,0,-0.786205003659592,0,0
NME1,0,0,-0.456945756487954,-0.403243422257924,-0.436367826920388,0,-0.424940047040753,-0.58397625530366,0,-0.624652521935429,-0.527757638268067,0,-0.462304701452174,-0.419801824828681,-0.569141471100994,-0.254610080782797,0,0,0,0,-0.6337216849484,-0.351735669896922,0,-0.539170910456757,0,-0.455046086297238,0,0,0
EXOSC4,0,0,-0.478938758126859,0,-0.379872366632955,0,-0.435477943647098,-0.465534089138366,0,-0.569482210411397,-0.535221585743665,0,-0.458687605421489,-0.416335953593338,-0.443461632989634,0,0,0,-0.563086474116064,-0.375635966243701,-0.607883308400735,-0.373785771758806,0,-0.5821201771473,0,-0.44407196574526,0,0,0
