,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
COL1A1,0,0,0.357063203250933,0,0,0.443308358308358,0,0.65622260444657,0,0.599283973889847,0,0,0,0,0.378734085046662,0.518189782682899,0.580141377609732,0.573083214560564,0.674774713313776,0,0,0.561092149455193,0,0.437538325136922,0,0.727600711510332,0,0,0
LTBP2,0,0,0.445810514307716,0.463197057455714,0,0.514501332001332,0,0.656763229859176,0,0,0,0,0,0,0.383818026878843,0.511041529184208,0,0.522653389423989,0.577202165729135,0,0,0.468428755552093,0.431084537490044,0.424272477529022,0,0.606827099637781,0,0,0
COL5A1,0,0,0.371098976068958,0,0,0.488977688977689,0,0.659260871685621,0,0.604852765715525,0,0,0,0,0.382259779814912,0.504806007509387,0.622504078200281,0.586859705489545,0.705762873746426,0,0,0.575181966096815,0,0.463337147648955,0,0,0,0,0
FBN1,0,0,0.413145843983265,0.508730393607576,0.377296777175617,0.523123820623821,0,0.653673219593835,0,0.439227442341186,0,0,0,0,0.385097999131755,0.489232449652975,0,0,0.595470078579004,0,0,0.554372164995638,0.339656161110479,0.474855652903102,0,0,0,0,0
MMP2,0,0,0.403845728537478,0,0,0.45741674991675,0,0.630792096520371,0,0.451084501428977,0,0.473513310558056,0,0,0.36116269027313,0.472882011605416,0,0.542236229548364,0.574122885902294,0,0,0.529624845704838,0,0.404965125217285,0,0,0,0,0
CDH11,0,0,0.413879907314789,0.497734607308446,0.378896287498756,0.498836718836719,0,0.678775724313156,0,0.42916392902367,0,0,0,0,0.371976130154056,0.450626920013654,0,0,0.726288304938632,0,0,0,0.395861190124019,0.447022540858309,0,0,0,0,0
LRP1,0,0,0.430991980719859,0.496423991318931,0,0.42769314019314,0,0.630131034753471,0,0,0,0,0,0,0.324448905620853,0.504584594379338,0,0.398165003847893,0.637891577099833,0,0,0.46656865379153,0,0.36496744001188,0,0.581918068763986,0,0,0
RUNX2,0,0,0.425105151291693,0,0,0.438019758019758,0,0.664284405841371,0,0.606499819014266,0,0,0,0,0,0,0,0.579930910483868,0.743734456303996,0,0,0.568206933875199,0,0.451112520854989,0,0.588044062960451,0,0,0
COL8A2,0,0,0.38993334222188,0.463110152811248,0,0.465626873126873,0,0.539746375906544,0,0.487845384572867,0,0,0,0,0.425427174230122,0.415287290931847,0,0.427841228702863,0.642412815757974,0,0,0,0,0,0,0.788298329011467,0,0,0
TIMP2,0,0,0.441534512729683,0.446087411979688,0,0.464969474969475,0,0.63701553361334,0,0,0,0,0,0,0.362972567593331,0.479761292524747,0,0.453229986644534,0.678176495760951,0,0,0,0,0.400078615665482,0,0.596963079582309,0,0,0
ZEB1,0,0,0.479547623546054,0,0.38090260241589,0.495792818292818,0,0.677331677556492,0,0,0,0.50565055555298,0,0,0.307899536246931,0.393949709864604,0,0.522778920450428,0.553736999113118,0,0,0,0.407797019001024,0,0,0,0,0,0
AXL,0,0,0,0,0,0.448813963813964,0,0.549748838160898,0,0.543775898518327,0,0,0,0,0.347306258484338,0.40780225281602,0,0.298936825540344,0.560847561694131,0,0,0,0.506902036636705,0.352667582393585,0,0.65809908365145,0,0,0
ACVR1,0,0,0.484554613271358,0.499150918135825,0,0.479584582084582,0,0.670892941894366,0,0,0,0,0,0,0.415343358729882,0.295820229832746,0,0,0.506068631038396,0,0,0,0.271061326658323,0.397991588123794,0,0.638878120799486,0,0,0
VCAN,0,0,0.439759731220471,0.569292361316629,0,0.505926295926296,0,0.685630783175309,0,0.487348037437242,0,0,0,0,0,0.414252816020025,0,0,0.670489149647418,0,0,0,0.338223688701786,0.475321669097929,0,0,0,0,0
AEBP1,0,0,0,0.402423700070933,0,0.494038739038739,0,0.633565998527405,0,0.448922646572471,0,0,0,0,0.39219739480569,0.503272954829901,0,0.58305883307048,0.624917048604866,0,0,0,0,0.397043941789467,0,0,0,0,0
ADAMTS14,0,0,0,0,0,0.416349761349761,0,0.486153387740828,0,0.692260667664893,0,0,0,0,0,0,0,0.486345589072675,0.5837607526715,0,0,0.513934866391658,0,0.436403420654956,0,0.853810266533721,0,0,0
PKD2,0,0,0.444000557745747,0.449679862079981,0,0.49266317016317,0,0.688634852437215,0,0,0,0,0,0,0.508836459857452,0.42958015701445,0,0.448223843820422,0.529722957845186,0,0,0,0,0.352633188039937,0,0,0,0,0
CHST15,0,0,0,0,0,0.432793317793318,0,0.619626903043085,0,0.400735038962842,0,0,0,0,0.316448533515864,0,0,0.545443957083056,0.530290438417505,0,0,0.475530263513251,0,0.359978293341253,0,0.661329203543409,0,0,0
PALLD,0,0,0.475302247433116,0,0.453085858439558,0.357507215007215,0,0.528204112559519,0,0,0,0,0,0,0,0,0.605154339331554,0.437314723107027,0.618085574829911,0,0,-0.408577081547853,0.403759244510183,0,0,0,0,0,0
MICAL2,0,0,0.353029951662737,0,0,0,0,0.55831974335459,0,0.482912120724757,0,0,0,0,0.406958707830972,0.505786323813858,0,0.449413153235853,0.667056357332903,0,0,0,0,0,0,0.847754818062669,0,0,0
ACTN1,0,0,0.451144147576829,0.327167801124593,0,0.475940725940726,0,0.424260699208867,0,0.491820421424555,0,0,0,0,0,0.424155193992491,0,0.376491705461937,0.57938836137659,0,0,0,0,0,0,0.711086493366008,0,0,0
HEG1,0,0,0.405507149487445,0,0,0.525910200910201,0,0.649453783961565,0,0,0,0,0,0,0,0.443677323927637,0,0.487361053114722,0.494858563995063,0,0,0.405050434821496,0.44310433496416,0.397190363466427,0,0,0,0,0
IL1R1,0,0,0,0,0.383843434387961,0.495994283494283,0,0.547473334499038,0,0.518308338185247,0,0,0,0,0.30286589749656,0.438455341904654,0,0,0,0,0,0.488727063607165,0,0.408786283313388,0,0.655427973390737,0,0,0
SPARC,0,0,0.394825475921623,0,0,0.417414807414807,0,0.609644364827589,0,0,0,0,0,0,0,0.414332688588008,0,0.471454848517267,0.620817544142546,0,0,0.533226259857334,0.325014222323359,0.439604825254846,0,0,0,0,0
ATXN1,0,0,0.348065803887918,0.420206269348027,0,0.488657453657454,0,0,0,0,0,0,0,0,0.521058271181847,0.418210490385709,0.50004425953793,0,0.722886522491457,0,0,0,0.300501080896575,0.462607987351613,0,0,0,0,0
ANTXR1,0,0,0.412806267815269,0.568830827191289,0.394653353367095,0.50790626040626,0,0.708569894123063,0,0,0,0,0,0,0,0.455725338491296,0,0,0.674756107393373,0,0,0,0,0.454378128248356,0,0,0,0,0
RAB31,0,0,0.404000203888929,0,0,0.442953157953158,0,0,0,0.532538367521144,0,0,0,0,0,0,0,0.617719200466578,0.6260427067893,0,0,0,0.451217885993856,0.374217118997912,0,0.722162729167707,0,0,0
MRC2,0,0,0,0,0,0.507469752469752,0,0.630657980975219,0,0.558327484024009,0,0,0,0,0,0.459023779724656,0,0,0.629497206010953,0,0,0.466714694838846,0.455568324041415,0.452808872214603,0,0,0,0,0
GLT8D2,0,0,0.475525029788215,0.435046998971237,0,0.470059385059385,0,0.577268693803802,0,0,0,0,0,0,0,0.408228922516782,0,0.477273707677495,0.539255391065437,0,0,0,0.355125270224144,0.369227644762013,0,0,0,0,0
ITGA11,0,0,0,0.436559609539781,0.405317175340337,0.465864413364413,0,0.619297710341349,0,0,0,0,0,0,0.304822434715099,0.4292235749232,0,0,0.634437077878181,0,0,0,0.342615997269314,0.457131532743425,0,0,0,0,0
ITPRIPL2,0,0,0,0,0,0.322156454656455,0,0.522334550186572,0,0.485765814849308,0,0,0,0,0.30510231738718,0,0,0.4660229355107,0.530284236444037,0,0,0.395568946921766,0.329737399021504,0,0,0.714831701361604,0,0,0
COL8A1,0,0,0,0.473705473113582,0,0.491086968586969,0,0.632384235386758,0,0,0,0,0,0,0.472837484294643,0.477850494936853,0,0,0.662687067024727,0,0,0,0.430725679827057,0.426386256234659,0,0,0,0,0
CDC42EP3,0,0,0,0,0,0.469948662448662,0,0.493352805364146,0,0,0,-0.435637437364125,0,0,0.434240779491043,0,0,0.403982568873827,0.548682390736733,0,0,-0.442889740057417,0,0,0,0.766340880040087,0,0,0
ELK3,0,0,0.427396626944133,0,0,0.547987567987568,0,0.4071420839712,0,0,0,0,0,0,0.336329965247232,0,0,0.473530208545427,0.541441586712892,0,0,0,0.318883604505632,0.397761418925411,0,0.544190581493402,0,0,0
KIF26B,0,0,0.364896856003234,0.443989956641629,0,0.518311410811411,0,0.628034847441337,0,0,0,0,0,0,0,0.480937080441461,0,0.491201612318778,0.654168656466488,0,0,0,0,0.40178119076528,0,0,0,0,0
LOXL1,0,0,0,0,0,0.400373237873238,0,0.57556503979455,0,0.576945430411505,0,0,0,0,0,0,0,0.404429045204974,0.572395636291468,0,0,0.502730233885785,0,0.338125212917427,0,0.608499984991176,0,0,0
PLXDC1,0,0,0,0,0,0.446536519036519,0,0.532654012820375,0,0.436050529720933,0,0,0,0,0.321762858868847,0.472384344066447,0,0.367476765975656,0.54902349927747,0,0,0.433205611470022,0,0.401093631257589,0,0,0,0,0
PMEPA1,0,0,0,0.446869553779882,0,0.466926961926962,0,0.566421095453394,0,0,0,0,0,0,0,0.479136192968483,0.596808255036103,0.604768798594743,0,0,0,0,0.423822732961657,0.361789074169513,0,0,0,0,0
CHSY1,0,0,0.480863128393366,0,0,0.416931124431124,0,0.638651386415731,0,0,0,0,0,0,0,0,0.633809228745937,0.278755232616325,0.534365134985953,0,0,0.434517185851907,0,0.488462059206331,0,0,0,0,0
PODNL1,0,0,0.375738186395343,0,0,0.356868964368964,0,0,0,0.644133907524963,0,0,0,0,0.401160416298198,0.419024234839003,0,0.561499849880422,0,0,0,0,0,0.411477887160315,0,0.734062855804954,0,0,0
CSGALNACT2,0,0,0.330265163027944,0,0,0.541629481629482,0,0.569410296029585,0,0,0,0,0,0,0.32732973325585,0,0.590283134586932,0.477220216793377,0,0,0,0,0.321508021390374,0,0,0.743150129306082,0,0,0
OLFML2B,0,0,0,0,0,0.445437062937063,0,0.651150598375388,0,0.578214927936094,0,0,0,0,0,0.467719422004779,0,0.415013338210782,0.572212678074163,0,0,0,0.361633632950279,0.401895511045501,0,0,0,0,0
ITGAV,0,0,0.405160791063767,0.561650624539053,0,0.436436063936064,0,0.533002534813541,0,0,0,0.453504596001502,0,0,0.331575979474505,0.297566731141199,0,0,0.479598608277154,0,0,0,0,0.371892497444991,0,0,0,0,0
FILIP1L,0,0,0.36315501687876,0,0,0.484579587079587,0,0.533507178006716,0,0,0,0,0,0,0.454105098986818,0.461894413471385,0.607506417633,0.515316510737864,0.439505950793543,0,0,0,0,0,0,0,0,0,0
SVIL,0,0,0.370824442154205,0,0,0.418011433011433,0,0,0,0,0,0.496375115305635,0,0,0.489051844331486,0,0,0.357507618137206,0.518971836838482,0,0,-0.555688630704466,0,0,0,0.647802201748427,0,0,0
MXRA8,0,0,0.334854770211069,0,0,0.438507603507604,0,0.570832931878819,0,0.534093369522169,0,0,0,0,0.316117199289785,0.468292866082603,0,0,0.578380540688047,0,0,0,0,0,0,0.596047449245774,0,0,0
SH3PXD2A,0,0,0.473300892245754,0,0,0.506785991785992,0,0,0,0.415693063155502,0,0.408135594791662,0,0,0.464852042328091,0.427301854590966,0,0.438007084953877,0.668085884928584,0,0,0,0,0,0,0,0,0,0
MMP14,0,0,0.366351544532354,0,0,0.49716588966589,0,0.694723281863891,0,0,0,0,0,0,0,0,0,0.394831313908665,0.657995274096217,0,0,0.463426325610743,0,0,0,0.722560048647005,0,0,0
SNED1,0,0,0.355990300953118,0,0,0.516004551004551,0,0.633520797722831,0,0,0,0,0,0,0.329606005131374,0.511989987484356,0,0.496578740306934,0.568755077865777,0,0,0,0,0.373441335243403,0,0,0,0,0
LATS2,0,0,0.483474338956497,0,0,0.457034077034077,0,0.608813800043535,0,0,0,0,0,0,0.328192235868624,0.495174422573672,0,0.37133673719411,0.627869187975614,0,0,0,0,0.403056183995598,0,0,0,0,0
COL6A3,0,0,0.428713353439983,0,0,0.493929681429681,0,0.670837333009791,0,0.524356399352192,0,0,0,0,0,0.537145295255433,0,0,0.666606714256476,0,0,0,0,0.443903791895598,0,0,0,0,0
ZCCHC24,0,0,0.415543266052093,0,0,0.414570984570985,0,0.58334552565562,0,0,0,-0.408643171356921,0,0,0.373096924161788,0.504280805552395,0,0.533295918472991,0.514540526795626,0,0,0,0,0,0,0,0,0,0
ADAM19,0,0,0,0,0,0.421029526029526,0,0.68376773685519,0,0.537857394877626,0,0,0,0,0,0,0.599261497995675,0.493279129237427,0.53038036703279,0,0,0,0.479380361815906,0,0,0,0,0,0
ADAM12,0,0,0.471525499912273,0,0,0.447490842490843,0,0.689537976407559,0,0.751057550970029,0,0,0,0,0,0.355734895892593,0,0,0.628951432345772,0,0,0,0,0.392229933351386,0,0,0,0,0
PLAU,0,0,0,0,0,0,0,0.382745841823353,0,0.607061996860698,0,0,0,0,0,0,0,0.475308780442352,0.517089537890957,0,0,0.574901762939045,0.451066105358972,0,0,0.709130189853335,0,0,0
COL1A2,0,0,0.389252315287268,0,0,0.468977411477412,0,0.6412992019679,0,0.560922998154403,0,0,0,0,0,0.500474456707248,0,0,0.68387300839127,0,0,0,0,0.467832653453412,0,0,0,0,0
UNC5B,0,0,0,0,0,0.477923187923188,0,0,0,0,0,0,0,0,0.32749809927853,0.430975765160997,0,0.513805824639627,0.657747195157499,0,0,0.467070364183748,0.368975765160997,0.461839737598379,0,0,0,0,0
