,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
ZNF654,0,0.516234136740812,0.587797647821053,0.476979664313195,0.557745471307681,0.714349816849817,0,0,0,0.590037701551823,0.707934518503201,0.524352086626401,0,0,0.511620930675922,0,0,0,0.648162045162771,0,0,0,0.39001888724542,0.540081432726828,0,0.460335637817006,0.849216514738173,0.631623062746358,0
DCP1A,0,0.557086984680275,0.601627783489336,0,0.606316428482367,0,0,0,0,0.538342274568865,0.677790611023618,0.517440701614511,0,0,0.513913051467633,0,0,0,0.808213273463616,0,0,0,0.492937990670156,0.414336330919541,0,0.479465258624135,0.689583471954222,0.595865443264621,0
CREB1,0,0.36520212641404,0.487420748183904,0.35991088750781,0,0.437860195360195,0,0,0,0.536305405842328,0.664893409105524,0.64136123227538,0,0,0.458731604346737,0,0,0,0.616535081462922,0,0,0,0.418058254636477,0.535187607550598,0,0.45465594895453,0.766243595714951,0.627630172295059,0
RSBN1,0,0.367589673820417,0.417823599427342,0,0,0.448444055944056,0,0,0,0.466488548444541,0.638566271455933,0.654136401351683,0,0,0.380687636237513,0,0,0,0.613769001296212,0,0,0,0.376213448628968,0.410107135681904,0,0.593867118318702,0.811689067802249,0.622572161263453,0
RNF38,0,0.375224342016536,0.370386102020712,0.324780272175951,0.347314145086921,0.461336718836719,0,0,0,0.543493510902988,0.577341601530239,0,0,0,0.525367223981937,0,0,0,0.441456471449215,0,0,0,0.31245693480487,0.469523436203388,0,0.532719144021912,0.798747421651474,0.58665975824911,0
PUM2,0,0.337027288584974,0.431710204746189,0,0.390647020817564,0.329311244311244,0,0,0,0.457669286076732,0.530876495279789,0.600242895086937,0,0,0.415094255112424,0,0,0,0.502477688400449,0,0,0,0.462722721583798,0.41399828355797,0,0.439951168837483,0.791062279592787,0.559286684025159,0
SIRT1,0,0.376421820790188,0.46883652510077,0,0.367748834057731,0.401869519369519,0,0,0,0.482286982284177,0.469302553717852,0.665773579133273,0,0,0.415165000999171,0,0,0,0.597913656125379,0,0,0,0,0.351624396188014,0,0.616246379696726,0.756803513207798,0.651330416931744,0
SP3,0,0.401906777463094,0.40952489877694,0,0.322055736007748,0.39241341991342,0,0,0,0.429607354462327,0.514949330394576,0.520034209269878,0,0,0.411263640978406,0,0,0,0.62323631379505,0,0,0,0.433427921265218,0.368211755662512,0,0,0.752894404151973,0.58389988915925,0
WDR82,0,0.533573125493701,0.56091390263419,0,0.62042486520662,0.5394782994783,0,0,0,0.402937828595081,0.796276285212444,0,0,0,0.538096085777091,0,0,0,0.744835306594558,0,0,0,0,0,0,0.530939079091714,0.784458380464436,0,0
RAB5A,0,0.531406400286921,0.43243506358786,0.348259793213922,0.617113752892028,0.651213231213231,0,0,0,0.474755191339947,0.648627690305758,0.485964001464787,0,0,0.440480658579891,0,0,0,0.572960015877052,0,0,0,0,0,0,0,0.804394836649145,0,0
