,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
HMGB2,0,0,0,0,0.702071680732702,0.625777000777001,0.427058992943887,0,0,0,0,0,0,0,0,0,0,0.63469220309971,0,0,0,0.680874457455762,0,0,0,0,0.678646283851221,0,0
GMNN,0,0,0,0,0,0.380189532689533,0.494482791724668,0,0,0,0,0,0.592252787063535,0,0,0,0,0.336269148873758,0,0,0,0.445173989740092,0,0,0,0,0.673023820613481,0,0
MND1,0,0,0,0,0.604302556823549,0.516888666888667,0,0,0,0,0,0,0,0,0,0,0,0.543387146313098,0,0,0,0.483937057007367,0,0,0,0,0.714859604764123,0,0
UBE2T,0,0,0,0,0.368586372927721,0.356458541458541,0.388129986079777,0,0,0,0,0,0,0,0,0,0,0.428863163416376,0,0,0,0.501123083604307,0,0,0,0,0.77585834054162,0,0
CDKN2C,0,0,0,0,0.503083780335595,0.506071151071151,0,0,0,0,0,0,0,0,0,0,0,0.338864750887776,0,0,0,0.55896651851769,0,0,0,0,0.72725231219642,0,0
EXOSC9,0,0,0,0,0.606165293648684,0.459861804861805,0,0,0,0,0,0,0,0,0,0,0,0.409072399048897,0,0,0,0.434438924620809,0,0,0,0,0.648837247987225,0,0
ASF1B,0,0,0,0,0.440701618276232,0.429085914085914,0,0,0,0,0,0,0,0,0,0,0,0.411264662541542,0,0,0,0.540109754389005,0,0,0,0,0.724224831991483,0,0
MAD2L1,0,0,0,0,0,0.496469641469641,0.379932222915567,0,0,0,0,0,0,0,0,0,0,0.446852061469653,0,0,0,0.412226710208793,0,0,0,0,0.684410140395236,0,0
H2AFZ,0,0,0,0,0,0.545797813297813,0.437659098545577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.613651553747473,0,0,0,0,0.775758533501896,0,0
SLBP,0,0,0,0,0.396856143568016,0.403596681096681,0.399511160178563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.437305242209776,0,0,0,0,0.706875041586267,0,0
TCF19,0,0,0,0,0.439547955712456,0.38522089022089,0,0,0,0,0,0,0,0,0,0,0,0.327655822396461,0,0,0,0.500649323651767,0,0,0,0,0.670711624193227,0,0
COPS3,0,0,0,0,0.361354571136018,0,0.399690107041713,0,0,0,0,0,0,0,0,0,0,0.322197595325932,0,0,0,0.450648083351006,0,0,0,0,0.75746889347262,0,0
CHAF1A,0,0,0,0,0.464907121347417,0.329108669108669,0,0,0,0,0,0,0,0,0,0,0,0.273909562444568,0,0,0,0.459752240315085,0,0,0,0,0.746648146915963,0,0
STMN1,0,0,0,0,0.450403215141695,0.51458818958819,0,0,0,0,0,0,0,0,0,0,0,0.389699208680017,0,0,0,0,0,0,0,0,0.723792334819349,0,0
CDKN3,0,0,0,0,0,0.475625763125763,0,0,0,0,0,0,0,0,0,0,0,0.370424803895517,0,0,0,0.465587593358836,0,0,0,0,0.736334752811232,0,0
HADH,0,0,0,0,0.510393668458034,0,0,0,0,0,0,0,0,0,0,0,0,0.269276993053087,0,0,0,0.480649386540256,0,0,0,0,0.773088695189301,0,0
PCNA,0,0,0,0,0.494555997345065,0,0,0,0,0,0,0,0,0,0,0,0,0.332847026424497,0,0,0,0.419155624204941,0,0,0,0,0.729838977975913,0,0
RRM2,0,0,0,0,0,0.393432123432123,0,0,0,0,0,0,0,0,0,0,0,0.440610451773654,0,0,0,0.364020586896345,0,0,0,0,0.742897065673032,0,0
KIF2C,0,0,0,0,0.379221227391173,0.401577034077034,0,0,0,0,0,0,0,0,0,0,0,0.415172085350745,0,0,0,0,0,0,0,0,0.735245192627587,0,0
LOC81691,0,0,0,0,0.421642256291932,0.312754467754468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.472580094605251,0,0,0,0,0.706276199347928,0,0
RRM1,0,0,0,0,0,0.37766983016983,0,0,0,0,0,0,0,0,0,0,0,0.32486911988515,0,0,0,0.497590148029022,0,0,0,0,0.711183378800985,0,0
LRP1,0,0,0,0,0,-0.398846986346986,-0.437686746987952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.380658086114606,0,0,0,0,-0.685358307272606,0,0
SKA1,0,0,0,0,0,0.321261793761794,0,0,0,0,0,0,0,0,0,0,0,0.425791751360566,0,0,0,0.447678349135231,0,0,0,0,0.69918158227427,0,0
NCAPG,0,0,0,0,0,0.3904107004107,0,0,0,0,0,0,0,0,0,0,0,0.428908889494735,0,0,0,0.375461400617495,0,0,0,0,0.672874110053896,0,0
DONSON,0,0,0,0,0,0.395062715062715,0,0,0,0,0,0,0,0,0,0,0,0.34633665091849,0,0,0,0.465880374214462,0,0,0,0,0.647024086765587,0,0
KIFC1,0,0,0,0,0.330074698391548,0.399405316905317,0,0,0,0,0,0,0,0,0,0,0,0.422906263264876,0,0,0,0,0,0,0,0,0.700811763923082,0,0
SNAPIN,0,0,0,0,0,0,0.420053952863246,0,0,0,0,0,0,0,0,0,0,0.264344615883687,0,0,0,0.41879296725012,0,0,0,0,0.746947568035132,0,0
TUBA1B,0,0,0,0,0,0.371028971028971,0.372925646810349,0,0,0,0,0,0,0,0,0,0,0.36879074366133,0,0,0,0,0,0,0,0,0.733107658526848,0,0
SPC25,0,0,0,0,0.422241757798872,0.358909146409146,0,0,0,0,0,0,0,0,0,0,0,0.315332644278718,0,0,0,0,0,0,0,0,0.738480604165281,0,0
CEP55,0,0,0,0,0,0.468513986013986,0,0,0,0,0,0,0,0,0,0,0,0.267486342569426,0,0,0,0.410824296897955,0,0,0,0,0.673115310399894,0,0
CDC45,0,0,0,0,0,0.380180652680653,0,0,0,0,0,0,0,0,0,0,0,0.301529839285776,0,0,0,0.370676984105633,0,0,0,0,0.749043515869319,0,0
KIAA0101,0,0,0,0,0,0.361172716172716,0,0,0,0,0,0,0,0,0,0,0,0.29495563707643,0,0,0,0.436619757676676,0,0,0,0,0.706409275400892,0,0
NUSAP1,0,0,0,0,0.371392443006424,0.348859473859474,0,0,0,0,0,0,0,0,0,0,0,0.397521819104183,0,0,0,0,0,0,0,0,0.658751413933063,0,0
CDKN2D,0,0,0,0,0.433347649160635,0.331601176601177,0,0,0,0,0,0,0,0,0,0,0,0.349619869620284,0,0,0,0,0,0,0,0,0.660132077982567,0,0
CDCA5,0,0,0,0,0,0.350783660783661,0,0,0,0,0,0,0,0,0,0,0,0.316118615172776,0,0,0,0.357292217304886,0,0,0,0,0.719517266617872,0,0
FAF1,0,0,0,0,0.420974744109835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.549772920146642,0,0,0,0,0.74626555326369,0,0
CCNA2,0,0,0,0,0,0.509081751581752,0,0,0,0,0,0,0,0,0,0,0,0.503154236650573,0,0,0,0,0,0,0,0,0.702159158959345,0,0
DTL,0,0,0,0,0,0.311620879120879,0,0,0,0,0,0,0,0,0,0,0,0.289237289012972,0,0,0,0.434422853117994,0,0,0,0,0.661296493446004,0,0
PBK,0,0,0,0,0.332647768934991,0.309560162060162,0,0,0,0,0,0,0,0,0,0,0,0.319219792317329,0,0,0,0,0,0,0,0,0.726786546011045,0,0
DSN1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.331912230086724,0,0,0,0.531203346785647,0,0,0,0,0.790155698981968,0,0
NEIL3,0,0,0,0,0,0.530781440781441,0,0,0,0,0,0,0,0,0,0,0,0.593067236315824,0,0,0,0.520790410483651,0,0,0,0,0,0,0
CENPM,0,0,0,0,0.435711649850817,0.436991619491619,0,0,0,0,0,0,0,0,0,0,0,0.327004010090796,0,0,0,0.435987378978963,0,0,0,0,0,0,0
NUDCD2,0,0,0,0,0,0,0.479169394710315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.379008311412619,0,0,0,0,0.762101603566438,0,0
CCNB1,0,0,0,0,0,0.341568154068154,0,0,0,0,0,0,0,0,0,0,0,0.486805869502949,0,0,0,0,0,0,0,0,0.773205136735645,0,0
HAUS1,0,0,0,0,0.458903290079384,0.357710067710068,0.387384246147938,0,0,0,0,0,0,0,0,0,0,0.386341361567317,0,0,0,0,0,0,0,0,0,0,0
ZNF367,0,0,0,0,0.37753355508172,0.414110889110889,0,0,0,0,0,0,0,0,0,0,0,0.291574495546452,0,0,0,0.501560507985266,0,0,0,0,0,0,0
UBE2D2,0,0,0,0,0,0,0.426519080305285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.421920621450076,0,0,0,0,0.735419854947102,0,0
CHEK1,0,0,0,0,0,0.37239676989677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454821083994914,0,0,0,0,0.751655133408743,0,0
MELK,0,0,0,0,0,0.451545121545122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.432420204115073,0,0,0,0,0.682447268614013,0,0
POLA2,0,0,0,0,0.417593102206191,0.392102342102342,0,0,0,0,0,0,0,0,0,0,0,0.291249236460767,0,0,0,0.462592004986358,0,0,0,0,0,0,0
C9orf40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.394481034893312,0,0,0,0.519137840737696,0,0,0,0,0.640603167210061,0,0
H2AFV,0,0,0,0,0.463466302599645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.396319416227117,0,0,0,0,0.688394104730854,0,0
E2F1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316698387336119,0,0,0,0.555103767754207,0,0,0,0,0.67332324173265,0,0
CKS2,0,0,0,0,0,0.356513209013209,0.44029798876782,0,0,0,0,0,0,0,0,0,0,0.376313977685674,0,0,0,0.369101278068792,0,0,0,0,0,0,0
MCM2,0,0,0,0,0,0.314949494949495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.472656259553373,0,0,0,0,0.742855479406481,0,0
TPRKB,0,0,0,0,0,0,0.418563241011856,0,0,0,0,0,0.447773191998682,0,0,0,0,0,0,0,0,0,0,0,0,0,0.655890278794331,0,0
C4orf27,0,0,0,0,0,0.568910533910534,0.446551912830605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500943502029377,0,0,0,0,0,0,0
KIF4A,0,0,0,0,0,0.335489787989788,0,0,0,0,0,0,0,0,0,0,0,0.444002377756075,0,0,0,0,0,0,0,0,0.727485195289108,0,0
AURKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352727086058205,0,0,0,0.398282934614488,0,0,0,0,0.751680085168674,0,0
DLGAP5,0,0,0,0,0,0.440515873015873,0,0,0,0,0,0,0,0,0,0,0,0.334395673795333,0,0,0,0,0,0,0,0,0.723642624259765,0,0
PSMA2,0,0,0,0,0.299856547853696,0,0.455046896750348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.743404418124959,0,0
POLE2,0,0,0,0,0,0.373139915639916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42911366710118,0,0,0,0,0.695297424978375,0,0
TCEB1,0,0,0,0,0,0,0.444594249507992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375624211928619,0,0,0,0,0.675560582873112,0,0
TAF9,0,0,0,0,0,0,0.410111265780252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41630957068474,0,0,0,0,0.663799986692395,0,0
HPRT1,0,0,0,0,0,0.362736707736708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.367719827587713,0,0,0,0,0.755131745292435,0,0
EXO1,0,0,0,0,0,0.347954267954268,0,0,0,0,0,0,0,0,0,0,0,0.41293625267023,0,0,0,0,0,0,0,0,0.715982433961009,0,0
OIP5,0,0,0,0,0,0.34529082029082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41250900964954,0,0,0,0,0.718577416993812,0,0
CCNB2,0,0,0,0,0,0.377480852480852,0,0,0,0,0,0,0,0,0,0,0,0.350000345102478,0,0,0,0,0,0,0,0,0.747321844434094,0,0
CDCA8,0,0,0,0,0,0.416821789321789,0,0,0,0,0,0,0,0,0,0,0,0.334261515206941,0,0,0,0,0,0,0,0,0.718718810300087,0,0
MCM5,0,0,0,0,0,0.370560273060273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.457632199465518,0,0,0,0,0.63807472220374,0,0
NSMCE2,0,0,0,0,0,0,0.448598665578649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365498466394313,0,0,0,0,0.651448865526649,0,0
CHCHD3,0,0,0,0,0,0,0.399803004848078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.383797619251424,0,0,0,0,0.67393871847761,0,0
SUV39H1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278665937350096,0,0,0,0.486251353412696,0,0,0,0,0.69171268880165,0,0
PSMA6,0,0,0,0,0,0.317072094572095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364871677784536,0,0,0,0,0.774527580011977,0,0
PSRC1,0,0,0,0,0,0.388899988899989,0,0,0,0,0,0,0,0,0,0,0,0.383647405347018,0,0,0,0,0,0,0,0,0.680126754940449,0,0
