,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
HNRNPU,0,0.673447686628104,0.500577018305561,0.696588875265999,0.613970148351434,0.658292263292263,0.714609705755292,0.759955477207494,0,0,0,0,0.72660346358339,0,0.666450485918582,0.70313050403914,0,0,0,0,0.580150745123676,0.57636077589023,0.580928888383206,0,0,0,0,0.714017747637256,0
TRA2B,0,0.54116777892882,0.454570197715391,0.575483730041291,0.456248354834362,0.503096070596071,0,0.648632437762655,0,0,0,0.551925777936412,0.61293981808825,0,0.507911365510461,0.464359312777335,0,0,0,0,0.575229163554979,0.586925343327479,0.534286722038912,0,0,0,0,0.760088147910094,0
HNRNPH1,0,0.409210953373911,0.423441581925331,0.390960507711026,0.445197879578283,0.330238927738928,0.746994479911679,0.586123590894655,0,0,0,0.503214651579977,0.809245455486437,0,0.381576324016161,0.533875298668791,0,0,0,0,0.551802556497164,0.542998432329715,0.474148822391626,0,0,0,0,0.612115090738567,0
LMNB1,0,0.574778696141243,0.528660211728542,0.544923829253513,0.484147845132136,0.605444832944833,0.814441319061105,0.555244007027536,0,0,0,0,0.621144215868221,0,0.587756138009606,0.621525315735579,0,0,0,0,0,0.568939934155752,0.49941039936284,0,0,0,0,0.710221615913846,0
DHX9,0,0.603392214313132,0.366088321398038,0.48283398394378,0.434652446558093,0.509775224775225,0.746378534056545,0.687432867883996,0,0,0,0.56141444669519,0.511373785056062,0,0.622291845158386,0.564603936739106,0,0,0,0,0,0.530655518167961,0.468428035043805,0,0,0,0,0.595411586465623,0
HNRNPK,0,0.561029920667031,0.449818427220183,0.507732164583304,0.436355232350915,0.496092796092796,0.590107233715739,0.598042924111418,0,0,0,0,0.533627432256898,0,0.472484214249783,0.468172715894869,0,0,0,0,0.567971959233051,0.586448788330971,0.460940493799067,0,0,0,0,0.649861285096838,0
ZNF326,0,0.575968023759876,0.374433908076845,0.486883270621063,0,0.54281746031746,0.620489031824509,0.621774833381508,0,0,0,0,0.654959128899593,0,0.524943437744768,0.678963477073615,0,0,0,0,0.611234449057344,0.480052644653133,0.516376834679713,0,0,0,0,0.596314053164208,0
KHDRBS1,0,0,0,0.64033103623219,0.641984249231416,0.630755633255633,0.769418134690155,0.700610091912268,0,0,0,0,0.627947901921022,0,0.680397417315745,0.726355444305382,0,0,0,0,0,0.674489179511349,0,0,0,0,0,0.784216014848725,0
MTF2,0,0.465164927506591,0.384324795905708,0,0.450263415420539,0.385975135975136,0.642425766812269,0.501099390621785,0,0,0,0.402505898549583,0.648754477452011,0,0.449937523113003,0.427509386733417,0,0,0,0,0.45123891424724,0.557480253887819,0.502652633974286,0,0,0,0,0.593464986784372,0
SYNCRIP,0,0.483470198636238,0,0.404228733024235,0.45143345092463,0.526492118992119,0.632394758316133,0.623890052611357,0,0,0,0.632456624221832,0.443254847019478,0,0.460794145548177,0.525686426214586,0,0,0,0,0,0.390946642960035,0.342109455000569,0,0,0,0,0.690207318112953,0
CCDC18,0,0.443199787773564,0.475156555313402,0.486098780046694,0.420737966203732,0.511829281829282,0,0.577361474402665,0,0,0,0.400735174824202,0.60806575530989,0,0.452967766979587,0.589435203094778,0,0,0,0,0,0.533637131320599,0.459818864489703,0,0,0,0,0.623458887263808,0
NOP58,0,0.459914842660478,0.462007383391014,0.492493317737473,0,0.465094072594073,0,0.585236822478598,0,0,0,0.520683165609023,0.472779861707416,0,0.526212614359118,0.519197633405393,0,0,0,0,0.588018003082623,0.47071370399576,0.458519285470475,0,0,0,0,0.520504227033338,0
HNRNPM,0,0.549055132930518,0.369825660222049,0.395495990642484,0,0.536221278721279,0.773089233427735,0.657063874684338,0,0,0,0,0.663731946228298,0,0.633141347065998,0.698072818295597,0,0,0,0,0,0.723599499547378,0.538783934463534,0,0,0,0,0,0
RBM14,0,0.524812856890912,0.367076908883765,0.475065413360767,0,0.43775419025419,0.762612009792157,0.562380678797135,0,0,0,0,0.627708958694457,0,0.502318880193678,0.610408920241211,0,0,0,0,0.449387834977217,0.543921495600077,0.453512800091023,0,0,0,0,0,0
NUF2,0,0.509324921341354,0.487914420571045,0.570532514080901,0.413809693536341,0.348410200910201,0,0.603639200040919,0,0,0,0,0.464423700718871,0,0.45207896435372,0.340225281602003,0,0,0,0,0,0.561192771038034,0.608196609398111,0,0,0,0,0.672367860117662,0
FIP1L1,0,0.555010663192792,0.414884439420239,0.331015093222847,0.383446705449544,0.433031968031968,0.647967743483896,0.574456727961337,0,0,0,0,0.472487123453029,0,0.508894572550137,0.316376152008192,0,0,0,0,0,0.444869329947603,0.327826146319263,0,0,0,0,0.618130660912567,0
HNRNPH3,0,0.389521467919277,0.359772756521444,0,0.471836653471756,0.433433233433233,0.510667882686123,0.580513041026867,0,0,0,0,0.604872459132544,0,0.55616281660507,0.543163727386506,0,0,0,0,0,0.548225863310471,0.308106041642963,0,0,0,0,0.72008578680536,0
