,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
PES1,0,0,0.618245215613595,0,0.565749320208113,0.61979353979354,0.744885518168291,0.576403931042604,0,0,0,0,0.754404121661319,0,0,0.687622255091592,0,0.500631968913169,0,0,0,0.500707320814099,0.589914438502674,0.629153200094339,0,0.607584815048013,0,0,0.780403187998125
ADSL,0,0,0.559857176648062,0,0.598927194572244,0.584151681651682,0.564361157778524,0.677096454948477,0,0,0,0,0.634981200897458,0,0,0.455366935942656,0,0.441910193982103,0.560974702150224,0,0,0.439677535777436,0.536308795084765,0.52297924983185,0,0.557194392261414,0.653253709494977,0,0
MCM5,0,0,0.519855369450741,0,0.606755978956993,0.588987123987124,0.642883502136034,0.530639603279675,0,0,0,0,0.443768888396456,0,0,0.519034474911822,0,0.357718993405092,0.534014723485013,0,0,0.370809049933111,0.587906018887245,0.64837877027629,0,0.520607483528506,0.708763058087697,0,0
ASCC2,0,0,0.638328127636154,0,0.393163415798376,0.488854756354756,0.501225171602746,0.420642850600635,0,0,0,0,0.733755140778235,0,0,0.515168506087154,0,0.368818351859585,0.615158243353035,0,0,0.453661839509274,0.551151666856298,0.46534730653995,0,0.54536863605149,0,0,0.627894983591186
TXN2,0,0,0.543720694915815,0,0.582367854628441,0.495589688089688,0.561938847021552,0.413311399048166,0,0,0,0,0.701342251547883,0,0,0.432454431675959,0,0.381675144684214,0.49655480373855,0,0,0.406664572712894,0.5176975765161,0.620020898664407,0,0.457663975084247,0,0,0.62037037037037
EWSR1,0,0,0.552193922804029,0,0.57730987552787,0.523711843711844,0.508197187154994,0.438747259701223,0,0,0,0,0.622315897815689,0,0,0.470365456821026,0,0.323526671245026,0.489667512202383,0,0,0.572369453104228,0.445884628512914,0.496099352731021,0,0.453690688212585,0.73221771242265,0,0
CECR5,0,0,0.560104265596503,0,0.648865921991756,0.577372072372072,0.753036432582921,0.660684399655998,0,0,0,0,0.767520632361281,0,0,0.610009329844123,0,0.556600257446449,0.48191814635417,0,0,0.421783664295654,0.583980885197406,0.582448615927534,0,0,0,0,0
PHF5A,0,0,0.503728576655181,0,0.584966114310831,0.459686424686425,0.480661642586281,0.605264644763308,0,0,0,0,0.54121442639776,0,0,0.416204118784845,0,0.296540520207476,0.445664510447224,0,0,0.443206977547761,0.436927978154511,0.506446812134765,0,0.559905740902765,0.714002927673165,0,0
UBE2L3,0,0,0.612511808391588,0,0.458250891380654,0.473727106227106,0.575340661450583,0.488737565318136,0,0,0,0,0,0,0,0.5564064171123,0,0.541173313915567,0.662156798293217,0,0,0.454830866648802,0.484855159858915,0.461518614442571,0,0.539695668932232,0,0,0.684599156118143
TOMM22,0,0,0.530354827818117,0,0.68195689382652,0.472735042735043,0.572918350693611,0.534177458358759,0,0,0,0,0.662318988478534,0,0,0.395367163499829,0,0.419648495870849,0.490938916763314,0,0,0.402206477584271,0.533580839685971,0.533220141333496,0,0.517999723395663,0,0,0
POLR2F,0,0,0.596723622870356,0,0.530573947125478,0.474407536907537,0.688637834205347,0.484230866677848,0,0,0,0,0.66191064193942,0,0,0.538030265104107,0,0.40682578191594,0.575992780902883,0,0,0,0.431477073614746,0.569422327722504,0,0.510805064106094,0,0,0
