,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
SETD1B,0,0.480629150605186,0.462072172889386,0,0,0.572146464646465,0,0,0,0.696516325910633,0.748389504702558,0.464073313524714,0,0,0.554791885354912,0.546049379906702,0.56754637767296,0.437575706856151,0,0.56291664136968,0.61940863994695,0,0.288647172602116,0.374243870161861,0,0.539018890676648,0.72662020094484,0,0
NUMA1,0,0.378925707409103,0.415662524224975,0,0.446797389901422,0.577352092352092,0,0,0,0.596520253155614,0.618640765926219,0.448493725982821,0,0,0.509047663892723,0.50101490499488,0.682494720469404,0.458452249895606,0,0.629799850241839,0.629159234458441,0,0.282304016384117,0.434607052698701,0,0.741004880353892,0,0,0
SP1,0,0.584100653426227,0.416381085257798,0,0.657551137100705,0.536654456654457,0,0,0,0.578458250892357,0.789759910425065,0,0,0,0.541140226157143,0.64472954829901,0.716030804638399,0.668767621795292,0,0,0.574807081900654,0,0.437568551598589,0.456803639905312,0,0.549143861694885,0,0,0
ZNF384,0,0.489909611100984,0.433410402505812,0,0.528888793729919,0.492012709512709,0,0,0,0.760010007202027,0.836608332839478,0.447745108491594,0,0,0.535405100594679,0,0.534794319604446,0.36631894716136,0,0.496723534292595,0.546956926166404,0,0,0.386441090661333,0,0.614674688806309,0.633516867389713,0,0
MED12,0,0.467834060268158,0.473278607691373,0,0,0.463305305805306,0,0,0,0.549401832797441,0.438003023658425,0.473536487570168,0,0,0.446538045438154,0.564415064284902,0.670127341013417,0.54081225044777,0,0.442484771214053,0.682114353435029,0,0,0.409272390178283,0,0.638008437721392,0.707823208463637,0,0
PHF12,0,0.512732845153249,0.35070290076233,0,0.596390648280274,0.486600066600067,0,0,0,0.557431386458776,0.657978587252972,0.451951736189977,0,0,0.446059706772081,0.549060416429628,0,0.479527658238114,0,0,0.480247106424008,0,0,0.348002397777797,0,0.594093539778632,0.724025217912037,0,0
SETD1A,0,0,0.369932027896555,0,0.522043645221054,0.466636419136419,0,0,0,0.617924985049456,0.48393980927499,0.530160245861745,0,0,0.415218060414231,0.525334622823985,0,0.380623876260055,0,0.529528666545241,0.609614351480042,0,0,0.402455756850482,0,0.520917788660659,0.679660988755074,0,0
CPSF7,0,0.449353168798564,0,0,0.436070595080813,0.440686535686536,0,0,0,0.599013949823523,0.590794233613549,0.504711886562432,0,0,0.445652803076068,0,0,0.314043686522713,0,0.646615263189849,0.661134803379156,0,0,0.370485386221294,0,0.684563783726347,0.687795262492515,0,0
TNRC6A,0,0.449900778213,0.425005439495434,0,0,0.50490786990787,0,0,0,0.685945387606612,0.609356697126011,0,0,0,0.50627169176844,0.499494823074297,0.612261156564954,0.39198292432938,0,0.5582174731346,0.642106721166486,0,0.288891341449539,0,0,0.526915148949226,0,0,0
ZNF236,0,0,0.482080964546285,0,0.578673867401854,0.468633866133866,0,0,0,0.566526594928992,0.592981909746696,0,0,0,0.47121354462159,0.50983570372056,0.483200343959838,0.430107689228316,0,0.57997895290713,0.636478802859911,0,0,0.340261702815314,0,0.512750594413882,0,0,0
