,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
MED14,0,0.746206378352903,0.703931707319128,0.677037679035312,0.63516806823234,0.681636696636697,0.670763884222147,0.707903182255591,0,0.623170558379432,0,0.475274763478591,0.534560316763784,0,0.653218822999763,0.562284446467175,0,0.690375350710393,0,0,0,0.794423817408163,0.571557173739902,0.722875193263511,0.625026113671275,0,0.832823208463637,0.801423221465066,0
TXLNG,0,0.662944552879506,0.68464665816989,0.614338326827229,0.646241213713471,0.731814296814297,0.796962895406326,0.700323721025392,0,0.671031622841522,0,0.421606074231334,0.786978979119074,0,0.620954104754445,0.618862896802822,0,0.542825492029858,0,0,0,0.789318669600997,0.584450563204005,0.653124426760773,0.814697388632872,0,0.633791336748952,0.729643014081366,0
DHX9,0,0.628076134751931,0.661427332027012,0.534730149335062,0.58542833501051,0.494666444666445,0.73462641002256,0.592412450204772,0,0.69410449879419,0,0.527877310168682,0.759439861095115,0,0.575766547761513,0.578294003868472,0,0.462068492488845,0,0,0,0.701906464552379,0.511731027420639,0.585747416601882,0.764190476190476,0,0.830910240202276,0.696403906316611,0
HUWE1,0,0.730661384718214,0.714530708979517,0.710157743673577,0.685137022618587,0.678785936285936,0.715940671050737,0.723349367724008,0,0.74872229474119,0,0,0.694728816203237,0,0.737368413799123,0.750103310956878,0,0.698141450603757,0,0,0,0.764047279566237,0.505832517920128,0.566538115495148,0.725013824884792,0,0,0.680831108866604,0
KDM6A,0,0.475673248353837,0.563416934112914,0.667662546916764,0.745224454119872,0.626754911754912,0.687429750876014,0.670190842554892,0,0.758056046980655,0,0,0.655884724107316,0,0.620340131523035,0.491921720332234,0,0.553933909424404,0,0,0,0.796086868568997,0.641927181704403,0.590437823743678,0.80057757296467,0,0.818983298955353,0.66473886837497,0
RIF1,0,0.659952337973563,0.602501451760785,0.523944578324572,0.571928215991829,0.517308247308247,0.78125934814957,0.6886137389035,0,0.732658304336136,0,0.406995285795736,0.693734555797398,0,0.611060246554009,0.55766412561156,0,0.432947882623745,0,0,0,0.685735737676738,0.42406508135169,0.486848800237594,0.796466973886328,0,0.717803912435957,0.746115654780253,0
DDX3X,0,0.591128431080502,0.518334943592485,0,0.692661018422077,0.650043567543568,0.713274900398406,0.591916728223025,0,0.777067549029264,0,0,0.571131896952636,0,0.704802336451818,0.555173284787803,0,0.664562548098658,0,0,0,0.770825261188124,0.560833769484583,0.612071326246277,0.770543778801843,0,0.825662053363497,0.690815958444557,0
KDM5C,0,0.534573494518719,0,0.628951225355487,0.751295036606116,0.74259102009102,0.767664762636202,0.724708068224667,0,0,0,0,0.593222992782136,0,0.626937415156617,0.735098190920469,0,0.755301205442956,0,0,0,0.795149830078796,0.617806576402321,0.678554192398739,0.762543778801843,0,0.800103133941047,0.639879058968591,0
BRCA2,0,0.649397333238483,0.641708976778778,0.430172118171526,0.559158582002612,0.499265179265179,0.654266980271684,0.594257059354604,0,0.54988681638405,0,0.582670084503386,0.59702961059106,0,0.536126800517272,0.454177267038343,0,0.368205363582716,0,0,0,0.642635460932448,0.440504039139834,0.57931982162979,0.737364055299539,0,0.85068035132078,0.785335664714457,0
BARD1,0,0.706653664296064,0.641988716611812,0.533729571536615,0.660383655775303,0.467829115329115,0.669303892862286,0.5837026714865,0,0.61795646534653,0,0.420910763867965,0.592631101690097,0,0.466973385305528,0.319949027193082,0,0.434326567024078,0,0,0,0.749463263838193,0.483781772670384,0.520775609053031,0.720122887864823,0,0.759115709628053,0.755592520230174,0
BRIP1,0,0.746844391486637,0.646448699291844,0.557657708441964,0.634487961480769,0.543568931068931,0.634530600489608,0.600808202280737,0,0,0,0.600133963130009,0.502693924613118,0,0.472948197013513,0.561797246558198,0,0.467073341178663,0,0,0,0.773324030495327,0.517825236090568,0.593631585153868,0.665603686635945,0,0.778636303147249,0.793316761876029,0
