,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
TNPO3,0.642901849217639,0.483904432894505,0.299443644405071,0.435177355937936,0,0.541674714174714,0,0,0,0.468306405731367,0.332821194357687,0.434928220793488,0,0.549217313131931,0.492796208204226,0.560256456934805,0.49822329569165,0.549738757424017,0.284555845670092,0.339086879970858,0,0.389985846596108,0.566163158493572,0.51017668870817,0.577935483870968,0,0.39401324106727,0.378179457077084,0
ZC3HC1,0,0.266487193053437,0,0.389782597462384,0,0.388714341214341,0,0,0.501053113553114,0.343835700693231,0,0.484225725556364,0,0.538361962920949,0.335077900868475,0.421110706565025,0.501814641055147,0.334942229845152,0.252894771116169,0,0,0.492661087991827,0.540452156104221,0.425425616477844,0.547594470046083,0,0,0,0
IPO4,0.412005689900427,0,0.347376372853874,0.203373309469788,0,0,0,0,0.542399267399267,0,0.205610033804955,0.482125888258989,0,0.515886329211222,0.379937913593547,0.191170098987371,0,0,0.331359038446034,0.318310970797159,0.351465575419091,0.52566356964149,0.200425987029241,0.500530546553577,0.456645161290323,0,0.394121365360304,0,0
LUZP6,0.729900426742532,0.336320361140628,0,0.24897828323398,0,0.427080697080697,0,0,0,0.34381055801372,0.236920912040289,0,0,0.509541319297144,0.282856066574636,0.339046762999204,0.391494581367999,0.316301519486211,0.274908675940684,0,0,0.396505985411967,0.428532256229378,0,0.648110599078341,0,0,0.25458874146559,0
FARSA,0.408677098150782,0,0.334584701632354,0,0,0,0,0,0.532738095238095,0,0.232747305123449,0.476707102827132,0,0.405672900589259,0.276963026086397,0,0,0.304613329928322,0.227153480237412,0,0.356641891770366,0.486298170399157,0,0.418280871935081,0,0,0,0,0.733544303797468
LUC7L2,0.640398293029872,0,0,0.260087985080587,0,0.349594572094572,0,0,0,0,0,0,0,0.476413537404201,0.307347925055299,0.246473091364205,0.381833356516901,0.299127926037637,0.261162001748957,0,0,0,0.255894868585732,0.403106410670766,0.588804915514593,0,0,0.276625718989185,0
SSBP1,0.512972972972973,0,0.270293362046287,0.342733127580716,0,0.30011988011988,0,0,0,0,0,0.342465848672653,0,0.445233728876897,0.280793984762071,0.276181818181818,0.373841348524893,0,0.400641284056587,0,0,0.381378508697303,0.516993742177722,0.29401199762406,0,0,0,0,0
AP3D1,0.416273115220484,0,0.307913017781516,0,0,0.245007215007215,0,0,0.581868131868132,0,0.224567792111505,0,0,0.434071713825584,0.325781248205512,0,0.241973216656761,0,0,0,0,0.345065297467795,0.245128911138924,0.298337824617185,0,0,0.353449996673099,0.363886903083209,0
DNAJC2,0.461963015647226,0,0,0.2962649793073,0,0.431725774225774,0,0,0.473626373626374,0,0,0,0,0.503408288461769,0.401690665907144,0.210002275571737,0,0.3851494638833,0.283972860164104,0,0,0.566780762690635,0.324017977016725,0,0,0,0,0,0
HSP90AB1,0,0.350009114473339,0,0,0,0.241831779331779,0,0,0,0.372594146867326,0.254294969353621,0.311522219801512,0,0.464581274826753,0.297501498756205,0.153334167709637,0,0.228998357312204,0.330838072674725,0,0,0.527701855455,0,0.291085966230204,0.486236559139785,0,0,0,0
MKLN1,0.645206258890469,0.263386049075881,0,0.214209379125035,0,0.439928682428682,0,0,0,0,0,0,0,0.442774824758199,0,0.354444419160314,0.385829360512905,0.393891772411818,0,0,0,0,0.346299692797816,0,0.656258064516129,0,0,0,0
PDCD11,0,0,0,0.246967732540387,0,0.211425241425241,0,0,0,0,0,0.307943689131372,0,0.397339489680981,0.377041581584019,0.226935259984071,0,0.379613157377083,0.296122526187833,0,0,0.500149709542525,0,0.397196259641338,0.39531797235023,0,0.361817153503227,0,0
PES1,0,0.244186373936459,0.251909552512247,0,0,0,0,0,0.553434065934066,0,0,0.372433725333865,0,0,0.229224138129047,0.187687108886108,0,0,0.271054149430349,0,0,0.391470713703996,0.402559563090227,0.495622745259039,0,0,0,0,0.643014533520863
SLC25A13,0.503100995732575,0,0,0,0,0.461030913530914,0,0,0,0,0.384715772325329,0,0,0,0.335855761081034,0.298769825918762,0,0.302258005514738,0,0.538374516827556,0,0,0.279512344976675,0,0.52084178187404,0,0,0.335889447829423,0
ZKSCAN5,0.598805120910384,0,0,0,0,0.364241869241869,0,0,0,0,0,0,0,0.425873150336254,0.288294082382207,0.256063033337126,0.423057954703524,0.423658155289213,0,0,0,0,0.308331323244965,0,0.50036866359447,0,0.295146050968128,0,0
MLEC,0,0,0.194579419055569,0,0,0,0,0,0,0.363622054410421,0,0.368702226383784,0,0.345597710519562,0,0.246677437706224,0.390052984989694,0.262285216845142,0,0,0,0.383237911696875,0,0.319531952900481,0.580393241167435,0,0,0.354689088416814,0
ESYT2,0,0.263960334997651,0,0.231435288922711,0,0.312113164613165,0,0,0,0,0.26470944256499,0.326033347085027,0,0.417443457838904,0.240151161909312,0.316206166799408,0,0.322426225717727,0,0,0,0,0.217055182614632,0,0.40631643625192,0,0.433994277729723,0,0
PSMC2,0.431066856330014,0.386704132339189,0.23413233360357,0,0,0.286243756243756,0,0,0,0.441229713909554,0.431231945367359,0,0,0.526272240182669,0,0,0.307983156084422,0,0.281439354002444,0,0,0,0.412525657071339,0,0,0,0,0,0
GNA12,0.645348506401138,0.359183609953894,0,0,0,0.247359862359862,0,0,0.34029304029304,0,0.48399528924609,0,0,0.363132928436448,0,0.214973717146433,0,0,0,0.312810394025864,0,0,0,0,0.426660522273425,0,0,0.287171986804048,0
SLC35A2,0.562475106685633,0.332135113545589,0,0,0,0,0,0,0.607188644688645,0,0.265556142578482,0.415860492928694,0,0.443819027848519,0,0,0,0,0,0,0,0.396032924220419,0.409318011150302,0,0,0,0,0,0
LOC407835,0.339260312944523,0,0.245241057585353,0,0,0.227506105006105,0,0,0.443315018315018,0,0,0,0,0.3916054157064,0,0,0,0,0,0,0,0.284776897843589,0,0.341166874852596,0,0,0.432613613680218,0,0.608720112517581
P4HB,0,0,0.340096337518743,0,0,0,0,0,0,0.423401476228532,0.329359370251892,0.366447103105256,0,0,0.315032122767083,0,0.387625033194653,0,0,0,0.407918263565067,0,0.259940152463306,0.340328744507822,0,0,0,0,0
RFC2,0,0,0.191959235694548,0.198330491316582,0,0,0,0,0.58768315018315,0.330110498959592,0.26588523967978,0.369251521570845,0,0,0.228333957336555,0,0,0,0.298004825135358,0,0,0,0.364440323131187,0.319318489531014,0,0,0,0,0
WIPI2,0.346827880512091,0,0,0.194231880381629,0,0.247730047730048,0,0,0,0,0.253029647740011,0.322990205394681,0,0.310325668485467,0,0.141701672545227,0,0,0,0.441110638900694,0,0.397948228099346,0.18717556035954,0,0,0,0.290355313061415,0,0
CALR,0,0,0.304695743165666,0.195482602629688,0,0,0,0,0,0,0.318248875584904,0.464974899295882,0,0,0.237197635984849,0,0.248220134296084,0,0.272390674712694,0,0.378491801958271,0.402557954363221,0,0.301722993335139,0,0,0,0,0
RPS2,0,0,0.295277991390748,0.199517796661922,0,0,0,0,0.429487179487179,0,0,0.400406061252208,0,0,0,0.23669791785186,0,0.24263163071274,0.389691699898908,0,0,0.351755933965689,0.212000910228695,0.327503144626619,0,0,0,0,0
RORA,0,0,-0.274971454496857,-0.223613870920766,0,0,0,0,0,0,0,-0.333350329808882,0,0,-0.245659234520318,-0.28559540334509,-0.265241088025898,0,0,0,0,0,-0.265913528273979,-0.314601767978966,0,0,0,0,-0.759470229723394
TMED4,0.438463726884779,0,0,0,0,0.271066156066156,0,0,0,0.423610721503474,0.25713075242189,0.427843008190756,0,0.385300035507161,0,0,0.422931498880866,0,0,0,0,0,0.245801797701673,0,0,0,0,0,0
TPI1P2,0.428879295027171,0.308356712327955,0,0,0,0,0,0,0,0,0.291523921324357,0,0,0,0,0.28090112640801,0.397893245994512,0.241082551963806,0,0,0,0,0.282119695073387,0,0.530654377880184,0,0,0,0
MRPL4,0.442332859174964,0,0.337125288272195,0.284499969465936,0,0,0,0,0.333287545787546,0,0,0.35217933444892,0,0,0,0,0,0,0,0,0,0.332090703369321,0.198313573785414,0.397861981464173,0,0,0,0,0
TM9SF4,0,0,0,0.208325699817265,0,0.310422355422355,0,0,0.374038461538461,0.351653515590747,0,0,0,0.396734937051257,0.291140111309924,0,0,0.242936615027832,0.219881666346231,0,0,0,0.222116736830129,0,0,0,0,0,0
MORC3,0,0,-0.19740844112802,0,0,-0.199373681873682,0,0,0,0,0,-0.386430322948487,0,0,-0.245246818157805,-0.217440664466947,0,0,0,0,0,0,0,-0.297396292834619,0.409812596006144,0,0,0,-0.611392405063291
GANAB,0,0.314101794587929,0,0,0,0,0,0,0,0.401667707698273,0,0.405836435190121,0,0.409141963479489,0.36551643348853,0.216151097963363,0,0,0,0,0,0,0,0.395111743433408,0,0,0,0,0
TRIM28,0,0,0.265868192969076,0,0,0,0,0,0,0,0,0.374130282620486,0,0.375786776175892,0,0,0,0,0,0.368455669560642,0,0.419156322965933,0.255173057230629,0.445985141639224,0,0,0,0,0
POLR3E,0.489758179231863,0,0,0,0,0.204074814074814,0,0,0,0,0,0,0,0.412759172350694,0,0,0.272904310878994,0,0.213319978417132,0,0,0,0,0.352219909854037,0,0,0.278112316188702,0.257007562093775,0
GSK3A,0.345064011379801,0,0.215502804209969,0,0,0,0,0,0.394322344322344,0,0,0,0,0.350313380614154,0.24760348308645,0,0,0,0,0,0,0,0,0.308495732916379,0,0,0,0,0.604524144397562
DDX56,0,0,0,0,0,0.281083083583084,0,0,0.495009157509157,0,0,0.403034334425743,0,0.374372873061236,0,0,0,0,0,0,0,0.463690457265699,0.396537034930026,0,0,0,0,0,0
DNAJA3,0.481650071123755,0,0,0,0,0,0,0,0,0.371599452596075,0,0,0,0,0,0,0,0,0.377073784878348,0,0,0,0.242211400614404,0.388257658476079,0.523483870967742,0,0,0,0
GSG2,0,0,0,0,0,0,0,0,0.329029304029304,0,0.248473355113425,0.312194353152769,0,0.324445571276009,0.25497690422431,0,0,0,0.186713512239595,0,0,0,0,0.384205020920502,0,0,0.321495109455054,0,0
RAB12,0,0,0,0,0,0,0,0,0,0,0,-0.376858216946104,0,0,0,0,-0.337599109751008,0,0,0,-0.424375244862099,0,-0.214515416998521,-0.28515550615386,0,0,0,0,-0.69817158931083
USP5,0.402105263157895,0,0.234432753829605,0,0,0,0,0,0,0.368933289614162,0,0.337297374971608,0,0.335049291120151,0,0,0,0,0,0,0,0,0.231233132324497,0.425053283951049,0,0,0,0,0
SLC35E1,0.497297297297297,0,0,0,0,0,0,0,0.361721611721612,0,0,0,0,0.298606975627725,0,0.145374672886563,0.226292694647125,0.300529473477149,0.18734921452006,0,0,0.308137875326365,0,0,0,0,0,0,0
WDR61,0,0,0,0,0,0,0,0,0,0,0,0.380877110846378,0,0,0,0,0,0,0.208541357860071,0,0,0,0,0,0.529745007680491,0,0.505239869585468,0,-0.682887951242382
KCNJ14,0.398748221906117,0,0,0.253564264810196,0,0,0,0,0.372893772893773,0,0,0.324642726358289,0,0.402130429636643,0,0,0,0.217960254547588,0,0,0,0.325912258678524,0,0,0,0,0,0,0
PHB2,0,0,0.28377558063586,0.211819501402218,0,0,0,0,0.433058608058608,0,0,0.489987530767484,0,0,0,0,0,0,0.260250311649167,0,0,0,0.276119012401866,0.338722582786663,0,0,0,0,0
RAP1A,0,0,0,0,0,-0.280056332556333,0,0,-0.411355311355311,0,0,-0.362525552655854,0,0,-0.217158519022145,0,0,-0.251803591826593,0,0,0,-0.411911569001425,0,-0.344434775202872,0,0,0,0,0
WBP4,0,0,0,-0.197891270545902,0,0.25974136974137,0,0,0,-0.340201336759387,-0.23351961153933,0,0,0,0,0,0,0,0,0,-0.367810438222026,0,-0.224156786892707,0,0,0,0,0,-0.65253164556962
ZNF598,0.524665718349929,0,0,0,0,0,0,0,0.49757326007326,0,0,0.341955954406182,0,0,0.280277861361031,0,0,0,0,0,0,0,0.210058027079304,0.394052615717892,0,0,0,0,0
CDCA5,0,0,0,0,0,0,0,0,0.439514652014652,0,0,0,0,0,0.345803367779842,0,0,0,0.293285123326242,0,0,0,0,0.392882334186459,0.490101382488479,0,0,-0.267010775819664,0
