,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
SOX10,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
PLP1,0,0,0.644961526707028,0.345870670987253,0,0,0.743480055680891,0,0,0,0,0,0.754840459109218,0,0,0,0,0,0.873610659960523,0.925636036218894,0,0,0.297747183979975,0,0,0,0,0,0
ERBB3,0,0,0,0,0,0,0.851106993711899,0,0,0,0,0,0.626878707519787,0,0,0,0,0,0,0.901449128517387,0,0,0.493155762885425,0,0,0,0,0,0
TMCC2,0,0,0.337437872977429,0.531521660314072,0,0,0.64917966687467,0,0,0,0,0,0.423449675407508,0,0,0,0,0,0.554713809934321,0,0,0,0.306211173057231,0,0,0,0,0,0
SHC4,0,0,0.630294054506848,0.658120351139797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.652739101582124,0.714178955353665,0,0,0,0,0,0,0,0,0
HILS1,0,0,0.545872483559408,0.4759586897156,0,0,0,0,0,0,0,0,0.401354526569633,0,0,0,0,0,0,0.855453036300179,0,0,0.337344180225282,0,0,0,0,0,0
MIA,0,0,0.903192374925807,0.722095204924954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.914910191676371,0,0,0,0,0,0,0,0,0
GPM6B,0,0,0.531019512673859,0.48844362421359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.755769385818567,0.756112799734608,0,0,0,0,0,0,0,0,0
GPR17,0,0,0.464107166679684,0,0,0,0.743898622377958,0,0,0,0,0,0,0,0,0,0,0,0.447760777479394,0.860274355886004,0,0,0,0,0,0,0,0,0
S100B,0,0,0.62278937848577,0.617533277813827,0,0,0,0,0,0,0,0,0.412139598826131,0,0,0,0,0,0.478556676734537,0.29008661921326,0,0,0,0,0,0,0,0,0
OR7A5,0,0,0.526369442161929,0.317926432847633,0,0,0.486012860300213,0,0,0,0,0,0.47810410216352,0,0,0,0,0,0,0.586488792977383,0,0,0,0,0,0,0,0,0
APOD,0,0,0.455270664477549,0,0,0,0.597411798588777,0,0,0,0,0,0.464777960658195,0,0,0,0,0,0.488966689200504,0.355075373836369,0,0,0,0,0,0,0,0,0
TRIM63,0,0,0.436897436630985,0,0,0,0.330444749329226,0,0,0,0,0,0,0,0,0,0,0,0.432547588899596,0.810577156624785,0,0,0.34658456399173,0,0,0,0,0,0
SOX8,0,0,0.53285236422347,0.692419534463531,0,0,0.397477463639418,0,0,0,0,0,0,0,0,0,0,0,0,0.72027288461167,0,0,0,0,0,0,0,0,0
LGI4,0,0,0.46774133931958,0,0,0,0,0,0,0,0,0,0.364804931065098,0,0,0,0,0,0.711428376509405,0.78096420963347,0,0,0,0,0,0,0,0,0
CAPN3,0,0,0.321705396880954,0,0,0,0.629964767436279,0,0,0,0,0,0.729374563553213,0,0,0,0,0,0,0.297558033560144,0,0,0.314110592786438,0,0,0,0,0,0
ENPP2,0,0,0.533637312301176,0,0,0,0.677854941679067,0,0,0,0,0,0.754299884683287,0,0,0,0,0,0.325042328468919,0,0,0,0,0,0,0,0,0,0
KANK4,0,0,0,0.422908167003145,0,0,0.601239004163751,0,0,0,0,0,0.67272592089361,0,0,0,0,0,0,0.487015342676601,0,0,0,0,0,0,0,0,0
KIAA1598,0,0,0,0,0,0,0.703422070753132,0,0,0,0,0,0.652298534705082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.775668073136428
SH3TC2,0,0,0.483166749744244,0,0,0,0.541175634810157,0,0,0,0,0,0.771388626069158,0,0,0,0,0,0,0.318627179111362,0,0,0,0,0,0,0,0,0
SLC31A2,0,0,0,-0.424209433742494,0,0,0.524161090577449,0,0,0,0,0,0.723454048987006,0,0,0,0,0,0,0,0,0,-0.415985891455228,0,0,0,0,0,0
PLEKHB1,0,0,0,0.533993832233143,0,0,0.47523640378246,0,0,0,0,0,0.397470758976407,0,0,0,0,0,0,0.675628603002205,0,0,0,0,0,0,0,0,0
COL9A3,0,0,0,0.509021959779365,0,0,0,0,0,0,0,0,0.743995439814444,0,0,0,0,0,0,0.828438643687476,0,0,0,0,0,0,0,0,0
ANGPTL7,0,0,0.666384944293964,0,0,0,0.325315649270776,0,0,0,0,0,0,0,0,0,0,0,0.74495076000371,0.336049853408627,0,0,0,0,0,0,0,0,0
RCAN1,0,0,0.437238998089434,0.412178588545838,0,0,0,0,0,0,0,0,0.314112083179651,0,0,0,0,0,0.481335160848182,0.422536719254581,0,0,0,0,0,0,0,0,0
TF,0,0,0.648799023470404,0,0,0,0.711506168098689,0,0,0,0,0,0.595771914913469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNH8,0,0,0.669369279295281,0.348639520229673,0,0,0.661675994815917,0,0,0,0,0,0.261189147108262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAS7,0,0,0.496416242725688,0,0,0,0,0,0,0,0,0,0.41560128699866,0,0,0,0,0,0.427136114711701,0.553387681573323,0,0,0,0,0,0,0,0,0
C2CD4D,0,0,0,0.517030387482996,0,0,0.475935430904107,0,0,0,0,0,0.599116998264185,0,0,0,0,0,0,0,0,0,0.292066446694732,0,0,0,0,0,0
OSBPL1A,0,0,0,0.413259062733746,0,0,0,0,0,0,0,0,0.44414282944352,0,0,0,0,0,0,0.265225088189571,0,0,0,0,0,0,0,0,-0.760829817158931
SOX6,0,0,0,0.576483479672601,0,0,0,0,0,0,0,0,-0.254506171849601,0,0,0,0,0,0.366967669112312,0.394879733553827,0,0,0.285857321652065,0,0,0,0,0,0
CNP,0,0,0,0,0,0,0.683460663370614,0,0,0,0,0,0.825689968612278,0,0,0,0,0,0,0,0,0,0.357244510183184,0,0,0,0,0,0
GNG7,0,0,0.452209065743851,0.50363837969527,0,0,0,0,0,0,0,0,0.451477030689407,0,0,0,0,0,0.428119127506373,0,0,0,0,0,0,0,0,0,0
MPZ,0,0,0,0.464061314849301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.507882708277774,0.862560717984299,0,0,0,0,0,0,0,0,0
MBP,0,0,0,0,0,0,0.727586041376662,0,0,0,0,0,0.764453732631422,0,0,0,0,0,0,0,0,0,0.319959494823074,0,0,0,0,0,0
SNCA,0,0,0.575021368320501,0,0,0,0.451351221619546,0,0,0,0,0,0,0,0,0,0,0,0,0.368759134601728,0,0,0.405658891796564,0,0,0,0,0,0
FXYD1,0,0,0.5997840580077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.513070659083721,0.686997662519755,0,0,0,0,0,0,0,0,0
GJB1,0,0,0,0,0,0,0.721623193971104,0,0,0,0,0,0.803183820088434,0,0,0,0,0,0,0.266880880253005,0,0,0,0,0,0,0,0,0
