,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
MATR3,0,0,0.550797852341869,0.562389314017015,0,0,0.705358997743964,0,0.66978021978022,0.629233996061119,0,0,0.616252950343836,0,0.48952914937259,0.352332461030834,0,0.430014511559207,0.651997965752703,0.676546657762128,0.731953614418732,0.694320715223801,0.584599613152805,0.400737676994436,0.765167434715822,0.80684868287902,0.872671169073125,0.768627476700487,0
ZNF136,0,0,0.491423985131274,0.546276723178173,0,0,0.61200940815053,0,0.62257326007326,0.617002394164904,0,0.56842085745674,0.744922492881999,0,0.496663803142679,0,0,0,0.616336618311947,0.700327848946634,0.704016364021674,0.675355643141364,0.48888223916259,0.428922048200138,0.716663594470046,0.791995195703094,0.79083771375341,0.71663332699333,0
GTF2A1,0,0,0.501025110564459,0.604782339097225,0,0,0.455930110881774,0,0.534203296703297,0.668644418927742,0,0.556751231858194,0.632567713944575,0,0.473464664956209,0.305624985777677,0,0,0.624836422949783,0.584328010847348,0.711846965977755,0.705252830942814,0.463809307088406,0.327427477048593,0.835047619047619,0.678780874670059,0.835933861201677,0.751616377192681,0
KDM5A,0,0,0.576534027229703,0.496469792415339,0,0,0.461569625114002,0,0.608195970695971,0.633814950709959,0,0.531618079923609,0.732025827444794,0,0,0.243849812265332,0,0.414530626119426,0.669034786869182,0.534822819905693,0.758177807615221,0.62626838221807,0.419150529070429,0.338585442125768,0.652903225806451,0.675465029532393,0.895310732583672,0.676672941083878,0
KLHDC10,0,0,0.511566399862838,0.501755708695632,0,0,0.58797753564057,0,0.537728937728938,0.512582768246417,0,0.54851412175348,0.696181865098398,0,0.428177190882968,0.222544999431107,0,0,0.668333963867303,0.560419322850262,0.743910216057323,0.669182788538503,0.424860393673911,0.361764615962474,0.614076804915515,0.683594011129365,0.793199813693526,0.675392697627746,0
ZNF417,0,0,0.462822981231055,0.581544741799255,0,0,0.541359957759324,0,0.673763736263736,0,0,0.509481715655145,0.549032928680039,0,0.502040720229878,0.378506087154398,0,0,0.601588325405144,0.629097605893186,0.708039824645502,0.638726591943495,0.449319831607692,0.460059529528917,0.737560675883256,0.675760878312691,0.826119502295562,0.60731942467748,0
GPATCH8,0,0,0.505759904357557,0.571367503300028,0,0,0.527517304276868,0,0.510805860805861,0.499164889016888,0,0.519820980758445,0.704369789062261,0,0.453795470885082,0,0,0.330955864844065,0.5930513089265,0.631855989314553,0.706124426309118,0.755265251419446,0.390319945386278,0.454160952472463,0,0.679891895953308,0.874600771841107,0.737969843445639,0
ZBTB26,0,0,0.526712946083384,0.42964599275638,0,0,0.618458407334517,0,0.672527472527472,0.61725205473873,0,0,0.738454843520615,0,0.441362225830977,0,0,0,0.564171819472956,0.605941756217999,0.768951446729346,0.716205210730593,0.52564341790875,0.531277133323434,0,0.698683219711319,0.813244394171269,0.725498439374489,0
RC3H2,0,0,0.519345626066441,0.561662368409927,0,0,0,0,0.593498168498168,0.673875343010564,0,0.581084776874905,0.70801968693918,0,0.404602272596765,0,0,0,0.612336345425114,0,0.716737756504046,0.668337287738247,0.474079189896462,0.39012128650169,0.766285714285714,0.632647985622468,0.787119901523721,0.634107469617173,0
SENP7,0,0,0.593772351692394,0.54274299243225,0,0,0.559369077905246,0,0,0,0,0.668466747940723,0.563549713749222,0,0.499008523960575,0.395034702468995,0,0.534157811912247,0.581444315581218,0,0.638172310192285,0.668203824388785,0.594869040846513,0.414960233575877,0,0.641971964253585,0.859471688069732,0.591263912481718,0
ZBTB6,0,0,0.546018236685137,0.46488347731319,0,0,0.580747467959487,0,0.643543956043956,0.641983828062306,0,0,0.720438028565306,0,0.41932028822058,0,0,0,0.652872444011685,0.731728492501973,0.734148575870301,0.62642979600721,0.555363977699397,0.37435327696299,0,0.696471858271032,0.810183644953091,0,0
ZNF813,0,0,0.490585007465747,0.490709423751744,0,0,0.52572783564537,0,0.603617216117216,0.571599286363483,0,0.647007152425938,0.583127459227305,0,0.424824800567805,0,0,0,0.516277079366655,0,0,0.57797910634758,0.375467288656275,0,0.698967741935484,0.731654843457967,0.875257834852618,0.77131964197775,0
ZKSCAN1,0,0,0.541262716992689,0.573477876896048,0,0,0,0,0.672252747252747,0.572199905496771,0,0.629937283005224,0.714786926496165,0,0,0.32464375924451,0,0.39826594632276,0.661111765763866,0.600226661000142,0.714922355743478,0.679105893385144,0,0.396820433084966,0,0.679798067784269,0,0,0
NDUFB10,0,0,-0.5021965240729,-0.512319320546607,0,0,0,0,-0.538141025641026,-0.572238242888258,0,-0.461547019204472,-0.511155835011087,0,-0.354342258493526,0,0,0,-0.467244277128982,0,-0.687272879406247,0,-0.540023893503243,-0.356710392990977,-0.651600614439324,-0.577728857401256,-0.764746490119103,-0.653785965855802,0
ZNF791,0,0,0.632891791638153,0.645177731741804,0,0,0,0,0.701648351648352,0.6500142128866,0,0,0.756529389725295,0,0.498574631168157,0,0,0,0.685060686310384,0.696276283569101,0.779553731248744,0.740051128341781,0.59822573671635,0,0,0,0,0.761557279745001,0
ZNF184,0,0,0,0.430007703979293,0,0,0.630261988191811,0,0,0,0,0.545438532246177,0,0,0.458713803027832,0.329528273978837,0,0.379662765858322,0.494511253480858,0.549555784914901,0,0.604638934473339,0.469128228467402,0.350534586525275,0.73300153609831,0.584103279860792,0.794796726329097,0.756929514465046,0
ZNF844,0,0,0.530066624077471,0.439499100419491,0,0,0.531097009552153,0,0.442078754578755,0.480230892914211,0,0.571714310877899,0.690599574013357,0,0.385410039025085,0,0,0,0.491934333504921,0.554596968409123,0.69238575643523,0.588731640491662,0.343368528842872,0,0,0.643434633993715,0,0.684123538246617,0
ZNF689,0,0,0,0.397653339721999,0,0,0.480056448903182,0,0.4628663003663,0.480714421965642,0,0,0.62438416356021,0,0.338583727067882,0,0,0,0.577822363075931,0.506652095602372,0.626989003590138,0.649794966055938,0,0,0.724749615975422,0.619297498645983,0.779368221438552,0.692638449644479,0
GUK1,0,0,-0.47992007891007,-0.524009169614378,0,0,0,0,-0.558562271062271,-0.5141913802583,0,0,-0.579306700178005,0,-0.343572001166848,-0.247179883945841,0,-0.341974124216186,0,-0.560059093760751,-0.683843637026199,-0.584161743604328,0,-0.425949830102812,-0.738752688172043,-0.690586281492978,0,-0.561317234096976,0
NEK1,0,0,0.559159088759717,0.520511844868163,0,0,0,0,0,0.598522628619351,0,0.56495589414595,0,0,0.375509404838743,0,0,0.381608712457164,0.610574984960214,0,0.620937341890441,0.568756858775862,0.413579929457276,0.378434412697304,0.781960061443932,0.614938033814604,0.843253044114712,0,0
ZNF304,0,0,0,0,0,0,0.587888446215139,0,0.549175824175824,0.549297521846079,0,0.568003671238719,0,0,0.431050897990403,0,0,0,0.590886820186183,0.622753121648149,0.672781246358837,0.613253958743055,0,0,0.782390168970814,0.664442107283073,0,0.719335480189675,0
GADD45GIP1,0,0,-0.493545462070656,-0.433866739948421,0,0,0,0,0,-0.609650238315199,0,0,0,0,-0.384588881411059,-0.23163613607919,0,0,-0.585661657539429,0,-0.741206469285984,-0.46843853820598,-0.373402207304585,-0.389087927254304,-0.604448540706605,-0.534091024189252,-0.846247255306408,-0.589401263191033,0
C19orf70,0,0,-0.440714997189155,-0.423610817514339,0,0,0,0,0,-0.588685607208178,0,0,-0.676261085201702,0,-0.331502247560071,-0.2917201046763,0,0,-0.521430919318527,0,-0.709230118370542,0,-0.363839572192513,-0.419956477494082,0,-0.675096530678128,-0.894761793865194,-0.674563687520906,0
ZNF593,0,0,-0.406485015954098,-0.522136022210009,0,0,0,0,0,-0.494043886235401,0,0,0,0,-0.318087403327354,0,0,0,-0.503777001841986,-0.548732115030458,-0.688977823411515,-0.519299254526836,-0.371636591193537,-0.366642172063487,0,-0.630978138865322,-0.823200146383658,-0.706304805503998,0
RLF,0,0,0.456229638752208,0.493039407733104,0,0,0.554650410406566,0,0,0,0,0,0,0,0.564448698895859,0.267476390943225,0,0,0,0,0.729538423701947,0.623437701439692,0.473024689953351,0.46630117661446,0,0.633154510409402,0.925610486392974,0.679668920647205,0
ATP5I,0,0,-0.43435277797612,-0.404689092762487,0,0,0,0,-0.515705128205128,-0.611910066505504,0,0,-0.54582607440625,0,0,-0.25520172943452,0,0,-0.497078870496592,0,-0.72902983388086,0,-0.37630424394129,-0.356502170665875,-0.711250384024577,-0.560371658994365,-0.730878634639697,0,0
TMEM219,0,0,0,-0.421832795464047,0,0,0,0,-0.499267399267399,-0.526711603492048,0,0,-0.578195227841624,0,-0.356275596573878,0,0,0,0,0,-0.638209454941855,-0.544166061947258,-0.3701490499488,0,-0.662740399385561,-0.597517393201169,-0.813468960010646,-0.702466698585305,0
