,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
POLDIP3,0,0.623887923100521,0.59516844321746,0,0,0.542181984681985,0.642322853165651,0,0,0,0,0.410390718070189,0,0.743095453088658,0.498157620916894,0.629800204801456,0,0.526921875700989,0.583890994114327,0,0,0,0.505277961087723,0.50987412758449,0,0,0,0,0
PACSIN2,0,0.533552377099108,0.559360176321797,0,0,0.543547286047286,0.615764220227524,0,0,0,0,0.472009122471968,0,0.52008229150182,0.555974122624672,0.466332005916487,0,0.628702518212783,0,0,0.564062963087503,0,0.488270565479577,0.437698613743765,0,0,0,0,0
HMGCS1,0,0.362277343790524,0.359601346593696,0,0,0.544830447330447,0.713496087937407,0,0,0,0,0,0,0.588900754161452,0.498056899906055,0,0,0.609407838657689,0.534972928385812,0.573353166170846,0.62383981307198,0,0.454531573557856,0.500182126291699,0,0,0,0,0
CYP51A1,0,0.44006233410547,0.325554486262036,0,0,0.474656732156732,0.450921134738156,0,0,0,0,0,0,0.540554363856636,0.453115115961237,0.29867356923427,0,0.409769937432921,0.646338664963191,0.469398741221946,0.647434939993635,0,0.415656616224827,0.44579624566522,0,0,0,0,0
DHCR7,0,0.373108005768054,0.375928068491515,0,0,0.43003663003663,0.48351557624922,0,0,0,0,0.423098673811367,0,0.47764844187398,0.438483465445917,0,0,0.452959081199162,0.583301806634871,0.503972638779269,0.651778725207835,0,0.342571168506087,0.473062233034303,0,0,0,0,0
SQLE,0,0.39929544380075,0,0,0,0.429373681873682,0.620813901022416,0,0,0,0,0.573628732078376,0,0.63713729834393,0.40379466695455,0.442214586414837,0,0.416109469957104,0.525558332661453,0,0.58034780779508,0,0.365432472408693,0.523664843947904,0,0,0,0,0
HMGCR,0,0.51558500839569,0,0,0,0.444269896769897,0.677447895166323,0,0,0,0,0,0,0.663147423869057,0.394204005411601,0.383982022983275,0,0,0.545048034284509,0.523402748264627,0.644546740215878,0,0.492889748549323,0.548241411238546,0,0,0,0,0
ACO2,0,0.509039630915701,0.589418375236931,0,0,0.551603396603397,0.483318197091153,0,0,0,0,0.54408731244003,0,0,0.522429432126442,0.565846626464899,0,0.602506220472169,0,0.500064760285755,0.445650877671783,0,0,0.420567823481626,0,0,0,0,0
EP300,0,0.558739446106786,0.465870910083929,0,0,0.531197691197691,0.67353948063169,0,0,0,0,0,0,0.62910443493745,0.487035471711982,0.527344180225282,0,0.44597808944366,0,0.431305526885637,0.490729159254008,0,0,0.435597064141648,0,0,0,0,0
HIRA,0,0.466088231065978,0.43068271407337,0,0,0.509509657009657,0.666532136514184,0,0,0,0,0.394885296967056,0,0.611568951049323,0.437211647345536,0.415251109341222,0,0.355518965106688,0,0,0.465568576636656,0,0.383280464216635,0.402533499008569,0,0,0,0,0
TNRC6B,0,0.513806574573435,0.457196194438424,0,0,0.459797424797425,0.660921806748908,0,0,0,0,0,0,0.566627258594528,0.474603489977283,0.498360905677552,0,0.482149574316093,0,0.455406471981058,0.492177413489878,0,0.353087723290477,0,0,0,0,0,0
ACACA,0,0.495342726427971,0.351931942381157,0,0,0.482520535020535,0.637848413574617,0,0,0,0,0,0,0.664471694675655,0.465578565833871,0,0,0.340278808292122,0.498142508946347,0,0.488018374530119,0,0.395221526908636,0.478068303910693,0,0,0,0,0
TMEM184B,0,0.420380999805854,0.610317980370636,0,0,0.523201520701521,0.558206307300917,0,0,0,0,0,0,0.541724371343727,0.426951885906179,0.438810786210035,0,0.395330418367734,0,0.39110355574444,0,0,0.391102742063944,0.411649312986435,0,0,0,0,0
GTPBP1,0,0.391197641796752,0.54518250270711,0,0,0.502236374736375,0.696320261124178,0,0,0,0,0,0,0.583001246075262,0.421197121469309,0.522091022869496,0,0.509960951654594,0,0,0,0,0.413756741381272,0.436010779081245,0,0,0,0,0
IDI1,0,0,0.435026685648557,0,0,0.354839327339327,0.423597561560985,0,0,0,0,0,0,0.593411360429597,0.383483017541764,0,0,0.270965838305685,0.596130588753341,0.53239228543096,0.564430207361542,0,0.372934349755376,0.391343869288354,0,0,0,0,0
SCD,0,0.372320307787613,0.360073345250725,0,0,0.348303363303363,0.402640810252964,0,0,0,0,0.457528125304198,0,0.479037077720786,0.42187690215706,0,0,0.474295473290794,0,0,0.673282798227374,0,0.400152235749232,0.431994392082529,0,0,0,0,0
FASN,0,0.493991116723058,0,0,0,0.474554612054612,0.667484471751548,0,0,0,0,0.474421849432859,0,0.518023408128879,0.412374672972545,0,0,0.291380806780573,0,0,0.493313260831995,0,0.43310797587894,0.521345791004621,0,0,0,0,0
NUP50,0,0.518884744150064,0.504349384741989,0,0,0.456408036408036,0.601158162530601,0,0,0,0,0,0,0.464068216303771,0.363947620480475,0.470692001365343,0,0,0,0.484631574686823,0,0,0.324264193878712,0.377534372515963,0,0,0,0,0
LSS,0,0,0.32161060458333,0,0,0.458650793650794,0,0,0,0,0,0.579316370850736,0,0.513447372935564,0.48790578393563,0.381734895892593,0,0.319290106947258,0.514202519241623,0,0.466326231778545,0,0,0.43178267572785,0,0,0,0,0
LDLR,0,0.328558979534673,0.526914960413322,0,0,0,0.482726827629242,0,0,0,0,0.673663034056302,0,0,0.372832086475362,0,0,0.579409374363717,0,0.474257786412483,0.687178551292207,0,0.277998407099784,0,0,0,0,0,0
DGCR2,0,0,0.439431170952231,0,0,0.526838161838162,0.599681274900398,0,0,0,0,0.465813907134348,0,0.638248792158104,0.423228079685594,0.43133371259529,0,0.359487643605769,0,0,0,0,0,0.479767166604065,0,0,0,0,0
INSIG1,0,0.329517110756412,0,0,0,0.441396103896104,0.506472999567993,0,0,0,0,0,0,0,0.369799430817184,0.318729775856184,0,0.446408604785191,0,0.487984943233562,0.639314511241565,0,0.364524974399818,0.4401766450328,0,0,0,0,0
MTMR3,0,0,0.51566290335728,0,0,0.47976134976135,0.643125426006816,0,0,0,0,0,0,0.624568561401456,0.365472906392626,0.393865741267493,0,0.435957176233482,0,0,0.462041389416952,0,0,0.395775609053031,0,0,0,0,0
DHCR24,0,0.402751533528665,0,0,0,0.466718836718837,0.555310900974416,0,0,0,0,0,0,0,0.429192325449455,0,0,0.281989274214978,0.550245288050658,0,0.594818913480885,0,0.448100125156446,0.526493260890454,0,0,0,0,0
ACAT2,0,0.354759755821036,0,0,0,0.45524198024198,0.441470743531896,0,0,0,0,0.515257427073532,0,0,0.320866820868199,0.349371031971783,0,0,0.562515892557012,0.496177119381539,0,0,0.285454773011719,0.443041203343786,0,0,0,0,0
SF3A1,0,0.400108336260339,0.498612396825989,0,0,0.470452047952048,0.618010656170499,0,0,0,0,0,0,0.570240477897125,0.421455642558704,0,0,0.33891522212521,0,0,0,0,0.362566162248265,0.362241223434456,0,0,0,0,0
SGSM3,0,0,0.349730173644702,0,0,0.401056166056166,0.472633610137762,0,0,0,0,0,0,0.568406074251191,0.477344548547068,0.386985322562294,0,0.490075284105615,0,0,0,0,0.331884856070088,0.373453127593225,0,0,0,0,0
