,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
RNF168,0,0.81243006679501,0.714205034329377,0.700647557039981,0.744670293063037,0.695300532800533,0.728523016368262,0.689240602693254,0,0.766086639595689,0,0,0,0,0,0,0.724832129895421,0.507680255651916,0.769903683352043,0,0.809939113890494,0.766980678210431,0.667287973603368,0,0.852135176651306,0.855774962666702,0.957332490518331,0.813361762802126,0
ZBTB11,0,0.589300349314043,0.653263265470757,0.636022210008597,0.569719128506171,0.553416305916306,0.611980991695867,0.666704730502098,0,0.661789818004403,0,0,0,0,0,0.490679485720787,0.684770925277254,0.490735723973234,0.69755146087485,0,0.770584447219657,0.788851897258376,0.646005688929344,0.585754950603157,0.621910906298003,0.716175497533305,0.861101869718544,0.707724091794505,0
ERCC4,0,0.56675351351832,0.55773346704066,0.466185872593094,0,0.53505439005439,0.656777612441799,0.569514674203306,0,0.669953916169735,0,0.507210368468139,0.762180491794436,0,0,0.296965525088178,0.491799339900606,0,0.70518919120064,0,0.764141592657382,0.637703605851285,0.464325179201274,0.376657807845844,0.640184331797235,0.804539349729353,0.855329695921219,0.622957808370116,0
MRPL41,0,-0.560790573115119,-0.624493231751151,-0.604687213743148,-0.542739041779965,-0.513225940725941,-0.46079086065377,0,0,-0.614773526794824,0,-0.543181091266438,-0.615109405091138,0,0,0,-0.583328064340722,-0.381724753165452,-0.540049243669336,0,-0.735159401805313,-0.58685057590134,-0.461474798043008,-0.437074492710581,-0.550310291858679,-0.73177749225204,-0.879582806573957,-0.700074112454172,0
TRAPPC5,0,-0.650609632293987,-0.612751125127773,-0.564026409616821,-0.444275957092821,-0.566137751137751,-0.49722843565497,0,0,-0.66340414426163,0,-0.659321098961206,-0.543932314483692,0,0,0,-0.649666788907295,-0.360720953587168,-0.577363417039302,0,-0.781221530504441,-0.564843797220958,-0.488774832176584,-0.542750325381504,0,-0.767078890614034,-0.914731519063145,-0.681172157328279,0
ATP5D,0,-0.610106543006235,-0.605029885103955,-0.595516424977804,-0.397576552941902,-0.48220473970474,0,-0.390951274722164,0,-0.599156598166371,0,-0.527339603487677,-0.576365030607767,0,0,0,-0.643571618255162,-0.372631734243484,-0.644087348594323,0,-0.712536098831622,-0.484514932347708,-0.46089566503584,-0.429832570470209,-0.754666666666666,-0.68261217622606,-0.897880763856544,-0.650753257996603,0
RNASEK,0,-0.537516061480457,-0.500941111695958,-0.541172836896424,0,-0.410263625263625,-0.618067489079825,-0.456848397690953,0,-0.617826803924918,0,-0.583594847286667,-0.608318256632898,0,0,-0.254866082603254,-0.452648617205579,-0.37669402178977,0,0,-0.715224498956428,-0.629301703684112,-0.462661281146888,-0.493337540727282,-0.602125960061444,-0.728163404288546,-0.888008184177257,-0.632501918397597,0
C19orf24,0,-0.505685060118473,-0.596786158637803,-0.56719490597857,-0.435518952937872,-0.448238428238428,0,0,0,-0.691706593657312,0,-0.566953752590031,0,0,0,0,-0.684442140138343,-0.436725029247435,-0.560388615657502,0,-0.731383833510195,-0.514567943850362,-0.332000227557174,-0.422015334422306,-0.597837173579109,-0.803051726668507,-0.884448399760463,-0.615176656544523,0
ZBTB39,0,0.458615844956139,0,0.485508063341742,0.442811208663049,0.365812243312243,0.645477847645562,0.52776132309892,0,0.593454508581134,0,0,0.698046759396271,0,0,0.260537717601547,0.548653877767802,0.426624311089178,0.536749793784382,0,0.653083190163132,0.514385567231464,0,0,0.635225806451613,0.637100173678795,0.910448133608357,0.672918784555752,0
NDUFB10,0,-0.469590263667634,-0.487313285238294,-0.539102392461374,0,-0.506724664224664,-0.526978927662843,0,0,-0.579612528451747,0,-0.597253060524449,-0.567981024496419,0,0,0,-0.457934470592698,-0.336049146043918,-0.517213577360316,0,-0.700993367902714,0,-0.436608715439754,-0.421256693250408,-0.602470046082949,-0.727510842724284,-0.883558453656265,-0.623983577204846,0
ZNF689,0,0.591192158292466,0,0,0.464426008793528,0.504416694416694,0.537201939231028,0.510072047703502,0,0.595443169856047,0,0,0.697488253294399,0,0,0,0.550727753259399,0,0.56047234229932,0,0.691838164627094,0.631169491815587,0,0,0.749585253456221,0.757560441822944,0.84911670769845,0.749029648997204,0
RPS19BP1,0,-0.529839155481059,-0.570724646106322,-0.483431746971256,-0.394058889687944,0,-0.481179282868526,0,0,-0.586847282533484,0,-0.475654866477233,-0.626126451846161,0,0,-0.247931732847878,-0.593191618508074,-0.354119574557665,-0.501981530523012,0,-0.775170553050131,0,-0.328217999772443,-0.457825971121846,-0.549339477726574,-0.594398596426353,-0.883067735710959,0,0
KRTCAP2,0,-0.451812594571923,0,0,-0.511043548242869,-0.584949217449217,-0.450529448471176,0,0,-0.763979329808371,0,-0.486457671822779,0,0,0,0,-0.428824340216745,-0.405274546276517,-0.619626765236698,0,-0.720916052083977,0,-0.500705427238594,-0.50484687415379,-0.612448540706605,-0.7584885027805,-0.875790139064476,-0.600666356225118,0
FAU,0,-0.563872450726268,-0.533986199162834,-0.543877450358658,-0.495105120574111,-0.458795093795094,-0.465330581289301,0,0,-0.566496257480986,0,0,0,0,0,-0.280198202298328,-0.441571087140707,-0.375905031249029,-0.5,0,-0.663940502713131,0,0,-0.403984831544099,-0.711225806451613,-0.708079295944358,-0.840915895934527,-0.634810554138164,0
BLOC1S1,0,-0.49582290355998,-0.53225510212034,-0.534125339985062,0,-0.491190753690754,-0.534525416406662,0,0,-0.686067880247703,0,-0.606336131571263,0,0,0,0,-0.542381668963947,-0.346326729222243,0,0,-0.715201821109322,0,0,-0.490956141193735,-0.692485407066052,-0.719176341526433,-0.818392773970324,-0.694981996576398,0
GADD45GIP1,0,-0.606817922463249,-0.625326880501499,-0.533388999281275,-0.513106538722634,-0.492833277833278,0,0,0,-0.694171926889244,0,0,0,0,0,0,-0.654623857155503,0,-0.643234577242479,0,-0.790963620823268,0,-0.401638866765275,-0.544729147194731,-0.658666666666667,-0.734407351266699,-0.936148446337082,0,0
MRPL53,0,-0.513304908032741,-0.536197593647259,-0.505937701113789,0,-0.413426850926851,-0.500689867037873,0,0,-0.5680519867496,0,-0.576692733079622,0,0,0,0,0,0,-0.564298959929049,0,-0.691468672118213,0,-0.403104790078507,-0.473199701260471,-0.574218125960061,-0.67588886766987,-0.834087430966798,-0.632076919545356,0
MRPL52,0,-0.438038624618563,-0.556029119888586,-0.453967549336002,0,-0.430193695193695,0,0,0,-0.623376479002538,0,0,0,0,0,-0.280049607463875,-0.496629952326155,0,-0.588750240326472,0,-0.756217249083307,0,-0.407421094550006,-0.428016657786008,-0.638230414746544,-0.742771593876326,-0.829945438818285,-0.723197198155715,0
C16orf13,0,-0.608528182988984,-0.575730709063769,-0.610965487112276,0,-0.506709679209679,0,0,0,-0.592807759903618,0,0,-0.627330498281912,0,0,0,-0.538461538461538,0,0,0,-0.697719058228109,0,0,-0.498157445340275,-0.651434715821812,-0.7709799878051,-0.897198749085102,-0.627674770940048,0
MRPL28,0,-0.46389631138005,-0.546376832657109,-0.586156559891393,-0.427788406195017,0,0,0,0,-0.605242165561843,0,-0.51414261279093,-0.650891554180632,0,0,0,-0.495390685264103,0,0,0,-0.706742299893414,0,-0.393646148594834,-0.404098496693775,0,-0.718426268646162,-0.857417326502096,-0.637289714109568,0
PFDN5,0,-0.587631585577494,0,-0.444403340896386,-0.451870482485362,-0.553058608058608,-0.45175826813229,0,0,-0.556362718684169,0,0,0,0,0,0,-0.452648617205579,0,0,0,-0.671213542428297,-0.576796103988213,0,-0.397298787571737,-0.633431643625192,-0.608237652848297,-0.840433495242531,-0.697164706731116,0
BRMS1,0,0,-0.550105472501007,-0.552509195450894,-0.425488637809149,0,0,0,0,-0.631741406917852,0,-0.592457736718413,0,0,0,0,-0.485830625071131,0,-0.540647734108993,0,-0.673024544468521,0,-0.374689725793606,-0.356188909076615,-0.588196620583717,-0.71112442977979,-0.78613846563311,-0.58880311665825,0
NDUFS8,0,0,-0.566504082096467,-0.636886558904908,0,-0.549061494061494,0,0,0,-0.72692878637325,0,0,0,0,0,0,0,-0.432278815194172,0,0,-0.786171459382021,0,-0.474899533507794,-0.553293232064709,-0.649505376344086,-0.812761883259342,-0.889513607026416,-0.675946245515541,0
SSNA1,0,-0.495297524568322,-0.573910621244089,-0.570440911888086,0,-0.383353590853591,-0.482802092833485,0,0,-0.592124647846644,0,-0.582424408174996,-0.51476389231081,0,0,0,-0.519442582733722,0,0,0,-0.687907761375873,0,-0.391557173739902,-0.435644451917786,0,-0.710806205881654,-0.797533102668175,0,0
C19orf43,0,-0.490243808456749,-0.586256411811825,-0.414898039713074,0,-0.439713897213897,0,-0.398021929527188,0,-0.591405068514841,0,-0.507272946400842,0,0,0,0,-0.598831548198637,0,-0.5534889201744,0,-0.723823312983224,0,-0.363034702468995,-0.530319223277225,0,-0.674818361003282,-0.842437953290306,0,0
