,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
IL6ST,0,0,0.485892339484334,0,0.679954357280228,0.553348873348873,0.540932942927087,0.5013366948458,0,0.579943746890931,0.575674050126154,0,0,0,0.41048922618241,0.383935373762658,0,0.314639419675673,0.681826357146844,0,0.711790760106695,0.466769198196218,0.368899078393446,0.504452813130563,0,0.669545936116921,0,0.616981994597134,0
WIPF2,0,0,0.379942384527358,0,0.58942585136141,0.61951714951715,0.526994287908606,0.614856433918208,0,0.521857715706528,0.613162118780096,0,0,0,0.500142410551244,0.442491978609626,0.642130021876857,0.596581242299901,0,0,0.638672200322025,0.429606992361494,0.472064171122995,0,0,0.581658038587963,0,0.605942113582255,0
DHX8,0,0,0.541845022087616,0,0.605961261623213,0.509923687423687,0.521903902462439,0.572604089721218,0,0.685300093464275,0.636966178653072,0,0,0,0.437391268395653,0.349940835134828,0,0.52760474722969,0,0,0.674191280602386,0,0.437719194447605,0.405108162053092,0,0.61430002068087,0,0.593407270890858,0
ERN1,0,0,0.360289682356636,0,0.60070428832496,0.446266233766234,0.550682090913455,0.57288332363895,0,0.539381020476946,0.642403846275087,0,0,0,0.384850962764235,0,0.660921357123889,0.323013331308732,0.518302023703943,0,0.582133786004015,0,0.316518602798953,0.37779118368987,0,0.587099059526837,0,0.626637528810989,0
HIPK3,0,0,0.397726343565904,0,0.602859219161882,0.434840992340992,0.570914606633706,0.547048684835011,0,0.616865667858139,0.593786369327646,0,0,0,0.451631978978365,0,0.598958004021295,0.281678250606518,0.637271379753037,0,0.707412469375131,0.51387127914139,0.375873933325748,0,0,0.614762808097546,0,0,0
ASXL2,0,0,0.381953639280466,0,0.5730365381055,0.451948051948052,0.523591993471896,0.562862721588023,0,0.59066543737665,0.583061082187273,0,0,0,0.406484159123119,0,0.585300775174193,0,0,0,0.651915965282562,0.407801456846792,0.304712253953806,0.339935011049869,0,0.671339168297534,0,0.555616477887598,0
AFF4,0,0,0.362149684382887,0,0.549365044779992,0.401265401265401,0.482961071377142,0.536126148308598,0,0.501889960673525,0.522258816586998,0,0,0,0.376766752189562,0,0.4670392898241,0,0.631283374369724,0,0.631441486071501,0.42011711932986,0,0.405433543557446,0,0.561484613929772,0,0.605949983931371,0
NFKB1,0,0,0.420319069322868,0,0.520049924873393,0.472847152847153,0.570591273460375,0.434308064894081,0,0.585377163049653,0.427678074945876,0,0,0,0,0.41993855956309,0.47824327571163,0.312652923535644,0.606475480497894,0,0.629284451364229,0,0,0,0,0.605996642074908,0,0.58349063100524,0
TAOK1,0,0,0.332402437146709,0,0.607339107523618,0.54009768009768,0.526060384966159,0.603930328907223,0,0.619607778355436,0.585793470763947,0,0,0,0.454736873537134,0,0,0.34867385745197,0,0,0.649296087445778,0.393462881292037,0.319048128342246,0.467496025541356,0,0.602183664175079,0,0,0
NBR1,0,0,0.509416298434415,0,0.570386640688268,0.405281385281385,0,0.497253456374681,0,0,0.524010848856167,0,0,0,0.440211456699153,0.388859711002389,0.4873228037785,0.59607480441317,0,0,0.525080916904458,0.610553946270171,0.443761520081921,0.414569557393803,0,0,0,0.600362036059316,0
