,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
ERH,0,0.460481718441321,0.411763927793831,0,0.4964426638522,0.456951381951382,0.615473911582585,0,0,0.623276427761342,0.536237877941542,0.635622604076373,0.618284478020576,0,0.466376524309711,0,0,0.450459676500937,0.505879470847624,0.741802764454698,0.647740015686814,0.369205393456592,0,0.595154763672575,0.599539170506912,0.662299252376413,0.727817885421519,0,0
H3F3A,0,0.599661949370953,0.325335200349307,0.388355717151219,0.449675249026125,0.326106671106671,0.668055104881678,0,0,0.6762482093633,0.683238996367323,0.696976790540071,0.749308172616436,0,0.361874857876567,0.391792922971897,0,0.369579302823973,0,0.739453180337158,0.707166238785218,0.3763460320333,0,0.490351564888497,0,0.782017550563623,0.683179186905317,0,0
ATP5H,0,0.492552808369309,0.736236960218279,0.573426203864203,0.589840212697089,0.617041847041847,0.493343829501272,0,0,0,0.451246344941677,0.450044268093135,0,0,0.687676434039797,0.748166799408351,0,0.743042734039873,0.649548186232859,0.595116669702305,0.523773421719591,0.453095843105797,0,0.75837660834549,0.761357910906298,0,0,0,0
RPL38,0,0,0.546571264340943,0.486365365915529,0,0.591951381951382,0.633977631642106,0,0,0,0.561427676183583,0.595853168992866,0.675350505950255,0,0.633355881670614,0.710072818295597,0,0.679095676211051,0.494225962701332,0.739851860846336,0.480305365031229,0.558364186542632,0,0.544157436605201,0,0.522607064018067,0,0,0
ICT1,0,0.531104066537137,0.604867532225719,0.559054054688858,0.563967188627607,0.591061993561994,0.654817645082321,0,0,0,0,0,0.597728508594813,0,0.65807892760261,0.759230629195585,0,0.75712550341824,0.605145157189018,0.509088701353895,0,0.501914081047191,0,0.658384469912038,0.679145929339478,0,0,0,0
PTMA,0,0.403153163166857,0.324324454686634,0,0.412576685184882,0.398341935841936,0.525220947535161,0,0,0.630160534969727,0.59034598066523,0.658505268134853,0,0,0.45483506790916,0,0,0.399716670865413,0,0.532707991824014,0.619835609068324,0.379141076001089,0,0.65219676190809,0.594691244239631,0.645793137155421,0.781031672100606,0,0
CCDC59,0,0.450746275292663,0.415469798636514,0,0.569627188149014,0.489040681540682,0.644424902798445,0,0,0.449374903117568,0,0.608283000588696,0.565333113682452,0,0.508547044866214,0.603570144498805,0,0.393897811705186,0,0.596557586060349,0.570115015784564,0,0,0.617609253937335,0.601800307219662,0,0.842413001530375,0,0
TPRKB,0,0.387385124290294,0.33037254172193,0,0.457413352510664,0.521774336774337,0.613272788364614,0,0,0,0.466516576532729,0.707441211508777,0.588361904956286,0,0.523814834126162,0.526632153828649,0,0.371848782996111,0.507222198103437,0.553904842855119,0,0.421690030322733,0,0.553821813226649,0,0.631264871856872,0.69761793865194,0,0
SNRPG,0,0.434847076921709,0.394693011306778,0,0.346200785145461,0.511057831057831,0.690633130130082,0,0,0,0.485229088148848,0.503193792269076,0.599890660512554,0,0.575608288294082,0.646488110137672,0,0.409693583509623,0,0.564596361281444,0.455282999982014,0.404476752047108,0,0.588994243586272,0.574488479262673,0.606198018135447,0,0,0
H3F3B,0,0.60589980600251,0.594776841672032,0.655939815010546,0.601777345644105,0.454040404040404,0.389093841501464,0,0,0.427709601636061,0.537432588682842,0,0.566726681896442,0,0.513333647249064,0.417898281943338,0,0.612401602655909,0.611663431303841,0.45364377795317,0,0.612636254026173,0,0.605789716197448,0,0,0,0,0
