,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
GUK1,0,-0.4781022925494,-0.50314380720027,-0.47209773719096,-0.437739375536056,-0.420135697635698,0,0,0,-0.65145867021407,-0.551399671407262,-0.677327319671257,0,0,-0.455550221540285,-0.429570372055979,0,-0.488398086061656,0,0,-0.621297157214566,0,-0.354920923882125,0,-0.599373271889401,-0.572743625899816,0,0,0
ZNF800,0,0.439069375221378,0.453455464486572,0.435120985357742,0.471913480345545,0,0.616041472663563,0,0.580082417582418,0.735686127100608,0.647567266312688,0,0,0,0,0.501599271817044,0,0,0,0,0.705143609421785,0,0.513725110934122,0,0,0.727935233333806,0,0.63544542896682,0
TADA1,0,0.505178206479131,0.46109523319059,0,0.475412251745292,0,0,0,0.628617216117216,0,0.63993246574427,0.620182078607154,0,0,0,0.358364774149505,0,0,0,0,0.671211587441477,0.604159584432863,0.374538172715895,0.410350953433321,0.524675883256528,0.540284419975253,0,0.604819277108434,0
NFXL1,0,0.429382097988739,0.488796661445172,0,0.472602403295747,0.401063103563104,0.648834061344982,0,0,0.583207100458927,0.520980255434831,0,0,0,0.395411738763922,0,0,0,0,0,0.617185722183861,0,0.497497326203209,0.555038936592098,0.564952380952381,0.589650743747075,0,0.561818312990667,0
GCC2,0,0,0.46133842550145,0,0.486234765293901,0,0,0,0.721749084249084,0.716319510677743,0.621346675425777,0.548222091400865,0,0,0,0,0,0.339130911174073,0,0,0.648166691560165,0,0.614715667311412,0.375112900830706,0.713222734254992,0.6540496477162,0,0,0
PGLS,0,-0.435859302172209,-0.448234265008847,-0.392348633248308,-0.43942201001772,-0.330397657897658,0,0,-0.581043956043956,-0.666947599746828,-0.51605577754549,0,0,0,-0.366232161355748,0,0,0,0,0,-0.621800761819264,-0.486479848257063,-0.350623734213221,0,-0.566678955453149,-0.522966539162257,0,0,0
TCF12,0,0.435356894617422,0,0,0.500396099209943,0,0.59571986751788,0,0.673122710622711,0,0.637899881348516,0,0,0,0.382975163140474,0,0,0,0,0,0.668602657530883,0,0,0,0.541806451612903,0.584172154709115,0.899702242331493,0.557576194817375,0
MLLT10,0,0,0.417864398275959,0.395108442903649,0.537000955927823,0.344609002109002,0.471445495127922,0,0,0,0.549771838618851,0,0,0,0,0,0,0.387148038610065,0,0,0.650950983788467,0.498192480004081,0.392031858004324,0,0.418887864823349,0.534111926048302,0,0.625271691010094,0
XPOT,0,0.620334019512383,0.467990491361786,0.403635667545108,0.494029544341071,0.477369852369852,0,0,0,0,0,0,0,0,0.451033739815923,0.552076004096029,0,0.511403911391488,0,0,0,0,0,0.569032961801522,0,0.697050480659888,0,0.655640744797371,0
CDK8,0,0.44950285364527,0,0.420476378378125,0.390708734207984,0,0,0,0.653571428571429,0,0.57054341370784,0,0,0,0,0,0,0,0,0,0.643536794024935,0.483836435424527,0.392913414495392,0,0.530611367127496,0.603676549616791,0,0.585630438332949,0
ZNF623,0,0.476658797097003,0.4890725433859,0,0,0,0.673974943599097,0,0,0.594147386802878,0.567759958339585,0,0,0,0.433513337207513,0,0,0,0,0,0.715297126716772,0.523711930190982,0,0,0,0.623283031981318,0,0.553197657259413,0
TRAPPC1,0,-0.430762607243264,0,0,-0.387529864872864,-0.39202713952714,-0.49150904814477,0,0,-0.643505999126448,0,-0.501348902104936,0,0,-0.392682968846543,0,0,0,0,0,-0.702898013811591,0,0,0,-0.418003072196621,-0.651553486936522,0,-0.508982035928144,0
C19orf24,0,0,-0.438934023185625,0,0,0,0,0,-0.601831501831502,-0.670982999808417,-0.622516167998396,-0.513310558056098,0,0,0,0,0,-0.435993411993692,0,0,-0.625563231702692,0,0,0,-0.496399385560676,-0.545396167575084,0,-0.562408589174335,0
ZNF664,0,0.57877276210039,0.46018868572312,0,0.496825538764196,0.380666278166278,0,0,0,0,0,0,0,0,0.438942394932022,0.448396177039481,0,0.411911729688131,0,0,0,0.584205066785829,0,0.456694014727335,0,0.619306246120035,0,0.563888214808062,0
SSNA1,0,0,-0.42294380227155,-0.394814846131804,0,-0.356022311022311,0,0,-0.676602564102564,-0.629780797392808,-0.515047050798218,-0.544170749683634,0,0,0,0,0,0,0,0,-0.654082481675909,0,0,0,0,-0.537273815642657,0,-0.543149844888536,0
BTAF1,0,0,0,0.422746468618028,0.44153537877538,0.346101398601399,0.499096241539865,0,0,0,0,0,0,0,0.362967054926831,0,0,0.397048597330977,0,0,0,0.576729022932986,0.487953805893731,0.451986901756623,0.458150537634409,0,0,0.638441408530147,0
FBXL15,0,-0.501058909138334,0,-0.39570385715695,0,-0.325978188478188,0,0,-0.651007326007326,0,0,-0.511908348823303,0,0,-0.467228690672798,0,0,0,0,0,-0.639813228379214,-0.479062500327544,0,-0.376513133183672,0,0,-0.699655665712955,0,0
HCFC1R1,0,0,0,-0.408172324863654,0,-0.343272560772561,0,0,-0.663415750915751,-0.640300930860956,0,0,0,0,0,-0.385478666514962,0,0,0,0,-0.6340568674386,0,0,-0.515843458739878,-0.55121351766513,-0.597337931865096,0,0,0
RNF6,0,0,0,0,0,0,0,0,0.586904761904762,0.652635908650204,0.546928490099977,0,0,0,0,0.459420411878485,0,0,0,0,0,0,0.476634884514734,0.457619932565229,0,0.759037844150951,0.774851952891077,0,0
PRKD3,0,0.466562480085246,0,0.392578813117434,0.484132731648768,0,0,0,0.638827838827839,0.663317703313888,0.550462185986516,0,0,0,0.385573007228484,0,0,0.415085378353102,0,0,0.696016655705707,0,0,0,0,0,0,0,0
MSL1,0,0,0,0.543791720101279,0.569423156123543,0.548103840603841,0,0,0,0,0,0,0,0,0.58192419624174,0.621523950392536,0,0.604314557457837,0,0,0,0,0.561049266128115,0.626817113756868,0,0,0,0,0
VPS13C,0,0,0,0,0,0,0,0,0.640613553113553,0.778441461400584,0.638211325731737,0,0,0,0,0,0,0,0,0,0.735117076340671,0.577739431327342,0.485622482648766,0,0,0.73305204526072,0,0,0
RBM28,0,0.405748935533256,0,0,0,0.35544511044511,0.548718283492536,0,0,0,0.509412681460485,0,0,0,0.47339954658318,0.430050745249744,0,0.421051768822752,0,0,0,0,0,0.496111145080843,0,0,0.673423048772374,0,0
