,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
SBNO1,0.596216216216216,0.552385991276782,0.501980587162201,0.425931406399,0.693650951582697,0.565598568098568,0,0.492005107690917,0,0.596434435580091,0,0,0,0,0.571676034371476,0,0,0.38061352318571,0,0.819974500637484,0,0.583393805274178,0.37369575605871,0,0.766267281105991,0.615467486191422,0.842321511743962,0,0
MLLT10,0.611834992887624,0.315975078214037,0.356647611055751,0.535767133133218,0.725697833608105,0.382770285270285,0,0.463539603636524,0,0.466000136310725,0,0,0,0,0.36622653384203,0.473271134372511,0,0.320289609999689,0,0.691611519235829,0,0.65323007509235,0.388450563204005,0.362689441916126,0.674168970814132,0.552875626204044,0.809035863996274,0,0
RC3H2,0.585917496443812,0.525048499372361,0.47769442483839,0.396777246954814,0.662965542517377,0.555871905871906,0,0.426293545919854,0,0.659366977978753,0,0,0.48268776870179,0,0.532894310698478,0,0,0,0,0.747799162163803,0,0.555873802367332,0.383124815109796,0,0.580380952380952,0.646263659180732,0.803629649344601,0,0
DHX33,0.669018492176387,0.47130645230611,0.40626735188512,0.398602244488601,0.636069839406645,0.423360528360528,0,0.495659235892293,0,0.571587338395947,0,0,0.402223819388661,0,0.482786469160076,0.30745909659802,0,0.356401564694636,0,0.619120474369093,0,0.52571388043291,0,0,0.711907834101382,0.641627682090643,0.812895069532238,0,0
MDC1,0,0.466557292986598,0.424029637193553,0.343787727185182,0,0.495701520701521,0,0.471917215915917,0,0.545681235706594,0,0,0.487514013677641,0,0.443084015334401,0.316577767664126,0,0.426134265570161,0,0.718655009815231,0,0.497927649588133,0,0,0.627698924731183,0.648501723436546,0.678180517665846,0,0
ATF2,0.672745376955903,0.486454262387162,0.460376882786825,0,0.618887068273902,0.494397269397269,0,0.460611662045479,0,0,0,0,0,0,0.397047622547725,0,0,0,0,0.772041770384312,0,0.611921421531412,0.402618045283878,0,0.674470046082949,0.659772797712913,0.843244726861402,0,0
RGP1,0.5574679943101,0.46438538068117,0.366949436177605,0,0.530533644503163,0.402962592962593,0,0,0,0.594910082713182,0,0,0.451880274719107,0,0.452291891097273,0,0,0,0,0.752791775443709,0,0.549953200482564,0.332916145181477,0,0.566783410138249,0.56035609769842,0.784358573424712,0,0
SPEN,0.594224751066856,0,0.419315990557921,0,0.611813958057565,0.446598124098124,0,0.508469500757113,0,0.603321659649573,0,0,0.538178141724386,0,0.404742845592508,0.448211400614404,0,0,0,0,0,0.60480104702347,0.339799294572761,0,0,0.640134165994646,0.78242897065673,0,0
ATP5D,-0.415362731152205,-0.477216780708735,-0.356129969081761,-0.372798611404708,-0.409962052562176,-0.361626984126984,0,0,0,-0.486053085547032,0,0,-0.366089451363609,0,-0.364084403518,0,0,-0.361727358689163,0,-0.584607289579665,0,0,-0.391511889862328,0,-0.761603686635945,-0.463024058868475,-0.722902388715151,0,0
ZNF689,0.646884779516358,0.423839312576046,0,0,0.596593420848798,0.427644577644578,0,0.394584884137253,0,0.481444494729803,0,0,0.489921086047261,0,0,0,0,0,0,0.757752008580738,0,0.446510719517687,0,0,0.769032258064516,0.604641059832907,0.837489187570697,0,0
C16orf13,0,-0.350098036164452,-0.300220718190326,-0.270703269963406,-0.518986943209827,-0.400750360750361,0,0,0,-0.492874336056639,0,0,-0.447595187313121,0,-0.389945125998884,-0.254248947548071,0,0,0,-0.625768522453605,0,-0.42818082117693,-0.343915576288543,0,-0.662826420890937,-0.575047618486378,-0.769886552664848,0,0
HIPK3,0.691948790896159,0,0.471866929615983,0,0.638894801339558,0.473727106227106,0,0,0,0,0,0,0.451832894274547,0,0.450210285257522,0,0,0,0,0.799639770910489,0,0.594799680945731,0.480596199795199,0,0.721646697388633,0.644600257930782,0,0,0
ZBTB26,0.633627311522048,0.445694782223368,0.397927683882854,0.365459866495676,0.480657889931019,0,0,0.377478163848159,0,0.512722195832798,0,0,0.420290055792296,0,0,0,0,0,0,0.725675429542833,0,0.546241382093341,0,0,0,0.6403397776742,0.802107591988822,0,0
GUK1,0,-0.404244676925266,-0.447594247551911,-0.344371397567609,-0.522424001219154,-0.389991952491952,0,-0.402426331609755,0,-0.536316003170055,0,0,-0.480273261247024,0,-0.519001816883001,-0.346218910001138,0,-0.433770089278011,0,0,0,0,-0.285858914552281,0,-0.551127496159754,-0.610530595993952,0,0,0
RPL7L1,0.543812233285917,0.38806092914275,0.341661943310031,0.327201858350127,0.514282871511462,0.379758574758575,0,0.372134358202102,0,0.595480156607725,0,0,0.353158380434355,0,0.379427532553444,0,0,0,0,0.69765446340032,0,0,0,0,0,0.58673857151723,0.714892873777364,0,0
GMEB1,0.510981507823613,0.490504645417346,0.322544997212324,0.399862361833359,0.441870394323376,0,0,0.36787329024983,0,0.569269744379988,0,0,0.376660830367803,0,0.441601567434841,0.367372169757652,0,0.320765420041481,0,0,0,0,0.226779155762885,0,0,0.589752490682099,0.729473018830262,0,0
FUT11,0.468933143669986,0,0.394529310402569,0,0.46645247502182,0.412959817959818,0,0,0,0.596817913390326,0,0,0.472500827335455,0,0.38461437749362,0,0,0,0,0.562847833566066,0,0,0.441365343042439,0,0.595864823348694,0.567458217920389,0.729140328697851,0,0
ZNF623,0.643641536273115,0.420318013607983,0.38912715950075,0,0.515937797940284,0,0,0,0,0.545728196413781,0,0,0.440914107272242,0,0.398327594800637,0,0,0,0,0.769151842632506,0,0.557322333903639,0,0,0,0.596723859186662,0.76338246057622,0,0
CTCF,0,0,0.415620630105253,0.338829464902268,0.647886064486714,0.515304695304695,0,0.580049138032552,0,0.649638527229106,0,0,0.432111403816969,0,0.516453242251832,0.30962885424963,0,0.473001338997615,0,0,0,0.477852945050484,0,0,0,0.645343424910486,0,0,0
NDUFA2,-0.626600284495021,0,0,0,-0.43899883248341,-0.498841436341436,0,0,0,-0.615557625151324,0,0,-0.407439750297768,0,-0.394158755607415,-0.402600978495847,0,-0.287903036556706,0,0,0,0,-0.275680964842417,0,-0.604516129032258,-0.549505270491234,-0.708929403153903,0,0
CHMP2A,0,-0.409464380193582,0,-0.28417114108147,-0.418962131907964,-0.346161338661339,0,0,0,-0.507904671426737,0,0,0,0,-0.315961236766729,-0.281091364205257,0,0,0,-0.613324428794042,0,0,-0.384625554670611,0,-0.634771121351766,-0.58296629239141,-0.809277064342272,0,0
PDPK1,0.47678520625889,0,0.318973971092847,0,0.555072903665398,0.344014319014319,0,0.371758180453507,0,0,0,0,0,0,0.341768095902022,0.314247127090682,0,0.305525694605013,0,0.781496772104507,0,0.575856969215036,0,0,0.578291858678955,0.534799385430097,0,0,0
