,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
PDGFB,0,0,0,0,0,0,0.402216099457591,0,0,0.714079734293825,0,0.500467022239758,0.594230228140485,0,0,0,0,0,0,0.714607491955558,0,0,0,0,0,0.749792869022322,0,0,0
USHBP1,0,0,0,0,0,0,0.410568233091729,0,0,0.854482586512636,0,0.436673107033462,0,0,0,0,0,0,0,0.755738368445551,0,0,0,0,0,0.803032205989571,0,0,0
FLT4,0,0,0,0,0,0,0,0,0,0.852508470589506,0,0.537780847444271,0,0,0,0,0,0,0,0.742284419079999,0,0,0,0,0,0.830400013701307,0,0,0
ROBO4,0,0,0,0,0,0,0,0,0,0.779903477045565,0,0.535140234172823,0,0,0,0,0,0,0,0.771139173901605,0,0,0,0,0,0.812880296434401,0,0,0
MYCT1,0,0,0,0,0,0,0,0,0,0.726557464321291,0,0.566472701572758,0,0,0,0,0,0,0,0.776799627628357,0,0,0,0,0,0.809980831061599,0,0,0
LRRC70,0,0,0,0,0,0,0,0,0,0.822555954929357,0,0.393436733710037,0,0,0,0,0,0,0,0.781863072470807,0,0,0,0,0,0.873430772214118,0,0,0
RASIP1,0,0,0,0,0,0,0,0,0,0.78059438125528,0,0.502478902693082,0,0,0,0,0,0,0,0.804664764333273,0,0,0,0,0,0.769897050517491,0,0,0
FLI1,0,0,0,0,0,0,0.476442183074929,0,0,0.598463927735368,0,0,0.466810800408784,0,0,0,0,0,0,0.745020541153138,0,0,0,0,0,0.569397855193026,0,0,0
GIMAP8,0,0,0,0,0,0,0,0,0,0.717637007863217,0,0,0.535125966378837,0,0,0,0,0,0,0.76168619594034,0,0,0,0,0,0.788809641889462,0,0,0
PLVAP,0,0,0,0,0,0,0,0,0,0.742594234139437,0,0,0.543730692468842,0,0,0,0,0,0,0.715876388804566,0,0,0,0,0,0.767130546750277,0,0,0
PRKCH,0,0,0,0,0,0,0.420010944175107,0,0,0.567950065391746,0,0.531645892338143,0,0,0,0,0,0,0,0.692914819986643,0,0,0,0,0,0.511471713707513,0,0,0
AFAP1L1,0,0,0,0,0,0,0,0,0,0.692775469222659,0,0.534781844086201,0,0,0,0,0,0,0,0.700111306741141,0,0,0,0,0,0.787623300250693,0,0,0
CD34,0,0,0,0,0,0,0,0,0,0.700158481997218,0,0.480155842229443,0,0,0,0,0,0,0,0.707394815129622,0,0,0,0,0,0.805035930019471,0,0,0
CDH5,0,0,0,0,0,0,0,0,0,0.716823091535561,0,0.457066902186641,0,0,0,0,0,0,0,0.692020318539656,0,0,0,0,0,0.806830451301523,0,0,0
TMEM204,0,0,0,0,0,0,0,0,0,0.759298116127595,0,0.407762444896654,0,0,0,0,0,0,0,0.677457349280554,0,0,0,0,0,0.827298527717246,0,0,0
ESAM,0,0,0,0,0,0,0,0,0,0.727111122747392,0,0.581003657332511,0,0,0,0,0,0,0,0.744976018456682,0,0,0,0,0,0.59111764910622,0,0,0
