,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
CELF1,0,0.528550531974017,0.453520949060837,0.432681783377255,0.589929634140351,0.590435397935398,0.7173745499928,0.559177369146644,0,0,0,0.323926556684019,0.590716931729882,0,0.57416730024049,0.533414950506315,0,0.484208110598442,0.65417795942669,0,0.784883905062712,0,0,0.532272385810746,0.687225806451613,0,0,0.682803943044907,0
CHD6,0,0.541091454477281,0.490564808139044,0.369227300271988,0.546013629843084,0.563647186147186,0.703594873517976,0.520176211768148,0,0,0,0,0.714330616368559,0,0.568012637787951,0.58881897826829,0,0.590800344412273,0.461398917135433,0,0.737961386664331,0,0.28668085106383,0.397135987631135,0.724780337941628,0,0,0.691023210971267,0
SPEN,0,0.606672683701099,0.418338650663913,0.474038999046398,0.604036811407657,0.552662615162615,0.731542072673163,0.617925033276119,0,0,0,0.413533520912618,0.639405659703442,0,0.563639600239801,0.374311298213676,0,0.494948562475627,0.583940609902071,0,0.707097520998513,0,0.420368415064285,0.51904540928189,0,0,0,0.740498848961442,0
RAD54L2,0,0.550983251599479,0.463655913842605,0.573672825152553,0.559446997643556,0.544194139194139,0.717023568377094,0.597950143512554,0,0,0,0,0.690624211844528,0,0.555984114332703,0.379067698259188,0,0.614624925371589,0.448216622529289,0,0.69333021056772,0,0.282578677892821,0.365996650099143,0.561886328725038,0,0,0.693903758747565,0
RANBP2,0,0.449912634438482,0.447036733497161,0.510428557335926,0.586561846263128,0.602231934731935,0.64793625498008,0.651709363584567,0,0,0,0,0,0,0.57510066358723,0.581988167026966,0,0.565554803999047,0.48721773268254,0,0.604855913561431,0,0.371361247013312,0.543514316786192,0.669278033794163,0,0,0.630526460769589,0
GON4L,0,0.515504237859596,0,0.505641755567769,0.576872843967138,0.618040848040848,0.709616857869726,0.597460369005095,0,0,0,0,0.704586718605353,0,0.550993658136581,0.50528751848902,0,0.606000814441848,0.656540911317981,0,0.675684499535104,0,0.398151553077711,0.600611891929665,0,0,0,0.685765817762066,0
USP42,0,0.608774199667729,0.420814532057006,0.425417024854728,0.553128302138684,0.38520424020424,0.497059472951567,0.561123977480483,0,0,0,0,0.655807020178238,0,0.572083052914708,0.471992263056093,0,0.489781946999161,0.535165189563319,0,0.708176673722866,0,0.317785641142337,0,0.672374807987711,0,0,0.69949170661962,0
XPO1,0,0.606460753670613,0.577314955526728,0.606220963279265,0.596046816533647,0.412585747585748,0,0.538298463291594,0,0,0,0,0.574510049756756,0,0.509979649072838,0.387134372511094,0,0,0.650069152004168,0,0.686978947137938,0,0.330246671976334,0.614192311387916,0.581818740399385,0,0,0.656532717697136,0
NUP153,0,0.614352553756867,0.550060734888997,0.575848964425466,0.478922358257566,0.475726495726496,0.577529496471944,0.594986814449508,0,0,0,0,0.596995496670977,0,0.565720287301802,0.441326658322904,0,0.459358143900831,0,0,0.702773383401849,0,0.435150529070429,0.458460137490064,0,0,0,0.734708895462088,0
CHD7,0,0.669229093398898,0.425145613133817,0,0.554535115548878,0.652592685092685,0.773441751068017,0.527832990164067,0,0,0,0,0.654793224450642,0,0.558207901029261,0,0,0.538703674306085,0.608298860697474,0,0.640196014798468,0,0.438150187734668,0.468857496003704,0.63726574500768,0,0,0,0
DCAF17,0,0.417511052225191,0.425772571589131,0.423277291581524,0.55857419397904,0.489317071817072,0.652221763548217,0.49035498095024,0,0,0,0,0.581123630887385,0,0.487921632851817,0.386280805552395,0,0,0.568665149250492,0,0.625388651379712,0,0.471460234383889,0,0.659397849462365,0,0,0.708296003830237,0
ZBED4,0,0.526042940284638,0.452705456535325,0.468989134570668,0.646237435342629,0.456976079476079,0.612749003984064,0.633483923382257,0,0,0,0,0.658380871712708,0,0.486405649564385,0,0,0,0.496418360322255,0,0.817499829916147,0,0.386005916486517,0.489579275163564,0,0,0,0.625274314459799,0
PIKFYVE,0,0,0.521449831423033,0,0,0.702866577866578,0.696631306100898,0.485149156707621,0,0,0,0,0,0,0.624276519945516,0.447968824667198,0,0.623767984152894,0.51260241008689,0,0.641965962115483,0,0.435661167368301,0.479121426262873,0.759803379416283,0,0,0.736524322658079,0
UBN2,0,0.438604759385314,0.405986604413142,0.413563935981811,0.526105393876268,0.522784437784438,0.701809244947919,0.443268827027226,0,0,0,0,0.666486718167995,0,0.527174230121669,0.584357264762772,0,0.480192843264807,0.576318384509951,0,0.740840104756014,0,0,0.402006337296145,0,0,0,0,0
SF3B1,0,0,0.485495156268858,0.399164775903456,0,0.618897768897769,0.686821485143762,0.54894830812199,0,0,0,0,0.72925822633857,0,0.521171969928404,0.414356809648424,0,0,0.697749924025825,0,0.662962422807345,0,0.425819319604051,0.540462172762293,0,0,0,0.679469538469611,0
PRKDC,0,0.503491658404359,0.448930394046949,0.466512352203385,0.585427075553563,0,0.738682282916527,0.575859142397998,0,0,0,0,0.6420388461331,0,0.513248775154412,0,0,0.478982396322588,0,0,0.699690075939508,0,0.356044373648879,0.551276849433531,0,0,0,0.701328121413252,0
DDI2,0,0.596797929903031,0.501871270680877,0.458517124912508,0.638625399173559,0.469952547452547,0.602592809484952,0.620877226345896,0,0,0,0,0.491938472483625,0,0.456318893975345,0,0,0.439944403990765,0,0,0.700352102935544,0,0,0.574356661804142,0,0,0,0.706299119675503,0
ZNF678,0,0.516469038208169,0.465785900195948,0.455333361518624,0.534296901861855,0.446998001998002,0.573594969519512,0,0,0,0,0,0.630621325282059,0,0,0,0,0,0.503001755158491,0,0.724343437226546,0,0.415850039822506,0.500772071348084,0.694980030721966,0,0,0.691450833273213,0
PUM2,0,0.55936041591639,0.493382013921317,0.528214649774283,0.697729073178227,0.525376845376845,0.683227187635002,0.631168274268966,0,0,0,0,0,0,0.522771676838302,0.570987598134031,0,0,0.670113930252606,0,0,0,0.520486062123109,0,0,0,0,0.716321136478412,0
PRPF40A,0,0.489318281855084,0.561413177754286,0.510332257594761,0.503779000570534,0.402866022866023,0.617908510536168,0.544439230491987,0,0,0,0,0.660046913929413,0,0.46554847586256,0,0,0,0.584272415482607,0,0.645886101685902,0,0.379863010581409,0,0,0,0,0.738948390185675,0
REV3L,0,0,0.461048431413808,0.431195009324634,0.471831615643967,0.575077977577978,0.707967935486968,0.5263473110874,0,0,0,0,0.615842417014974,0,0.443659514747531,0.415716691318694,0,0.565475861807164,0,0,0,0,0.400699510752076,0,0.774082949308756,0,0,0.668151976441422,0
EXOC6B,0,0.629530004401624,0.477097881219113,0.545346608604969,0.647461627495456,0.407385114885115,0,0.602578765375708,0,0,0,0,0,0,0,0.492548412788713,0,0.549762051841294,0.481744491097067,0,0.648748788885665,0,0,0,0.793695852534562,0,0,0.765612681988095,0
KDM3A,0,0,0.451935860081644,0.551062350559243,0.655454141283361,0.453672993672994,0,0.527037812852016,0,0,0,0,0,0,0.516675586467323,0.552328820116054,0,0.554176775293423,0.539872487425499,0,0.657978965905812,0,0.412130845374901,0.42943130301098,0,0,0,0.734606580923585,0
EHMT1,0,0.511795462326102,0.360943306450747,0,0,0.551636974136974,0.688393606297701,0.515148217006684,0,0,0,0,0.671526976967272,0,0.608490654881811,0.448045511434748,0,0.509251334683834,0.523080644261004,0,0.705779957631526,0,0.3531828421891,0.462147648954848,0,0,0,0,0
SP3,0,0,0.413203872288862,0.399860013059184,0.566594415819787,0.412170884670885,0,0.60306318715631,0,0,0,0.34215991211277,0.597536654240841,0,0.462725760920248,0,0,0,0.595311928255571,0,0,0,0.495955171236773,0.456981289471615,0.773695852534562,0,0,0.774884404247365,0
ILF3,0,0.433104952789992,0,0.391059156226366,0,0.573214563214563,0.627537848605578,0.497083953357528,0,0,0,0,0.507719076241696,0,0.572730906075647,0.598829218341108,0,0.563137792517488,0.495044623199102,0,0.595257319275153,0,0.509968141995677,0.491541718713149,0,0,0,0,0
GCN1L1,0,0.483954080838709,0.41757373017533,0.401349135885981,0,0.426393883893884,0.725424854797677,0.538143234212727,0,0,0,0,0.584855023128946,0,0.564208668208682,0.395417453635226,0,0.557065283035797,0.487059582359107,0,0.66761783292057,0,0,0.539366794489915,0,0,0,0,0
GUK1,0,-0.552148866767148,0,-0.441999370528521,-0.41201622684331,-0.438664946164946,-0.549503192051073,-0.517542372780551,0,0,0,0,-0.550434077765159,0,-0.490179414325123,-0.436053475935829,0,-0.458028205225542,0,0,-0.58951816221855,0,-0.282075776538855,-0.435678081952464,-0.560989247311828,0,0,0,0
ZNF146,0,0.551505666534766,0.476266401948066,0.490832734395919,0.447162632416155,0.390959040959041,0.617370133922143,0,0,0,0,0,0.456912661075288,0,0.520682261387676,0,0,0.438599798460153,0.471117409559722,0,0.716157516416024,0,0.465439526681079,0,0,0,0,0.633451607190876,0
DCAF7,0,0,0.428848471980964,0,0.499646722326267,0.43524309024309,0.780472903566457,0.531266169695715,0,0,0,0,0.667706509489939,0,0.512865759679898,0.48899055637729,0,0.458003616673971,0,0,0.666795076717593,0,0,0.443622413326229,0,0,0,0.711339205488257,0
ZBTB37,0,0.393703010443853,0.423956338281221,0.47637250618902,0.5539532464392,0,0.533579225267604,0.522037771219696,0,0,0,0.287237346510237,0.52819952852813,0,0.378521617691984,0,0,0,0.580411686998803,0,0.668639411283089,0,0.313058368415064,0.406364920816555,0,0,0,0.558381593876868,0
TRIO,0,0.507068533429369,0.445256833701829,0.452849532828817,0.580359020797413,0.569562937062937,0.539109681754908,0,0,0,0,0,0.575179644777873,0,0.51418868479262,0,0,0.456514930858718,0.489137243470872,0,0.722242608390334,0,0,0,0,0,0,0.734727259610024,0
BCOR,0,0.462970784778385,0,0.440889574730948,0.492500563606984,0.544241036741037,0.629297364757836,0.417954294849606,0,0,0,0,0,0,0.403765036372114,0.49881533735351,0,0.490458347856396,0,0,0.770538407280058,0,0.307558083968597,0.426988867148261,0,0,0,0.649444156593713,0
MSH2,0,0.622452578803144,0.524146009748334,0.590729623209647,0.582662567554122,0,0,0.464033541375984,0,0,0,0,0,0,0.493225277413457,0.420182728410513,0,0.417998906025144,0.534312418211475,0,0.728927783568883,0,0,0.463485425529127,0,0,0,0.66861108013983,0
TSSK4,0,0.405139090456082,0.3781510706283,0,0.567430695232829,0.50219252969253,0.543050352805645,0,0,0,0,0,0.484431223275607,0,0.483998451859491,0.394356126976903,0,0.392577794726144,0.483856263062907,0,0,0,0.310462345239751,0.389226159799443,0.622181259600614,0,0,0.54357724534269,0
SRCAP,0,0,0,0.393087322726269,0.446885551887737,0.51267538017538,0.731538232611722,0.560087332712417,0,0,0,0,0.601463691271939,0,0,0.41840459665491,0,0,0.579468987031673,0,0.66386611546465,0,0.419054272385937,0.502786816152899,0.58342242703533,0,0,0,0
ERN1,0,0.509571679034192,0.346414029748827,0,0.548750429789683,0.430703740703741,0.503935486967791,0.595568477434688,0,0,0,0.318113762046252,0.506846547131879,0,0,0,0,0,0,0,0.72040345453991,0,0,0.455234165494711,0.77247311827957,0,0,0.654666538994032,0
DIP2A,0,0,0.468705513826429,0,0.529110458152654,0.4728774003774,0.708455623289973,0.473292271970862,0,0,0,0,0.629575310852163,0,0.567678891770278,0.440948913414495,0,0.538729556991949,0.604518757868754,0,0,0,0.335791557628854,0,0,0,0,0.592573013884608,0
ZNF318,0,0,0.524624453654551,0.511011053331267,0,0,0.7616397062353,0,0,0,0,0,0.71017148805211,0,0.542356458203652,0.567843213107293,0,0.568544254216289,0,0,0.736841667963475,0,0.457413357606099,0,0,0,0,0.718021131887375,0
ZNF687,0,0.458433555489358,0,0,0.517849653586367,0.406394716394716,0.576098689579033,0.577542277620963,0,0,0,0,0.462408938430206,0,0.411104003344351,0.444895892593014,0,0,0.545888401689418,0,0.606676201789048,0,0,0.503697120046121,0,0,0,0.569788353195034,0
ELK4,0,0.454259423105708,0.459381007535676,0,0.570874050526894,0.427408147408147,0.630542312677003,0.655460138243092,0,0,0,0,0.588082579012358,0,0.50769740514194,0.460303561269769,0,0.416191000417574,0.526380094145957,0,0,0,0.381733302992377,0,0,0,0,0,0
