,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
USP14,0.503271692745377,0.446917455476168,0,0.339721999088676,0.451233197270001,0,0,0.523108911338622,0,0.698871322259749,0.651481756546321,0.691467614760976,0,0,0.395347654015863,0.2384740015929,0.475233627132361,0,0,0,0.561332432996737,0,0,0,0.598513056835637,0.691884682878284,0.691687737041719,0.614321411940631,0
C5orf24,0.377382645803698,0.500815856515959,0.470824484280016,0.280344987950789,0,0.270878010878011,0,0.400019091392458,0,0.582755882867529,0.605608646805678,0.550632500660545,0.669130838546397,0,0.313867457121791,0,0.322601449183728,0.244538753282787,0,0,0.701388959485635,0,0.351180111503015,0,0,0.687345848789506,0.625989753143922,0.589836755842095,0
DEPDC1B,0,0.368443322055099,0,0.391126096290346,0.387611729574442,0.433897768897769,0,0.557612291288259,0,0,0,0.602518877676366,0,0,0.470230567276352,0.377520309477756,0,0.270685873920261,0,0,0,0,0.51056889293435,0.487015858526743,0.546236559139785,0,0,0.610215713152009,0
NIP7,0,0.410755967756995,0,0.308482128177304,0.407040112444316,0.497750027750028,0,0.577906560420986,0,0,0,0.703915987966495,0.672977693286701,0,0.423789108349163,0.350404824212083,0,0.25513728176582,0,0,0,0,0.397715325975651,0.419386186354068,0,0,0,0,0
SLC39A10,0,0.424063098832014,0.370726415390413,0,0.430068023269726,0,0,0.41033706715769,0,0.535706656825697,0,0.507203415364505,0,0,0,0.218678347934919,0,0,0,0,0,0,0.419126635567186,0.332984731090749,0.479195084485407,0,0.738389114378868,0.488041660381318,0
SLC25A15,0,0,0,0,0.388537430430747,0.352592685092685,0,0.44294855553692,0,0,0.513871253683429,0.600729612341296,0.505220741846554,0,0.360594885623655,0,0,0,0,0,0,0,0.369983160769143,0.438341733562775,0,0,0.599557522123894,0.47652733962524,0
FAM168A,0.55348506401138,0.507660603689361,0,0,0.376549919205837,0,0,0,0.525320512820513,0.574848614056545,0.611565808702538,0,0,0,0,0,0,0,0,0,0.630576795401245,0,0,0,0,0.673040782197288,0,0.548871588695555,0
ZNF358,0,-0.516466074151798,-0.470980139154194,0,0,0,0,0,-0.539514652014652,-0.556702248752944,-0.569661408258194,0,0,0,-0.380212168751909,-0.302918193196041,-0.295286991489523,-0.230519396484786,0,0,-0.622441899746712,0,0,0,0,-0.51683833507761,0,0,0
ANKRD32,0,0.392770073701262,0.398358694125113,0.309031741334198,0,0.368129093129093,0,0.505794624196942,0,0,0,0.581831076664921,0,0,0,0,0.326319250369883,0,0,0,0,0,0.421685515985891,0.416254662345717,0,0,0.681174728857542,0.483075470089394,0
CCDC43,0,0,0,0,0.443418266911673,0,0,0.470991194169572,0.6375,0,0,0.543644631508684,0.494609854840896,0,0.340907086303091,0,0.316455696202532,0,0,0,0,0,0.364266697007623,0.367647360697408,0,0,0.658302282254308,0,0
PTENP1,0.415704125177809,0,0.395832704079021,0,0.445993856369011,0,0,0,0.567032967032967,0.498809047375042,0.514166306257006,0.463301519021374,0,0,0.326199751470619,0.334151553077711,0,0,0,0,0,0,0,0,0,0.549300671677097,0,0,0
HSPA8,0.3924893314367,0.433745188966004,0.376258650798716,0.280858195107973,0,0.347993672993673,0,0.412125175301805,0,0.606228755994243,0.622414664869452,0,0,0,0.428409871348146,0.332784617135055,0,0.269773077865472,0,0,0,0,0,0,0,0,0,0,0
MSH3,0.31624466571835,0,0,0.295372445120891,0,0,0,0,0,0.520651386566827,0.630024877723405,0.597260013628083,0.56344008268981,0,0,0,0,0,0,0,0.602915198145734,0,0,0,0.436608294930875,0.518186735183022,0,0,0
SMAD2,0,0.391471817011016,0.367116338643503,0.265553582585249,0,0,0,0,0,0.529056833676396,0,0.499374220672968,0.580169898984892,0,0,0,0,0,0,0,0,0,0,0,0,0.539347151150275,0.73504557854814,0.500130516622833,0
ERI2,0,0.373778623521862,0,0,0,0.356809301809302,0,0.44674869423202,0,0,0,0.676761800575717,0,0,0,0.372065991580385,0.355302924923178,0.21907536693021,0,0,0,0,0.439330526794857,0,0.543207373271889,0,0.610128751081243,0,0
THUMPD1,0,0.383161343962439,0.382997222013348,0,0.359870930852035,0,0,0.579434466565084,0,0.516873127545696,0,0,0.609129118271795,0,0,0,0.421009370376459,0,0,0,0,0,0.367943565820913,0,0,0,0.69919821678089,0,0
DHFR,0,0.355118406641857,0,0,0,0.285458152958153,0,0.478719639630638,0,0,0.534818095044756,0.558083910054652,0,0,0.369199239252023,0,0.378267302317935,0.204760947513364,0,0,0,0,0.375110479007851,0,0,0,0,0.545046599025389,0
TERF1,0,0.49722490222319,0,0,0.375267792033431,0,0,0,0,0,0.545482858580293,0.683654643977917,0.518036641849033,0,0,0,0.291366860987114,0,0,0,0,0,0,0,0.431416282642089,0,0,0.578768421535899,0
ZNF597,0,0,0.373620037395083,0,0,0,0,0.424869900848907,0,0.52135413484871,0,0,0.513165932148288,0,0,0,0.354974139784266,0,0,0,0.574394970679108,0,0,0,0,0.515262961040224,0.618229755805443,0,0
ATP6V1C1,0,0.381603732339782,0,0,0.396081577545394,0,0,0,0,0.525877739253375,0.513584397014673,0,0,0,0.340648335519259,0.241293207418364,0.487120474462246,0,0,0,0,0,0,0.333939802237926,0,0.666377416858022,0,0,0
BHLHB9,0.320455192034139,0.372909413991235,0,0,0,0,0,0,0.610622710622711,0,0.482071142975668,0,0,0,0,0.26233405393105,0.343137874783444,0.266893197685053,0,0,0,0,0,0,0,0.532469610814751,0,0.49628716280473,0
NBR1,0,0.437111615988713,0,0,0,0,0,0,0.764972527472527,0.625397243946744,0,0,0.598247069337271,0,0,0,0,0,0,0,0.552582498488795,0,0,0,0,0.667421404866432,0,0,0
LARP1B,0,0,0.395443777522636,0.305124555494488,0.381174645116519,0,0,0,0,0,0.499183561788926,0.454760790057989,0,0,0,0,0,0,0,0,0.593609363135674,0,0.34169939697349,0,0,0.646449197709304,0,0,0
RNF141,0,0,0.390727434835055,0,0,0,0,0,0,0.671972707101913,0.553338948578893,0,0,0,0,0,0,0,0,0,0.549289616439406,0,0,0,0,0.701982122372926,0.616757601969526,0,0
RICTOR,0,0,0.44599420390957,0,0.316428482366973,0,0,0.427714992274231,0,0,0,0,0.622645228351875,0,0,0,0,0,0,0,0.567169339394314,0,0.412192058254637,0,0,0,0.64088595382261,0,0
PSMD14,0,0,0,0,0,0.433926906426906,0,0,0.487957875457875,0,0,0.57633117169067,0,0,0.418146779339445,0.226180452838776,0,0.33495603394428,0,0,0,0,0,0.385900389584298,0,0,0,0,0
FAM117B,0,0,0.383550039040096,0.359885050991887,0,0,0,0,0,0,0,0,0.604679292704724,0,0,0,0,0,0,0,0,0,0.397746956422801,0.380339313947293,0,0,0,0.471768401860026,0
DBF4B,0,0,0,0,0.408201331749776,0,0,0.503904219495107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.381044998733414,0,0,0.624658992614279,0.474822097316867,0
PEX11G,0,0,-0.373495639873176,0,0,0,0,0,-0.536309523809524,0,0,0,0,0,0,0,-0.318605445187724,0,0,0,-0.548473409442274,0,-0.393942655592218,0,0,0,0,0,0
RAF1,0.385576102418208,0,0,0,0,0,0,0,0,0,0,0,0.572089127718726,0,0,0,0.307907282590827,0,0,0,0,0,0,0,0,0,0.669763457315856,0,0
MCOLN1,0,0,0,0,0,-0.307092352092352,0,0,0,0,0,-0.459359109261071,0,0,-0.361171418661754,0,0,-0.309082838398863,0,0,0,0,0,0,-0.472651305683564,0,0,0,0
ENPP4,0,0,0,0,0,0,0,0,0,0.613066214181552,0.558599458565918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.514865181167554,0,0,0
RAE1,0,0,0,0,0,0.304485514485514,0,0,0,0,0,0,0,0,0.312885054012647,0.22707088405962,0,0.226418716287802,0,0,0,0,0,0.505476017854491,0,0,0,0,0
MAP9,0,0,0,0.261457320424471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.631032405079525,0,0,0,0,0.661575882311668,0,0,0
CHEK2,0,0,0,0.292593845272152,0,0.389848207348207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.376368415064285,0.420312540945659,0,0,0,0,0
PIGO,0.407823613086771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46868202764977,0,0,0.472529202274531,0
SLC19A2,0,0,0,0,0,0.381844544344544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443533026113671,0,0,0.469795567681723,0
C17orf104,0,0,0,0,0.316148882924661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318666970076232,0,0,0,0.655624126688403,0,0
MRPS31,0,0,0,0,0,0,0,0,0,0,0,0.573566154145672,0,0,0,0,0,0,0,0,0,0,0.369974286039367,0.333397135769254,0,0,0,0,0
TTC28,0.318947368421053,0,0,0,0.332785049742252,0,0,0,0,0,0,0,0.624377165833014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMY2B,-0.338065433854908,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.361866818571255,0,0,0,0,0,0,0,0,0,-0.559981566820276,0,0,0,0
FAM193A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46886025367038,0,0,0,0,0,0,0,0,0,0.68139929469692,0,0
CMAS,0,0,0,0.264170154596316,0,0,0,0,0,0,0,0.465663256555618,0,0,0,0,0.366608075468835,0,0,0,0,0,0,0,0,0,0,0,0
LSM12,0,0,0,0,0,0,0,0.427090804847905,0,0,0,0,0,0,0.339417977264845,0,0,0.25015745300567,0,0,0,0,0,0,0,0,0,0,0
COL18A1,0,0,-0.378607712435729,-0.283262165475838,0,0,0,0,0,0,0,0,0,0,0,-0.315101376720901,0,0,0,0,0,0,0,0,0,0,0,0,0
COG8,0,0,0,0,0,0,0,0.393167898388591,0,0,0,0,0.556622692754582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100133331,0,0,0,0,0,0,0,0,-0.513049450549451,0,0,0,0,0,-0.406766223892356,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPRASP2,0.328790896159317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565467845298251,0,0,0
LOC81691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252993059506201,0,0.2720822448226,0,0,0,0,0,0.355369886706091,0,0,0,0,0
TERF2,0,0,0,0,0,0,0,0.384654683695475,0,0,0.495266549738425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC401010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38392255046689,0.494033794162826,0,0,0,0
SSBP1,0,0,0,0,0,0.286883116883117,0,0,0,0,0,0,0,0,0,0.274624416884742,0,0.29755080771235,0,0,0,0,0,0,0,0,0,0,0
DNMBP,0,0,0,0,0,0,0,0,0,0,0,0,0.476864784958385,0,0,0,0,0,0,0,0,0,0.381798384344067,0,0,0,0,0,0
RNPC3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.345482534986916,0,0,0,0,0.496295033153846,0
AMY1A,-0.345213418168986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.476297813493619,0,0,0,0
TMEM201,0,0,0,0,0,0,0,0.401416153102262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.405954809094959,0,0,0,0,0
ARHGEF18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.311589577385204,-0.217691660029582,0,-0.263003892755954,0,0,0,0,0,0,0,0,0,0,0
MLPH,0,0,0,0,0,-0.379055944055944,0,0,0,0,0,0,0,0,-0.378612806383668,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PNPLA6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.369529080464258,0,0,-0.375144943040836,0,0,0,0,0,0,0,0,0,0,0
CYB5B,0,0,0,0,0,0,0,0.455148906913701,0,0,0,0,0,0,0,0.229089998862214,0,0,0,0,0,0,0,0,0,0,0,0,0
