,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
DDX28,0,0.508449042683894,0,0,0.586022798689661,0.503950771450771,0.737378198051169,0.430300656720111,0,0,0,0.632625816410252,0.638704720695924,0,0.531557718766725,0,0,0.729384009331571,0.568314737749552,0.695399995952482,0,0.50929928597108,0.57279280919331,0.535628728784689,0,0,0.735819083105995,0,0
EDC4,0,0.46033055156643,0,0.615212070820239,0.621764927398604,0.362145077145077,0,0.630745408847225,0,0,0.49981653782284,0.50791031423393,0.559509546795114,0,0,0,0,0.472431057152421,0.455255862415421,0.464408151700969,0,0.623158895803905,0.658586414836728,0.438526807941929,0,0,0.67798922083971,0,0
ACD,0,0.404546269660956,0,0.673654269836572,0.518746386932882,0.466011211011211,0.584347909566553,0.505210879595762,0,0,0.480559313763194,0.571635509036717,0.617772623433347,0,0.388132836887089,0,0,0.58684547001232,0.435040529896613,0,0,0.579326317540054,0.523379679144385,0.590075427363493,0,0,0,0,0
E2F4,0,0.456187541774669,0,0.535801190358752,0.533421579283444,0.52984570984571,0.448232323717179,0.538217577641303,0,0,0,0.606382485595487,0.531327366798992,0,0.368512223189491,0,0,0.664312780180074,0.425663146013061,0,0,0.432434878095904,0.576651951302765,0.545830967584141,0,0,0.657245991083905,0,0
VPS4A,0,0.440518057772423,0,0,0.581990017544235,0.429416971916972,0.536967695483128,0.438669645161789,0,0,0.443100876457453,0.622817304884324,0.523565283692234,0,0.490811303722658,0,0,0.604164006501731,0,0.414251310383907,0,0.525083598018174,0.486301285698032,0.579854844908762,0,0,0,0,0
COG8,0,0.561079568611236,0,0.607396524753731,0.358557317255946,0.411625041625042,0,0.371226773626044,0,0,0.443171487329762,0,0,0,0.467664191326279,0,0,0.631580672880812,0.483958595625128,0.464786594620849,0,0.423615815616539,0.596623961770395,0.527053506695434,0,0,0,0,0
NIP7,0,0.558036964746995,0,0.553899669762351,0.433360243730108,0.55477133977134,0.539962943407094,0.432969288432281,0,0,0.439020576764736,0,0.451806069653627,0,0.389763897087704,0,0,0.592132008599954,0,0,0,0.395302718983834,0.602190010240073,0.363285173958998,0,0,0,0,0
COG4,0,0.422810785015509,0,0.482239744077566,0.51487859464756,0.422781662781663,0.450060960975376,0.417164470264413,0,0,0.479827356417204,0,0.54507585973639,0,0.380763320554666,0,0,0.426720077026873,0,0.492242932021938,0,0.53106429334825,0.400692911594038,0,0,0,0,0,0
TERF2,0,0.575990254182654,0,0.511871879066315,0.51393148302315,0,0,0.537304045590959,0,0,0.493981684044086,0,0,0,0.416575669387014,0,0,0.486352059744141,0.479682334918971,0.456088478740413,0,0.567921839390485,0.49755762885425,0.392191935779736,0,0,0,0,0
PDF,0,0.479584320734612,0,0.552396454290506,0.425415589306203,0.379859862359862,0.470449383190131,0.40950323126278,0,0,0,0.435192438731569,0,0,0.30106601188439,0,0,0.56267449244053,0,0,0,0.375356586468703,0.476337922403004,0.483422576672112,0,0,0,0,0
