,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
DDX46,0,0.618897934200913,0.503108210889396,0.43074404468308,0.440730585786021,0.426598956598957,0,0.443384505402091,0.629212454212454,0,0,0.584978514909772,0.737764838461841,0,0.439428658056188,0.389128456024576,0,0.440959436654715,0.611843288534412,0,0.644107845674905,0,0.368743201729435,0.447849097230108,0.594519201228878,0.506241000460578,0.874043515869319,0.658022837129684,0
RALGAPB,0.710896159317212,0.620549654613331,0.60409083757277,0.660553981876859,0.677965674760357,0.728931623931624,0,0.588180524876501,0.633791208791209,0,0,0,0,0,0.49182402649755,0.584779155762886,0,0.602076999264932,0.771367349090481,0,0.661784054501905,0,0.447821822732962,0.473128837973114,0,0.607113188078611,0,0.66944009024667,0
RPAP3,0.529416785206259,0.615310684978607,0.581461862554851,0.438114498043471,0,0.383822288822289,0,0,0.688782051282051,0,0,0.667602245388934,0,0,0.342909792103565,0,0,0.356725098267931,0.447456880779464,0,0.646856263895069,0,0.49936352258505,0.410689437548589,0.546218125960061,0,0.845457116241933,0,0
IREB2,0,0.650165764852516,0.524492599863976,0.396336851797047,0.495533335936211,0,0,0.439795204670433,0.499221611721612,0,0,0.537349755018982,0.636886332126711,0,0.250782798642965,0,0,0,0.453978255881021,0,0.670935347803885,0,0.547211514392991,0,0,0,0.782977909375208,0.734837444497642,0
SUZ12,0,0.579693842617499,0,0,0.497761315276079,0,0,0.459089108628239,0,0,0,0.649765216867302,0.748627206288624,0,0.393765633577652,0,0,0.379313349599163,0.592142719813445,0,0.708288010222235,0,0.426460348162476,0.457481154077969,0,0,0.876463836582607,0.671879898472497,0
MRPL41,-0.412773826458037,-0.457132334742742,-0.386059326201855,-0.321729214522941,-0.465578411900357,-0.428359973359973,0,-0.364045793173013,-0.631776556776557,0,0,-0.583020057386282,-0.550510178048421,0,-0.310033971807305,-0.311545795881215,0,-0.351955782019471,0,0,-0.559239619606485,0,-0.338401638411651,0,0,0,0,-0.65528133218776,0
LMTK2,0.560170697012802,0.602634897910488,0.407925529147586,0.356283205794896,0.590982540148339,0.421040348540349,0,0.44591902156911,0,0,0,0,0,0,0.323703202629542,0.349175105245193,0,0.351987703998702,0.558534225590583,0,0.628546932586581,0,0,0,0,0.494152267557055,0,0.676707045930046,0
DAAM1,0.53877667140825,0.526008853636378,0.587384646363289,0,0.395157136146036,0,0,0.401084878784526,0.608195970695971,0,0,0,0,0,0,0.347886448970304,0,0.311195296943427,0.485261010053399,0,0.632304026256255,0,0,0,0.582592933947773,0.520257952881133,0,0.684771530323799,0
NCOA3,0.629445234708393,0,0.611093053179835,0.40631914203977,0.578488727230593,0.645601898101898,0,0.547336542590458,0.652380952380952,0,0,0,0.722279013961924,0,0.38400499815096,0.418751166230515,0,0,0.642018990442759,0,0,0,0.381136875640005,0,0,0,0,0,0
TAF2,0,0.618962402426969,0.556728113481882,0,0.497338137741768,0.376518759018759,0,0,0.576739926739927,0,0,0,0.724785803944094,0,0.342128141932787,0.329561952440551,0,0,0.592514838221522,0,0.712382925614315,0,0.496454204118785,0,0,0,0,0.715043516471985,0
CTR9,0,0.540085157339522,0,0.411296194516082,0,0,0,0.487196277356895,0,0,0,0.586376088740144,0.556536387452492,0,0.362245355004238,0.300261690749801,0,0.381534084046257,0.477310080067477,0,0.766693925699553,0,0.406183866196382,0.432915942383452,0,0,0.791411604231819,0,0
TMOD3,0,0,0.471576472144412,0,0.401291950936595,0,0,0.438736851621222,0.568223443223443,0,0,0,0,0,0,0.316693594265559,0,0,0.618938346181755,0,0.728322910646936,0,0,0,0.655643625192012,0.727555132566588,0.741557987890079,0.664707386978507,0
HMGXB4,0,0.567042509014436,0,0.357256772690333,0.466676658358449,0,0,0,0,0,0,0.486578192285763,0.732158201117595,0,0.383877058349278,0,0,0,0.559281563393472,0,0.645866551817708,0,0.477335077938332,0,0,0,0.763041453190499,0.703870244177581,0
PPTC7,0.67701280227596,0.647425494738059,0,0.357533928042954,0.519808109139501,0,0,0.421975084840721,0,0,0,0,0,0,0.391352693511821,0,0,0,0.70637376813302,0,0.549107704915853,0,0.347015815223575,0,0,0.565533957786348,0,0.71261991632517,0
FBXL15,0,-0.538402314335214,-0.43162112971738,-0.414539851651423,0,-0.343379398379398,0,-0.350106697688692,-0.497802197802198,0,0,-0.540045241527643,0,0,-0.36416858652934,0,0,0,0,0,-0.588608409102106,0,-0.415103652292639,0,0,0,-0.718984962406015,-0.564168923926517,0
TOP2A,0,0.51125155798213,0.479568644326085,0,0.453619868185236,0.390702353202353,0,0,0,0,0,0.581337406306929,0,0,0.338873716295212,0,0,0,0,0,0,0,0.45788622141313,0.520857827936514,0.611453149001536,0,0.733548472952292,0.617750260705314,0
CBL,0,0,0,0,0.411474660355948,0.370282217782218,0,0.515647507473001,0,0,0,0,0.586610286367407,0,0.275511242394243,0.36402434861759,0,0.317468828618658,0.457935114953578,0,0,0,0,0,0,0.589388687840219,0.872978907445605,0.62736258042513,0
CXADR,0.473459981946413,0.523443462847776,0,0,0.359040948723729,0.292179764679765,0,0,0.698305860805861,0,0,0,0,0,0,0,0,0,0.49061641414298,0,0.62418809397387,0,0,0,0.647385560675883,0.593360869767791,0,0.626121688714575,0
ZNF92,0,0.590041363406649,0,0.459738487483382,0,0.456586469086469,0,0,0,0,0,0,0.768898747261046,0,0,0,0,0.39540332126625,0,0,0,0,0.550594379337809,0.443076907958526,0,0,0.851279193559119,0.694488788031823,0
PUS7,0,0.419191672187222,0,0,0,0.460917415917416,0,0.359358588688142,0,0,0,0.425261089041445,0.519711577010717,0,0.330263275764251,0,0,0.344787572169556,0.440337015238249,0,0.57952084837044,0,0.325731027420639,0.411253395759995,0,0,0,0.57222291452145,0
SNX4,0,0.512979602846087,0.441941637636717,0.309917229198082,0.374319420952074,0,0,0,0.546382783882784,0,0,0.568235441359842,0,0,0,0,0,0,0,0,0.557851285716632,0,0,0.371483259230789,0,0,0.781039989353916,0.652448006506155,0
HLTF,0,0.572393371777144,0.47243773436432,0.333422586751974,0,0,0,0,0,0,0,0.633585344711701,0.542819092715512,0,0.326366739326674,0,0,0.3426164462037,0,0,0.621160601385225,0,0,0,0,0,0.703689533568435,0.561222789907589,0
THRAP3,0,0.634047967324242,0,0,0.452711799726194,0,0,0,0.604304029304029,0,0,0.623290115931415,0,0,0.312474704900071,0.316775514848106,0,0,0,0,0,0,0,0,0.601984639016897,0,0.801899660656065,0.695005607623745,0
ATE1,0,0.539434546966214,0,0.395518303997144,0.608734585821285,0,0,0.394917347949846,0.603250915750916,0,0,0,0,0,0,0,0,0.349843754853004,0.59549798745961,0,0.66601699196344,0,0,0,0,0,0,0.720665569190207,0
TXNRD1,0.514537695590327,0,0.461572139504681,0.391633431512094,0,0.352017704517705,0,0,0,0,0,0.505534670492419,0.550573740737123,0,0,0,0,0.299570951344002,0.502728868325901,0,0.608453675805318,0,0,0,0,0,0.668607359105729,0,0
TPP2,0,0,0,0,0,0.508560606060606,0,0.417553435082723,0,0,0,0,0.606767239556986,0,0,0,0,0.3130217518092,0.570600164972494,0,0.646026665238223,0,0.408715439754238,0,0,0,0.739337281256238,0.633567038977904,0
MARCH2,0,0,-0.56651891038218,0,0,0,0,-0.359355912324713,-0.602930402930403,0,0,0,-0.571799450969987,0,-0.256053826594481,-0.32948890658778,0,0,0,0,-0.602464964681208,0,-0.453702810331096,-0.466447925856692,-0.62852841781874,0,0,0,0
FKBP8,-0.424068278805121,-0.520433463603611,-0.512774483890352,-0.446896564682892,-0.401255426685122,0,0,-0.373675943537058,0,0,0,0,-0.587221858567186,0,0,0,0,0,0,0,-0.644597276625161,0,-0.368918648310388,0,0,-0.549889330641444,0,0,0
