,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
ATAD5,0,0.665878968686226,0.619303036870827,0.483495163873974,0.631387178476384,0.589295426795427,0,0.684175138843787,0,0,0,0.670612939262322,0,0,0.666534094693829,0.558738878143133,0,0.57276701441493,0,0,0,0.726404326169053,0.53871248151098,0.657721696176658,0.766377880184332,0,0.918183179186906,0.740223386742397,0
SASS6,0,0.709778866574484,0.58594611308295,0.543855137003998,0.710256891433552,0.656002608502608,0,0.720094612420943,0,0,0,0,0,0,0.753775602316239,0.625177835931278,0,0.634284982175457,0,0,0,0.707251287379782,0.575165092729548,0.721621491775928,0.681867895545315,0,0.891725996406947,0.770915124843413,0
STIL,0,0.607652304331524,0.639682282915688,0.500475626770389,0.628339292663789,0.607247197247197,0,0.703886555496477,0,0,0,0.689991239089422,0,0,0.630295318138281,0.411510524519286,0,0.581733208176168,0,0,0,0.674012624514842,0.609233587438844,0.693735641722207,0.62815975422427,0,0.80546776232617,0.732426494218573,0
XRCC2,0,0.692105680465831,0.56618898102506,0.417036598599191,0.530386288040323,0.546454101454101,0,0.664644525409394,0,0,0,0.789469292776653,0,0,0.675135347447291,0.508259870292411,0,0.604902957183135,0,0,0,0.677892844303124,0.477571509841848,0.597778561508023,0.599993855606759,0,0.848650941513075,0.826429944054935,0
CENPI,0,0.606392580374093,0.649722604683645,0.470231636109115,0.588408210147948,0.603095515595516,0,0.653152518220087,0,0,0,0.709376492020155,0,0,0.615201407567513,0.456853111844351,0,0.501662962566734,0,0,0,0.696140987607823,0.612835817499147,0.653862540508905,0.543250384024577,0,0.787660522988888,0.758696905442448,0
CLSPN,0,0.570467476150461,0.631783187714934,0,0.642812971902775,0.576569264069264,0,0.702570676810679,0,0,0,0.620318822978617,0,0,0.670061397323141,0.444721811355103,0,0.492891751705669,0,0,0,0.711659071716985,0.592242348390033,0.609137760851146,0.729327188940092,0,0.828431698715816,0.749693220149055,0
KIF14,0,0.649438830027669,0.564647871393267,0.447004608294931,0.507423868976175,0.513055278055278,0,0.656631195930024,0,0,0,0.641678757341319,0,0,0.595755246795188,0.437680737285243,0,0.571695902598277,0,0,0,0.609022262175823,0.525383547616339,0.634029009180563,0.599858678955453,0,0.813335883957682,0.75733614916935,0
ASPM,0,0.599971693261662,0.599397958962298,0.462837695006976,0.566279551582948,0.488870018870019,0,0.675030897128916,0,0,0,0.574847842915483,0,0,0.583097130886781,0.422956422801229,0,0.530873730454258,0,0,0,0.599542870559068,0.480819205825464,0.646398965767245,0.606439324116743,0,0.78211291503094,0.743935568075241,0
CASC5,0,0.641973854058756,0.632041548646158,0.420848659084824,0.628350627776315,0.475695970695971,0,0.670705001706925,0,0,0,0.586978691055064,0,0,0.602047151674128,0,0,0.501074562841436,0,0,0,0.690963867418487,0.523087723290477,0.721959429949075,0.563133640552995,0,0.866375008317254,0.806955570453736,0
BRIP1,0,0.617450733678053,0.587099665247237,0,0.62211883480081,0.529371184371184,0,0.635855181380123,0,0,0,0.710389327449463,0,0,0.647376430134991,0.438448515189441,0,0.452083815038876,0,0,0,0.588747013233485,0.531312094663784,0.668516172989404,0.644288786482335,0,0.896591589593453,0.752779217031435,0
NCAPH,0,0.592314794642764,0.582888916551505,0.440846122408715,0.510025907029407,0.541118048618049,0,0.624832132538275,0,0,0,0.557180006582272,0,0,0.612303352849704,0.462468540220731,0,0.555913072136771,0,0,0,0.589170462394605,0.592511548526567,0.65246973296879,0.556491551459293,0,0.713886486126822,0.7329459372602,0
KIF20B,0,0.628382173572177,0.640392861107197,0.426717071360457,0.540367484348099,0.493842546342546,0,0.658045207941543,0,0,0,0.654878065739277,0,0,0.603429797340598,0,0,0.480165666444651,0,0,0,0.659817993724428,0.441483900329958,0.613099444449297,0.700079877112135,0,0.911346396965866,0.774973601537342,0
TOPBP1,0,0.625266209312769,0.638317069610587,0.446982294940271,0,0.59053058053058,0,0.602253735905973,0,0,0,0.706639286889691,0,0,0.641264146306169,0.381971100238935,0,0.454273921641031,0,0,0,0.715846746341724,0.500422573671635,0.668479376490422,0.569910906298003,0,0.902538425710294,0.772355398731562,0
CENPF,0,0.568002863278454,0.565992674742606,0.411093025549966,0.570515105296898,0.453033355533356,0,0.651327833109113,0,0,0,0.605072984411142,0,0,0.577699311605771,0.465859142109455,0,0.491559656139891,0,0,0,0.60901038323896,0.491883490727045,0.631837051563142,0.581026113671275,0,0.792243329562845,0.7171239120882,0
XPO1,0,0.554878762684309,0.57286687000796,0.390295804619569,0.483025668992044,0.515424297924298,0,0.667215321169559,0,0,0,0.686426614626549,0,0,0.557336210638987,0.379613380361816,0,0.403225931690415,0,0,0,0.622419606674425,0.554914097166913,0.622233165328745,0.65415668202765,0,0.799945106128152,0.714104321477527,0
DCLRE1B,0,0.625079473761432,0.586880295082886,0,0.671383752753488,0.646477688977689,0,0.72600699660875,0,0,0,0,0,0,0.620229418804165,0.511625896006372,0,0.574592606524507,0,0,0,0.712159384587219,0.649501877346684,0.617414461788419,0.570937019969278,0,0.87406846762925,0.759857284336038,0
