,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
SFXN3,0,0.417591822761285,0,0,0,0,0,0.503675241735092,0,0,0,0.518374735202637,0,0,0.538988678361176,0.720650585959723,0,0.371820743419758,0,0,0,0,0,0,0,0,0,0,0
LRP1,0,0,0,0,0.538459407072858,0,0,0,0,0,0,0.736767084934479,0,0,0.347136284600596,0.603607463875299,0,0.334467713937654,0.479412549073115,0,0,0,0,0,0,0,0,0,0
MVP,0,0,0,0,0,0.355759240759241,0,0,0,0,0,0.753582007221957,0,0,0.369647143405128,0.602763454317897,0,0.415637542318191,0,0,0,0,0,0.407092443287533,0,0,0,0,0
AIM1,0,0,0,0,0.321971352392275,0,0,0,0,0,0,0.565266466108255,0,0,0.471525929056576,0.337591307315963,0,0.316558189454358,0,0,0,0,0,0.414624042417519,0,0.450684687813701,0,0,0
COL6A3,0,0,0.347463004585605,0,0.403056450119837,0,0,0,0,0,0,0,0,0,0.486832306982022,0.7197426328365,0,0.456033512901656,0,0,0,0,0,0,0,0.441045984274067,0,0,0
GPR68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.490035740454473,0.708418932756855,0,0.550566140615456,0,0,0,0,0.547612697690295,0,0,0.519241680553665,0,0,0
MYH9,0,0,0,0,0,0,0,0.37156221117578,0,0,0,0.557052533015654,0,0,0.469251494736552,0.455970417567414,0,0.384802204514631,0.453913135159608,0,0,0,0,0,0,0,0,0,0
CD82,0,0.471957062679418,0,0,0,0.321327838827839,0,0.420909000074938,0,0,0,0,0,0,0.35774770822375,0.591140061440437,0,0,0,0,0,0,0.513412674934577,0,0,0,0,0,0
MMP14,0,0,0.323916487263366,0,0,0,0,0.393717147638912,0,0,0,0,0,0,0.387091517154729,0.65637296620776,0,0.432513484879335,0.447373154137647,0,0,0,0,0,0,0,0,0,0
FLNA,0,0,0.346769908605945,0,0,0,0,0.36268471368264,0,0,0,0.578820382791532,0,0,0.483201756703058,0.522644897030379,0,0.305203455166011,0,0,0,0,0,0,0,0,0,0,0
PLAU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.481657750694251,0.508276026851747,0,0.576416473121693,0,0,0,0,0.504557742632837,0,0,0.507340143594851,0,0,0
ALOX5AP,0,0,0,0,0,0,0,0,0,0,0,0.700826492251925,0,0,0.38013705867085,0.589434520423256,0,0.415877388540527,0,0,0,0,0,0,0,0.488215679193479,0,0,0
PTPRE,0,0,0,0,0.462425991161131,0,0,0.436054838091907,0,0,0,0.559066615368213,0,0,0,0.613812720446012,0,0.482137927107455,0,0,0,0,0,0,0,0,0,0,0
VCL,0,0,0.326580418279822,0,0,0,0,0.370484826208854,0,0,0,0,0,0,0.428237141131153,0.602607122539538,0,0.35836433503929,0.455627980823498,0,0,0,0,0,0,0,0,0,0
MICAL2,0,0,0,0,0,0,0,0.443556090035245,0,0,0,0,0,0,0.45560741545522,0.749487541244738,0,0.421876995123702,0.438067092948976,0,0,0,0,0,0,0,0,0,0
TSHZ3,0,0,0.357335272805703,0,0,0,0,0.389724310776942,0,0,0,0,0,0,0.399814866283383,0.591339173967459,0,0.420449996376424,0,0,0,0,0.32372374559108,0,0,0,0,0,0
MYOF,0,0,0,0,0,0,0,0.396532087218521,0,0,0,0.70996982353023,0,0,0.505672533828248,0.560412788713164,0,0.302002629680884,0,0,0,0,0,0,0,0,0,0,0
THBS2,0,0,0.334940770055625,0,0,0,0,0,0,0,0,0,0,0,0.437221294511911,0.648631243599955,0,0.524428078918035,0.494737625512438,0,0,0,0,0,0,0,0,0,0
IL4R,0,0.455324260356783,0,0,0.408546422953351,0,0,0,0,0,0,0.529043113877931,0,0,0.348511694892285,0.692801001251565,0,0,0,0,0,0,0,0,0,0,0,0,0
DPYD,0,0,0.333818412054891,0,0,0,0,0.37953896368829,0,0,0,0.603561843221419,0,0,0,0.586019797474115,0,0.500776911954005,0,0,0,0,0,0,0,0,0,0,0
ITGA11,0,0,0.325619065131349,0,0,0,0,0,0,0,0,0,0,0,0.390046765787473,0.597595175787917,0,0.536890592161342,0.541723776505684,0,0,0,0,0,0,0,0,0,0
GPR84,0,0,0,0,0,0,0,0,0,0,0,0.504553134583623,0,0,0.401721674656205,0.527261804528388,0,0.413622143845615,0,0,0,0,0.536136428748775,0,0,0,0,0,0
SH3PXD2A,0,0.499839199941904,0,0,0,0,0,0,0,0,0,0,0,0,0.401308454363161,0.584806690180908,0,0.398601558482791,0.423759140158398,0,0,0,0,0,0,0,0,0,0
