,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
BPTF,0,0,0.695332965574997,0.645030933355882,0,0.551265123765124,0.482888110209763,0,0.776053113553113,0.694509482945991,0.781696400989057,0.657075246487524,0.737785102713514,0,0.536723316971433,0.476068949823643,0,0.561542556312097,0.732022029409758,0,0.683195754394224,0.618964932330239,0.73578518602799,0.444201002786489,0,0.77718010533432,0.752312196420254,0.674088843124266,0
INTS2,0,0,0.664123257597443,0.656299177459284,0,0.419176656676657,0.518173666778668,0,0.767032967032967,0.679698366806344,0.654453087271255,0.501545906707891,0.608771942612806,0,0.529959849412327,0.469097963363295,0,0.571733863870876,0.556803874993023,0,0.700874015957384,0.72055709418844,0.633381499601775,0.380159698989352,0,0.560051593522744,0.71506753609688,0.669075430737649,0
DHX40,0,0,0.655818174886571,0.696022820689882,0,0.529254079254079,0.546654634474152,0,0,0.616888732630253,0.6796762995868,0.573352925634239,0.735292599757704,0,0.604736873537133,0.52494003868472,0,0.698313570464749,0.698559281563393,0,0.616033550701801,0.657662316064271,0.664420298099898,0.470569133742717,0,0,0.685283451992814,0.677116304084055,0
EPC2,0,0,0.454176258187415,0.453369786308526,0,0.577068764568765,0.613523928382854,0,0.469871794871795,0.75587611432979,0.697873730107593,0.546618242162693,0.593728578572085,0,0.412632275284189,0.392231425645694,0,0.297142724031901,0.629872425405764,0,0.643839621483272,0.631029040856206,0.49508180680396,0.495661070395961,0,0.742603734453207,0.796634839310666,0.625392369696532,0
CREB1,0,0,0.526621238191345,0.561259553638956,0,0.583741536241536,0.651367733883742,0,0.580494505494505,0.730122945624904,0.718295403106122,0.666568550648725,0.763285112189603,0,0.594280378812066,0.398636249857777,0,0.306699905787023,0.604404021359597,0,0.695326838606454,0.581289835927425,0.528001365343043,0.508894270665001,0,0.650031610608863,0,0.660567583343718,0
GPATCH8,0,0,0.503393002439295,0.520313373450396,0,0.551626151626152,0.452319685114962,0,0.795879120879121,0,0.74849794282789,0.50035692598653,0.624916136613129,0,0.515474054864813,0.332086471726021,0,0.523206416145274,0.49336698937602,0,0.644009314339203,0.702138453201705,0.595566958698373,0.429096640490562,0,0.686951291670434,0.755439483664915,0.634495740173541,0
LATS1,0,0,0.531611356529069,0.554700601755944,0,0.546818459318459,0.425681946911151,0,0.771794871794872,0.759145078247759,0.659352346991914,0.531949511196815,0.610872572845611,0,0.432419302601749,0.335859597223803,0,0.396269528486484,0.646952660336519,0,0.736727007986512,0.561700770279179,0.493435658209125,0.488450703610206,0,0.763649880785741,0.705303080710626,0,0
MATR3,0,0,0.591811205592286,0.495694696937668,0,0.378555611055611,0.649777948447175,0,0.694230769230769,0.690643744023419,0.578349697823294,0.480382976948144,0.434955834136371,0,0.397377119218304,0.448671976334054,0,0.362074186679734,0.582145138583097,0,0.52397204838045,0.624205639769842,0.51171464330413,0.369248062997353,0,0.715415848470914,0.636278195488722,0.708185818942619,0
SMAD5,0,0,0.572835338837913,0.411279753096859,0,0.376522921522921,0.597361109777756,0,0.65242673992674,0.637676014340886,0.694285184704172,0.515211073049307,0.724749794806228,0,0.432847912422105,0.367829104562521,0,0.325112848510365,0.618457693237988,0,0.54543506667678,0.521832263122644,0.538323586301058,0.4557818546309,0,0.489249354390376,0.671485128751081,0.675198562349562,0
MED1,0,0,0.492664821977373,0,0,0.453560328560329,0.488453895262324,0,0.712912087912088,0.710447344372009,0.725334424439432,0.63689733974255,0.768227548594113,0,0.496168007699358,0.347834565934691,0,0.412918997546321,0.525856027387915,0,0.629453948721478,0.703930076385058,0.5943024234839,0,0,0.742660270759183,0.686531039989354,0.54700369250546,0
