,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
ZMAT2,0.583385490753912,0.426338012096314,0.303284675914546,0,0.453883094687233,0.446020368520369,0.351915902654442,0.420838225130934,0,0.308280523316822,0.463690250277715,0,0,0,0.254824272270598,0.200464216634429,0.325737553585655,0,0,0,0,0,0,0.227279526733694,0,0,0,0.482306799325773,0
IK,0.374423897581792,0.291268186338368,0,0,0.390512258924197,0.411579809079809,0,0.40006964492389,0,0,0.361253418637992,0,0,0,0,0,0,0,0.303071837458679,0,0,0.258794169119027,0.362234156331778,0.289895157275006,0.432927803379416,0,0.682505489387185,0.300386302969089,0
HARS2,0.479061166429587,0.302649421786703,0.295802120739738,0,0.334201938808025,0.237251082251082,0,0.342693170991075,0,0,0.339015407040156,0,0,0,0,0,0.394959470908838,0,0,0,0,0,0.226294458982819,0.218900079489173,0.298930875576037,0,0,0.335411979983079,0
C5orf24,0.497667140825036,0.289228174541423,0.275616590239913,0.24412101824058,0.196452613562084,0,0.376880910094561,0,0,0,0,0,0,0,0.256669292839735,0,0,0.185484817216472,0,0,0,0,0.367329389008989,0,0.263416282642089,0,0,0.379884699385457,0
RAD51C,0,0.237918876741198,0,0,0,0,0.480312196995152,0.280702349133393,0,0,0.519167699560826,0,0,0,0,0,0,0.247517419047586,0,0,0,0,0.221937649334395,0,0.258973886328725,0,0.497388382460576,0.388138072157984,0
NBR1,0.362731152204836,0.219400193552881,0,0.208255236592023,0,0,0,0,0,0.309773603677397,0.331709073118819,0.488722065906152,0,0,0,0,0.296197473412663,0,0.37863358120554,0,0,0,0,0,0,0,0,0.398406254304097,0
C8orf76,0,0.221970030426039,0,0,0,0,0.475558200931215,0.294796971070296,0,0,0,0,0.385858613837714,0,0,0.215338718853112,0.231199180566269,0,0,0,0,0,0.256486062123108,0,0.375619047619048,0,0.532919688602036,0,0
FANCD2,0,0,0.310344751323962,0,0.180664061270062,0,0.37927480439687,0,0,0,0.284331069162089,0,0.385389328757597,0,0,0,0,0.300885360407773,0,0,0,0,0,0,0,0,0.711050302748021,0.429929625961658,0
ZNF358,0,-0.309852819780927,-0.296654136343981,-0.217112464005036,0,0,0,0,0,0,-0.285858029275772,-0.499205028484548,0,0,0,-0.246788030492661,0,0,0,0,0,0,0,-0.284578772896813,0,0,-0.604514605096813,0,0
FAM32A,0,0,0,0,0,0.231241258741259,0.385762204195267,0.330589763445158,0,0,0,0,0.407439458725801,0,0,0,0.280668698390217,0,0.327554127723442,0,0,0.283716178657813,0,0,0,0,0,0,0
TXNDC15,0,0.253981839226618,0,0,0.262984686262977,0,0,0.334587655660271,0,0.290636699917341,0.293132840486257,0,0,0,0,0.211833655705996,0.311650374941514,0,0,0,0,0,0.259125497781318,0,0,0,0,0,0
PSMB3,-0.329160739687055,0,0,0,0,0.232957875457875,0.424450823213171,0.303311077884555,0,0,0,0,0.401705550218169,0,0,0,0,0.184863632755747,0,0,0,0.300577281393497,0,0,0,0,0,0,0
P4HA1,0,0,0.30681286008354,0,0.160104686061464,0,0.330339365429847,0,0,0.262661313146047,0.302130683071926,0.519327310400452,0,0,0.254449985184709,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSPA8,0.400597439544808,0.328662721507638,0.238500801338253,0,0.311867988760606,0,0,0,0,0,0,0,0,0,0.281464233130666,0,0,0,0,0,0,0,0,0.233192079908456,0,0,0,0.311953092719271,0
IL17RC,0,-0.268739134880867,0,-0.213692648806588,-0.171402014879224,0,0,0,0,0,-0.262430981024589,-0.438759380895653,0,0,-0.249999540611125,0,0.253430114189608,-0.208171422753987,0,0,0,0,0,0,0,0,0,0,0
CROCC,0,-0.261188942291304,-0.280574292765545,0,0,0,0,0,0,-0.371799347287728,0,-0.445248944287098,0,0,-0.261374353697277,-0.184296506997383,-0.226495023963378,0,0,0,0,0,0,0,0,0,0,0,0
ZNF628,0,0,-0.304672026333687,-0.208160111237945,-0.207986720285947,0,0,0,0,0,-0.249946096164443,-0.444729779215783,0,0,0,-0.32191603140289,-0.27510464219325,0,0,0,0,0,0,0,0,0,0,0,0
