,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
SEC23B,0.681963015647226,0.723974473546538,0.622465927063791,0.665073023389093,0.740894441134871,0.668551171051171,0.66526491623866,0.642251689974818,0,0.626009811047569,0.628613921185657,0,0,0,0.599317003590124,0.632177949709865,0.560616598591282,0.600302741148984,0.584874006908998,0,0.629366169813283,0.584277039167999,0.604725452269883,0.603537159004551,0.783090629800307,0.596075533241414,0.83664914498636,0.625171999921297,0.828387248007501
RBM12,0.469445234708393,0.664479193065294,0.564335066178597,0.573966421924398,0.618116280622121,0.472915972915973,0.664385542168675,0.610033329645899,0.665796703296703,0.620930158623295,0.751015976970768,0.399379319615632,0,0,0.46157074244133,0.397057685743543,0,0.540308400829626,0.579134080464404,0,0.685995002271695,0.61421056254103,0.508669018090795,0.646489373782549,0.773695852534562,0.75384359405901,0.784616408277331,0.746454079792223,0
DHX9,0,0.650548128124301,0.594155570201296,0.535897490099917,0.545207577396778,0.376188256188256,0.512614793836701,0.603535119240912,0.619047619047619,0.551884412660773,0.72146217463834,0.496027460123951,0,0,0.408612622628118,0.326294914097167,0.632165303051379,0.51354915467148,0.659738028640714,0,0.811088450641666,0.631297365077114,0.475233587438844,0.630071474742534,0.717192012288786,0.782722228657499,0.872246989154302,0.786131133133514,0
RBBP5,0.570071123755334,0.66775373434052,0.524885717938624,0.442464427815123,0.562706472223307,0.354617327117327,0.516913358613738,0.499828117993132,0,0.623690035228842,0.602557248395179,0.440641354279172,0,0,0.407167040685776,0.345060188872454,0.549260865716562,0.446557861607004,0.644791272582936,0,0.761766870167761,0.581789450036667,0.367759699624531,0.512571190852631,0.676362519201229,0.728574811805002,0.878326901324107,0.75809432613415,0.760478199718706
GTF2H3,0.681507823613087,0.657389911241332,0.581748844646957,0.582308093406051,0.4991076747528,0.320632423132423,0.571651898430375,0.515229102656975,0,0.720971529759582,0.778622936680961,0.435217933444892,0,0,0.383647938147882,0,0,0.383797956303124,0.595969337443174,0,0.739136138244156,0.570725268490177,0.415862783024235,0.497690664826478,0.641124423963134,0.839797010721088,0.892566038991284,0.751798046841694,0.87836380684482
CSNK2A1,0.675761024182077,0.734736962227547,0.62505957116345,0.548343644451961,0.788886048113774,0.602256632256632,0.66644458311333,0.663122864113297,0.699267399267399,0,0,0.454772378564045,0,0,0.61775469093465,0.577758106724315,0.722378886935849,0.498450489872968,0.612280527663903,0,0,0.6723935952965,0.683324837865514,0.683719896751426,0.704245775729647,0,0.856169738505556,0.771403086488578,0
MATR3,0.671806543385491,0.654104995768809,0.543878750961258,0.514050367113404,0.493513166992656,0,0.480438151010416,0.554911543214943,0,0.610819580703222,0.706868420422177,0.506556776726572,0,0,0.349835998171632,0,0.413978426636654,0.353874983176254,0.668309155973431,0,0.772032114959481,0.613986260262615,0.4644064171123,0.491303142006097,0.637855606758832,0.689155378895458,0.877877769645352,0.699462848672862,0.889803094233474
ANAPC1,0,0.564958777386028,0.54585786372005,0.505008760927672,0.631032011617231,0.416484071484071,0.547414966639466,0.579253960720501,0,0.723058060472923,0.712482615224965,0.489041908673302,0,0,0.410701808384306,0.320005006257822,0.527611628877452,0.385950964388875,0.65417795942669,0,0.788475606847459,0.538683583204441,0.455651382409831,0.597274001799425,0.73047619047619,0.802469697368705,0.870134406813494,0.789313377625909,0
ITCH,0.64275960170697,0.533385648928271,0.602258427953172,0,0.571303525345941,0.411963869463869,0.636846157538521,0.612047144439171,0.704212454212454,0.721031581283374,0.833659698466357,0.51971900190515,0,0,0.394422559668873,0,0,0.381926206737091,0.681218563746984,0,0.779252761027885,0.569410899064324,0.486070087609512,0.553874987989273,0.672552995391705,0.750787963254716,0.860611151773239,0.582774429235724,0
ZFR,0,0.61463191606978,0.564702529633929,0.39575318141462,0.529956813221275,0.362031024531025,0.516355013680219,0.594981759096364,0,0.708732551292105,0.739409314834966,0,0,0,0.40410578807013,0.335860507452498,0.392050986987696,0.313247793932408,0.707561446052134,0,0.74053258532931,0.59788540948617,0.530132210717943,0.479120989509176,0.668626728110599,0.74067477830678,0.840233881163085,0.757517167199008,0.878129395218003
ADNP,0.646344238975818,0.608805322259619,0.543915000222214,0,0.643039674153299,0.401186313686314,0.618558248931983,0.619146941868197,0.662728937728938,0.622717678462116,0.786264672245766,0,0,0,0.426706916788596,0,0,0.458906491032512,0.629965455007784,0,0.760841281658079,0.617815470498486,0.606490840823757,0.625785283147422,0.709149001536098,0.761198009848367,0.858814625058221,0.748340340130254,0
NUP155,0,0.532686872638944,0.605907134069398,0.473270949891252,0.527201121420466,0.314431679431679,0.596619977919647,0.567576094959753,0,0.763669098233903,0.744229137324277,0.415964789483199,0,0,0,0,0.485097181299713,0.365210305450203,0.59756324462444,0,0.76309059174323,0.476365282898628,0.501163272272159,0.528756955302627,0.753192012288786,0.821437996338584,0.87436788874842,0.746456703241928,0.791654946085326
