,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
YBX1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1
PPIH,0,0.455722184924513,0,0.699757371627748,0.45515010837627,0.675185092685093,0.613891038256612,0.524031067226681,0,0.498013312737115,0.267842800023705,0.47201375787439,0.794943558956581,0,0.572135193552018,0.701566276026852,0.584870825377154,0.656527268272313,0.608177922214849,0,0,0.714938357052193,0.574620548412789,0.572621220988636,0.782709677419355,0,0.689150974782088,0.490948442654669,0.485888420065635
C1orf50,0,0.272004783986982,0,0.54958497160332,0.439689014890559,0.425508380508381,0,0.454081930026775,0,0,0.33880546578588,0,0.548323096727542,0,0.284153495604797,0.669530777107748,0.438814350206755,0.573358002408815,0.38329436426671,0,0,0.526803947580348,0.474489475480715,0.440812995169504,0,0,0,0,0.661744022503516
NOC2L,0,0.410188350962059,0,0.365473959140725,0.497399851132189,0.475924630924631,0.546772908366534,0.495797217295731,0,0,0,0.462279412787221,0.709327387209029,0,0,0.457785641142337,0,0,0.289086387288435,0,0,0.477605583659334,0.541272044601206,0.396589936321311,0,0,0,0.364883813971181,0
PSMD14,0,0.271336389275451,0,0,0.249318318927245,0.398280330780331,0.439313397014352,0.428467050397708,0,0.342836642816446,0.283808422616158,0.426783818737224,0,0,0.375296937484065,0,0.413523185675084,0.198144038872343,0.293278921352775,0,0,0.332686746495452,0.276932074183639,0.34010010394738,0,0,0.668840242198417,0.426180716332942,0
TIMM50,0,0,0,0.380364013021604,0.381209909911045,0.335531413031413,0.54678289252628,0.469232228649459,0,0,0,0.594548303210943,0.658559022184253,0,0,0,0.442506860228379,0,0.31901090927133,0,0,0.446521899693558,0.313109341221982,0.420576012613447,0,0,0,0,0
RPS16,0,0.242003346419642,0,0.318941219577503,0.293445911991667,0.286058663558664,0.475316277060433,0.322894029092665,0,0.313058567482328,0,0.436450950489267,0.83257062966424,0,0,0,0,0.23380261518658,0.335449239948152,0,0,0.324867610995563,0.394532256229378,0.477935639975193,0,0,0,0,0
EIF5A,0,0.214688084937999,0,0.439958285770656,0,0,0.561180050880814,0,0,0.386996538621857,0,0.385086056245973,0.653591656376606,0,0.363274386084192,0,0,0.244658245015857,0.379718926562432,0,0,0.40785106887722,0,0.520946052183332,0.693658986175115,0,0,0,0
LSM4,0,0.26374692293898,0,0.485909703725626,0.282493674377482,0.281246253746254,0.441450775212403,0.430104687442384,0,0.305741112686165,0,0.351773736736955,0,0,0,0,0,0.188587719873416,0,0,0,0.470341264387052,0.370065991580385,0.47601152156253,0,0,0.64184243795329,0,0
U2AF2,0,0,0,0,0.257896480195669,0,0,0.385691625837256,0,0,0,0.315313978983085,0.682058847970003,0,0,0.280882694276937,0.38696746291683,0,0.296550462357122,0,0,0,0.363932187962226,0.451488347411361,0,0,0.756953223767383,0.314605400371218,0
RPS21,0,0,0,0.483412956777858,0.232082650602713,0.265558608058608,0.453553880862094,0.375470593902887,0,0,0,0.317471758810741,0.523110577210444,0,0,0.232562521333485,0,0.261521677612167,0.244748478966007,0,0,0.382098931280001,0.288476049607464,0.37098579676977,0,0,0,0,0
PGAM5,0,0.210716990415724,0,0.39949477867501,0,0.322040737040737,0.590801516824269,0.358146196054921,0,0,0,0.353060060909188,0,0,0.297453033229894,0.311917169188759,0.373891930853956,0,0,0,0,0,0.30078916827853,0.45531703950874,0,0,0,0.298298037003758,0
LEPRE1,0,0,0,0,0,0,0.480323717179475,0,0,0,0,0,0.679320695632398,0,0.293368262200794,0.303615883490727,0.38529824605774,0,0.348910623360353,0,0,0.31438759363834,0,0,0,0,0.670237540754541,0,0.507688701359587
STIP1,0,0.308539001794736,0,0,0.342264982184981,0.257948162948163,0.56165007440119,0.382088943288454,0,0,0,0.490351409857647,0,0,0,0.269724200705427,0.412663286081007,0,0,0,0,0,0,0.43005990076956,0,0,0,0.473392317227538,0
MCM5,0,0,0,0.32161764774964,0,0,0.535639802236836,0,0,0,0,0,0,0,0.29061342196476,0,0.384438346463663,0,0.26652670879874,0,0,0.400431624664726,0.250096029127318,0.322567281907041,0,0,0.829305010313394,0.258867587934755,0
HNRNPA2B1,0,0.333135482570607,0,0,0.259654682094175,0.272775557775558,0,0.454688572403957,0,0,0,0,0.475317266746071,0,0,0,0.412865615397261,0,0,0,0,0,0,0.349651033796001,0,0,0.795636768913434,0.357257445678195,0
USP39,0,0,0,0.325199528366146,0,0.292796647796648,0.491047472759564,0,0,0,0,0.423409245773672,0,0,0,0,0.299839401105224,0,0,0,0,0,0.349010126294231,0.347967675858876,0,0,0.776207665180651,0.353033691652839,0
RPL36,0,0,0,0.431510919451139,0.316204299030344,0,0.452878798060769,0,0,0,0,0.359920456494431,0.555007238274069,0,0,0,0,0.226398872895306,0,0,0,0.306729871927592,0.296237342132211,0.393777133323434,0,0,0,0,0
BOP1,0,0.209363898682625,0,0.409121229630256,0.325515464242128,0.289543512043512,0,0,0,0,0,0.445469125902165,0,0,0,0.273869382182273,0.290405796734911,0,0,0,0,0,0.248897030378883,0.416493129864344,0,0,0,0.26668022115681,0
NOC4L,0,0,0,0.39004448578287,0,0.238687701187701,0.430382182114914,0.313802125151512,0,0,0,0.322185963074384,0,0,0,0,0.280289330922242,0,0,0,0,0.379368173323472,0,0.374766445960465,0,0,0,0,-0.388115330520394
