,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
CPSF3L,0,0.586695684778533,0.716719144896574,0.596581594066057,0,0,0.644157634522152,0.609264618594421,0.68731684981685,0,0.842463361153176,0.832738456689118,0.878421487687645,0,0.700990212720019,0.706061895551257,0,0.388259699967905,0.802566376621041,0,0.768888984900464,0.686464545391339,0.626293321196951,0.525629689642823,0,0.660028039797876,0.699447734380198,0,0
ZBTB48,0,0.493339024321564,0.778277593512457,0.634558923697722,0,0,0.608833677338837,0.59672020583019,0.728983516483516,0,0.83636245569483,0.725985138899834,0.841727155700888,0,0.702204147822152,0.638286949596086,0,0.494324358368217,0.741963792878894,0,0.738642992818942,0.599552653212955,0.715043804755945,0.619245005721474,0,0.655777872352807,0,0,0
MIB2,0,0.528740231581724,0.764658803041399,0.590077838376152,0,0,0.684377670042721,0.509898976201776,0.756089743589743,0,0.813160479599132,0.848885881027762,0.787028254781416,0,0.727299643284539,0.66197565138241,0,0.608462257867474,0.770942513907926,0,0.741442240696413,0.489560685470558,0.526380930708841,0,0,0.611367959457392,0,0,0
CROCC,0,0.489918503270095,0.776558670829539,0.672035964430164,0,0,0.56868122689963,0.417739293654164,0.692948717948718,0,0.741066148517361,0.546824517570493,0.786224099297749,0,0.694904228904289,0.525179883945841,0,0.651919718810501,0.766994957795571,0,0.724264651257721,0,0.409449539196723,0.493465181995266,0,0.587214249948298,0.659882560383259,0,0
PEX14,0,0,0.726375728960843,0.708046195690469,0,0,0.53219680314885,0.627949798559046,0.778525641025641,0,0.741773518148885,0.639819960969912,0.696605810737721,0,0.651046947246078,0.696545454545455,0,0.524820201608868,0.744258523062038,0,0.5262473597903,0.778083990372471,0.671909887359199,0.554262388518619,0,0.510436565251829,0,0,0
GPATCH3,0,0.487181197212008,0.695569839014104,0.588255189616539,0,0,0.576184706955311,0.492266796559505,0.822710622710623,0,0.54939230518019,0.49416171064891,0.805910455333361,0,0.55320446709742,0.606637160086472,0,0.545874903802684,0.548697895670402,0,0.633997142591265,0.730501161864839,0,0.466195482219757,0,0.451543413529562,0.758325570563577,0,0
ACAP3,0,0.511639849366655,0.624860337137084,0.493788666694852,0,0,0.707090097441559,0.525781111535364,0.753388278388278,0,0.705237435362681,0.674796389948593,0.607405199019735,0,0.697716492749695,0.573936966662874,0,0.372906522091735,0.788376261326354,0,0.681571551344601,0.518387371432345,0.535458186369325,0,0,0.565087744531033,0,0,0
CCDC130,0,0.437592534134814,0.660520573930484,0.52234623749865,0,0,0.488175106801709,0.537130379341805,0.686126373626374,0,0.696121067384208,0.679269553286269,0.491164203126526,0,0.599186651996849,0.345480259415178,0,0.329846791754812,0.658848045448062,0,0.770874469514327,0,0.420996927978155,0.432529961303623,0,0.720088749109369,0.758758067735711,0,0
UBE2J2,0,0.608250302704257,0.685390052368703,0.539954997486812,0,0,0,0,0.833928571428571,0,0.741086323052306,0,0.825376820320233,0,0.544881029766102,0.556201615655934,0,0.335502158616001,0.793880512779166,0,0.594301623968451,0.653729689201592,0.693276823301855,0,0,0.704976152544161,0.751355712289574,0,0
THAP3,0,0.472858876830119,0.705109439699323,0.586677987758189,0,0,0.407314933038929,0.517148352609097,0.814377289377289,0,0.620258511447157,0.621354835420037,0.836491835256007,0,0.459701144567382,0.485511434747981,0,0,0.753474655635423,0,0.669951500686982,0.662422974702406,0.631543520309478,0,0,0.482386638721403,0,0,0
