,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
RAPGEF6,0.717092548851192,0,0.694706892849474,0.694599527592871,0,0,0.712851621215375,0.698464676830578,0.717092548851192,0.701524586643762,0.719776680266266,0.729761649130341,0.746081168133992,0,0.717092548851192,0,0.74312862357741,0.685849259179729,0.782692720635602,0.739800300622719,0.72246081168134,0.722514494309641,0.741249731586858,0.672052823706249,0,0.718864075585141,0,0,0
RBM27,0.920388662228903,0,0.910725789134636,0.910725789134636,0,0,0.914644621000644,0.912014172213872,0.920388662228903,0.912550998496886,0.91593300407988,0.916040369336483,0.920710757998712,0,0.915557225681769,0,0.920496027485506,0.906645909383723,0.946263689070217,0.920120249087395,0.916040369336483,0.916040369336483,0.920120249087395,0.902029203349796,0,0.915557225681769,0,0,0
SEC24A,0.933916684560876,0,0.863377710972729,0.863324028344428,0,0,0.880126691002792,0.868155464891561,0.933916684560876,0.870141722138716,0.890004294610264,0.901599742323384,0.913570968434615,0,0.884904444921623,0,0.923931715696801,0.856560017178441,0.918939231264763,0.907826927206356,0.894406270130986,0.894406270130986,0.919959201202491,0.840294180803092,0,0.888179085248014,0,0,0
KDM3B,0.933111445136354,0,0.969669315009663,0.969669315009663,0,0,0.967199914107795,0.96918617135495,0.933111445136354,0.968810392956839,0.965696800515353,0.961402190251235,0.958503328322955,0,0.966394674683272,0,0.942935366115525,0.969454584496457,0.962422160188963,0.962046381790852,0.96521365686064,0.96521365686064,0.946210006441915,0.970259823920979,0,0.965965213656861,0,0,0
TAOK1,0.708986471977668,0,0.70361820914752,0.70361820914752,0,0,0.719991410779472,0.708127549924844,0.708986471977668,0.710757998711617,0.726218595662444,0.73512991196049,0.749946317371698,0,0.723802877388877,0,0.744148593515139,0.698625724715482,0.73223105003221,0.745490659222676,0.72970796650204,0.729761649130341,0.743074940949109,0.683916684560876,0,0.725574404122826,0,0,0
RAD50,0.838576336697445,0,0.728473266051106,0.728473266051106,0,0,0.745973802877389,0.732553145802018,0.838576336697445,0.735237277217093,0.753596736096199,0.766158471118746,0.782048529095985,0,0.750053682628302,0,0.798421730727936,0.726325960919047,0.805937298690144,0.775875026841314,0.759340777324458,0.759340777324458,0.784464247369551,0.707698088898432,0,0.752093622503758,0,0,0
DPP8,0.941002791496672,0,0.861176723212368,0.861123040584067,0,0,0.881576121966931,0.867457590723642,0.941002791496672,0.8695512132274,0.892366330255529,0.906055400472407,0.898754563023406,0,0.8876959415933,0,0.929299978526949,0.851621215374705,0.922911745759072,0.912550998496886,0.897412497315869,0.89746617994417,0.925381146660941,0.833315439123899,0,0.890970581919691,0,0,0
MYO9A,0.968058836160618,0,0.880234056259394,0.880180373631093,0,0,0.911423663302555,0.888608546274426,0.968058836160618,0.893547348078162,0.921999141077947,0.935473480781619,0.936493450719347,0,0.917489800300623,0,0.959899076658793,0.867726003865149,0.968005153532317,0.941056474124973,0.927743182306206,0.927796864934507,0.955819196907881,0.840133132918188,0,0.920496027485506,0,0,0
ASXL2,0.757783981103715,0,0.800461670603393,0.800461670603393,0,0,0.804648915610908,0.801696371054327,0.757783981103715,0.802125832080739,0.806420442344857,0.805937298690144,0.813291818767447,0,0.805615202920335,0,0.798690143869444,0.794878677260039,0.854466394674683,0.813452866652351,0.807118316512776,0.807171999141078,0.802340562593945,0.794502898861928,0,0.806259394459953,0,0,0
IL6ST,0.970742967575693,0,0.933863001932575,0.933863001932575,0,0,0.945082671247584,0.937567103285377,0.970742967575693,0.938801803736311,0.949967790423019,0.957859136783337,0.950611981962637,0,0.947552072149452,0,0.967414644621001,0.930051535323169,0.984700450934078,0.961724286021044,0.952974017607902,0.953027700236204,0.966179944170067,0.917006656645909,0,0.948840455228688,0,0,0
PHAX,0.996295898647198,0,0.973856560017178,0.973856560017178,0,0,0.983358385226541,0.976379643547348,0.996295898647198,0.97788275713979,0.986042516641615,0.989156109083101,0.992591797294396,0,0.984754133562379,0,0.994417006656646,0.9710113807172,0.995222246081168,0.991142366330256,0.987223534464247,0.987223534464247,0.993397036718918,0.957698088898432,0,0.985290959845394,0,0,0
FAM63B,0.745544341850977,0,0.708771741464462,0.708718058836161,0,0,0.725144943096414,0.713495812754993,0.745544341850977,0.715159974232338,0.730942666952974,0.742054971011381,0.750697874167919,0,0.728795361820915,0,0.753489370839596,0.70689284947391,0.733304702598239,0.698947820485291,0.735344642473695,0.735452007730299,0.750053682628302,0.689392312647627,0,0.730352158041658,0,0,0
STRN,0.804219454584497,0,0.791496671677045,0.791335623792141,0,0,0.797133347648701,0.793590294180803,0.804219454584497,0.793536611552502,0.799710113807172,0.800139574833584,0.808084603822203,0,0.798421730727936,0,0.796435473480782,0.783766373201632,0.785913678333691,0.808191969078806,0.800783766373202,0.8007300837449,0.798529095984539,0.782102211724286,0,0.799334335409062,0,0,0
TNPO1,0.896983036289457,0,0.876315224393386,0.876315224393386,0,0,0.879643547348078,0.877925703242431,0.896983036289457,0.878194116383938,0.882864505046167,0.888232767876315,0.895855701095126,0,0.88152243933863,0,0.896338844749839,0.876422589649989,0.890863216663088,0.893010521795147,0.88587073223105,0.885924414859351,0.895318874812111,0.869390165342495,0,0.882273996134851,0,0,0
HIPK3,0.735022546703887,0,0.793214515782693,0.793214515782693,0,0,0.797562808675113,0.79455658149023,0.735022546703887,0.794717629375134,0.799602748550569,0.798743826497745,0.805776250805239,0,0.798529095984539,0,0.791067210650633,0.785537899935581,0.896821988404552,0.806581490229762,0.80035430534679,0.80035430534679,0.79455658149023,0.78478634313936,0,0.799226970152459,0,0,0
ASH1L,0.869068069572686,0,0.697874167919261,0.697766802662658,0,0,0.726755421945459,0.705228687996564,0.869068069572686,0.709845394030492,0.739156109083101,0.761327034571613,0.783820055829933,0,0.734002576766158,0,0.821505260897574,0.693364827141937,0.795576551427958,0.772170925488512,0.747799012239639,0.747799012239639,0.805507837663732,0.662765729010092,0,0.737223534464247,0,0,0
LATS1,0.90723641829504,0,0.7717414644621,0.7717414644621,0,0,0.806205711831651,0.77861284088469,0.90723641829504,0.782907451148808,0.818767446854198,0.841206785484217,0.862787202061413,0,0.813989692935366,0,0.885978097487653,0.772439338630019,0.826658793214516,0.851674898003006,0.826551427957913,0.826551427957913,0.877227829074511,0.740981318445351,0,0.817103285376852,0,0,0
KLHL11,0.938103929568392,0,0.887856989478205,0.887856989478205,0,0,0.90326390380073,0.892205282370625,0.938103929568392,0.894889413785699,0.908900579772386,0.915825638823277,0.924468541979815,0,0.906216448357312,0,0.930051535323169,0.884636031780116,0.954155035430535,0.92065707537041,0.91051105862143,0.910564741249732,0.927796864934507,0.870249087395319,0,0.907987975091261,0,0,0
RC3H2,0.937137642258965,0,0.935580846038222,0.935634528666524,0,0,0.937996564311789,0.93660081597595,0.937137642258965,0.936117672321237,0.938318660081598,0.939177582134421,0.941271204638179,0,0.938479707966502,0,0.936708181232553,0.932681984109942,0.924039080953403,0.942237491947606,0.938640755851406,0.938640755851406,0.936761863860855,0.931500966287309,0,0.938264977453296,0,0,0
TTBK2,0.804219454584497,0,0.761810178226326,0.761756495598024,0,0,0.770828859780975,0.764762722782907,0.804219454584497,0.765782692720636,0.775606613699807,0.777753918831866,0.788168348722353,0,0.773781404337556,0,0.780652780760146,0.755582993343354,0.686547133347649,0.785752630448787,0.776841314150741,0.776841314150741,0.779954906592227,0.75037577839811,0,0.774908739531887,0,0,0
MAN1A2,0.790852480137427,0,0.790637749624222,0.79058406699592,0,0,0.79638179085248,0.792624006871376,0.790852480137427,0.792731372127979,0.798958557010951,0.79928065278076,0.806957268627872,0,0.79783122181662,0,0.794986042516642,0.791765084818553,0.898754563023406,0.807225681769379,0.800139574833584,0.800139574833584,0.797348078161907,0.781458020184668,0,0.798636461241142,0,0,0
SMAD5,0.775177152673395,0,0.812379214086322,0.812379214086322,0,0,0.815063345501396,0.812647627227829,0.775177152673395,0.813667597165557,0.814794932359888,0.814633884474984,0.822364182950397,0,0.815009662873094,0,0.804756280867511,0.807333047025982,0.822793643976809,0.821934721923985,0.814419153961778,0.814526519218381,0.808997208503328,0.809695082671248,0,0.814794932359888,0,0,0
TOR1AIP2,0.959093837234271,0,0.903961777968649,0.903961777968649,0,0,0.921945458449646,0.909330040798798,0.959093837234271,0.911906806957269,0.928816834872235,0.937942881683487,0.947927850547563,0,0.925703242430749,0,0.952705604466395,0.896124114236633,0.954906592226755,0.942989048743826,0.932091475198626,0.932091475198626,0.950826712475843,0.876422589649989,0,0.928226325960919,0,0,0
GTF2A1,0.979171140219025,0,0.940519647841958,0.940519647841958,0,0,0.95254455658149,0.944062701309856,0.979171140219025,0.945673180158901,0.957698088898432,0.965428387373846,0.971226111230406,0,0.955711831651278,0,0.973695512132274,0.938855486364612,0.981586858492592,0.96811251878892,0.960972729224823,0.960972729224823,0.971816620141722,0.924951685634529,0,0.957107579987116,0,0,0
UBXN7,0.97788275713979,0,0.872289027270775,0.872127979385871,0,0,0.907719561949753,0.881415074082027,0.97788275713979,0.886353875885763,0.920442344857204,0.936332402834443,0.950021473051321,0,0.915396177796865,0,0.963603178011595,0.857526304487868,0.955175005368263,0.94239853983251,0.926937942881684,0.927045308138286,0.959093837234271,0.824135709684346,0,0.918778183379858,0,0,0
BIRC6,0.968058836160618,0,0.935419798153318,0.935419798153318,0,0,0.945995275928709,0.938694438479708,0.968058836160618,0.940251234700451,0.950934077732446,0.958557010951256,0.965267339488941,0,0.948518359458879,0,0.967253596736096,0.93187674468542,0.964945243719132,0.962100064419154,0.953940304917329,0.953940304917329,0.96628730942667,0.919637105432682,0,0.950021473051321,0,0,0
DDX46,0.925917972943955,0,0.81919690788061,0.81919690788061,0,0,0.846199269916255,0.826551427957913,0.925917972943955,0.830846038222031,0.857526304487868,0.878408846897144,0.894352587502684,0,0.852480137427528,0,0.912121537470475,0.815761219669315,0.905948035215804,0.885924414859351,0.865363968219884,0.865525016104788,0.904981747906378,0.781780115954477,0,0.855593729869014,0,0,0
ZNF791,0.865793429246296,0,0.720420871805884,0.720313506549281,0,0,0.744685419798153,0.726701739317157,0.865793429246296,0.730244792785055,0.755368262830148,0.773029847541336,0.792731372127979,0,0.750644191539618,0,0.827410350010736,0.709469615632381,0.831221816620142,0.783229546918617,0.762830148164054,0.762991196048959,0.813130770882542,0.692344857204209,0,0.753328322954692,0,0,0
