,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
ARID3B,0,1,0.912067854842173,0,0,0.649076658793215,0,0.601782263259609,0,0,0,0.92607902082886,0,0.750805239424522,0.919529740176079,0.694116383938158,0,1,0,0.917167704530814,0,0.902136568606399,0.909920549710114,0.905142795791282,0.909652136568606,0,0.916738243504402,0,0
PIAS4,0,1,0.87427528451793,0,0,0.909222675542194,0,0.90143869443848,0,0,0,0.727345930856775,0,0.886783336912175,0.895587287953618,0.887910672106506,0,1,0,0.874060554004724,0,0.64204423448572,0.900096628730943,0.862089327893494,0.884850762293322,0,0.87427528451793,0,0
KHSRP,0,1,0.928494739102426,0,0,0.824565170710758,0,0.816351728580631,0,0,0,0.746403263903801,0,0.803414215159974,0.914751986257247,0.961187459738029,0,1,0,0.812647627227829,0,0.6702812969723,0.876422589649989,0.818015890057977,0.823062057118316,0,0.812969722997638,0,0
REXO1,0,1,0.75434829289242,0,0,0.884743397036719,0,0.889306420442345,0,0,0,0.58803951041443,0,0.83621430105218,0.758750268413142,0.878462529525446,0,1,0,0.694975305990981,0,0.513850118101782,0.750268413141507,0.722246081168134,0.716179944170067,0,0.695404767017393,0,0
PTBP1,0,1,0.893762078591368,0,0,0.681930427313721,0,0.690358599957054,0,0,0,0.647573545200773,0,0.641131629804595,0.832939660725789,0.975305990981318,0,1,0,0.568660081597595,0,0.608277861284088,0.717683057762508,0.637910672106506,0.578967146231479,0,0.568660081597595,0,0
HIC2,0,1,0.868155464891561,0,0,0.673931715696801,0,0.58079235559373,0,0,0,0.91340992054971,0,0.75542194545845,0.946854197981533,0.233251019969938,0,1,0,0.982767876315224,0,0.797509126046811,0.97573545200773,0.949001503113592,0.983143654713335,0,0.982767876315224,0,0
DNMT3A,0,1,0.831812325531458,0,0,0.843407773244578,0,0.819948464676831,0,0,0,0.905518574189392,0,0.884528666523513,0.874114236633026,0.500268413141507,0,1,0,0.922374919476058,0,0.884152888125403,0.89998926347434,0.924575907236418,0.917221387159115,0,0.922213871591153,0,0
TCF3,0,1,0.984807816190681,0,0,0.952812969722998,0,0.943257461885334,0,0,0,0.992162336267984,0,0.98223105003221,0.979010092334121,0.882918187674469,0,1,0,0.965267339488941,0,0.98588146875671,0.960757998711617,0.98840455228688,0.955389735881469,0,0.964784195834228,0,0
PLAGL2,0,1,0.609297831221817,0,0,0.726487008803951,0,0.726111230405841,0,0,0,0.815600171784411,0,0.783122181662014,0.618209147519863,0.38334764870088,0,1,0,0.702276143439983,0,0.858868370195405,0.630180373631093,0.772439338630019,0.678816834872235,0,0.701846682413571,0,0
DNMT3B,0,1,0.967844105647413,0,0,0.95796650203994,0,0.946210006441915,0,0,0,0.97718488297187,0,0.977506978741679,0.97391024264548,0.80180373631093,0,1,0,0.974232338415289,0,0.955926562164484,0.970098776036075,0.983948894137857,0.969615632381361,0,0.974124973158686,0,0
CSNK1G2,0,1,0.470367189177582,0,0,0.795039725144943,0,0.800515353231694,0,0,0,0.50472407129053,0,0.740820270560447,0.555615202920335,0.527807601460167,0,1,0,0.646768305776251,0,0.540476701739317,0.642473695512132,0.629428816834872,0.670442344857204,0,0.64709040154606,0,0
AP3D1,0,1,0.551642688426025,0,0,0.553145802018467,0,0.580631307708825,0,0,0,0.528666523512991,0,0.523996134850762,0.48260682843032,0.74565170710758,0,1,0,0.411745759072364,0,0.651331329181877,0.440680695726863,0.453832939660726,0.413893064204423,0,0.411853124328967,0,0
DOT1L,0,1,0.668026626583638,0,0,0.711133777109727,0,0.742806527807601,0,0,0,0.534142151599742,0,0.66158471118746,0.573062057118316,0.893225252308353,0,1,0,0.404928065278076,0,0.625671032853769,0.472890272707752,0.506388232767876,0.410672106506335,0,0.405196478419583,0,0
SOD1,0,1,0.81232553145802,0,0,0.396231479493236,0,0.328859780974877,0,0,0,0.910672106506335,0,0.557494094910887,0.840831007086107,0.35290959845394,0,1,0,0.893332617564956,0,0.916469830362895,0.862411423663303,0.844320377925703,0.883669744470689,0,0.893171569680052,0,0
