,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
WHSC1L1,0,0,0,0,0.679783122181662,0,0.704799226970152,0,0.586053253167275,0.619390165342495,0.650687137642259,0.704745544341851,0.607579987116169,0,0,0,0,0.71956194975306,0,0.595125617350226,0,0.602104359029418,1,0,1,0,0.654283873738458,0,0
XPO7,0,0,0,0,0.300783766373202,0,0.750429461026412,0,0.641936869229117,0.716394674683272,0.577034571612626,0.619121752200988,0.714032639038007,0,0,0,0,0.643547348078162,0,0.675971655572257,0,0.562057118316513,1,0,1,0,0.671623362679837,0,0
ELP3,0,0,0,0,0.787202061412927,0,0.924092763581705,0,0.56812325531458,0.770560446639467,0.851782263259609,0.915181447283659,0.734163624651063,0,0,0,0,0.925273781404338,0,0.653102855915826,0,0.689231264762723,1,0,1,0,0.866437620785914,0,0
PCM1,0,0,0,0,0.751878891990552,0,0.766856345286665,0,0.597756066136998,0.66051105862143,0.716824135709684,0.778451792999785,0.641936869229117,0,0,0,0,0.792355593729869,0,0.617296542838737,0,0.640004294610264,1,0,1,0,0.712153747047455,0,0
BAG4,0,0,0,0,0.961509555507838,0,0.618745973802877,0,0.757515567962207,0.649237706678119,0.784088468971441,0.774694009018682,0.651170281296972,0,0,0,0,0.769808889843247,0,0.706302340562594,0,0.801964784195834,1,0,1,0,0.665986686708181,0,0
PRIM1,0,0,0,0,0.788490444492162,0,0.896821988404552,0,0.919959201202491,0.941163839381576,0.91883186600816,0.880019325746189,0.940627013098561,0,0,0,0,0.862572471548207,0,0.934614558728795,0,0.925971655572257,1,0,1,0,0.928280008589221,0,0
RRM1,0,0,0,0,0.455980244792785,0,0.758857633669744,0,0.758481855271634,0.793751342065708,0.632435044019755,0.655625939445995,0.79638179085248,0,0,0,0,0.677689499677904,0,0.780974876529955,0,0.664268842602534,1,0,1,0,0.70941593300408,0,0
THAP1,0,0,0,0,0.74747691646983,0,0.757730298475413,0,0.500858922052824,0.583905948035216,0.701417221387159,0.781994846467683,0.559319304273137,0,0,0,0,0.796435473480782,0,0.527861284088469,0,0.58369121752201,1,0,1,0,0.689016534249517,0,0
MCM4,0,0,0,0,0.847165557225682,0,0.820968434614559,0,0.5652243933863,0.66920764440627,0.911531028559158,0.887427528451793,0.642688426025338,0,0,0,0,0.845823491518145,0,0.601245436976594,0,0.812647627227829,1,0,1,0,0.880878247799012,0,0
UBR7,0,0,0,0,0.822364182950397,0,0.578108224178656,0,0.864988189821774,0.752952544556581,0.697283659007945,0.618155464891561,0.775069787416792,0,0,0,0,0.600118101782263,0,0.824404122825854,0,0.814097058191969,1,0,1,0,0.649881898217737,0,0
RBBP4,0,0,0,0,0.426132703457161,0,0.858546274425596,0,0.703671891775821,0.820270560446639,0.826551427957913,0.790261971226111,0.812593944599528,0,0,0,0,0.746940090186816,0,0.76594374060554,0,0.770721494524372,1,0,1,0,0.874758428172643,0,0
HADH,0,0,0,0,0.944706892849474,0,0.573759931286236,0,0.993611767232124,0.952115095555078,0.940143869443848,0.723373416362465,0.964998926347434,0,0,0,0,0.58186600815976,0,0.985237277217093,0,0.991410779471763,1,0,1,0,0.891561090831007,0,0
NUP133,0,0,0,0,0.870839596306635,0,0.803897358814688,0,0.730835301696371,0.764279579128194,0.804541550354305,0.837073223105003,0.753220957698089,0,0,0,0,0.848614988189822,0,0.745436976594374,0,0.766373201631952,1,0,1,0,0.781941163839382,0,0
DDHD2,0,0,0,0,0.924898003006227,0,0.565922267554219,0,0.788919905518574,0.656860639896929,0.73368048099635,0.697337341636246,0.668348722353446,0,0,0,0,0.689660725789135,0,0.73078161906807,0,0.791550354305347,1,0,1,0,0.630770882542409,0,0
MCM6,0,0,0,0,0.540047240712905,0,0.758481855271634,0,0.822471548207,0.835892205282371,0.807762508052394,0.71848829718703,0.841689929138931,0,0,0,0,0.663893064204423,0,0.834711187459738,0,0.832993343354091,1,0,1,0,0.838630019325746,0,0
ARMC1,0,0,0,0,0.74565170710758,0,0.799871161692076,0,0.622235344642474,0.697015245866438,0.737706678118961,0.797294395533605,0.679890487438265,0,0,0,0,0.813989692935366,0,0.650042946102641,0,0.659330040798798,1,0,1,0,0.73840455228688,0,0
UBE2V2,0,0,0,0,0.845930856774748,0,0.833583852265407,0,0.761541765084819,0.807440412282585,0.856613699806743,0.855647412497316,0.797992269701525,0,0,0,0,0.850977023835087,0,0.783283229546919,0,0.821183165127765,1,0,1,0,0.843783551642688,0,0
TIPRL,0,0,0,0,0.804004724071291,0,0.788490444492162,0,0.785108438909169,0.800461670603393,0.812916040369337,0.806903585999571,0.797294395533605,0,0,0,0,0.797133347648701,0,0.7934829289242,0,0.802286879965643,1,0,1,0,0.804595232982607,0,0
EIF2S1,0,0,0,0,0.979010092334121,0,0.866061842387803,0,0.778183379858278,0.813184453510844,0.966179944170067,0.951900365041872,0.797079665020399,0,0,0,0,0.927474769164698,0,0.789564097058192,0,0.936386085462744,1,0,1,0,0.932037792570324,0,0
CSE1L,0,0,0,0,0.392205282370625,0,0.734646768305776,0,0.659115310285592,0.718864075585141,0.711509555507838,0.668402404981748,0.718971440841744,0,0,0,0,0.622664805668886,0,0.688103929568392,0,0.690895426240069,1,0,1,0,0.763259609190466,0,0
UBE2T,0,0,0,0,0.879428816834872,0,0.932843031994846,0,0.805346789778828,0.899881898217737,0.932091475198626,0.937942881683487,0.885065492806528,0,0,0,0,0.933540906162766,0,0.850654928065278,0,0.881307708825424,1,0,1,0,0.931930427313721,0,0
ZW10,0,0,0,0,0.98985398325102,0,0.87282585355379,0,0.819841099420228,0.833905948035216,0.94492162336268,0.953027700236204,0.818499033712691,0,0,0,0,0.951954047670174,0,0.821773674039081,0,0.915718273566674,1,0,1,0,0.893762078591368,0,0
GINS1,0,0,0,0,0.985774103500107,0,0.937889199055186,0,0.827571397895641,0.898110371483788,0.976862787202061,0.977829074511488,0.879106721065063,0,0,0,0,0.97208503328323,0,0.855593729869014,0,0.947444706892849,1,0,1,0,0.959362250375778,0,0
KLHL12,0,0,0,0,0.988136139145373,0,0.906001717844106,0,0.931178870517501,0.93332617564956,0.973319733734164,0.962636890702169,0.92935366115525,0,0,0,0,0.952598239209792,0,0.934346145587288,0,0.970098776036075,1,0,1,0,0.94964569465321,0,0
AGPAT5,0,0,0,0,0.483358385226541,0,0.75107365256603,0,0.932789349366545,0.917275069787417,0.73733089972085,0.642849473910243,0.926776894996779,0,0,0,0,0.62030277002362,0,0.933863001932575,0,0.854895855701095,1,0,1,0,0.803360532531673,0,0
XRCC5,0,0,0,0,0.907880609834657,0,0.862787202061413,0,0.850279149667168,0.873416362465106,0.893386300193257,0.889467468327249,0.865417650848186,0,0,0,0,0.886622289027271,0,0.85978097487653,0,0.882059265621645,1,0,1,0,0.875832080738673,0,0
TOPBP1,0,0,0,0,0.376476272278291,0,0.708181232553146,0,0.69094910886837,0.72246081168134,0.573330470259824,0.585731157397466,0.726648056688855,0,0,0,0,0.60725789134636,0,0.710221172428602,0,0.597648700880395,1,0,1,0,0.650203993987546,0,0
RFC3,0,0,0,0,0.710757998711617,0,0.907987975091261,0,0.452705604466395,0.686439768091046,0.788490444492162,0.887481211080094,0.641238995061198,0,0,0,0,0.90326390380073,0,0.549871161692076,0,0.58079235559373,1,0,1,0,0.816351728580631,0,0
MSH6,0,0,0,0,0.384099205497101,0,0.890916899291389,0,0.738511917543483,0.860317801159545,0.782800085892205,0.792892420012884,0.850869658578484,0,0,0,0,0.779954906592227,0,0.80507837663732,0,0.731318445351084,1,0,1,0,0.859619926991625,0,0
KIAA1429,0,0,0,0,0.857741035001074,0,0.916577195619498,0,0.662014172213872,0.811037148378785,0.873845823491518,0.918670818123255,0.78371269057333,0,0,0,0,0.926562164483573,0,0.726164913034142,0,0.76052179514709,1,0,1,0,0.876207859136783,0,0
BRF2,0,0,0,0,0.962368477560661,0,0.900418724500752,0,0.858116813399184,0.890004294610264,0.926401116598669,0.934829289242001,0.879643547348078,0,0,0,0,0.937191324887267,0,0.868960704316083,0,0.90326390380073,1,0,1,0,0.90143869443848,0,0
RFC1,0,0,0,0,0.997745329611338,0,0.993772815117028,0,0.614075585140649,0.888232767876315,0.972031350654928,0.997637964354735,0.831812325531458,0,0,0,0,0.999463173716985,0,0.735237277217093,0,0.811359244148594,1,0,1,0,0.955926562164484,0,0
CHMP7,0,0,0,0,0.335409061627657,0,0.863646124114237,0,0.601245436976594,0.761810178226326,0.73947820485291,0.765514279579128,0.745383293966073,0,0,0,0,0.755851406484861,0,0.673448572042087,0,0.637749624221602,1,0,1,0,0.817425381146661,0,0
LRPPRC,0,0,0,0,0.745490659222676,0,0.513313291818767,0,0.604412712046382,0.510736525660296,0.549388018037363,0.554165771956195,0.516158471118746,0,0,0,0,0.562969722997638,0,0.555668885548636,0,0.581007086106936,1,0,1,0,0.500751556796221,0,0
SMC2,0,0,0,0,0.694331114451364,0,0.768627872020614,0,0.614719776680266,0.674790637749624,0.570968434614559,0.720313506549281,0.656592226755422,0,0,0,0,0.786343139360103,0,0.635119175434829,0,0.524479278505476,1,0,1,0,0.609136783336912,0,0
MSH2,0,0,0,0,0.866598668670818,0,0.509018681554649,0,0.880931930427314,0.740766587932145,0.705980244792785,0.599742323384153,0.765675327464033,0,0,0,0,0.562110800944814,0,0.83116813399184,0,0.840401546059695,1,0,1,0,0.634206570753704,0,0
AP3M2,0,0,0,0,0.501556796220743,0,0.931017822632596,0,0.488297187030277,0.760468112518789,0.885924414859351,0.900472407129053,0.725252308353017,0,0,0,0,0.87754992484432,0,0.608438909168993,0,0.706302340562594,1,0,1,0,0.91883186600816,0,0
RPL7L1,0,0,0,0,0.977990122396392,0,0.99237706678119,0,0.993933863001933,0.998282155894353,0.997047455443419,0.993343354090616,0.997960060124544,0,0,0,0,0.990820270560447,0,0.996671677045308,0,0.996993772815117,1,0,1,0,0.997423233841529,0,0
RBM8A,0,0,0,0,0.947015245866438,0,0.888876959415933,0,0.962046381790852,0.958234915181447,0.946532102211724,0.915074082027056,0.959845394030492,0,0,0,0,0.903049173287524,0,0.962207429675757,0,0.963227399613485,1,0,1,0,0.933916684560876,0,0
PRMT5,0,0,0,0,0.844427743182306,0,0.643869443847971,0,0.986310929783122,0.950934077732446,0.848078161906807,0.671193901653425,0.96231479493236,0,0,0,0,0.609995705389736,0,0.979171140219025,0,0.96414000429461,1,0,1,0,0.827410350010736,0,0
MATR3,0,0,0,0,0.898325101996994,0,0.643762078591368,0,0.462261112304058,0.464730513205927,0.646124114236633,0.748389521150956,0.446854197981533,0,0,0,0,0.775445565814902,0,0.450611981962637,0,0.549441700665665,1,0,1,0,0.565653854412712,0,0
MAK16,0,0,0,0,0.989961348507623,0,0.967575692505905,0,0.975950182520936,0.98443203779257,0.982123684775607,0.982767876315224,0.982499463173717,0,0,0,0,0.98443203779257,0,0.981801589005798,0,0.982392097917114,1,0,1,0,0.975252308353017,0,0
DDX1,0,0,0,0,0.568606398969294,0,0.833959630663517,0,0.71124114236633,0.802286879965643,0.82681984109942,0.795737599312862,0.794771312003436,0,0,0,0,0.755905089113163,0,0.757408202705604,0,0.77861284088469,1,0,1,0,0.855271634099205,0,0
CEP78,0,0,0,0,0.446263689070217,0,0.807869873308997,0,0.649774532961134,0.750912604681125,0.761756495598024,0.742591797294396,0.742216018896285,0,0,0,0,0.712636890702169,0,0.697015245866438,0,0.706033927421087,1,0,1,0,0.812754992484432,0,0
KIAA0196,0,0,0,0,0.832295469186171,0,0.641507408202706,0,0.887159115310286,0.81087610049388,0.757569250590509,0.685473480781619,0.824833583852265,0,0,0,0,0.669959201202491,0,0.858653639682199,0,0.851782263259609,1,0,1,0,0.720957698088898,0,0
VRK1,0,0,0,0,0.33803951041443,0,0.900096628730943,0,0.715965213656861,0.856935795576551,0.736471977668027,0.785323169422375,0.845447713120034,0,0,0,0,0.800085892205282,0,0.792570324243075,0,0.672643332617565,1,0,1,0,0.837019540476702,0,0
SCAPER,0,0,0,0,0.748711616920764,0,0.689660725789135,0,0.801750053682628,0.765245866437621,0.684721923985398,0.691217522009878,0.771848829718703,0,0,0,0,0.707429675756925,0,0.788919905518574,0,0.740605540047241,1,0,1,0,0.682628301481641,0,0
ATAD2,0,0,0,0,0.672911745759072,0,0.797884904444922,0,0.50037577839811,0.617135494953833,0.697874167919261,0.783122181662014,0.590616276572901,0,0,0,0,0.798743826497745,0,0.543536611552502,0,0.570324243074941,1,0,1,0,0.713442130126691,0,0
WDR76,0,0,0,0,0.924683272493021,0,0.919959201202491,0,0.791120893278935,0.876529954906592,0.9420227614344,0.943633240283444,0.859083100708611,0,0,0,0,0.936010307064634,0,0.831060768735237,0,0.894782048529096,1,0,1,0,0.929944170066566,0,0
PRKDC,0,0,0,0,0.846467683057763,0,0.820753704101353,0,0.562916040369337,0.667597165557226,0.911155250161048,0.887373845823492,0.641507408202706,0,0,0,0,0.845447713120034,0,0.599796006012454,0,0.811466609405196,1,0,1,0,0.880395104144299,0,0
POLR3C,0,0,0,0,0.665449860425166,0,0.986901438694438,0,0.972514494309641,0.994953832939661,0.984593085677475,0.968595662443633,0.994148593515139,0,0,0,0,0.951578269272064,0,0.987975091260468,0,0.98153317586429,1,0,1,0,0.993504401975521,0,0
INTS9,0,0,0,0,0.23115739746618,0,0.687620785913678,0,0.485935151385012,0.565975950182521,0.46666308782478,0.541550354305347,0.557655142795791,0,0,0,0,0.579987116169208,0,0.51991625509985,0,0.432950397251449,1,0,1,0,0.566888554863646,0,0
ECT2,0,0,0,0,0.745544341850977,0,0.824726218595662,0,0.656914322525231,0.736633025552931,0.700075155679622,0.798743826497745,0.720474554434185,0,0,0,0,0.837073223105003,0,0.687513420657075,0,0.635226540691432,1,0,1,0,0.720796650203994,0,0
EXO1,0,0,0,0,0.711616920764441,0,0.759394459952759,0,0.455765514279579,0.55615202920335,0.653424951685635,0.764601674898003,0.531672750697874,0,0,0,0,0.792087180588362,0,0.491893923126476,0,0.524157182735667,1,0,1,0,0.655948035215804,0,0
CCNB1,0,0,0,0,0.656806957268628,0,0.725091260468113,0,0.616759716555723,0.659491088683702,0.721226111230406,0.726487008803951,0.649881898217737,0,0,0,0,0.714998926347434,0,0.632220313506549,0,0.671891775821344,1,0,1,0,0.72353446424737,0,0
MCM2,0,0,0,0,0.872986901438694,0,0.635602319089543,0,0.809480352158042,0.72680910457376,0.769057333047026,0.717199914107795,0.736471977668027,0,0,0,0,0.699377281511703,0,0.776304487867726,0,0.819250590508911,1,0,1,0,0.708234915181447,0,0
MTMR12,0,0,0,0,0.543643976809105,0,0.722138715911531,0,0.458986471977668,0.549549065922268,0.584818552716341,0.678011595447713,0.534195834228044,0,0,0,0,0.705282370624866,0,0.494846467683058,0,0.490766587932145,1,0,1,0,0.62175220098776,0,0
RFC4,0,0,0,0,0.869068069572686,0,0.904391238995061,0,0.811681339918402,0.878891990551857,0.892527378140434,0.906216448357312,0.866867081812326,0,0,0,0,0.907773244578055,0,0.84383723427099,0,0.851513850118102,1,0,1,0,0.893225252308353,0,0
GOLGA7,0,0,0,0,0.675434829289242,0,0.861284088468971,0,0.917436117672321,0.928602104359029,0.821612626154177,0.79890487438265,0.930695726862787,0,0,0,0,0.799763796435473,0,0.929031565385441,0,0.869068069572686,1,0,1,0,0.861552501610479,0,0
TNKS,0,0,0,0,0.274747691646983,0,0.735344642473695,0,0.58659007945029,0.669690788060983,0.543053467897788,0.598131844535108,0.662121537470475,0,0,0,0,0.627281511702813,0,0.623631092978312,0,0.514601674898003,1,0,1,0,0.638125402619712,0,0
TPX2,0,0,0,0,0.971065063345501,0,0.651492377066781,0,0.896768305776251,0.801481640541121,0.861176723212368,0.811251878891991,0.810231908954262,0,0,0,0,0.789564097058192,0,0.858009448142581,0,0.9130341421516,1,0,1,0,0.769272063560232,0,0
TTC5,0,0,0,0,0.887427528451793,0,0.889413785698948,0,0.813291818767447,0.871108009448143,0.931662014172214,0.913141507408203,0.859244148593515,0,0,0,0,0.89456731801589,0,0.840294180803092,0,0.901546059695083,1,0,1,0,0.918778183379858,0,0
