,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
ANKRD54,0,0.983197337341636,0.983197337341636,0.978365900794503,0.896070431608332,0.957698088898432,0.965428387373846,0.982553145802018,0,0.984593085677475,0,0.980030062271849,0.976594374060554,0.986257247154821,0.607633669744471,0.955926562164484,0,0,0.986471977668027,0.978741679192613,0.959899076658793,0.984807816190681,0.983841528881254,0.950773029847541,0.952920334979601,0,0.382112948249946,0,0
POLR2F,0,0.749946317371698,0.749946317371698,0.71231479493236,0.918617135494954,0.849205497101138,0.735076229332188,0.741625509984969,0,0.773996134850762,0,0.735774103500107,0.70254455658149,0.782585355378999,0.399452437191325,0.858224178655787,0,0,0.798851191754348,0.703135065492807,0.59238780330685,0.810231908954262,0.771795147090402,0.689821773674039,0.57826927206356,0,0.347219239853983,0,0
PHF5A,0,0.954638179085248,0.954638179085248,0.950934077732446,0.819357955765514,0.899345071934722,0.88114666094052,0.940304917328752,0,0.953671891775821,0,0.93515138501181,0.952651921838093,0.963173716985184,0.804058406699592,0.897627227829075,0,0,0.954638179085248,0.914966716770453,0.8695512132274,0.951578269272064,0.948410994202276,0.851567532746403,0.862948249946317,0,0.202920334979601,0,0
TOMM22,0,0.9202812969723,0.9202812969723,0.865686063989693,0.798636461241142,0.849581275499248,0.864075585140649,0.902834442774318,0,0.921784410564741,0,0.914161477345931,0.878033068499034,0.937996564311789,0.479546918617135,0.848131844535108,0,0,0.925488511917543,0.87389950611982,0.886192828000859,0.920764440627013,0.912658363753489,0.828591367833369,0.90288812540262,0,0.42318015890058,0,0
DDIT3,0,0.976272278290745,0.976272278290745,0.982714193686923,0.997530599098132,0.998657934292463,0.999463173716985,0.989156109083101,0,0.988619282800086,0,0.986096199269916,0.984378355164269,0.975842817264333,0.983143654713335,0.998657934292463,0,0,0.994631737169852,0.989907665879321,0.996564311788705,0.996940090186816,0.993772815117028,0.999516856345287,0.996242216018896,0,0.997691646983036,0,0
RPS19BP1,0,0.812593944599528,0.812593944599528,0.800891131629805,0.798636461241142,0.746886407558514,0.0932467253596736,0.642366330255529,0,0.709147519862573,0,0.773996134850762,0.710382220313507,0.130663517285806,0.534571612626154,0.745383293966073,0,0,0.119336482714194,0.807923555937299,0.785376852050676,0.092065707537041,0.977668026626584,0.74022976164913,0.773512991196049,0,0.525445565814902,0,0
FAU,0,0.945834228043805,0.945834228043805,0.924844320377926,0.927635817049603,0.951524586643762,0.966233626798368,0.951309856130556,0,0.957375993128624,0,0.953510843890917,0.929192613270346,0.955819196907881,0.752362035645265,0.951792999785269,0,0,0.965159974232338,0.939553360532532,0.944975305990981,0.969025123470045,0.957161262615418,0.969400901868155,0.949108868370195,0,0.720045093407773,0,0
ASNS,0,0.918080309211939,0.918080309211939,0.94019755207215,0.990068713764226,0.992054971011381,0.991786557869873,0.947337341636246,0,0.963978956409706,0,0.933648271419369,0.950773029847541,0.897895640970582,0.958288597809749,0.992001288383079,0,0,0.97788275713979,0.93805024694009,0.942720635602319,0.986203564526519,0.971065063345501,0.987116169207644,0.933755636675972,0,0.913087824779901,0,0
NCAPH2,0,0.780921193901653,0.780921193901653,0.7789886192828,0.952705604466395,0.946102641185312,0.941378569894782,0.80942666952974,0,0.81629804595233,0,0.807816190680696,0.784142151599742,0.812379214086322,0.776411853124329,0.94637105432682,0,0,0.852748550569036,0.796864934507193,0.84238780330685,0.882918187674469,0.819035859995705,0.899452437191325,0.872396392527378,0,0.833852265406914,0,0
GGA1,0,0.959630663517286,0.959630663517286,0.956678118960704,0.889682198840455,0.930910457375993,0.955228687996564,0.962797938587073,0,0.963173716985184,0,0.969078806098347,0.957751771526734,0.966985183594589,0.806581490229762,0.930319948464677,0,0,0.965911531028559,0.955550783766373,0.961402190251235,0.96521365686064,0.959630663517286,0.975950182520936,0.967844105647413,0,0.667060339274211,0,0
TRMT2A,0,0.895748335838523,0.895748335838523,0.851030706463388,0.798636461241142,0.830040798797509,0.819841099420228,0.876905733304703,0,0.909222675542194,0,0.853392742108654,0.869336482714194,0.92500536826283,0.455175005368263,0.828645050461671,0,0,0.9130341421516,0.837395318874812,0.814150740820271,0.9094374060554,0.897680910457376,0.772439338630019,0.806474124973159,0,0.171086536396822,0,0
NDUFA6,0,0.905840669959201,0.905840669959201,0.853929568391668,0.798636461241142,0.837395318874812,0.858975735452008,0.892903156538544,0,0.913087824779901,0,0.930480996349581,0.871269057333047,0.929622074296758,0.473695512132274,0.836160618423878,0,0,0.917006656645909,0.866598668670818,0.905357526304488,0.913195190036504,0.90181447283659,0.780545415503543,0.936332402834443,0,0.390702168778183,0,0
MCAT,0,0.953188748121108,0.953188748121108,0.946424736955121,0.798636461241142,0.885817049602749,0.963388447498389,0.968380931930427,0,0.951202490873953,0,0.959630663517286,0.948035215804166,0.961992699162551,0.810661369980674,0.883830792355594,0,0,0.951524586643762,0.963549495383294,0.961509555507838,0.948357311573975,0.945082671247584,0.927367403908095,0.954101352802233,0,0.910994202276143,0,0
GADD45GIP1,0,0.999785269486794,0.999785269486794,0.999785269486794,0.954745544341851,0.997047455443419,0.999087395318875,0.999838952115096,0,0.999946317371698,0,0.999946317371698,0.999785269486794,0.999785269486794,0.971333476487009,0.996886407558514,0,0,0.999785269486794,0.999838952115096,0.999946317371698,0.999570538973588,0.999946317371698,0.998765299549066,0.999946317371698,0,0.868584925917973,0,0
SELO,0,0.974876529954907,0.974876529954907,0.965428387373846,0.798636461241142,0.916040369336483,0.933218810392957,0.972729224822847,0,0.974339703671892,0,0.970206141292678,0.960919046596521,0.979761649130341,0.54058406699592,0.914268842602534,0,0,0.972568176937943,0.966233626798368,0.939392312647627,0.969132488726648,0.970474554434185,0.912443633240283,0.930856774747692,0,0.418509770238351,0,0
TRABD,0,0.967683057762508,0.967683057762508,0.951631951900365,0.798636461241142,0.906109083100709,0.923502254670389,0.964408417436118,0,0.966931500966287,0,0.960060124543698,0.945243719132489,0.97353446424737,0.532209576980889,0.90433755636676,0,0,0.965750483143655,0.955336053253167,0.925220098776036,0.961777968649345,0.960811681339918,0.903049173287524,0.916201417221387,0,0.486149881898218,0,0
UFD1L,0,0.774049817479064,0.774049817479064,0.75,0.889038007300837,0.762937513420657,0.800891131629805,0.791281941163839,0,0.788383079235559,0,0.769755207214945,0.743182306205712,0.805668885548636,0.441808030921194,0.763742752845179,0,0,0.810017178441056,0.775499248443204,0.731586858492592,0.810017178441056,0.781994846467683,0.745436976594374,0.694760575477775,0,0.677689499677904,0,0
EIF3D,0,0.794288168348722,0.794288168348722,0.817962207429676,0.798636461241142,0.723480781619068,0.712583208073867,0.79165771956195,0,0.802501610478849,0,0.817640111659867,0.84963495812755,0.827034571612626,0.950558299334335,0.721709254885119,0,0,0.818069572686279,0.776948679407344,0.807494094910887,0.808889843246725,0.791711402190251,0.629375134206571,0.876368907021688,0,0.171086536396822,0,0
EIF1,0,0.918992913893064,0.918992913893064,0.965106291604037,0.993074940949109,0.99312862357741,0.992967575692506,0.950773029847541,0,0.966824135709684,0,0.950665664590938,0.973695512132274,0.936976594374061,0.994041228258536,0.993235988834013,0,0,0.980298475413356,0.942452222460812,0.958986471977668,0.988565600171784,0.972729224822847,0.995383293966073,0.96086536396822,0,0.91813399184024,0,0
UHMK1,0,0.956409705819197,0.956409705819197,0.928065278076015,0.899613485076229,0.935258750268413,0.985452007730299,0.97718488297187,0,0.961509555507838,0,0.969615632381361,0.924790637749624,0.964408417436118,0.61520292033498,0.934560876100494,0,0,0.96483787846253,0.974822847326605,0.978849044449216,0.965321022117243,0.958234915181447,0.966555722568177,0.975144943096414,0,0.972568176937943,0,0
EEF1D,0,0.827356667382435,0.827356667382435,0.827356667382435,0.844427743182306,0.784893708395963,0.777109727292248,0.833744900150311,0,0.845125617350226,0,0.818391668456088,0.847433970367189,0.85688211294825,0.769969937728151,0.784088468971441,0,0,0.854197981533176,0.815385441271205,0.784034786343139,0.84856130556152,0.845877174146446,0.747154820700021,0.77211724286021,0,0.247799012239639,0,0
SNRPD3,0,0.845340347863431,0.845340347863431,0.833637534893708,0.843139360103071,0.874167919261327,0.96193901653425,0.950504616706034,0,0.892527378140434,0,0.929675756925059,0.856667382435044,0.897680910457376,0.590508911316298,0.873684775606614,0,0,0.917167704530814,0.942076444062701,0.950934077732446,0.921838093193043,0.890004294610264,0.955550783766373,0.942774318230621,0,0.943203779257032,0,0
MRPL40,0,0.955336053253167,0.955336053253167,0.924146446210006,0.991088683701954,0.994363324028344,0.990659222675542,0.961616920764441,0,0.978312218166201,0,0.951470904015461,0.922535967360962,0.963549495383294,0.642849473910243,0.99420227614344,0,0,0.986633025552931,0.952920334979601,0.936869229117458,0.992967575692506,0.981908954262401,0.987599312862358,0.924522224608117,0,0.736686708181233,0,0
TIMM44,0,0.713871591153103,0.713871591153103,0.671301266910028,0.988619282800086,0.98078161906807,0.961348507622933,0.759448142581061,0,0.791979815331759,0,0.755529310715053,0.667328752415718,0.75037577839811,0.678924200128838,0.981211080094481,0,0,0.845071934721924,0.744792785054756,0.772546703886622,0.929890487438265,0.80545415503543,0.956356023190895,0.780652780760146,0,0.875563667597166,0,0
