,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
MRPL55,0,0.974608116813399,0.974608116813399,0.974608116813399,0.974608116813399,0.974608116813399,0.974608116813399,0.974608116813399,0,0.974608116813399,0.974608116813399,0.973749194760576,0,0,0.974608116813399,0.974608116813399,1,0,1,0,0.974608116813399,1,1,0.974608116813399,1,0.974608116813399,0,0,0
TAOK1,0,0.857472621859566,0.857472621859566,0.857472621859566,0.857472621859566,0.857472621859566,0.857472621859566,0.857472621859566,0,0.857472621859566,0.857472621859566,0.855378999355808,0,0,0.857472621859566,0.857472621859566,1,0,1,0,0.857472621859566,1,1,0.857472621859566,1,0.857472621859566,0,0,0
NDUFA13,0,0.696156323813614,0.696156323813614,0.696156323813614,0.696156323813614,0.696156323813614,0.696156323813614,0.696156323813614,0,0.696156323813614,0.696156323813614,0.703081382864505,0,0,0.696156323813614,0.696156323813614,1,0,1,0,0.696156323813614,1,1,0.696156323813614,1,0.696156323813614,0,0,0
FAM195A,0,0.998711616920764,0.998711616920764,0.998711616920764,0.998711616920764,0.998711616920764,0.998711616920764,0.998711616920764,0,0.998711616920764,0.998711616920764,0.998657934292463,0,0,0.998711616920764,0.998711616920764,1,0,1,0,0.998711616920764,1,1,0.998711616920764,1,0.998711616920764,0,0,0
USP25,0,0.778666523512991,0.778666523512991,0.778666523512991,0.778666523512991,0.778666523512991,0.778666523512991,0.778666523512991,0,0.778666523512991,0.778666523512991,0.782424307494095,0,0,0.778666523512991,0.778666523512991,1,0,1,0,0.778666523512991,1,1,0.778666523512991,1,0.778666523512991,0,0,0
NDUFS8,0,0.79493235988834,0.79493235988834,0.79493235988834,0.79493235988834,0.79493235988834,0.79493235988834,0.79493235988834,0,0.79493235988834,0.79493235988834,0.78913463603178,0,0,0.79493235988834,0.79493235988834,1,0,1,0,0.79493235988834,1,1,0.79493235988834,1,0.79493235988834,0,0,0
LIMS1,0,0.855593729869014,0.855593729869014,0.855593729869014,0.855593729869014,0.855593729869014,0.855593729869014,0.855593729869014,0,0.855593729869014,0.855593729869014,0.871483787846253,0,0,0.855593729869014,0.855593729869014,1,0,1,0,0.855593729869014,1,1,0.855593729869014,1,0.855593729869014,0,0,0
MRPS34,0,0.992108653639682,0.992108653639682,0.992108653639682,0.992108653639682,0.992108653639682,0.992108653639682,0.992108653639682,0,0.992108653639682,0.992108653639682,0.991088683701954,0,0,0.992108653639682,0.992108653639682,1,0,1,0,0.992108653639682,1,1,0.992108653639682,1,0.992108653639682,0,0,0
ATP5D,0,0.917597165557226,0.917597165557226,0.917597165557226,0.917597165557226,0.917597165557226,0.917597165557226,0.917597165557226,0,0.917597165557226,0.917597165557226,0.923824350440198,0,0,0.917597165557226,0.917597165557226,1,0,1,0,0.917597165557226,1,1,0.917597165557226,1,0.917597165557226,0,0,0
C11orf83,0,0.996779042301911,0.996779042301911,0.996779042301911,0.996779042301911,0.996779042301911,0.996779042301911,0.996779042301911,0,0.996779042301911,0.996779042301911,0.996617994417007,0,0,0.996779042301911,0.996779042301911,1,0,1,0,0.996779042301911,1,1,0.996779042301911,1,0.996779042301911,0,0,0
GADD45GIP1,0,0.866383938157612,0.866383938157612,0.866383938157612,0.866383938157612,0.866383938157612,0.866383938157612,0.866383938157612,0,0.866383938157612,0.866383938157612,0.882166630878248,0,0,0.866383938157612,0.866383938157612,1,0,1,0,0.866383938157612,1,1,0.866383938157612,1,0.866383938157612,0,0,0
NDUFA11,0,0.969669315009663,0.969669315009663,0.969669315009663,0.969669315009663,0.969669315009663,0.969669315009663,0.969669315009663,0,0.969669315009663,0.969669315009663,0.96811251878892,0,0,0.969669315009663,0.969669315009663,1,0,1,0,0.969669315009663,1,1,0.969669315009663,1,0.969669315009663,0,0,0
SEC24A,0,0.712153747047455,0.712153747047455,0.712153747047455,0.712153747047455,0.712153747047455,0.712153747047455,0.712153747047455,0,0.712153747047455,0.712153747047455,0.736686708181233,0,0,0.712153747047455,0.712153747047455,1,0,1,0,0.712153747047455,1,1,0.712153747047455,1,0.712153747047455,0,0,0
C19orf70,0,0.649828215589435,0.649828215589435,0.649828215589435,0.649828215589435,0.649828215589435,0.649828215589435,0.649828215589435,0,0.649828215589435,0.649828215589435,0.678816834872235,0,0,0.649828215589435,0.649828215589435,1,0,1,0,0.649828215589435,1,1,0.649828215589435,1,0.649828215589435,0,0,0
IQGAP1,0,0.824726218595662,0.824726218595662,0.824726218595662,0.824726218595662,0.824726218595662,0.824726218595662,0.824726218595662,0,0.824726218595662,0.824726218595662,0.825692505905089,0,0,0.824726218595662,0.824726218595662,1,0,1,0,0.824726218595662,1,1,0.824726218595662,1,0.824726218595662,0,0,0
TNKS2,0,0.717146231479493,0.717146231479493,0.717146231479493,0.717146231479493,0.717146231479493,0.717146231479493,0.717146231479493,0,0.717146231479493,0.717146231479493,0.715750483143655,0,0,0.717146231479493,0.717146231479493,1,0,1,0,0.717146231479493,1,1,0.717146231479493,1,0.717146231479493,0,0,0
FDX1L,0,0.822793643976809,0.822793643976809,0.822793643976809,0.822793643976809,0.822793643976809,0.822793643976809,0.822793643976809,0,0.822793643976809,0.822793643976809,0.827249302125832,0,0,0.822793643976809,0.822793643976809,1,0,1,0,0.822793643976809,1,1,0.822793643976809,1,0.822793643976809,0,0,0
ZDHHC20,0,0.859727292248229,0.859727292248229,0.859727292248229,0.859727292248229,0.859727292248229,0.859727292248229,0.859727292248229,0,0.859727292248229,0.859727292248229,0.853929568391668,0,0,0.859727292248229,0.859727292248229,1,0,1,0,0.859727292248229,1,1,0.859727292248229,1,0.859727292248229,0,0,0
SSNA1,0,0.937245007515568,0.937245007515568,0.937245007515568,0.937245007515568,0.937245007515568,0.937245007515568,0.937245007515568,0,0.937245007515568,0.937245007515568,0.9347756066137,0,0,0.937245007515568,0.937245007515568,1,0,1,0,0.937245007515568,1,1,0.937245007515568,1,0.937245007515568,0,0,0
C16orf13,0,0.997637964354735,0.997637964354735,0.997637964354735,0.997637964354735,0.997637964354735,0.997637964354735,0.997637964354735,0,0.997637964354735,0.997637964354735,0.997637964354735,0,0,0.997637964354735,0.997637964354735,1,0,1,0,0.997637964354735,1,1,0.997637964354735,1,0.997637964354735,0,0,0
RPS19BP1,0,0.976594374060554,0.976594374060554,0.976594374060554,0.976594374060554,0.976594374060554,0.976594374060554,0.976594374060554,0,0.976594374060554,0.976594374060554,0.975091260468113,0,0,0.976594374060554,0.976594374060554,1,0,1,0,0.976594374060554,1,1,0.976594374060554,1,0.976594374060554,0,0,0
GABPA,0,0.702920334979601,0.702920334979601,0.702920334979601,0.702920334979601,0.702920334979601,0.702920334979601,0.702920334979601,0,0.702920334979601,0.702920334979601,0.698410994202276,0,0,0.702920334979601,0.702920334979601,1,0,1,0,0.702920334979601,1,1,0.702920334979601,1,0.702920334979601,0,0,0
