,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
LATS1,0.956197326748618,0.956197326748618,0.956197326748618,0.956197326748618,0.956197326748618,0.956197326748618,0.956197326748618,0.956197326748618,0.956197326748618,0.956197326748618,0.956197326748618,0,0.956197326748618,0.956197326748618,0.956197326748618,0.956197326748618,0.956197326748618,0.956197326748618,0.956197326748618,0.956197326748618,0.956197326748618,0.956197326748618,0.956197326748618,0.956197326748618,0,0.956197326748618,0.956197326748618,0.956197326748618,0.956197326748618
ADNP,0.939610285039455,0.939610285039455,0.939610285039455,0.939610285039455,0.939610285039455,0.939610285039455,0.939610285039455,0.939610285039455,0.939610285039455,0.939610285039455,0.939610285039455,0,0.939610285039455,0.939610285039455,0.939610285039455,0.939610285039455,0.939610285039455,0.939610285039455,0.939610285039455,0.939610285039455,0.939610285039455,0.939610285039455,0.939610285039455,0.939610285039455,0.939610285039455,0.939610285039455,0.939610285039455,0.939610285039455,0.939610285039455
ZNF791,0.960491706479145,0.960491706479145,0.960491706479145,0.960491706479145,0.960491706479145,0.960491706479145,0.960491706479145,0.960491706479145,0.960491706479145,0.960491706479145,0.960491706479145,0,0.960491706479145,0.960491706479145,0.960491706479145,0.960491706479145,0.960491706479145,0,0.960491706479145,0.960491706479145,0.960491706479145,0.960491706479145,0.960491706479145,0.960491706479145,0.960491706479145,0.960491706479145,0.960491706479145,0.960491706479145,0.960491706479145
KIF27,0,0.961350582425251,0.961350582425251,0.961350582425251,0.961350582425251,0.961350582425251,0.961350582425251,0.961350582425251,0.961350582425251,0.961350582425251,0.961350582425251,0.961350582425251,0.961350582425251,0.961350582425251,0.961350582425251,0.961350582425251,0.961350582425251,0.961350582425251,0.961350582425251,0.961350582425251,0.961350582425251,0.961350582425251,0.961350582425251,0.961350582425251,0.961350582425251,0.961350582425251,0.961350582425251,0.961350582425251,0.961350582425251
GTF2A1,0.963444092543883,0.963444092543883,0.963444092543883,0.963444092543883,0.963444092543883,0.963444092543883,0.963444092543883,0.963444092543883,0.963444092543883,0.963444092543883,0.963444092543883,0,0.963444092543883,0.963444092543883,0.963444092543883,0,0.963444092543883,0,0.963444092543883,0.963444092543883,0.963444092543883,0.963444092543883,0.963444092543883,0,0.963444092543883,0.963444092543883,0.963444092543883,0.963444092543883,0.963444092543883
RC3H2,0,0.970315100112727,0.970315100112727,0.970315100112727,0.970315100112727,0.970315100112727,0.970315100112727,0.970315100112727,0.970315100112727,0.970315100112727,0.970315100112727,0,0.970315100112727,0.970315100112727,0.970315100112727,0,0.970315100112727,0,0.970315100112727,0.970315100112727,0.970315100112727,0.970315100112727,0.970315100112727,0.970315100112727,0.970315100112727,0.970315100112727,0.970315100112727,0.970315100112727,0.970315100112727
ZKSCAN1,0,0.955070052069354,0.955070052069354,0.955070052069354,0.955070052069354,0.955070052069354,0.955070052069354,0.955070052069354,0.955070052069354,0.955070052069354,0.955070052069354,0,0.955070052069354,0.955070052069354,0.955070052069354,0.955070052069354,0.955070052069354,0.955070052069354,0.955070052069354,0.955070052069354,0.955070052069354,0.955070052069354,0.955070052069354,0,0,0.955070052069354,0.955070052069354,0.955070052069354,0.955070052069354
ZBTB6,0.982339363358205,0.982339363358205,0.982339363358205,0.982339363358205,0.982339363358205,0.982339363358205,0.982339363358205,0.982339363358205,0.982339363358205,0.982339363358205,0.982339363358205,0,0.982339363358205,0.982339363358205,0.982339363358205,0,0.982339363358205,0,0.982339363358205,0.982339363358205,0.982339363358205,0.982339363358205,0.982339363358205,0.982339363358205,0,0.982339363358205,0.982339363358205,0.982339363358205,0.982339363358205
GPATCH8,0,0.920983412958291,0,0.920983412958291,0.920983412958291,0.920983412958291,0.920983412958291,0.920983412958291,0.920983412958291,0.920983412958291,0.920983412958291,0,0.920983412958291,0.920983412958291,0.920983412958291,0.920983412958291,0.920983412958291,0.920983412958291,0.920983412958291,0,0,0.920983412958291,0.920983412958291,0.920983412958291,0,0.920983412958291,0.920983412958291,0.920983412958291,0.920983412958291
ZNF184,0.998228568361157,0.998228568361157,0.998228568361157,0.998228568361157,0.998228568361157,0.998228568361157,0.998228568361157,0.998228568361157,0.998228568361157,0,0.998228568361157,0,0.998228568361157,0.998228568361157,0,0.998228568361157,0.998228568361157,0.998228568361157,0.998228568361157,0.998228568361157,0.998228568361157,0.998228568361157,0.998228568361157,0.998228568361157,0.998228568361157,0.998228568361157,0.998228568361157,0.998228568361157,0.998228568361157
