,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
ZFP36L1,0,0.948303628945673,0.148754563023406,0,0.980727936439768,0.970152458664376,0,0.937030277002362,0,0.949001503113592,0.932950397251449,0,0,0,0.929138930642044,0.971601889628516,0,0,0.892634743397037,0,0,0,0,0.929138930642044,0,0.909974232338415,0,0.967629375134207,0
ZFP36,0,0.905840669959201,0.0206678118960704,0,0.99130341421516,0.989102426454799,0,0.970098776036075,0,0.98368048099635,0.9021902512347,0,0,0,0.891775821344213,0.976594374060554,0,0,0.979117457590724,0,0,0,0,0.891775821344213,0,0.965374704745544,0,0.955389735881469,0
FOS,0,0.913839381576122,0.0113270345716126,0,0.983734163624651,0.985452007730299,0,0.965159974232338,0,0.981050032209577,0.903317586429032,0,0,0,0.892795791281941,0.933487223534464,0,0,0.965374704745544,0,0,0,0,0.892795791281941,0,0.949538329396607,0,0.906377496242216,0
PFKFB3,0,0.976379643547348,0.199967790423019,0,0.960919046596521,0.98078161906807,0,0.987975091260468,0,0.961992699162551,0.978097487652996,0,0,0,0.977829074511488,0.86665235129912,0,0,0.907880609834657,0,0,0,0,0.977829074511488,0,0.962744255958772,0,0.947283659007945,0
MAFF,0,0.997208503328323,0.024747691646983,0,0.986847756066137,0.997154820700021,0,0.997906377496242,0,0.995705389735882,0.997584281726433,0,0,0,0.997208503328323,0.880985613055615,0,0,0.997047455443419,0,0,0,0,0.997208503328323,0,0.999731586858493,0,0.964569465321022,0
SOCS3,0,0.97788275713979,0.192666952974018,0,0.950289886192828,0.982875241571827,0,0.987814043375564,0,0.927689499677904,0.983787846252953,0,0,0,0.983787846252953,0.761058621430105,0,0,0.785752630448787,0,0,0,0,0.983787846252953,0,0.938372342709899,0,0.93949967790423,0
CSRNP1,0,0.99817479063775,0.959201202490874,0,0.93660081597595,0.953403478634314,0,0.993665449860425,0,0.983948894137857,0.99817479063775,0,0,0,0.99855056903586,0.964623147949324,0,0,0.992538114666094,0,0,0,0,0.99855056903586,0,0.999194760575478,0,0.993611767232124,0
IER3,0,0.992430749409491,0.190358599957054,0,0.997154820700021,0.999302125832081,0,0.998443203779257,0,0.99312862357741,0.987384582349152,0,0,0,0.987116169207644,0.95361820914752,0,0,0.958020184668241,0,0,0,0,0.987116169207644,0,0.980513205926562,0,0.975789134636032,0
EGR1,0,0.911477345930857,0.188426025338201,0,0.940412282585355,0.929514709040155,0,0.932681984109942,0,0.952329826068284,0.881790852480137,0,0,0,0.878730942666953,0.926347433970367,0,0,0.921462314794932,0,0,0,0,0.878730942666953,0,0.903908095340348,0,0.899881898217737,0
EPHA2,0,0.779525445565815,0.773512991196049,0,0.754455658149023,0.74167919261327,0,0.807225681769379,0,0.866169207644406,0.733465750483144,0,0,0,0.737062486579343,0.797723856560017,0,0,0.885602319089543,0,0,0,0,0.737062486579343,0,0.824618853339059,0,0.712583208073867,0
PLK3,0,0.821934721923985,0.88694438479708,0,0.934990337126906,0.916201417221387,0,0.904176508481855,0,0.955336053253167,0.763474339703672,0,0,0,0.767607902082886,0.928655786987331,0,0,0.971870302770024,0,0,0,0,0.767607902082886,0,0.917114021902512,0,0.82681984109942,0
JUNB,0,0.991571827356667,0.915181447283659,0,0.991625509984969,0.991571827356667,0,0.997208503328323,0,0.994846467683058,0.986740390809534,0,0,0,0.987008803951041,0.987867726003865,0,0,0.994524371913249,0,0,0,0,0.987008803951041,0,0.99527592870947,0,0.99022976164913,0
LIF,0,0.992860210435903,0.856184238780331,0,0.891561090831007,0.913732016319519,0,0.975305990981318,0,0.954584496456947,0.9927528451793,0,0,0,0.992913893064204,0.91775821344213,0,0,0.960596950826712,0,0,0,0,0.992913893064204,0,0.989907665879321,0,0.977990122396392,0
KLF10,0,0.77356667382435,0.0140648486149882,0,0.980888984324673,0.976379643547348,0,0.864988189821774,0,0.905411208932789,0.765675327464033,0,0,0,0.746242216018896,0.910779471762937,0,0,0.826175649559802,0,0,0,0,0.746242216018896,0,0.792194545844965,0,0.865793429246296,0
DDIT4,0,0.986686708181233,0.0628086751127335,0,0.987975091260468,0.994739102426455,0,0.994685419798153,0,0.997315868584926,0.980030062271849,0,0,0,0.979171140219025,0.922428602104359,0,0,0.997530599098132,0,0,0,0,0.979171140219025,0,0.995973802877389,0,0.924575907236418,0
ATF3,0,0.996456946532102,0.149184024049817,0,0.949055185741894,0.981962636890702,0,0.992216018896285,0,0.965535752630449,0.997530599098132,0,0,0,0.997423233841529,0.846950826712476,0,0,0.961616920764441,0,0,0,0,0.997423233841529,0,0.994953832939661,0,0.977077517715267,0
PPP1R15A,0,0.889628516212154,0.0403156538544127,0,0.991249731586858,0.977721709254885,0,0.954638179085248,0,0.989370839596307,0.859083100708611,0,0,0,0.845769808889843,0.99382649774533,0,0,0.989585570109513,0,0,0,0,0.845769808889843,0,0.963442130126691,0,0.967897788275714,0
FOSL2,0,0.734324672535967,0.0755314580201847,0,0.74710113807172,0.783068499033713,0,0.737116169207644,0,0.798851191754348,0.756602963281082,0,0,0,0.748711616920764,0.666523512991196,0,0,0.871966931500966,0,0,0,0,0.748711616920764,0,0.844374060554005,0,0.659652136568606,0
BCL3,0,0.983734163624651,0.0811144513635388,0,0.992484432037793,0.993719132488727,0,0.988887695941593,0,0.986525660296328,0.977077517715267,0,0,0,0.975252308353017,0.956731801589006,0,0,0.945028988619283,0,0,0,0,0.975252308353017,0,0.965696800515353,0,0.970528237062487,0
ADM,0,0.880878247799012,0.216609405196478,0,0.910403693364827,0.864773459308568,0,0.845877174146446,0,0.866759716555723,0.855754777753919,0,0,0,0.851567532746403,0.924307494094911,0,0,0.771902512347004,0,0,0,0,0.851567532746403,0,0.802877388876959,0,0.913624651062916,0
DUSP5,0,0.957698088898432,0.979224822847327,0,0.880502469400902,0.883938157612197,0,0.946585784840026,0,0.823223105003221,0.977560661369981,0,0,0,0.9782585355379,0.932198840455229,0,0,0.826551427957913,0,0,0,0,0.9782585355379,0,0.953188748121108,0,0.988458234915181,0
MCL1,0,0.998765299549066,0.938318660081598,0,0.935688211294825,0.966394674683272,0,0.99602748550569,0,0.974393386300193,0.999194760575478,0,0,0,0.999248443203779,0.937781833798583,0,0,0.978795361820915,0,0,0,0,0.999248443203779,0,0.998496886407559,0,0.994524371913249,0
HBEGF,0,0.803092119390165,0.85725789134636,0,0.787953618209148,0.702007730298475,0,0.727506978741679,0,0.852265406914323,0.705228687996564,0,0,0,0.708395963066352,0.861713549495383,0,0,0.836106935795577,0,0,0,0,0.708395963066352,0,0.744524371913249,0,0.739961348507623,0
MIDN,0,0.891346360317801,0.01014601674898,0,0.997584281726433,0.993665449860425,0,0.962422160188963,0,0.988297187030277,0.87862357741035,0,0,0,0.861069357955766,0.995222246081168,0,0,0.980620571183165,0,0,0,0,0.861069357955766,0,0.956839166845609,0,0.981962636890702,0
ZC3H12A,0,0.704638179085248,0.125671032853769,0,0.734968864075585,0.773781404337556,0,0.753382005582993,0,0.724124973158686,0.748496886407559,0,0,0,0.743235988834013,0.664698303628946,0,0,0.740873953188748,0,0,0,0,0.743235988834013,0,0.77464032639038,0,0.712368477560661,0
