,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
CHERP,0,0.785645265192184,0.827141936869229,0.796864934507193,0.824565170710758,0.862465106291604,0.863001932574619,0.896768305776251,0,0,0,0.828645050461671,0.913141507408203,0,0.878033068499034,0.808406699592012,0.855593729869014,0.829826068284303,0.825799871161692,0,0.887910672106506,0.731586858492592,0.879321451578269,0.783551642688426,0.714891561090831,0,0.863592441485935,0.82751771526734,0.832402834442774
WIZ,0,0.718434614558729,0.897895640970582,0.802716340992055,0.720850332832295,0.867242860210436,0.908632166630878,0.813238136139145,0,0,0,0.860693579557655,0.895587287953618,0,0.930480996349581,0.784678977882757,0.802286879965643,0.936117672321237,0.955926562164484,0,0.921032853768521,0.753650418724501,0.828698733089972,0.884689714408417,0.679514709040155,0,0.878086751127335,0.641400042946103,0.903156538544127
HCFC1,0,0.900579772385656,0.698088898432467,0.949001503113592,0.970796650203994,0.9710113807172,0.780599098131845,0.947713120034357,0,0,0,0.860586214301052,0.943901653424952,0,0.744309641400043,0.914537255744041,0.974124973158686,0.775445565814902,0.800139574833584,0,0.919100279149667,0.766748980030062,0.837932145157827,0.982016319519004,0.926132703457161,0,0.800837449001503,0.9492699162551,0.870839596306635
UPF1,0,0.800407987975091,0.854305346789779,0.742323384152888,0.782370624865793,0.81377496242216,0.874758428172643,0.875134206570754,0,0,0,0.630556152029203,0.866598668670818,0,0.822954691861714,0.795308138286451,0.86847756066137,0.816727506978742,0.785698947820485,0,0.777646553575263,0.741947605754778,0.839220528237063,0.898969293536612,0.745812754992484,0,0.569411638393816,0.836375348937084,0.820002147305132
AKAP8,0,0.88876959415933,0.769325746188533,0.957268627872021,0.894943096414,0.90288812540262,0.888930642044234,0.905357526304488,0,0,0,0.661853124328967,0.840025767661585,0,0.898271419368692,0.853070646338845,0.916845608761005,0.867618638608546,0.895963066351729,0,0.875778398110372,0.883669744470689,0.892903156538544,0.883938157612197,0.906109083100709,0,0.833154391238995,0.9347756066137,0.869282800085892
PRR12,0,0.910242645479923,0.995866437620786,0.955389735881469,0.923448572042087,0.989048743826498,0.977077517715267,0.938426025338201,0,0,0,0.968756710328538,0.965535752630449,0,0.98657934292463,0.986149881898218,0.959523298260683,0.980244792785055,0.982714193686923,0,0.968434614558729,0.94492162336268,0.994309641400043,0.987545630234056,0.943418509770238,0,0.931769379428817,0.944814258106077,0.979654283873738
GATAD2A,0,0.813291818767447,0.901707107579987,0.794771312003436,0.756495598024479,0.788275713978956,0.825048314365471,0.747799012239639,0,0,0,0.939714408417436,0.772170925488512,0,0.796489156109083,0.840831007086107,0.818337985827786,0.800515353231694,0.932467253596736,0,0.748657934292463,0.857633669744471,0.807010951256174,0.685366115525016,0.795361820914752,0,0.8007300837449,0.739156109083101,0.812540261971226
DNMT1,0,0.605378999355808,0.858814687567103,0.893332617564956,0.592978312218166,0.805346789778828,0.779954906592227,0.715804165771956,0,0,0,0.849581275499248,0.777807601460167,0,0.850977023835087,0.918939231264763,0.709362250375778,0.751878891990552,0.925703242430749,0,0.72138715911531,0.648056688855486,0.938855486364612,0.697176293751342,0.565814902297616,0,0.677796864934507,0.714354734807816,0.842817264333262
SAMD4B,0,0.777646553575263,0.8478097487653,0.851567532746403,0.834764870088039,0.772331973373416,0.711992699162551,0.80035430534679,0,0,0,0.881200343568821,0.751019969937728,0,0.868638608546274,0.727023835086966,0.796650203993988,0.917060339274211,0.876422589649989,0,0.844105647412497,0.87100064419154,0.74710113807172,0.67645479922697,0.880985613055615,0,0.889252737814043,0.748711616920764,0.810607687352373
EPS15L1,0,0.681125187889199,0.857633669744471,0.802018466824136,0.60001073652566,0.654498604251664,0.507837663732016,0.659222675542194,0,0,0,0.864827141936869,0.736686708181233,0,0.593139360103071,0.726701739317157,0.588254240927636,0.440304917328752,0.782424307494095,0,0.55362894567318,0.563130770882542,0.776948679407344,0.60253382005583,0.609190465965214,0,0.607204208718059,0.694814258106077,0.538222031350655
