,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
CBFA2T3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SH2D3C,0,0.995812979762736,0,0.995812979762736,0,0.995812979762736,0.995812979762736,0.995812979762736,0.995812979762736,0.995812979762736,0.995812979762736,0,0.995812979762736,0.995812979762736,0.995812979762736,0.995812979762736,0.995812979762736,0.995812979762736,0.995812979762736,0,0,0.995812979762736,0.995812979762736,0.995812979762736,0,0.995812979762736,0.995812979762736,0.995812979762736,0.995812979762736
ADORA2A,0,0.996457136722315,0,0.996457136722315,0,0.996457136722315,0.996457136722315,0.996457136722315,0.996457136722315,0.996457136722315,0.996457136722315,0,0,0.996457136722315,0.996457136722315,0.996457136722315,0.996457136722315,0.996457136722315,0.996457136722315,0.996457136722315,0,0.996457136722315,0.996457136722315,0.996457136722315,0,0.996457136722315,0.996457136722315,0.996457136722315,0.996457136722315
PTPRCAP,0,0.998980084814,0,0.998980084814,0,0.998980084814,0.998980084814,0,0.998980084814,0,0.998980084814,0.998980084814,0,0.998980084814,0.998980084814,0.998980084814,0.998980084814,0.998980084814,0.998980084814,0,0,0.998980084814,0.998980084814,0.998980084814,0.998980084814,0.998980084814,0.998980084814,0.998980084814,0.998980084814
ATP2A3,0,0,0.946964410327983,0.946964410327983,0,0.946964410327983,0.946964410327983,0.946964410327983,0.946964410327983,0.946964410327983,0.946964410327983,0.946964410327983,0,0.946964410327983,0,0.946964410327983,0.946964410327983,0.946964410327983,0,0.946964410327983,0,0,0.946964410327983,0,0.946964410327983,0.946964410327983,0.946964410327983,0.946964410327983,0.946964410327983
PLCG2,0,0.977722905147888,0,0,0.977722905147888,0.977722905147888,0.977722905147888,0.977722905147888,0.977722905147888,0.977722905147888,0.977722905147888,0,0,0.977722905147888,0.977722905147888,0.977722905147888,0.977722905147888,0.977722905147888,0.977722905147888,0.977722905147888,0,0.977722905147888,0.977722905147888,0.977722905147888,0.977722905147888,0.977722905147888,0,0.977722905147888,0.977722905147888
TBC1D10C,0,0.997799130388105,0,0.997799130388105,0,0.997799130388105,0.997799130388105,0,0.997799130388105,0,0.997799130388105,0.997799130388105,0,0.997799130388105,0.997799130388105,0.997799130388105,0.997799130388105,0.997799130388105,0.997799130388105,0,0,0.997799130388105,0.997799130388105,0.997799130388105,0.997799130388105,0.997799130388105,0.997799130388105,0.997799130388105,0.997799130388105
SNAI3,0,0.999516882280316,0.999516882280316,0.999516882280316,0.999516882280316,0.999516882280316,0.999516882280316,0.999516882280316,0.999516882280316,0,0.999516882280316,0,0,0.999516882280316,0.999516882280316,0.999516882280316,0.999516882280316,0.999516882280316,0.999516882280316,0.999516882280316,0.999516882280316,0.999516882280316,0.999516882280316,0,0.999516882280316,0.999516882280316,0,0.999516882280316,0.999516882280316
RCSD1,0,0.97611251274894,0,0,0.97611251274894,0.97611251274894,0.97611251274894,0,0.97611251274894,0.97611251274894,0.97611251274894,0,0,0.97611251274894,0.97611251274894,0.97611251274894,0.97611251274894,0.97611251274894,0.97611251274894,0,0,0.97611251274894,0.97611251274894,0.97611251274894,0.97611251274894,0.97611251274894,0.97611251274894,0.97611251274894,0.97611251274894
GRAP,0,0.946964410327983,0,0.946964410327983,0,0,0.946964410327983,0,0.946964410327983,0.946964410327983,0.946964410327983,0.946964410327983,0,0.946964410327983,0.946964410327983,0.946964410327983,0.946964410327983,0.946964410327983,0.946964410327983,0.946964410327983,0,0.946964410327983,0.946964410327983,0,0,0.946964410327983,0.946964410327983,0.946964410327983,0.946964410327983
SCARF1,0,0.982768801331258,0,0.982768801331258,0,0.982768801331258,0.982768801331258,0.982768801331258,0.982768801331258,0.982768801331258,0.982768801331258,0.982768801331258,0,0.982768801331258,0.982768801331258,0.982768801331258,0.982768801331258,0.982768801331258,0.982768801331258,0.982768801331258,0,0.982768801331258,0.982768801331258,0.982768801331258,0,0.982768801331258,0,0.982768801331258,0.982768801331258
S1PR4,0,0.978420741854098,0,0.978420741854098,0.978420741854098,0.978420741854098,0.978420741854098,0.978420741854098,0.978420741854098,0.978420741854098,0.978420741854098,0,0,0.978420741854098,0.978420741854098,0.978420741854098,0.978420741854098,0.978420741854098,0,0.978420741854098,0,0.978420741854098,0.978420741854098,0.978420741854098,0.978420741854098,0.978420741854098,0,0.978420741854098,0.978420741854098
USHBP1,0,0.957217241934618,0,0.957217241934618,0.957217241934618,0,0.957217241934618,0.957217241934618,0.957217241934618,0.957217241934618,0.957217241934618,0,0,0.957217241934618,0.957217241934618,0.957217241934618,0.957217241934618,0.957217241934618,0.957217241934618,0.957217241934618,0,0.957217241934618,0.957217241934618,0.957217241934618,0,0.957217241934618,0,0.957217241934618,0.957217241934618
ADCY4,0,0.97208653175157,0,0.97208653175157,0.97208653175157,0.97208653175157,0.97208653175157,0.97208653175157,0.97208653175157,0.97208653175157,0.97208653175157,0,0,0.97208653175157,0.97208653175157,0.97208653175157,0.97208653175157,0.97208653175157,0,0.97208653175157,0,0.97208653175157,0.97208653175157,0.97208653175157,0,0.97208653175157,0,0.97208653175157,0.97208653175157
IKZF1,0,0.977937624134414,0,0.977937624134414,0.977937624134414,0.977937624134414,0.977937624134414,0,0.977937624134414,0,0.977937624134414,0,0,0.977937624134414,0.977937624134414,0.977937624134414,0.977937624134414,0.977937624134414,0.977937624134414,0,0,0.977937624134414,0.977937624134414,0.977937624134414,0.977937624134414,0,0.977937624134414,0.977937624134414,0.977937624134414
PPP1R16B,0,0.960491706479145,0,0.960491706479145,0,0.960491706479145,0.960491706479145,0,0.960491706479145,0.960491706479145,0.960491706479145,0.960491706479145,0,0.960491706479145,0.960491706479145,0.960491706479145,0.960491706479145,0.960491706479145,0.960491706479145,0,0,0.960491706479145,0.960491706479145,0.960491706479145,0,0.960491706479145,0,0.960491706479145,0.960491706479145
KCNA3,0,0.96065274571904,0,0.96065274571904,0,0.96065274571904,0.96065274571904,0,0.96065274571904,0,0.96065274571904,0,0,0.96065274571904,0.96065274571904,0.96065274571904,0.96065274571904,0.96065274571904,0.96065274571904,0,0,0.96065274571904,0.96065274571904,0.96065274571904,0.96065274571904,0.96065274571904,0.96065274571904,0.96065274571904,0.96065274571904
GNG7,0,0.96065274571904,0,0,0,0.96065274571904,0.96065274571904,0.96065274571904,0.96065274571904,0,0.96065274571904,0.96065274571904,0,0.96065274571904,0.96065274571904,0.96065274571904,0,0.96065274571904,0.96065274571904,0,0.96065274571904,0,0.96065274571904,0.96065274571904,0,0.96065274571904,0,0.96065274571904,0.96065274571904
GRASP,0,0.932256159750926,0,0.932256159750926,0,0,0.932256159750926,0.932256159750926,0.932256159750926,0.932256159750926,0.932256159750926,0,0.932256159750926,0.932256159750926,0.932256159750926,0.932256159750926,0,0.932256159750926,0,0.932256159750926,0,0.932256159750926,0.932256159750926,0.932256159750926,0,0.932256159750926,0,0.932256159750926,0.932256159750926
HSPA12B,0,0.97949433678673,0,0.97949433678673,0.97949433678673,0,0.97949433678673,0.97949433678673,0.97949433678673,0.97949433678673,0.97949433678673,0,0,0.97949433678673,0.97949433678673,0.97949433678673,0.97949433678673,0.97949433678673,0,0.97949433678673,0,0.97949433678673,0.97949433678673,0.97949433678673,0,0.97949433678673,0,0.97949433678673,0.97949433678673
ENG,0,0.935047506575769,0,0.935047506575769,0,0.935047506575769,0.935047506575769,0,0.935047506575769,0.935047506575769,0.935047506575769,0,0,0.935047506575769,0.935047506575769,0.935047506575769,0.935047506575769,0.935047506575769,0.935047506575769,0.935047506575769,0,0,0.935047506575769,0.935047506575769,0,0.935047506575769,0,0.935047506575769,0.935047506575769
DTX1,0,0.942723710344087,0,0.942723710344087,0.942723710344087,0.942723710344087,0.942723710344087,0,0.942723710344087,0,0.942723710344087,0,0,0.942723710344087,0.942723710344087,0.942723710344087,0.942723710344087,0.942723710344087,0.942723710344087,0,0.942723710344087,0.942723710344087,0.942723710344087,0.942723710344087,0.942723710344087,0,0,0.942723710344087,0.942723710344087
ACSF3,0.993719469644103,0.993719469644103,0.993719469644103,0.993719469644103,0,0,0.993719469644103,0.993719469644103,0.993719469644103,0,0.993719469644103,0.993719469644103,0,0.993719469644103,0,0.993719469644103,0,0.993719469644103,0,0.993719469644103,0.993719469644103,0.993719469644103,0.993719469644103,0,0,0.993719469644103,0.993719469644103,0.993719469644103,0.993719469644103
LCN10,0.967201674808095,0.967201674808095,0,0.967201674808095,0.967201674808095,0,0.967201674808095,0,0.967201674808095,0.967201674808095,0.967201674808095,0,0,0.967201674808095,0.967201674808095,0.967201674808095,0.967201674808095,0.967201674808095,0.967201674808095,0,0,0.967201674808095,0.967201674808095,0.967201674808095,0,0,0,0.967201674808095,0.967201674808095
PREX1,0,0,0,0.9340812711364,0,0,0.9340812711364,0,0.9340812711364,0.9340812711364,0.9340812711364,0,0,0.9340812711364,0.9340812711364,0.9340812711364,0.9340812711364,0.9340812711364,0.9340812711364,0.9340812711364,0,0.9340812711364,0.9340812711364,0.9340812711364,0,0.9340812711364,0,0.9340812711364,0.9340812711364
SLAMF1,0,0.968865746953674,0,0.968865746953674,0,0.968865746953674,0.968865746953674,0,0.968865746953674,0,0.968865746953674,0,0,0.968865746953674,0.968865746953674,0,0.968865746953674,0.968865746953674,0.968865746953674,0,0,0.968865746953674,0.968865746953674,0.968865746953674,0.968865746953674,0,0.968865746953674,0.968865746953674,0.968865746953674
BIN2,0,0,0,0.954318535616512,0.954318535616512,0.954318535616512,0.954318535616512,0,0.954318535616512,0,0.954318535616512,0,0,0.954318535616512,0.954318535616512,0.954318535616512,0.954318535616512,0.954318535616512,0.954318535616512,0,0,0.954318535616512,0.954318535616512,0.954318535616512,0.954318535616512,0,0.954318535616512,0.954318535616512,0.954318535616512
RNF166,0.997852810134736,0.997852810134736,0.997852810134736,0.997852810134736,0,0,0.997852810134736,0.997852810134736,0.997852810134736,0.997852810134736,0.997852810134736,0,0,0.997852810134736,0.997852810134736,0.997852810134736,0.997852810134736,0.997852810134736,0.997852810134736,0.997852810134736,0.997852810134736,0.997852810134736,0.997852810134736,0,0,0.997852810134736,0,0.997852810134736,0.997852810134736
SPN,0,0.93944924579956,0,0.93944924579956,0,0.93944924579956,0.93944924579956,0,0.93944924579956,0,0.93944924579956,0,0,0.93944924579956,0.93944924579956,0.93944924579956,0.93944924579956,0.93944924579956,0.93944924579956,0,0,0,0.93944924579956,0.93944924579956,0.93944924579956,0,0.93944924579956,0.93944924579956,0.93944924579956
KLHL14,0,0.983251919050942,0,0.983251919050942,0.983251919050942,0.983251919050942,0.983251919050942,0.983251919050942,0.983251919050942,0,0.983251919050942,0,0.983251919050942,0.983251919050942,0.983251919050942,0,0.983251919050942,0.983251919050942,0.983251919050942,0,0,0.983251919050942,0.983251919050942,0.983251919050942,0,0,0,0.983251919050942,0.983251919050942
FMNL3,0.988083096247786,0,0,0.988083096247786,0.988083096247786,0,0.988083096247786,0,0.988083096247786,0.988083096247786,0.988083096247786,0.988083096247786,0,0.988083096247786,0.988083096247786,0.988083096247786,0.988083096247786,0.988083096247786,0,0.988083096247786,0,0,0.988083096247786,0.988083096247786,0,0.988083096247786,0,0.988083096247786,0.988083096247786
TNFRSF13B,0,0.978903859573783,0,0.978903859573783,0,0.978903859573783,0.978903859573783,0.978903859573783,0.978903859573783,0,0.978903859573783,0,0,0.978903859573783,0.978903859573783,0.978903859573783,0.978903859573783,0.978903859573783,0.978903859573783,0,0,0.978903859573783,0.978903859573783,0.978903859573783,0,0,0,0.978903859573783,0.978903859573783
PSTPIP1,0,0.986365344355575,0,0.986365344355575,0,0.986365344355575,0.986365344355575,0.986365344355575,0.986365344355575,0,0.986365344355575,0,0,0.986365344355575,0.986365344355575,0.986365344355575,0.986365344355575,0.986365344355575,0.986365344355575,0,0,0.986365344355575,0.986365344355575,0.986365344355575,0.986365344355575,0.986365344355575,0,0.986365344355575,0.986365344355575
ADAM33,0,0.994524665843577,0,0.994524665843577,0.994524665843577,0,0.994524665843577,0.994524665843577,0.994524665843577,0.994524665843577,0.994524665843577,0,0.994524665843577,0.994524665843577,0.994524665843577,0.994524665843577,0,0.994524665843577,0.994524665843577,0,0,0,0.994524665843577,0.994524665843577,0,0.994524665843577,0,0.994524665843577,0.994524665843577
EGFL7,0,0.97106661656557,0.97106661656557,0.97106661656557,0,0,0.97106661656557,0,0.97106661656557,0.97106661656557,0.97106661656557,0.97106661656557,0.97106661656557,0.97106661656557,0,0,0,0.97106661656557,0.97106661656557,0.97106661656557,0,0.97106661656557,0.97106661656557,0,0,0.97106661656557,0,0.97106661656557,0.97106661656557
GPR146,0,0.981480487412099,0,0.981480487412099,0,0,0.981480487412099,0.981480487412099,0.981480487412099,0,0.981480487412099,0.981480487412099,0,0.981480487412099,0.981480487412099,0,0.981480487412099,0.981480487412099,0.981480487412099,0,0.981480487412099,0.981480487412099,0.981480487412099,0.981480487412099,0,0.981480487412099,0,0.981480487412099,0.981480487412099
MAPK11,0,0.9835203177841,0.9835203177841,0.9835203177841,0,0,0.9835203177841,0,0.9835203177841,0.9835203177841,0.9835203177841,0.9835203177841,0.9835203177841,0.9835203177841,0.9835203177841,0,0,0.9835203177841,0,0,0,0.9835203177841,0.9835203177841,0.9835203177841,0.9835203177841,0.9835203177841,0,0.9835203177841,0.9835203177841
NHLRC4,0,0.942294272371034,0,0,0,0,0.942294272371034,0.942294272371034,0.942294272371034,0.942294272371034,0.942294272371034,0.942294272371034,0,0.942294272371034,0,0.942294272371034,0.942294272371034,0.942294272371034,0,0,0,0.942294272371034,0.942294272371034,0.942294272371034,0,0,0.942294272371034,0.942294272371034,0.942294272371034
CD37,0,0.934671748349348,0,0.934671748349348,0,0.934671748349348,0.934671748349348,0,0.934671748349348,0,0.934671748349348,0,0,0.934671748349348,0.934671748349348,0.934671748349348,0.934671748349348,0.934671748349348,0.934671748349348,0,0,0,0.934671748349348,0.934671748349348,0.934671748349348,0,0,0.934671748349348,0.934671748349348
KCNN3,0,0.995544581029578,0,0.995544581029578,0,0.995544581029578,0.995544581029578,0.995544581029578,0.995544581029578,0.995544581029578,0.995544581029578,0,0,0.995544581029578,0.995544581029578,0,0.995544581029578,0.995544581029578,0.995544581029578,0,0,0.995544581029578,0.995544581029578,0.995544581029578,0,0.995544581029578,0,0.995544581029578,0.995544581029578
