,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
ASPSCR1,0,0.978312218166201,0.974876529954907,0.976540691432253,0,0.978365900794503,0.964247369551213,0,0,0,0.977292248228473,0,0.960006441915396,0.983304702598239,0.971118745973803,0.971440841743612,0,0.966126261541765,0,0,0,0.966126261541765,0.966824135709684,0.963334764870088,0,0.964569465321022,0.939821773674039,0,0
GPS1,0,0.997154820700021,0.99602748550569,0.996403263903801,0,0.997047455443419,0.990605540047241,0,0,0,0.996832724930213,0,0.99167919261327,0.998013742752845,0.995061198196264,0.995436976594374,0,0.992323384152888,0,0,0,0.993504401975521,0.993558084603822,0.992108653639682,0,0.991142366330256,0.987545630234056,0,0
CCDC137,0,0.954316083315439,0.954691861713549,0.958288597809749,0,0.973319733734164,0.915503543053468,0,0,0,0.954477131200344,0,0.950880395104144,0.96811251878892,0.957268627872021,0.953135065492807,0,0.983304702598239,0,0,0,0.975198625724715,0.941700665664591,0.939929138930642,0,0.922160188962852,0.962153747047455,0,0
SIRT7,0,0.99817479063775,0.998228473266051,0.998657934292463,0,0.999141077947176,0.994363324028344,0,0,0,0.998228473266051,0,0.997960060124544,0.99892634743397,0.998443203779257,0.99817479063775,0,0.99855056903586,0,0,0,0.998872664805669,0.99747691646983,0.997530599098132,0,0.995329611337771,0.997906377496242,0,0
NAT9,0,0.883508696585785,0.885709684346146,0.895318874812111,0,0.939016534249517,0.772546703886622,0,0,0,0.884099205497101,0,0.88479707966502,0.922643332617565,0.898969293536612,0.881683487223535,0,0.976111230405841,0,0,0,0.951954047670174,0.850977023835087,0.847219239853983,0,0.789993558084604,0.929568391668456,0,0
POLG2,0,0.877281511702813,0.921569680051535,0.919744470689285,0,0.939553360532532,0.898808245651707,0,0,0,0.894298904874383,0,0.960060124543698,0.886998067425381,0.94529740176079,0.931125187889199,0,0.964086321666309,0,0,0,0.96628730942667,0.932091475198626,0.940680695726863,0,0.909813184453511,0.979224822847327,0,0
DUS1L,0,0.989907665879321,0.987223534464247,0.988995061198196,0,0.992216018896285,0.974232338415289,0,0,0,0.989424522224608,0,0.981050032209577,0.99420227614344,0.987169851835946,0.985988834013313,0,0.991571827356667,0,0,0,0.990068713764226,0.981479493235989,0.979385870732231,0,0.975520721494524,0.979815331758643,0,0
ARL16,0,0.936708181232553,0.949699377281512,0.950934077732446,0,0.961670603392742,0.926615847111875,0,0,0,0.941110156753275,0,0.959201202490874,0.947068928494739,0.955497101138072,0.950665664590938,0,0.970796650203994,0,0,0,0.969615632381361,0.947444706892849,0.948625724715482,0,0.932413570968435,0.969239853983251,0,0
TSEN54,0,0.908846897144084,0.923019111015675,0.92210650633455,0,0.926884260253382,0.914376207859137,0,0,0,0.913141507408203,0,0.93622503757784,0.90906162765729,0.931447283659008,0.926132703457161,0,0.916845608761005,0,0,0,0.932306205711832,0.925810607687352,0.92897788275714,0,0.918456087610049,0.937406055400472,0,0
LRRC45,0,0.997852694867941,0.99565170710758,0.995544341850977,0,0.990873953188748,0.996456946532102,0,0,0,0.99747691646983,0,0.987706678118961,0.996403263903801,0.991732875241572,0.995007515567962,0,0.919153961777969,0,0,0,0.970045093407773,0.994953832939661,0.993558084603822,0,0.996081168133992,0.948035215804166,0,0
STRA13,0,0.997530599098132,0.995436976594374,0.995222246081168,0,0.990551857418939,0.996134850762293,0,0,0,0.99710113807172,0,0.987277217092549,0.996134850762293,0.991410779471763,0.99457805454155,0,0.919905518574189,0,0,0,0.96956194975306,0.99457805454155,0.993289671462315,0,0.995866437620786,0.947552072149452,0,0
NARF,0,0.968005153532317,0.961831651277647,0.965911531028559,0,0.976594374060554,0.930534678977883,0,0,0,0.966824135709684,0,0.947874167919261,0.9782585355379,0.960972729224823,0.958825424092764,0,0.98115739746618,0,0,0,0.972997637964355,0.948679407343784,0.943525875026841,0,0.933863001932575,0.949162550998497,0,0
ANAPC11,0,0.984002576766158,0.99022976164913,0.989907665879321,0,0.990820270560447,0.986847756066137,0,0,0,0.987169851835946,0,0.993611767232124,0.984324672535967,0.992108653639682,0.991249731586858,0,0.98443203779257,0,0,0,0.991571827356667,0.991518144728366,0.991947605754778,0,0.988297187030277,0.993289671462315,0,0
HGS,0,0.936654498604252,0.949592012024909,0.950880395104144,0,0.961563238136139,0.926562164483573,0,0,0,0.941056474124973,0,0.959040154605969,0.947015245866438,0.95544341850977,0.950504616706034,0,0.970689284947391,0,0,0,0.969508267124758,0.947337341636246,0.948572042087181,0,0.932306205711832,0.969132488726648,0,0
NUP85,0,0.869604895855701,0.843300407987975,0.846897144084174,0,0.841099420227614,0.827088254240928,0,0,0,0.861820914751986,0,0.786933648271419,0.873738458234915,0.822632596091905,0.832456517071076,0,0.794019755207215,0,0,0,0.793214515782693,0.821075799871162,0.810285591582564,0,0.824833583852265,0.74022976164913,0,0
MAZ,0,0.868692291174576,0.87899935580846,0.870410135280223,0,0.812486579342925,0.918026626583638,0,0,0,0.874221601889628,0,0.879536182091475,0.824565170710758,0.868960704316083,0.880985613055615,0,0.641936869229117,0,0,0,0.773674039080953,0.898754563023406,0.90143869443848,0,0.915181447283659,0.811090831007086,0,0
MRPL12,0,0.87610049388018,0.902029203349796,0.903156538544127,0,0.923019111015675,0.871537470474554,0,0,0,0.88624651062916,0,0.92935366115525,0.890165342495169,0.920549710113807,0.90761219669315,0,0.946424736955121,0,0,0,0.94384797079665,0.903854412712046,0.908632166630878,0,0.882918187674469,0.94964569465321,0,0
C16orf59,0,0.952974017607902,0.962529525445566,0.958879106721065,0,0.940627013098561,0.974554434185098,0,0,0,0.957698088898432,0,0.969830362894567,0.935419798153318,0.963173716985184,0.965106291604037,0,0.831919690788061,0,0,0,0.928494739102426,0.970581919690788,0.972729224822847,0,0.974124973158686,0.948249946317372,0,0
VPS72,0,0.943418509770238,0.958395963066352,0.957214945243719,0,0.962636890702169,0.950611981962637,0,0,0,0.950289886192828,0,0.971601889628516,0.945726862787202,0.966340992054971,0.960704316083315,0,0.961402190251235,0,0,0,0.970742967575693,0.961455872879536,0.964193686922912,0,0.954423448572042,0.976111230405841,0,0
UNK,0,0.974554434185098,0.97970796650204,0.981103714837879,0,0.98947820485291,0.959899076658793,0,0,0,0.976325960919047,0,0.983519433111445,0.983251019969938,0.98443203779257,0.980405840669959,0,0.993182306205712,0,0,0,0.991196048958557,0.975413356237921,0.976540691432253,0,0.964891561090831,0.990015031135924,0,0
RECQL5,0,0.883562379214086,0.86015675327464,0.864182950397251,0,0.8587073223105,0.841475198625725,0,0,0,0.877388876959416,0,0.807171999141078,0.889521150955551,0.840455228687997,0.849098131844535,0,0.8152243933863,0,0,0,0.815439123899506,0.839327893493665,0.826980888984325,0,0.838844749838952,0.760092334120679,0,0
MRPL38,0,0.934721923985398,0.914000429461026,0.918563452866652,0,0.921032853768521,0.895963066351729,0,0,0,0.928172643332618,0,0.866544986042517,0.942076444062701,0.898754563023406,0.906001717844106,0,0.88587073223105,0,0,0,0.882864505046167,0.894889413785699,0.883938157612197,0,0.894245222246081,0.813613914537256,0,0
NT5C,0,0.974393386300193,0.975413356237921,0.97680910457376,0,0.982070002147305,0.960113807171999,0,0,0,0.974715482070002,0,0.971923985398325,0.980888984324673,0.97643332617565,0.974124973158686,0,0.980244792785055,0,0,0,0.979869014386944,0.968971440841744,0.967790423019111,0,0.962744255958772,0.970742967575693,0,0
TARBP2,0,0.855540047240713,0.856076873523728,0.852480137427528,0,0.830684990337127,0.867833369121752,0,0,0,0.855862143010522,0,0.847004509340777,0.840777324457806,0.848292892420013,0.854949538329397,0,0.761810178226326,0,0,0,0.807923555937299,0.859995705389736,0.859458879106721,0,0.866920764440627,0.807762508052394,0,0
ICT1,0,0.987169851835946,0.981372127979386,0.98368048099635,0,0.988887695941593,0.965159974232338,0,0,0,0.985452007730299,0,0.967146231479493,0.992162336267984,0.979224822847327,0.979439553360533,0,0.985613055615203,0,0,0,0.982177367403908,0.971494524371913,0.967522009877604,0,0.966233626798368,0.956463388447498,0,0
SRRT,0,0.976218595662444,0.971333476487009,0.970098776036075,0,0.948679407343784,0.978956409705819,0,0,0,0.97498389521151,0,0.951900365041872,0.968005153532317,0.960382220313507,0.96918617135495,0,0.78585999570539,0,0,0,0.897305132059266,0.971279793858707,0.968864075585141,0,0.977506978741679,0.872986901438694,0,0
EME1,0,0.855701095125617,0.817371698518359,0.819948464676831,0,0.795147090401546,0.825316727506979,0,0,0,0.843407773244578,0,0.7427528451793,0.84856130556152,0.784088468971441,0.804326819841099,0,0.697498389521151,0,0,0,0.721655572256818,0.801589005797724,0.786182091475199,0,0.819035859995705,0.660564741249732,0,0
AAAS,0,0.881737169851836,0.903961777968649,0.904928065278076,0,0.91883186600816,0.883938157612197,0,0,0,0.890541120893279,0,0.927367403908095,0.891185312432897,0.919690788060983,0.909222675542194,0,0.932091475198626,0,0,0,0.93515138501181,0.907290100923341,0.911316298045952,0,0.890702168778183,0.941324887266481,0,0
UBE2O,0,0.692237491947606,0.740337126905733,0.742967575692506,0,0.78585999570539,0.691056474124973,0,0,0,0.710060124543698,0,0.796435473480782,0.722568176937943,0.776036074726219,0.75144943096414,0,0.852963281082242,0,0,0,0.835892205282371,0.744739102426455,0.755153532316942,0,0.705336053253167,0.851245436976594,0,0
SAP30BP,0,0.882649774532961,0.859136783336912,0.863860854627443,0,0.857204208718059,0.841421515997423,0,0,0,0.8767983680481,0,0.806742538114666,0.88876959415933,0.839811037148379,0.848346575048314,0,0.813506549280653,0,0,0,0.814258106076874,0.838844749838952,0.826873523727722,0,0.838630019325746,0.759394459952759,0,0
ZNF48,0,0.999785269486794,0.999677904230191,0.999677904230191,0,0.999570538973588,0.999463173716985,0,0,0,0.999731586858493,0,0.999409491088684,0.999785269486794,0.99962422160189,0.99962422160189,0,0.996349581275499,0,0,0,0.999033712690573,0.999516856345287,0.999516856345287,0,0.999570538973588,0.998121108009448,0,0
CSNK1D,0,0.971870302770024,0.975305990981318,0.972246081168134,0,0.942505905089113,0.987491947605755,0,0,0,0.972997637964355,0,0.973802877388877,0.952061412926777,0.97138715911531,0.975896499892635,0,0.717360961992699,0,0,0,0.903747047455443,0.981855271634099,0.98223105003221,0,0.986203564526519,0.927689499677904,0,0
RFNG,0,0.997208503328323,0.996081168133992,0.996456946532102,0,0.99710113807172,0.990659222675542,0,0,0,0.996886407558514,0,0.991732875241572,0.998121108009448,0.995168563452867,0.995490659222676,0,0.992430749409491,0,0,0,0.993665449860425,0.993611767232124,0.992162336267984,0,0.991249731586858,0.987760360747262,0,0
SUV420H2,0,0.921569680051535,0.8587073223105,0.866759716555723,0,0.827839811037148,0.863162980459523,0,0,0,0.903317586429032,0,0.678280008589221,0.920173931715697,0.783551642688426,0.832080738672965,0,0.653532316942237,0,0,0,0.661369980674254,0.810661369980674,0.776197122611123,0,0.84566244363324,0.500214730513206,0,0
EXOC7,0,0.934346145587288,0.90143869443848,0.918348722353446,0,0.96048958557011,0.740444492162336,0,0,0,0.924146446210006,0,0.829235559372987,0.967468327249302,0.892527378140434,0.884474983895212,0,0.986633025552931,0,0,0,0.954262400687138,0.823384152888125,0.79385870732231,0,0.753543053467898,0.867350225467039,0,0
E4F1,0,0.985398325101997,0.991732875241572,0.992054971011381,0,0.99527592870947,0.981318445351084,0,0,0,0.98802877388877,0,0.99565170710758,0.990283444277432,0.994953832939661,0.992484432037793,0,0.997208503328323,0,0,0,0.997691646983036,0.99130341421516,0.992001288383079,0,0.984270989907666,0.997530599098132,0,0
B3GNTL1,0,0.827732445780545,0.843783551642688,0.840669959201202,0,0.840347863431394,0.835248013742753,0,0,0,0.832993343354091,0,0.855110586214301,0.827410350010736,0.849742323384153,0.846091904659652,0,0.826658793214516,0,0,0,0.846897144084174,0.8478097487653,0.850654928065278,0,0.838683701954048,0.85253382005583,0,0
MRPL55,0,0.963656860639897,0.973963925273781,0.976003865149238,0,0.988297187030277,0.939660725789135,0,0,0,0.967629375134207,0,0.982499463173717,0.976862787202061,0.981640541120893,0.975413356237921,0,0.995920120249087,0,0,0,0.993021258320807,0.968166201417221,0.969347219239854,0,0.949914107794718,0.992484432037793,0,0
RAC3,0,0.997960060124544,0.995222246081168,0.994953832939661,0,0.989263474339704,0.996295898647198,0,0,0,0.997315868584926,0,0.984109942022761,0.996242216018896,0.990122396392527,0.99382649774533,0,0.892849473910243,0,0,0,0.959738028773889,0.994041228258536,0.992054971011381,0,0.995759072364183,0.926669529740176,0,0
U2AF2,0,0.985076229332188,0.98153317586429,0.980566888554864,0,0.967629375134207,0.987277217092549,0,0,0,0.98405625939446,0,0.970689284947391,0.97933218810393,0.976003865149238,0.980459523298261,0,0.826283014816405,0,0,0,0.926508481855272,0.982284732660511,0.981103714837879,0,0.985559372986901,0.91088683701954,0,0
PYCR1,0,0.99527592870947,0.992806527807601,0.994470689284947,0,0.997315868584926,0.976916469830363,0,0,0,0.994792785054756,0,0.987599312862358,0.997799012239639,0.992054971011381,0.991518144728366,0,0.997584281726433,0,0,0,0.99565170710758,0.985774103500107,0.98443203779257,0,0.978956409705819,0.98840455228688,0,0
