,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
XPO4,0.865900794502899,0.863538758857634,0.815278076014602,0.842173072793644,0.856721065063346,0.782800085892205,0.950558299334335,0.922052823706249,0.879536182091475,0,0.829181876744685,0.935741893923126,0.953027700236204,0,0.886514923770668,0.886353875885763,0,0.581543912389951,0.937620785913678,0,0.822203135065493,0.916791926132703,0.940251234700451,0.899774532961134,0.835355378999356,0,0.885602319089543,0.874167919261327,0
NUPL1,0.869765943740606,0.864182950397251,0.834979600601245,0.821827356667382,0.898808245651707,0.858224178655787,0.853124328967146,0.944706892849474,0.871054326819841,0,0.871805883616062,0.927098990766588,0.887856989478205,0,0.898593515138501,0.901492377066781,0,0.48008374490015,0.961616920764441,0,0.865256602963281,0.892258964998926,0.935419798153318,0.847648700880395,0.779095984539403,0,0.869121752200988,0.899130341421516,0
USP12,0.724661799441701,0.676562164483573,0.763581704960275,0.632703457161263,0.732177367403908,0.756764011165987,0.48512991196049,0.808245651707108,0.668992913893064,0,0.670120249087395,0.502039939875456,0.568713764225896,0,0.649774532961134,0.68949967790423,0,0.916147734593086,0.722621859566244,0,0.651868155464892,0.551964784195834,0.599742323384153,0.69239853983251,0.583530169637105,0,0.571505260897574,0.584389091689929,0
MTMR6,0.869765943740606,0.858922052823706,0.863162980459523,0.845018252093622,0.891936869229117,0.841689929138931,0.808460382220313,0.948679407343784,0.846091904659652,0,0.85290959845394,0.891238995061198,0.883991840240498,0,0.898432467253597,0.859727292248229,0,0.890326390380073,0.948410994202276,0,0.823759931286236,0.829557655142796,0.901760790208289,0.847165557225682,0.808943525875027,0,0.81957268627872,0.846199269916255,0
ZDHHC20,0.790691432252523,0.861069357955766,0.831651277646554,0.697605754777754,0.883132918187674,0.780706463388448,0.569143225252308,0.910994202276143,0.748711616920764,0,0.8732016319519,0.6232016319519,0.680749409491089,0,0.808782477990122,0.820377925703242,0,0.521526733948894,0.907451148808246,0,0.879267768949968,0.695458449645695,0.784356882112948,0.785698947820485,0.604949538329397,0,0.79058406699592,0.846521365686064,0
KBTBD7,0.708020184668241,0.713495812754993,0.69637105432682,0.788812540261971,0.732284732660511,0.667489800300623,0.775982392097917,0.775767661584711,0.776143439982822,0,0.734324672535967,0.777807601460167,0.683594588791067,0,0.713925273781404,0.83514064848615,0,0.419153961777969,0.810983465750483,0,0.771687781833799,0.803199484646768,0.77716340992055,0.760253382005583,0.637588576336697,0,0.751503113592441,0.741142366330256,0
CKAP2,0.823062057118316,0.828752415718274,0.829879750912605,0.810231908954262,0.79385870732231,0.794986042516642,0.866276572901009,0.783605325316728,0.844374060554005,0,0.770775177152673,0.699967790423019,0.877281511702813,0,0.809641400042946,0.784893708395963,0,0.953349796006012,0.69637105432682,0,0.75107365256603,0.759877603607473,0.749570538973588,0.84346145587288,0.875778398110372,0,0.781458020184668,0.745598024479278,0
BRCA2,0.604036933648271,0.68912389950612,0.631844535108439,0.804219454584497,0.677206356023191,0.61992699162551,0.654444921623363,0.74565170710758,0.676186386085463,0,0.657504831436547,0.745168563452867,0.700289886192828,0,0.725144943096414,0.750966287309427,0,0.678387373845823,0.763903800730084,0,0.685044019755207,0.75832080738673,0.727238565600172,0.740712905303844,0.676937942881684,0,0.705228687996564,0.683863001932575,0
ANAPC1,0.851138071719991,0.901170281296972,0.894352587502684,0.596628730942667,0.911745759072364,0.806849903371269,0.70399398754563,0.74962422160189,0.707375993128624,0,0.929085248013743,0.657504831436547,0.671891775821344,0,0.780706463388448,0.643923126476272,0,0.754079879750913,0.652619712261112,0,0.904230191110157,0.595608761004939,0.682359888340133,0.795093407773245,0.731855271634099,0,0.793429246295899,0.859351513850118,0
RNF6,0.785645265192184,0.857418939231265,0.777592870946962,0.895479922697015,0.845716126261542,0.721870302770024,0.936493450719347,0.90181447283659,0.826658793214516,0,0.822793643976809,0.926669529740176,0.935527163409921,0,0.907987975091261,0.868209147519863,0,0.726218595662444,0.926562164483573,0,0.824565170710758,0.908632166630878,0.9202812969723,0.8732016319519,0.854842173072794,0,0.887427528451793,0.884206570753704,0
