,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
CLDN3,0,0,0,0,0,0.996564311788705,0,0,0,0,0,0,0,0,0,0,0,0,0.988726648056689,0,0,0,0,0.993397036718918,0,0,0,0,0
LRRC19,0,0,0,0,0,0.931554648915611,0,0,0,0,0,0,0,0,0,0,0,0,0.899720850332832,0,0,0,0,0.897358814687567,0,0,0,0,0
ACVR1B,0,0,0,0,0,0.907182735666738,0,0,0,0,0,0,0,0,0,0,0,0,0.990068713764226,0,0,0,0,0.977614343998282,0,0,0,0,0
CDH17,0,0,0,0,0,0.994041228258536,0,0,0,0,0,0,0,0,0,0,0,0,0.998013742752845,0,0,0,0,0.997047455443419,0,0,0,0,0
SLC17A4,0,0,0,0,0,0.95216877818338,0,0,0,0,0,0,0,0,0,0,0,0,0.936386085462744,0,0,0,0,0.92935366115525,0,0,0,0,0
ANO9,0,0,0,0,0,0.664913034142152,0,0,0,0,0,0,0,0,0,0,0,0,0.632327678763152,0,0,0,0,0.759501825209362,0,0,0,0,0
OVOL1,0,0,0,0,0,0.783766373201632,0,0,0,0,0,0,0,0,0,0,0,0,0.642688426025338,0,0,0,0,0.739102426454799,0,0,0,0,0
GUCY2C,0,0,0,0,0,0.793912389950612,0,0,0,0,0,0,0,0,0,0,0,0,0.988941378569895,0,0,0,0,0.958449645694653,0,0,0,0,0
MYO7B,0,0,0,0,0,0.935634528666524,0,0,0,0,0,0,0,0,0,0,0,0,0.999409491088684,0,0,0,0,0.995436976594374,0,0,0,0,0
CLRN3,0,0,0,0,0,0.977292248228473,0,0,0,0,0,0,0,0,0,0,0,0,0.996617994417007,0,0,0,0,0.991518144728366,0,0,0,0,0
SATB2,0,0,0,0,0,0.890165342495169,0,0,0,0,0,0,0,0,0,0,0,0,0.846789778827571,0,0,0,0,0.877066781189607,0,0,0,0,0
FABP1,0,0,0,0,0,0.98985398325102,0,0,0,0,0,0,0,0,0,0,0,0,0.997691646983036,0,0,0,0,0.996993772815117,0,0,0,0,0
C2orf72,0,0,0,0,0,0.961724286021044,0,0,0,0,0,0,0,0,0,0,0,0,0.937513420657075,0,0,0,0,0.933863001932575,0,0,0,0,0
PDX1,0,0,0,0,0,0.912121537470475,0,0,0,0,0,0,0,0,0,0,0,0,0.944706892849474,0,0,0,0,0.948840455228688,0,0,0,0,0
FRMD1,0,0,0,0,0,0.665986686708181,0,0,0,0,0,0,0,0,0,0,0,0,0.682896714623148,0,0,0,0,0.748228473266051,0,0,0,0,0
NR1I2,0,0,0,0,0,0.942935366115525,0,0,0,0,0,0,0,0,0,0,0,0,0.915181447283659,0,0,0,0,0.901546059695083,0,0,0,0,0
POFUT1,0,0,0,0,0,0.652995490659223,0,0,0,0,0,0,0,0,0,0,0,0,0.867457590723642,0,0,0,0,0.847917114021903,0,0,0,0,0
PLAGL2,0,0,0,0,0,0.650848185527163,0,0,0,0,0,0,0,0,0,0,0,0,0.865525016104788,0,0,0,0,0.846521365686064,0,0,0,0,0
