,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
PARVG,0,0.899345071934722,0.957644406270131,0,0.485237277217093,0.824082027056045,0.943042731372128,0.557171999141078,0,0,0.906055400472407,0.873523727721709,0.952866652351299,0.521419368692291,0.945673180158901,0.975305990981318,0,0.968703027700236,0.778934936654499,0,0.792194545844965,0,0,0.238511917543483,0.886085462744256,0.462905303843676,0.681608331543912,0,0
DPEP2,0,0.943096414000429,0.873577410350011,0,0.928816834872235,0.929299978526949,0.826014601674898,0.907719561949753,0,0,0.846575048314365,0.894621000644192,0.858277861284088,0.876637320163195,0.793053467897788,0.846789778827571,0,0.72970796650204,0.86810178226326,0,0.878086751127335,0,0,0.912175220098776,0.881468756710329,0.731855271634099,0.899559802447928,0,0
TNFAIP8L2,0,0.876046811251879,0.86885333905948,0,0.788812540261971,0.890326390380073,0.917597165557226,0.709469615632381,0,0,0.865256602963281,0.601621215374705,0.918456087610049,0.975198625724715,0.936117672321237,0.941861713549495,0,0.862196693150097,0.869175434829289,0,0.791979815331759,0,0,0.692291174575907,0.886837019540477,0.977023835086966,0.748604251664161,0,0
FAM78A,0,0.613377710972729,0.904498604251664,0,0.656592226755422,0.923824350440198,0.954691861713549,0.453081382864505,0,0,0.917597165557226,0.571827356667382,0.912336267983681,0.698410994202276,0.787202061412927,0.91738243504402,0,0.95979171140219,0.913087824779901,0,0.515621644835731,0,0,0.549495383293966,0.809104573759931,0.611123040584067,0.66775821344213,0,0
LY86,0,0.439284947391024,0.958020184668241,0,0.476862787202061,0.695136353875886,0.970957698088898,0.949323598883401,0,0,0.966179944170067,0.880341421515997,0.98008374490015,0.298851191754348,0.745329611337771,0.723266051105862,0,0.980620571183165,0.938962851621215,0,0.776894996779042,0,0,0.40798797509126,0.965750483143655,0.489531887481211,0.716931500966287,0,0
SELPLG,0,0.861176723212368,0.996564311788705,0,0.868745973802877,0.94889413785699,0.979278505475628,0.950289886192828,0,0,0.990337126905733,0.996940090186816,0.976862787202061,0.699216233626798,0.999302125832081,0.963388447498389,0,0.985183594588791,0.951524586643762,0,0.987545630234056,0,0,0.576014601674898,0.981640541120893,0.621966931500966,0.987921408632167,0,0
ABI3,0,0.369765943740606,0.930910457375993,0,0.57499463173717,0.647734593085677,0.938640755851406,0.805293107150526,0,0,0.923448572042087,0.848937083959631,0.971655572256818,0.451202490873953,0.888930642044234,0.902029203349796,0,0.955711831651278,0.89349366544986,0,0.703510843890917,0,0,0.422804380502469,0.975628086751127,0.725467038866223,0.936869229117458,0,0
CCRL2,0,0.760575477775392,0.994739102426455,0,0.783014816405411,0.864934507193472,0.978741679192613,0.807494094910887,0,0,0.981479493235989,0.998657934292463,0.992645479922697,0.75107365256603,0.960435902941808,0.874328967146231,0,0.982499463173717,0.952383508696586,0,0.95979171140219,0,0,0.690680695726863,0.996671677045308,0.837073223105003,0.997906377496242,0,0
APOC1,0,0.999785269486794,0.923126476272278,0,0.998335838522654,0.997369551213227,0.908471118745974,0.970742967575693,0,0,0.845716126261542,0.898700880395104,0.921301266910028,0.999838952115096,0.942130126691003,0.991196048958557,0,0.776894996779042,0.939338630019326,0,0.97970796650204,0,0,0.999731586858493,0.932950397251449,0.98588146875671,0.986847756066137,0,0
LST1,0,0.962583208073867,0.997906377496242,0,0.756710328537685,0.951309856130556,0.995973802877389,0.794663946746833,0,0,0.990981318445351,0.985398325101997,0.992484432037793,0.786396821988405,0.987223534464247,0.962368477560661,0,0.996510629160404,0.967199914107795,0,0.843515138501181,0,0,0.750912604681125,0.983197337341636,0.910725789134636,0.995436976594374,0,0
BTK,0,0.461724286021044,0.931500966287309,0,0.482767876315224,0.705175005368263,0.881092978312218,0.727560661369981,0,0,0.911745759072364,0.964998926347434,0.845125617350226,0.23733089972085,0.772761434399828,0.877335194331114,0,0.910833154391239,0.760253382005583,0,0.88876959415933,0,0,0.277217092548851,0.870249087395319,0.468058836160618,0.865847111874597,0,0
SPI1,0,0.899935580846038,0.99892634743397,0,0.909491088683702,0.930964140004295,0.998013742752845,0.92897788275714,0,0,0.997745329611338,0.838791067210651,0.997315868584926,0.926347433970367,0.987921408632167,0.99672535967361,0,0.996886407558514,0.955604466394675,0,0.648593515138501,0,0,0.726164913034142,0.998711616920764,0.979761649130341,0.992269701524587,0,0
P2RY13,0,0.373416362465106,0.990551857418939,0,0.636622289027271,0.894084174361177,0.98802877388877,0.979010092334121,0,0,0.987438264977453,0.986418295039725,0.995436976594374,0.234539403049173,0.978473266051106,0.429890487438265,0,0.994792785054756,0.988511917543483,0,0.699055185741894,0,0,0.433379858277861,0.984915181447284,0.500107365256603,0.855540047240713,0,0
MYO1F,0,0.756066136998067,0.977238565600172,0,0.55942666952974,0.589918402404982,0.993450719347219,0.550998496886408,0,0,0.992323384152888,0.718166201417221,0.982338415288812,0.603553789993558,0.786074726218596,0.976594374060554,0,0.995598024479278,0.987062486579343,0,0.495168563452867,0,0,0.57354520077303,0.929085248013743,0.363377710972729,0.856291604036934,0,0
IL16,0,0.194545844964569,0.921193901653425,0,0.526733948894138,0.398700880395104,0.940895426240069,0.97246081168134,0,0,0.963495812754993,0.795898647197767,0.903049173287524,0.113431393601031,0.877388876959416,0.300891131629805,0,0.962583208073867,0.964032639038007,0,0.379428816834872,0,0,0.165396177796865,0.824940949108868,0.319948464676831,0.648647197766803,0,0
ARHGAP15,0,0.769540476701739,0.918992913893064,0,0.212153747047455,0.627764655357526,0.915557225681769,0.728204852909598,0,0,0.931178870517501,0.885333905948035,0.94384797079665,0.31050032209577,0.955550783766373,0.88114666094052,0,0.952812969722998,0.913141507408203,0,0.923824350440198,0,0,0.0908310070861069,0.953832939660726,0.38114666094052,0.722246081168134,0,0
TYROBP,0,0.69529740176079,0.998443203779257,0,0.71269057333047,0.866115525016105,0.995920120249087,0.651009233412068,0,0,0.995973802877389,0.888232767876315,0.991035001073653,0.698464676830578,0.951363538758858,0.965267339488941,0,0.996295898647198,0.935634528666524,0,0.320753704101353,0,0,0.364021902512347,0.9855056903586,0.630395104144299,0.937245007515568,0,0
TREM2,0,0.947981533175864,0.85001073652566,0,0.612626154176508,0.747637964354735,0.934990337126906,0.859566244363324,0,0,0.932359888340133,0.905948035215804,0.921945458449646,0.719025123470045,0.798099634958128,0.859351513850118,0,0.944706892849474,0.900955550783766,0,0.783605325316728,0,0,0.586697444706893,0.91485935151385,0.540745114880825,0.743289671462315,0,0
DEF6,0,0.767715267339489,0.997530599098132,0,0.858599957053897,0.887642258964999,0.990176079020829,0.905894352587503,0,0,0.995222246081168,0.985613055615203,0.986203564526519,0.769486794073438,0.968864075585141,0.892634743397037,0,0.992538114666094,0.995114880824565,0,0.952598239209792,0,0,0.574672535967361,0.977614343998282,0.834764870088039,0.992323384152888,0,0
