,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
SMG1,0,0.757945028988619,0.734700450934078,0.657021687781834,0.74382649774533,0.71124114236633,0.720850332832295,0.670818123255315,0,0.724769164698304,0.750536826283015,0.761541765084819,0.763957483358385,0,0.746188533390595,0.75182520936225,0.678924200128838,0,0.666630878247799,0.710382220313507,0.753435688211295,0.765192183809319,0.766265836375349,0.73223105003221,0.750536826283015,0.768198410994202,0.737169851835946,0.663624651062916,0
BTAF1,0,0.906968005153532,0.884474983895212,0.764225896499893,0.858761004938802,0.791872450075156,0.786772600386515,0.742806527807601,0,0.876368907021688,0.916845608761005,0.892795791281941,0.901277646553575,0,0.760468112518789,0.712422160188963,0.839005797723857,0,0.921784410564741,0.916952974017608,0.889091689929139,0.891722138715912,0.888984324672536,0.878730942666953,0.916845608761005,0.868262830148164,0.835838522654069,0.941754348292892,0
NR2C2,0,0.632220313506549,0.630663517285806,0.641561090831007,0.746671677045308,0.753596736096199,0.750697874167919,0.77861284088469,0,0.621430105217952,0.614719776680266,0.631576121966931,0.63694438479708,0,0.61810178226326,0.616437620785914,0.658310070861069,0,0.63624651062916,0.616491303414215,0.631468756710329,0.635924414859351,0.640433755636676,0.629053038436762,0.614719776680266,0.672858063130771,0.691485935151385,0.646285162121537,0
ARID4A,0,0.768305776250805,0.703403478634314,0.786128408846897,0.840831007086107,0.712368477560661,0.734485720420872,0.806313077088254,0,0.687245007515568,0.766641614773459,0.755636675971656,0.768735237277217,0,0.665342495168563,0.661316298045952,0.803306849903371,0,0.777002362035645,0.775499248443204,0.739961348507623,0.760897573545201,0.773781404337556,0.69454584496457,0.766641614773459,0.771419368692291,0.739156109083101,0.789403049173288,0
USP34,0,0.737814043375564,0.756656645909384,0.935688211294825,0.765031135924415,0.711348507622933,0.716502039939875,0.897627227829075,0,0.772868799656431,0.738297187030277,0.743289671462315,0.736633025552931,0,0.763742752845179,0.762400687137642,0.941324887266481,0,0.900526089757354,0.792194545844965,0.748389521150956,0.739961348507623,0.76197122611123,0.758803951041443,0.738297187030277,0.690519647841958,0.745920120249087,0.85398325101997,0
SF3B1,0,0.881415074082027,0.861981962636891,0.798797509126047,0.781404337556367,0.729976379643547,0.756441915396178,0.744685419798153,0,0.857687352372772,0.885924414859351,0.872557440412283,0.878301481640541,0,0.795254455658149,0.774801374275285,0.87824779901224,0,0.908846897144084,0.907075370410135,0.867242860210436,0.873416362465106,0.876046811251879,0.857902082885978,0.885924414859351,0.828698733089972,0.799012239639253,0.912550998496886,0
MYSM1,0,0.722138715911531,0.672804380502469,0.752469400901868,0.753918831866008,0.725198625724715,0.754294610264118,0.817640111659867,0,0.665557225681769,0.724715482070002,0.703564526519218,0.718219884045523,0,0.642688426025338,0.638340133132918,0.781672750697874,0,0.739370839596307,0.732928924200129,0.690036504187245,0.708825424092764,0.717146231479493,0.666952974017608,0.724715482070002,0.682520936225038,0.692344857204209,0.744148593515139,0
GPATCH8,0,0.912497315868585,0.890809534034786,0.793321881039296,0.874006871376423,0.86412926776895,0.880609834657505,0.86085462744256,0,0.882327678763152,0.91340992054971,0.906592226755422,0.912014172213872,0,0.854036933648271,0.845018252093622,0.869765943740606,0,0.895802018466824,0.919798153317586,0.901009233412068,0.908149022976165,0.91088683701954,0.886139145372557,0.91340992054971,0.886729654283874,0.870195404767017,0.909813184453511,0
NKTR,0,0.962744255958772,0.952920334979601,0.882112948249946,0.950773029847541,0.941915396177797,0.952866652351299,0.924683272493021,0,0.948572042087181,0.961831651277647,0.961509555507838,0.9637642258965,0,0.940090186815546,0.937781833798583,0.910457375993129,0,0.932735666738243,0.958771741464462,0.959093837234271,0.962583208073867,0.962422160188963,0.951578269272064,0.961831651277647,0.958449645694653,0.948410994202276,0.942076444062701,0
MGA,0,0.801642688426025,0.771419368692291,0.878945673180159,0.837287953618209,0.742645479922697,0.743665449860425,0.879106721065063,0,0.766910027914967,0.804058406699592,0.793536611552502,0.800085892205282,0,0.722031350654928,0.713334764870088,0.90363968219884,0,0.881844535108439,0.820914751986257,0.787148378784625,0.795147090401546,0.809480352158042,0.764333261756496,0.804058406699592,0.772170925488512,0.773781404337556,0.870088039510414,0
TNRC6A,0,0.712958986471978,0.624167919261327,0.730137427528452,0.718810392956839,0.712744255958772,0.706033927421087,0.878784625295254,0,0.616706033927421,0.634367618638609,0.714623147949324,0.729171140219025,0,0.675434829289242,0.693203779257032,0.85978097487653,0,0.764655357526305,0.647788275713979,0.688103929568392,0.728043805024694,0.764386944384797,0.619819626368907,0.634367618638609,0.638018037363109,0.669798153317586,0.688748121108009,0
SETD5,0,0.975842817264333,0.957483358385227,0.965750483143655,0.974178655786987,0.908041657719562,0.936386085462744,0.970313506549281,0,0.950611981962637,0.976164913034142,0.972514494309641,0.976057547777539,0,0.918617135494954,0.909491088683702,0.989317156968005,0,0.985452007730299,0.984754133562379,0.967736740390809,0.973963925273781,0.977614343998282,0.952974017607902,0.976164913034142,0.961455872879536,0.943525875026841,0.986525660296328,0
BIRC6,0,0.722943955336053,0.651546059695083,0.924146446210006,0.860639896929354,0.607365256602963,0.643171569680052,0.882542409276358,0,0.656270130985613,0.724715482070002,0.698947820485291,0.719454584496457,0,0.6123040584067,0.607848400257677,0.932413570968435,0,0.884528666523513,0.803521580416577,0.676776894996779,0.707161262615418,0.747960060124544,0.644245222246081,0.724715482070002,0.71558943525875,0.699484646768306,0.864988189821774,0
CHD6,0,0.731908954262401,0.662658363753489,0.601782263259609,0.673394889413786,0.583315439123899,0.625939445995276,0.604734807816191,0,0.647788275713979,0.730888984324673,0.714354734807816,0.731855271634099,0,0.636622289027271,0.635226540691432,0.684399828215589,0,0.675381146660941,0.759233412067855,0.691808030921194,0.720957698088898,0.730352158041658,0.656431178870517,0.730888984324673,0.686010307064634,0.632542409276358,0.683970367189178,0
VPS13C,0,0.945673180158901,0.947176293751342,0.984593085677475,0.963603178011595,0.963066351728581,0.96048958557011,0.993182306205712,0,0.948786772600386,0.942452222460812,0.947229976379644,0.946317371698518,0,0.940788060983466,0.939231264762723,0.988297187030277,0,0.977077517715267,0.938855486364612,0.948249946317372,0.947122611123041,0.952812969722998,0.946961563238136,0.942452222460812,0.936761863860855,0.954691861713549,0.965643117887052,0
ZBTB40,0,0.808299334335409,0.794610264118531,0.568337985827786,0.688157612196693,0.757515567962207,0.778237062486579,0.611445136353876,0,0.782263259609191,0.814794932359888,0.799495383293966,0.803736310929783,0,0.734109942022761,0.716609405196478,0.609029418080309,0,0.679138930642044,0.813613914537256,0.795844964569465,0.797723856560017,0.785215804165772,0.790369336482714,0.814794932359888,0.774586643762079,0.744094910886837,0.746188533390595,0
BPTF,0,0.781672750697874,0.826873523727722,0.840025767661585,0.669798153317586,0.751127335194331,0.756602963281082,0.721923985398325,0,0.842495168563453,0.782424307494095,0.795898647197767,0.781833798582779,0,0.855003220957698,0.857741035001074,0.82102211724286,0,0.820753704101353,0.803789993558085,0.806098346575048,0.791174575907236,0.786343139360103,0.833905948035216,0.782424307494095,0.77066781189607,0.791335623792141,0.778344427743182,0
CRAMP1L,0,0.933916684560876,0.891507408202706,0.896231479493236,0.880341421515997,0.731694223749195,0.789242001288383,0.903156538544127,0,0.879858277861284,0.931930427313721,0.929299978526949,0.936386085462744,0,0.855217951470904,0.852855915825639,0.979385870732231,0,0.964354734807816,0.958127549924844,0.917865578698733,0.934024049817479,0.947605754777754,0.88297187030277,0.931930427313721,0.883186600815976,0.838737384582349,0.954477131200344,0
JMJD1C,0,0.946102641185312,0.915503543053468,0.903693364827142,0.923126476272278,0.786557869873309,0.827088254240928,0.876154176508482,0,0.904391238995061,0.942989048743826,0.941002791496672,0.946800515353232,0,0.880663517285806,0.875080523942452,0.966018896285162,0,0.960704316083315,0.960060124543698,0.933272493021258,0.94347219239854,0.951148808245652,0.90761219669315,0.942989048743826,0.92462958986472,0.883132918187674,0.958181232553146,0
MDN1,0,0.902297616491303,0.89601674898003,0.830631307708825,0.807547777539188,0.846682413570968,0.865256602963281,0.836697444706893,0,0.896338844749839,0.901331329181877,0.90143869443848,0.902941808030921,0,0.894298904874383,0.892366330255529,0.89059480352158,0,0.901653424951686,0.914913034142152,0.899506119819626,0.902404981747906,0.904767017393172,0.895909383723427,0.901331329181877,0.872235344642474,0.863807171999141,0.893171569680052,0
ASH1L,0,0.645104144298905,0.754777753918832,0.950289886192828,0.778076014601675,0.690788060983466,0.710167489800301,0.864558728795362,0,0.779847541335624,0.624543697659437,0.70796650203994,0.650526089757354,0,0.791604036933648,0.795737599312862,0.927260038651492,0,0.880502469400902,0.769325746188533,0.726003865149238,0.700611981962637,0.71993772815117,0.761756495598024,0.624543697659437,0.718595662443633,0.762508052394245,0.820055829933434,0
ZNF224,0,0.936278720206141,0.932843031994846,0.767715267339489,0.824243074940949,0.85650633455014,0.863431393601031,0.791550354305347,0,0.929138930642044,0.931930427313721,0.942291174575907,0.940895426240069,0,0.940304917328752,0.943525875026841,0.896821988404552,0,0.912282585355379,0.933165127764655,0.940734378355164,0.943633240283444,0.946532102211724,0.932520936225038,0.931930427313721,0.917972943955336,0.897895640970582,0.900526089757354,0
BAZ2A,0,0.983787846252953,0.977506978741679,0.951524586643762,0.981962636890702,0.985988834013313,0.985613055615203,0.992108653639682,0,0.975252308353017,0.983304702598239,0.983304702598239,0.984109942022761,0,0.971226111230406,0.969454584496457,0.978419583422804,0,0.978419583422804,0.978312218166201,0.982070002147305,0.983734163624651,0.984807816190681,0.976164913034142,0.983304702598239,0.977345930856775,0.978849044449216,0.978687996564312,0
ATAD2B,0,0.66593300407988,0.788812540261971,0.901277646553575,0.766426884260253,0.801427957912819,0.807547777539188,0.806742538114666,0,0.811090831007086,0.666577195619498,0.725574404122826,0.665771956194975,0,0.833315439123899,0.836375348937084,0.802340562593945,0,0.779793858707322,0.688533390594804,0.751556796220743,0.711992699162551,0.679622074296758,0.799388018037363,0.666577195619498,0.769594159330041,0.808567747476917,0.725842817264333,0
EP400,0,0.881790852480137,0.868799656431179,0.888501181017823,0.892151599742323,0.897949323598883,0.912497315868585,0.937030277002362,0,0.865525016104788,0.88114666094052,0.881415074082027,0.882220313506549,0,0.855325316727507,0.853124328967146,0.899506119819626,0,0.883938157612197,0.888608546274426,0.876637320163195,0.882488726648057,0.885656001717844,0.866759716555723,0.88114666094052,0.86810178226326,0.875885763366974,0.883455013957483,0
