,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
SBNO1,0.964195608996726,0.964195608996726,0.964195608996726,0.964195608996726,0.964195608996726,0.964195608996726,0.964195608996726,0.964195608996726,0.964195608996726,0.964195608996726,0.964195608996726,0.964195608996726,0.964195608996726,0.964195608996726,0.964195608996726,0.964195608996726,0.964195608996726,0.964195608996726,0.964195608996726,0.964195608996726,0.964195608996726,0.964195608996726,0.964195608996726,0.964195608996726,0.964195608996726,0.964195608996726,0.964195608996726,0.964195608996726,0.964195608996726
ANKRD17,0.944012024263245,0.944012024263245,0.944012024263245,0.944012024263245,0.944012024263245,0.944012024263245,0.944012024263245,0.944012024263245,0.944012024263245,0.944012024263245,0.944012024263245,0,0.944012024263245,0.944012024263245,0.944012024263245,0.944012024263245,0.944012024263245,0.944012024263245,0.944012024263245,0.944012024263245,0.944012024263245,0.944012024263245,0.944012024263245,0.944012024263245,0.944012024263245,0.944012024263245,0.944012024263245,0.944012024263245,0.944012024263245
RC3H2,0.940952278705245,0.940952278705245,0.940952278705245,0.940952278705245,0.940952278705245,0.940952278705245,0.940952278705245,0.940952278705245,0.940952278705245,0.940952278705245,0.940952278705245,0,0.940952278705245,0.940952278705245,0.940952278705245,0.940952278705245,0.940952278705245,0.940952278705245,0.940952278705245,0.940952278705245,0.940952278705245,0.940952278705245,0.940952278705245,0.940952278705245,0.940952278705245,0.940952278705245,0.940952278705245,0.940952278705245,0.940952278705245
CCNT1,0.966986955821569,0.966986955821569,0.966986955821569,0.966986955821569,0.966986955821569,0.966986955821569,0.966986955821569,0.966986955821569,0.966986955821569,0.966986955821569,0.966986955821569,0,0.966986955821569,0.966986955821569,0.966986955821569,0.966986955821569,0.966986955821569,0,0.966986955821569,0.966986955821569,0.966986955821569,0.966986955821569,0.966986955821569,0.966986955821569,0.966986955821569,0.966986955821569,0.966986955821569,0.966986955821569,0.966986955821569
N4BP2,0.991196521552418,0.991196521552418,0.991196521552418,0.991196521552418,0.991196521552418,0.991196521552418,0.991196521552418,0.991196521552418,0.991196521552418,0.991196521552418,0.991196521552418,0.991196521552418,0.991196521552418,0.991196521552418,0.991196521552418,0.991196521552418,0.991196521552418,0.991196521552418,0.991196521552418,0.991196521552418,0.991196521552418,0.991196521552418,0.991196521552418,0.991196521552418,0.991196521552418,0.991196521552418,0.991196521552418,0.991196521552418,0.991196521552418
PAFAH1B2,0.95292286220409,0.95292286220409,0.95292286220409,0.95292286220409,0.95292286220409,0.95292286220409,0.95292286220409,0.95292286220409,0.95292286220409,0.95292286220409,0.95292286220409,0,0.95292286220409,0.95292286220409,0.95292286220409,0.95292286220409,0.95292286220409,0,0.95292286220409,0.95292286220409,0.95292286220409,0.95292286220409,0.95292286220409,0.95292286220409,0.95292286220409,0.95292286220409,0.95292286220409,0.95292286220409,0.95292286220409
ZKSCAN1,0.954479574856407,0.954479574856407,0.954479574856407,0.954479574856407,0.954479574856407,0.954479574856407,0.954479574856407,0.954479574856407,0.954479574856407,0.954479574856407,0.954479574856407,0,0.954479574856407,0.954479574856407,0.954479574856407,0.954479574856407,0.954479574856407,0.954479574856407,0.954479574856407,0.954479574856407,0.954479574856407,0.954479574856407,0.954479574856407,0.954479574856407,0.954479574856407,0.954479574856407,0.954479574856407,0.954479574856407,0.954479574856407
HECTD1,0.949648397659563,0.949648397659563,0.949648397659563,0.949648397659563,0.949648397659563,0.949648397659563,0.949648397659563,0.949648397659563,0.949648397659563,0.949648397659563,0.949648397659563,0.949648397659563,0.949648397659563,0.949648397659563,0.949648397659563,0.949648397659563,0.949648397659563,0.949648397659563,0.949648397659563,0.949648397659563,0.949648397659563,0.949648397659563,0.949648397659563,0.949648397659563,0.949648397659563,0.949648397659563,0.949648397659563,0.949648397659563,0.949648397659563
RSC1A1,0.927210263567556,0.927210263567556,0.927210263567556,0.927210263567556,0.927210263567556,0.927210263567556,0.927210263567556,0.927210263567556,0.927210263567556,0.927210263567556,0.927210263567556,0.927210263567556,0.927210263567556,0.927210263567556,0.927210263567556,0.927210263567556,0.927210263567556,0.927210263567556,0.927210263567556,0,0.927210263567556,0.927210263567556,0.927210263567556,0.927210263567556,0,0.927210263567556,0.927210263567556,0.927210263567556,0.927210263567556
GADD45GIP1,0.980192173492941,0.980192173492941,0.980192173492941,0.980192173492941,0.980192173492941,0.980192173492941,0.980192173492941,0.980192173492941,0.980192173492941,0.980192173492941,0.980192173492941,0.980192173492941,0.980192173492941,0.980192173492941,0.980192173492941,0,0.980192173492941,0.980192173492941,0.980192173492941,0.980192173492941,0.980192173492941,0.980192173492941,0.980192173492941,0.980192173492941,0.980192173492941,0.980192173492941,0.980192173492941,0.980192173492941,0.980192173492941
FAU,0.99833592785442,0.99833592785442,0.99833592785442,0.99833592785442,0.99833592785442,0.99833592785442,0.99833592785442,0.99833592785442,0.99833592785442,0.99833592785442,0.99833592785442,0.99833592785442,0.99833592785442,0.99833592785442,0.99833592785442,0.99833592785442,0.99833592785442,0.99833592785442,0.99833592785442,0.99833592785442,0.99833592785442,0.99833592785442,0.99833592785442,0.99833592785442,0.99833592785442,0.99833592785442,0.99833592785442,0.99833592785442,0.99833592785442
