,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
ADNP,0.930108969885662,0.930108969885662,0.930108969885662,0.930108969885662,0.930108969885662,0,0.930108969885662,0.930108969885662,0.930108969885662,0.930108969885662,0.930108969885662,0.930108969885662,0.930108969885662,0.930108969885662,0.930108969885662,0.930108969885662,0.930108969885662,0.930108969885662,0.930108969885662,0.930108969885662,0.930108969885662,0.930108969885662,0.930108969885662,0.930108969885662,0.930108969885662,0.930108969885662,0,0.930108969885662,0.930108969885662
ZBTB11,0.981319448172205,0.981319448172205,0.981319448172205,0.981319448172205,0.981319448172205,0.981319448172205,0.981319448172205,0.981319448172205,0.981319448172205,0.981319448172205,0.981319448172205,0.981319448172205,0.981319448172205,0.981319448172205,0.981319448172205,0.981319448172205,0.981319448172205,0.981319448172205,0.981319448172205,0.981319448172205,0.981319448172205,0.981319448172205,0.981319448172205,0.981319448172205,0,0.981319448172205,0.981319448172205,0.981319448172205,0.981319448172205
ATP5D,0.999141124053894,0.999141124053894,0.999141124053894,0.999141124053894,0.999141124053894,0.999141124053894,0,0,0.999141124053894,0.999141124053894,0.999141124053894,0.999141124053894,0.999141124053894,0.999141124053894,0.999141124053894,0.999141124053894,0.999141124053894,0.999141124053894,0.999141124053894,0.999141124053894,0.999141124053894,0.999141124053894,0.999141124053894,0.999141124053894,0.999141124053894,0.999141124053894,0.999141124053894,0.999141124053894,0.999141124053894
GUK1,0.993451070910945,0.993451070910945,0.993451070910945,0.993451070910945,0.993451070910945,0.993451070910945,0.993451070910945,0.993451070910945,0.993451070910945,0.993451070910945,0.993451070910945,0.993451070910945,0.993451070910945,0.993451070910945,0.993451070910945,0.993451070910945,0.993451070910945,0.993451070910945,0,0.993451070910945,0.993451070910945,0.993451070910945,0,0.993451070910945,0,0.993451070910945,0,0.993451070910945,0.993451070910945
C19orf24,0.987063181061785,0.987063181061785,0.987063181061785,0.987063181061785,0.987063181061785,0.987063181061785,0,0,0.987063181061785,0.987063181061785,0.987063181061785,0.987063181061785,0,0.987063181061785,0.987063181061785,0.987063181061785,0.987063181061785,0.987063181061785,0,0.987063181061785,0.987063181061785,0.987063181061785,0.987063181061785,0.987063181061785,0,0.987063181061785,0.987063181061785,0.987063181061785,0.987063181061785
NDUFB10,0.995544581029578,0,0.995544581029578,0.995544581029578,0.995544581029578,0.995544581029578,0,0,0.995544581029578,0.995544581029578,0.995544581029578,0.995544581029578,0.995544581029578,0.995544581029578,0.995544581029578,0,0.995544581029578,0.995544581029578,0,0.995544581029578,0.995544581029578,0,0.995544581029578,0.995544581029578,0.995544581029578,0.995544581029578,0.995544581029578,0.995544581029578,0.995544581029578
TOPORS,0.982607762091363,0.982607762091363,0.982607762091363,0,0.982607762091363,0.982607762091363,0.982607762091363,0,0.982607762091363,0.982607762091363,0.982607762091363,0.982607762091363,0.982607762091363,0.982607762091363,0.982607762091363,0,0.982607762091363,0,0.982607762091363,0.982607762091363,0.982607762091363,0.982607762091363,0.982607762091363,0,0,0.982607762091363,0.982607762091363,0.982607762091363,0.982607762091363
ZNF184,0.951312469805143,0.951312469805143,0,0.951312469805143,0.951312469805143,0.951312469805143,0.951312469805143,0,0.951312469805143,0,0.951312469805143,0.951312469805143,0,0.951312469805143,0.951312469805143,0.951312469805143,0.951312469805143,0.951312469805143,0.951312469805143,0.951312469805143,0,0,0.951312469805143,0,0.951312469805143,0.951312469805143,0.951312469805143,0.951312469805143,0.951312469805143
C16orf13,0.980192173492941,0.980192173492941,0.980192173492941,0.980192173492941,0.980192173492941,0.980192173492941,0,0,0.980192173492941,0.980192173492941,0.980192173492941,0,0.980192173492941,0.980192173492941,0.980192173492941,0,0.980192173492941,0.980192173492941,0.980192173492941,0.980192173492941,0.980192173492941,0.980192173492941,0.980192173492941,0.980192173492941,0,0.980192173492941,0,0.980192173492941,0.980192173492941
AURKAIP1,0.960008588759461,0.960008588759461,0.960008588759461,0.960008588759461,0.960008588759461,0.960008588759461,0,0,0.960008588759461,0.960008588759461,0.960008588759461,0.960008588759461,0,0.960008588759461,0.960008588759461,0,0.960008588759461,0,0,0.960008588759461,0.960008588759461,0.960008588759461,0.960008588759461,0.960008588759461,0,0.960008588759461,0,0.960008588759461,0.960008588759461
