,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
RAP1B,0,0,0.978581781093993,0.978581781093993,0.978581781093993,0.978581781093993,0.978581781093993,0.978581781093993,0,0.978581781093993,0.978581781093993,0.978581781093993,0.978581781093993,0.978581781093993,0.978581781093993,0.978581781093993,0,0.978581781093993,0,0,0.978581781093993,0.978581781093993,0.978581781093993,0.978581781093993,0.978581781093993,0.978581781093993,0,0.978581781093993,0.978581781093993
RPP38,0.987116860808417,0,0.987116860808417,0.987116860808417,0.987116860808417,0.987116860808417,0,0.987116860808417,0.987116860808417,0,0.987116860808417,0.987116860808417,0.987116860808417,0.987116860808417,0,0.987116860808417,0,0.987116860808417,0,0,0,0,0.987116860808417,0,0.987116860808417,0,0,0,0.987116860808417
SH2B3,0,0.976971388695045,0,0.976971388695045,0.976971388695045,0.976971388695045,0,0.976971388695045,0.976971388695045,0.976971388695045,0.976971388695045,0.976971388695045,0.976971388695045,0.976971388695045,0,0,0.976971388695045,0,0.976971388695045,0,0.976971388695045,0.976971388695045,0.976971388695045,0,0,0,0,0.976971388695045,0
CCNY,0.926244028128187,0.926244028128187,0.926244028128187,0.926244028128187,0,0.926244028128187,0,0.926244028128187,0.926244028128187,0,0.926244028128187,0.926244028128187,0.926244028128187,0,0,0.926244028128187,0,0.926244028128187,0,0,0,0,0.926244028128187,0,0.926244028128187,0,0,0.926244028128187,0
SSTR2,0,0.937194696441033,0,0,0.937194696441033,0.937194696441033,0,0.937194696441033,0.937194696441033,0.937194696441033,0,0.937194696441033,0,0,0.937194696441033,0.937194696441033,0.937194696441033,0.937194696441033,0.937194696441033,0,0.937194696441033,0,0,0.937194696441033,0,0.937194696441033,0,0,0
C1orf54,0,0,0.912179934510709,0.912179934510709,0.912179934510709,0.912179934510709,0.912179934510709,0.912179934510709,0.912179934510709,0.912179934510709,0,0.912179934510709,0.912179934510709,0,0,0.912179934510709,0,0,0.912179934510709,0,0.912179934510709,0,0,0.912179934510709,0,0,0,0,0
ATF3,0,0,0.957217241934618,0,0,0.957217241934618,0,0.957217241934618,0.957217241934618,0.957217241934618,0.957217241934618,0.957217241934618,0,0.957217241934618,0.957217241934618,0,0.957217241934618,0,0,0.957217241934618,0.957217241934618,0,0.957217241934618,0,0,0.957217241934618,0,0.957217241934618,0
BCL6B,0,0.969993021632938,0,0,0,0.969993021632938,0,0.969993021632938,0.969993021632938,0.969993021632938,0,0.969993021632938,0,0.969993021632938,0,0,0.969993021632938,0,0.969993021632938,0,0.969993021632938,0.969993021632938,0,0.969993021632938,0.969993021632938,0.969993021632938,0,0,0
PCGF6,0.948574802726931,0.948574802726931,0.948574802726931,0.948574802726931,0,0.948574802726931,0,0.948574802726931,0.948574802726931,0,0.948574802726931,0.948574802726931,0,0,0.948574802726931,0,0,0.948574802726931,0,0,0,0,0.948574802726931,0,0,0,0,0.948574802726931,0.948574802726931
PPP2R3C,0,0.993290031671051,0.993290031671051,0,0,0.993290031671051,0.993290031671051,0.993290031671051,0,0.993290031671051,0,0.993290031671051,0,0,0.993290031671051,0.993290031671051,0.993290031671051,0.993290031671051,0.993290031671051,0,0,0,0.993290031671051,0,0,0.993290031671051,0,0,0.993290031671051
PLAUR,0,0.971120296312201,0,0,0,0.971120296312201,0,0.971120296312201,0.971120296312201,0.971120296312201,0.971120296312201,0.971120296312201,0.971120296312201,0.971120296312201,0.971120296312201,0,0,0,0,0.971120296312201,0.971120296312201,0.971120296312201,0.971120296312201,0,0,0,0,0,0
NUMA1,0,0,0.98888829244726,0.98888829244726,0,0.98888829244726,0.98888829244726,0.98888829244726,0,0,0,0.98888829244726,0,0,0.98888829244726,0.98888829244726,0.98888829244726,0.98888829244726,0,0.98888829244726,0.98888829244726,0.98888829244726,0.98888829244726,0,0,0.98888829244726,0,0,0
DPM1,0,0,0,0,0,0.987116860808417,0.987116860808417,0.987116860808417,0,0.987116860808417,0.987116860808417,0.987116860808417,0,0,0.987116860808417,0,0,0.987116860808417,0,0,0.987116860808417,0,0.987116860808417,0,0,0.987116860808417,0.987116860808417,0.987116860808417,0.987116860808417
CYTIP,0,0.948682162220194,0.948682162220194,0,0.948682162220194,0.948682162220194,0,0.948682162220194,0,0,0.948682162220194,0.948682162220194,0.948682162220194,0,0,0.948682162220194,0.948682162220194,0.948682162220194,0.948682162220194,0,0,0.948682162220194,0,0,0,0,0,0,0
SAT1,0,0,0.952869182457459,0,0.952869182457459,0.952869182457459,0.952869182457459,0.952869182457459,0,0.952869182457459,0.952869182457459,0.952869182457459,0.952869182457459,0,0,0.952869182457459,0.952869182457459,0,0,0.952869182457459,0,0.952869182457459,0,0,0,0,0,0,0
CTGF,0,0.993075312684524,0.993075312684524,0,0,0.993075312684524,0,0.993075312684524,0,0,0.993075312684524,0.993075312684524,0.993075312684524,0,0.993075312684524,0,0.993075312684524,0,0.993075312684524,0,0.993075312684524,0,0,0.993075312684524,0,0.993075312684524,0.993075312684524,0,0
PLK3,0,0,0.952869182457459,0,0,0.952869182457459,0,0.952869182457459,0.952869182457459,0.952869182457459,0,0.952869182457459,0.952869182457459,0.952869182457459,0,0,0.952869182457459,0,0,0.952869182457459,0.952869182457459,0,0.952869182457459,0,0,0,0,0,0
DUSP5,0,0,0,0,0,0.932524558484084,0,0.932524558484084,0.932524558484084,0.932524558484084,0.932524558484084,0.932524558484084,0.932524558484084,0,0,0,0.932524558484084,0,0,0.932524558484084,0.932524558484084,0,0,0.932524558484084,0,0,0,0,0
CEBPG,0,0,0.975307316549466,0,0,0.975307316549466,0,0.975307316549466,0,0,0.975307316549466,0.975307316549466,0.975307316549466,0,0,0,0,0.975307316549466,0,0,0.975307316549466,0,0.975307316549466,0,0.975307316549466,0.975307316549466,0,0.975307316549466,0.975307316549466
MED31,0,0,0.985721187395995,0.985721187395995,0,0.985721187395995,0.985721187395995,0.985721187395995,0,0,0,0.985721187395995,0.985721187395995,0,0,0.985721187395995,0,0.985721187395995,0,0,0,0,0,0,0.985721187395995,0,0.985721187395995,0,0.985721187395995
FOSL2,0,0,0,0,0,0.979548016533362,0,0.979548016533362,0.979548016533362,0,0.979548016533362,0.979548016533362,0.979548016533362,0.979548016533362,0,0.979548016533362,0.979548016533362,0,0,0.979548016533362,0.979548016533362,0,0.979548016533362,0,0,0,0,0,0
TCN2,0.95963283053304,0,0,0.95963283053304,0,0.95963283053304,0.95963283053304,0.95963283053304,0,0.95963283053304,0,0.95963283053304,0,0,0,0,0.95963283053304,0.95963283053304,0.95963283053304,0,0,0.95963283053304,0,0,0,0,0,0,0
DLG4,0.995759300016104,0,0,0,0.995759300016104,0.995759300016104,0,0.995759300016104,0.995759300016104,0.995759300016104,0,0.995759300016104,0,0.995759300016104,0,0,0.995759300016104,0,0,0,0,0,0,0.995759300016104,0,0.995759300016104,0,0.995759300016104,0
TBC1D9B,0.974072682376939,0,0.974072682376939,0,0,0.974072682376939,0.974072682376939,0.974072682376939,0,0.974072682376939,0,0.974072682376939,0,0,0.974072682376939,0.974072682376939,0,0,0,0.974072682376939,0.974072682376939,0,0,0.974072682376939,0,0,0,0,0
PLXNB2,0,0,0.934832787589243,0.934832787589243,0,0.934832787589243,0,0.934832787589243,0,0.934832787589243,0,0.934832787589243,0,0,0.934832787589243,0.934832787589243,0,0,0,0,0,0,0,0.934832787589243,0,0.934832787589243,0.934832787589243,0,0
PRR12,0,0,0.959793869772935,0,0,0.959793869772935,0.959793869772935,0.959793869772935,0.959793869772935,0,0,0.959793869772935,0,0,0.959793869772935,0.959793869772935,0,0.959793869772935,0,0.959793869772935,0.959793869772935,0,0,0,0,0,0,0,0
CST7,0,0.943850985023351,0.943850985023351,0,0.943850985023351,0.943850985023351,0,0.943850985023351,0,0,0,0.943850985023351,0,0,0,0.943850985023351,0.943850985023351,0,0.943850985023351,0,0.943850985023351,0.943850985023351,0,0,0,0,0,0,0
PHLDA1,0,0,0.962477857104515,0,0,0.962477857104515,0,0.962477857104515,0.962477857104515,0.962477857104515,0.962477857104515,0.962477857104515,0,0,0,0,0.962477857104515,0,0,0,0.962477857104515,0.962477857104515,0,0,0,0.962477857104515,0,0,0
CXCL3,0,0.971227655805465,0.971227655805465,0,0,0.971227655805465,0,0.971227655805465,0.971227655805465,0.971227655805465,0.971227655805465,0.971227655805465,0,0,0.971227655805465,0,0.971227655805465,0,0,0.971227655805465,0.971227655805465,0,0,0,0,0,0,0,0
TNFSF8,0,0.92130549143808,0,0,0.92130549143808,0.92130549143808,0,0.92130549143808,0,0,0,0.92130549143808,0,0.92130549143808,0,0.92130549143808,0.92130549143808,0,0.92130549143808,0,0,0.92130549143808,0,0,0,0,0,0,0
VIM,0,0.939395566052928,0,0,0,0.939395566052928,0,0.939395566052928,0.939395566052928,0,0,0.939395566052928,0.939395566052928,0.939395566052928,0,0,0,0,0.939395566052928,0,0.939395566052928,0,0,0.939395566052928,0,0,0,0,0
ARHGAP12,0.965054484942831,0,0,0,0,0.965054484942831,0,0.965054484942831,0,0,0,0.965054484942831,0,0,0,0,0,0.965054484942831,0,0,0,0,0.965054484942831,0,0.965054484942831,0,0,0.965054484942831,0.965054484942831
INO80,0,0,0,0,0,0.981373127918836,0.981373127918836,0.981373127918836,0,0,0,0.981373127918836,0,0,0.981373127918836,0.981373127918836,0,0.981373127918836,0,0.981373127918836,0,0.981373127918836,0,0,0,0,0,0,0.981373127918836
MOCS3,0,0,0,0,0,0.98888829244726,0,0.98888829244726,0.98888829244726,0.98888829244726,0.98888829244726,0.98888829244726,0.98888829244726,0,0,0,0.98888829244726,0,0,0.98888829244726,0.98888829244726,0,0,0,0,0.98888829244726,0,0,0
