,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
SMC3,0.948735841966826,0.948735841966826,0.948735841966826,0.948735841966826,0.948735841966826,0.948735841966826,0.948735841966826,0.948735841966826,0.948735841966826,0.948735841966826,0.948735841966826,0,0.948735841966826,0.948735841966826,0.948735841966826,0.948735841966826,0.948735841966826,0.948735841966826,0,0.948735841966826,0.948735841966826,0.948735841966826,0.948735841966826,0.948735841966826,0.948735841966826,0,0.948735841966826,0.948735841966826,0.948735841966826
PLEKHA1,0.93037736861882,0.93037736861882,0.93037736861882,0.93037736861882,0,0.93037736861882,0.93037736861882,0.93037736861882,0.93037736861882,0.93037736861882,0,0,0.93037736861882,0.93037736861882,0.93037736861882,0.93037736861882,0.93037736861882,0.93037736861882,0.93037736861882,0.93037736861882,0,0.93037736861882,0.93037736861882,0.93037736861882,0,0.93037736861882,0.93037736861882,0.93037736861882,0.93037736861882
RAB11FIP2,0.960330667239251,0.960330667239251,0.960330667239251,0.960330667239251,0.960330667239251,0,0.960330667239251,0.960330667239251,0.960330667239251,0.960330667239251,0.960330667239251,0.960330667239251,0.960330667239251,0.960330667239251,0,0.960330667239251,0.960330667239251,0.960330667239251,0,0.960330667239251,0.960330667239251,0.960330667239251,0.960330667239251,0,0.960330667239251,0.960330667239251,0.960330667239251,0.960330667239251,0.960330667239251
PPRC1,0.974877878576413,0.974877878576413,0.974877878576413,0.974877878576413,0.974877878576413,0.974877878576413,0.974877878576413,0.974877878576413,0.974877878576413,0,0,0,0.974877878576413,0.974877878576413,0.974877878576413,0.974877878576413,0.974877878576413,0.974877878576413,0.974877878576413,0.974877878576413,0,0.974877878576413,0.974877878576413,0.974877878576413,0.974877878576413,0,0.974877878576413,0.974877878576413,0.974877878576413
ZDHHC6,0.90616780288797,0.90616780288797,0.90616780288797,0.90616780288797,0.90616780288797,0.90616780288797,0.90616780288797,0.90616780288797,0.90616780288797,0.90616780288797,0,0.90616780288797,0.90616780288797,0.90616780288797,0,0.90616780288797,0.90616780288797,0.90616780288797,0.90616780288797,0.90616780288797,0.90616780288797,0.90616780288797,0,0.90616780288797,0,0,0.90616780288797,0,0.90616780288797
NOLC1,0.925009393955661,0.925009393955661,0.925009393955661,0.925009393955661,0.925009393955661,0.925009393955661,0.925009393955661,0.925009393955661,0.925009393955661,0,0,0,0.925009393955661,0.925009393955661,0.925009393955661,0.925009393955661,0.925009393955661,0.925009393955661,0,0.925009393955661,0.925009393955661,0.925009393955661,0.925009393955661,0.925009393955661,0.925009393955661,0,0.925009393955661,0,0.925009393955661
HNRNPF,0.973643244403886,0.973643244403886,0.973643244403886,0.973643244403886,0.973643244403886,0.973643244403886,0.973643244403886,0.973643244403886,0.973643244403886,0,0,0,0.973643244403886,0.973643244403886,0.973643244403886,0.973643244403886,0.973643244403886,0,0.973643244403886,0.973643244403886,0.973643244403886,0.973643244403886,0.973643244403886,0.973643244403886,0,0,0.973643244403886,0.973643244403886,0.973643244403886
VPS26A,0.933115035697031,0.933115035697031,0.933115035697031,0.933115035697031,0.933115035697031,0.933115035697031,0.933115035697031,0.933115035697031,0.933115035697031,0.933115035697031,0,0,0.933115035697031,0.933115035697031,0.933115035697031,0.933115035697031,0.933115035697031,0,0.933115035697031,0.933115035697031,0.933115035697031,0.933115035697031,0.933115035697031,0.933115035697031,0,0,0.933115035697031,0,0.933115035697031
VTI1A,0.908798110472919,0.908798110472919,0.908798110472919,0.908798110472919,0.908798110472919,0.908798110472919,0.908798110472919,0.908798110472919,0.908798110472919,0,0,0,0.908798110472919,0.908798110472919,0.908798110472919,0.908798110472919,0.908798110472919,0.908798110472919,0.908798110472919,0.908798110472919,0.908798110472919,0.908798110472919,0,0,0,0,0.908798110472919,0.908798110472919,0.908798110472919
KIF11,0.966074400128831,0.966074400128831,0,0.966074400128831,0.966074400128831,0.966074400128831,0.966074400128831,0.966074400128831,0.966074400128831,0,0,0,0.966074400128831,0.966074400128831,0.966074400128831,0.966074400128831,0.966074400128831,0,0.966074400128831,0.966074400128831,0.966074400128831,0.966074400128831,0.966074400128831,0.966074400128831,0.966074400128831,0,0.966074400128831,0,0.966074400128831
