,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
ORAI2,0,0,0,0,0,1,0.896768305776251,1,0,1,1,0.842173072793644,0,0,0.978795361820915,0,0,0.977023835086966,0,0,0,0,0,0,0,1,0,0,0
SLC12A9,0,0,0,0,0,1,0.989800300622719,1,0,1,1,0.988834013313292,0,0,0.881683487223535,0,0,0.878086751127335,0,0,0,0,0,0,0,1,0,0,0
PTCD1,0,0,0,0,0,1,0.984485720420872,1,0,1,1,0.980352158041658,0,0,0.949055185741894,0,0,0.946532102211724,0,0,0,0,0,0,0,1,0,0,0
ZNF786,0,0,0,0,0,1,0.78043805024694,1,0,1,1,0.784464247369551,0,0,0.707751771526734,0,0,0.702812969722998,0,0,0,0,0,0,0,1,0,0,0
REPIN1,0,0,0,0,0,1,0.714569465321022,1,0,1,1,0.73405625939446,0,0,0.530008589220528,0,0,0.524425595877174,0,0,0,0,0,0,0,1,0,0,0
ALKBH4,0,0,0,0,0,1,0.772009877603608,1,0,1,1,0.706946532102212,0,0,0.969830362894567,0,0,0.967951470904015,0,0,0,0,0,0,0,1,0,0,0
TRIM56,0,0,0,0,0,1,0.862089327893494,1,0,1,1,0.866920764440627,0,0,0.700075155679622,0,0,0.695136353875886,0,0,0,0,0,0,0,1,0,0,0
USP42,0,0,0,0,0,1,0.692076444062701,1,0,1,1,0.70109512561735,0,0,0.662282585355379,0,0,0.657182735666738,0,0,0,0,0,0,0,1,0,0,0
FBXL18,0,0,0,0,0,1,0.988995061198196,1,0,1,1,0.977399613485076,0,0,0.994739102426455,0,0,0.99382649774533,0,0,0,0,0,0,0,1,0,0,0
ZSCAN21,0,0,0,0,0,1,0.749677904230191,1,0,1,1,0.713495812754993,0,0,0.910940519647842,0,0,0.907290100923341,0,0,0,0,0,0,0,1,0,0,0
