,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
RBM25,0.947501207794299,0.947501207794299,0.947501207794299,0.947501207794299,0.947501207794299,0.947501207794299,0.947501207794299,0.947501207794299,0.947501207794299,0.947501207794299,0.947501207794299,0,0.947501207794299,0.947501207794299,0.947501207794299,0.947501207794299,0.947501207794299,0.947501207794299,0.947501207794299,0.947501207794299,0.947501207794299,0.947501207794299,0.947501207794299,0,0.947501207794299,0,0.947501207794299,0.947501207794299,0.947501207794299
CHD9,0,0.967631112781148,0.967631112781148,0.967631112781148,0.967631112781148,0.967631112781148,0.967631112781148,0.967631112781148,0.967631112781148,0.967631112781148,0.967631112781148,0.967631112781148,0.967631112781148,0.967631112781148,0.967631112781148,0.967631112781148,0.967631112781148,0,0.967631112781148,0.967631112781148,0.967631112781148,0.967631112781148,0.967631112781148,0.967631112781148,0.967631112781148,0.967631112781148,0.967631112781148,0.967631112781148,0.967631112781148
RC3H2,0.984164474743679,0.984164474743679,0.984164474743679,0.984164474743679,0.984164474743679,0.984164474743679,0.984164474743679,0.984164474743679,0.984164474743679,0.984164474743679,0.984164474743679,0.984164474743679,0.984164474743679,0.984164474743679,0.984164474743679,0,0.984164474743679,0.984164474743679,0.984164474743679,0.984164474743679,0.984164474743679,0.984164474743679,0.984164474743679,0.984164474743679,0.984164474743679,0.984164474743679,0.984164474743679,0.984164474743679,0.984164474743679
BDP1,0,0.929572172419346,0.929572172419346,0.929572172419346,0.929572172419346,0.929572172419346,0.929572172419346,0.929572172419346,0.929572172419346,0.929572172419346,0.929572172419346,0.929572172419346,0.929572172419346,0.929572172419346,0.929572172419346,0.929572172419346,0.929572172419346,0,0.929572172419346,0.929572172419346,0.929572172419346,0.929572172419346,0.929572172419346,0.929572172419346,0,0.929572172419346,0.929572172419346,0.929572172419346,0.929572172419346
CEP97,0,0.981963605131784,0.981963605131784,0.981963605131784,0.981963605131784,0.981963605131784,0.981963605131784,0.981963605131784,0.981963605131784,0.981963605131784,0.981963605131784,0.981963605131784,0.981963605131784,0.981963605131784,0.981963605131784,0,0.981963605131784,0.981963605131784,0.981963605131784,0.981963605131784,0.981963605131784,0.981963605131784,0.981963605131784,0.981963605131784,0.981963605131784,0.981963605131784,0.981963605131784,0.981963605131784,0.981963605131784
MAP3K2,0,0.980997369692415,0.980997369692415,0.980997369692415,0.980997369692415,0.980997369692415,0.980997369692415,0.980997369692415,0.980997369692415,0.980997369692415,0.980997369692415,0.980997369692415,0.980997369692415,0.980997369692415,0.980997369692415,0.980997369692415,0.980997369692415,0,0.980997369692415,0.980997369692415,0.980997369692415,0.980997369692415,0.980997369692415,0.980997369692415,0.980997369692415,0,0.980997369692415,0.980997369692415,0.980997369692415
GUK1,0,0.998121208867894,0.998121208867894,0.998121208867894,0.998121208867894,0.998121208867894,0.998121208867894,0.998121208867894,0.998121208867894,0.998121208867894,0.998121208867894,0.998121208867894,0.998121208867894,0.998121208867894,0.998121208867894,0.998121208867894,0.998121208867894,0.998121208867894,0.998121208867894,0.998121208867894,0.998121208867894,0.998121208867894,0.998121208867894,0.998121208867894,0.998121208867894,0.998121208867894,0.998121208867894,0.998121208867894,0.998121208867894
BAG5,0,0.984325513983574,0.984325513983574,0.984325513983574,0.984325513983574,0.984325513983574,0.984325513983574,0.984325513983574,0.984325513983574,0.984325513983574,0.984325513983574,0,0,0.984325513983574,0.984325513983574,0.984325513983574,0.984325513983574,0.984325513983574,0,0,0.984325513983574,0.984325513983574,0.984325513983574,0.984325513983574,0.984325513983574,0,0.984325513983574,0.984325513983574,0.984325513983574
KIAA2026,0,0.951688228031564,0.951688228031564,0,0.951688228031564,0.951688228031564,0.951688228031564,0.951688228031564,0,0.951688228031564,0.951688228031564,0.951688228031564,0.951688228031564,0.951688228031564,0.951688228031564,0.951688228031564,0.951688228031564,0,0.951688228031564,0.951688228031564,0.951688228031564,0.951688228031564,0.951688228031564,0,0.951688228031564,0.951688228031564,0.951688228031564,0.951688228031564,0.951688228031564
TSSK4,0.97879650008052,0.97879650008052,0.97879650008052,0,0.97879650008052,0.97879650008052,0.97879650008052,0.97879650008052,0,0.97879650008052,0.97879650008052,0,0.97879650008052,0.97879650008052,0.97879650008052,0.97879650008052,0.97879650008052,0.97879650008052,0.97879650008052,0.97879650008052,0,0.97879650008052,0.97879650008052,0.97879650008052,0.97879650008052,0.97879650008052,0.97879650008052,0.97879650008052,0.97879650008052
