,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
BCAM,0.928444897740083,0.928444897740083,0.928444897740083,0,0.928444897740083,0.928444897740083,0.928444897740083,0.928444897740083,0.928444897740083,0.928444897740083,0.928444897740083,0.928444897740083,0.928444897740083,0.928444897740083,0.928444897740083,0,0,0,0.928444897740083,0.928444897740083,0.928444897740083,0.928444897740083,0.928444897740083,0.928444897740083,0,0.928444897740083,0.928444897740083,0.928444897740083,0.928444897740083
FAM117A,0.944226743249772,0.944226743249772,0.944226743249772,0,0.944226743249772,0.944226743249772,0.944226743249772,0.944226743249772,0.944226743249772,0.944226743249772,0.944226743249772,0.944226743249772,0.944226743249772,0.944226743249772,0.944226743249772,0.944226743249772,0,0.944226743249772,0.944226743249772,0.944226743249772,0.944226743249772,0.944226743249772,0.944226743249772,0.944226743249772,0,0.944226743249772,0,0.944226743249772,0.944226743249772
C21orf90,0.984432873476837,0.984432873476837,0.984432873476837,0,0,0.984432873476837,0.984432873476837,0.984432873476837,0.984432873476837,0.984432873476837,0.984432873476837,0.984432873476837,0.984432873476837,0.984432873476837,0.984432873476837,0.984432873476837,0,0.984432873476837,0.984432873476837,0.984432873476837,0.984432873476837,0.984432873476837,0.984432873476837,0.984432873476837,0,0.984432873476837,0.984432873476837,0.984432873476837,0.984432873476837
COL11A2,0.929786891405873,0.929786891405873,0.929786891405873,0.929786891405873,0,0.929786891405873,0.929786891405873,0,0.929786891405873,0.929786891405873,0.929786891405873,0.929786891405873,0.929786891405873,0.929786891405873,0,0.929786891405873,0,0.929786891405873,0.929786891405873,0.929786891405873,0.929786891405873,0.929786891405873,0.929786891405873,0.929786891405873,0,0.929786891405873,0,0.929786891405873,0.929786891405873
RECQL5,0.992055397498524,0.992055397498524,0.992055397498524,0.992055397498524,0,0.992055397498524,0.992055397498524,0,0.992055397498524,0.992055397498524,0.992055397498524,0.992055397498524,0.992055397498524,0.992055397498524,0.992055397498524,0.992055397498524,0.992055397498524,0,0.992055397498524,0.992055397498524,0.992055397498524,0.992055397498524,0.992055397498524,0.992055397498524,0,0.992055397498524,0,0.992055397498524,0.992055397498524
PTK6,0.92296956358366,0.92296956358366,0.92296956358366,0,0,0.92296956358366,0.92296956358366,0.92296956358366,0.92296956358366,0.92296956358366,0.92296956358366,0.92296956358366,0.92296956358366,0.92296956358366,0,0.92296956358366,0.92296956358366,0,0.92296956358366,0.92296956358366,0.92296956358366,0.92296956358366,0.92296956358366,0.92296956358366,0,0.92296956358366,0.92296956358366,0,0.92296956358366
TPST2,0.946588652101562,0.946588652101562,0.946588652101562,0,0,0.946588652101562,0.946588652101562,0,0.946588652101562,0.946588652101562,0.946588652101562,0.946588652101562,0.946588652101562,0.946588652101562,0,0,0.946588652101562,0.946588652101562,0.946588652101562,0.946588652101562,0.946588652101562,0.946588652101562,0.946588652101562,0.946588652101562,0.946588652101562,0.946588652101562,0.946588652101562,0,0.946588652101562
ABHD8,0.971442374791991,0.971442374791991,0.971442374791991,0,0,0.971442374791991,0.971442374791991,0.971442374791991,0.971442374791991,0.971442374791991,0.971442374791991,0.971442374791991,0.971442374791991,0.971442374791991,0,0.971442374791991,0,0.971442374791991,0.971442374791991,0.971442374791991,0.971442374791991,0.971442374791991,0.971442374791991,0.971442374791991,0.971442374791991,0.971442374791991,0,0.971442374791991,0.971442374791991
SLC35B1,0.98722422030168,0.98722422030168,0.98722422030168,0.98722422030168,0,0.98722422030168,0.98722422030168,0,0.98722422030168,0.98722422030168,0.98722422030168,0.98722422030168,0.98722422030168,0.98722422030168,0.98722422030168,0.98722422030168,0,0.98722422030168,0.98722422030168,0.98722422030168,0.98722422030168,0.98722422030168,0.98722422030168,0.98722422030168,0.98722422030168,0.98722422030168,0,0,0.98722422030168
ANKRD24,0.939717644532718,0.939717644532718,0.939717644532718,0,0,0.939717644532718,0.939717644532718,0,0.939717644532718,0.939717644532718,0.939717644532718,0.939717644532718,0.939717644532718,0.939717644532718,0.939717644532718,0.939717644532718,0.939717644532718,0,0.939717644532718,0.939717644532718,0.939717644532718,0.939717644532718,0.939717644532718,0.939717644532718,0,0.939717644532718,0.939717644532718,0,0.939717644532718
TLX2,0.942347952117666,0.942347952117666,0.942347952117666,0.942347952117666,0,0.942347952117666,0.942347952117666,0,0.942347952117666,0.942347952117666,0.942347952117666,0.942347952117666,0.942347952117666,0.942347952117666,0,0.942347952117666,0.942347952117666,0.942347952117666,0.942347952117666,0.942347952117666,0.942347952117666,0.942347952117666,0.942347952117666,0.942347952117666,0,0.942347952117666,0,0,0.942347952117666
NPR1,0.978206022867572,0.978206022867572,0.978206022867572,0.978206022867572,0,0.978206022867572,0.978206022867572,0,0.978206022867572,0.978206022867572,0.978206022867572,0.978206022867572,0.978206022867572,0.978206022867572,0,0,0,0.978206022867572,0.978206022867572,0.978206022867572,0.978206022867572,0.978206022867572,0.978206022867572,0.978206022867572,0,0.978206022867572,0.978206022867572,0.978206022867572,0.978206022867572
EBF4,0.963712491277041,0.963712491277041,0.963712491277041,0,0,0.963712491277041,0.963712491277041,0.963712491277041,0.963712491277041,0.963712491277041,0.963712491277041,0.963712491277041,0.963712491277041,0.963712491277041,0,0.963712491277041,0.963712491277041,0.963712491277041,0.963712491277041,0.963712491277041,0.963712491277041,0.963712491277041,0.963712491277041,0.963712491277041,0,0.963712491277041,0,0.963712491277041,0.963712491277041
PARP16,0.976380911482098,0.976380911482098,0.976380911482098,0.976380911482098,0,0.976380911482098,0.976380911482098,0,0.976380911482098,0.976380911482098,0.976380911482098,0.976380911482098,0.976380911482098,0.976380911482098,0.976380911482098,0.976380911482098,0.976380911482098,0,0.976380911482098,0.976380911482098,0.976380911482098,0.976380911482098,0.976380911482098,0.976380911482098,0,0.976380911482098,0,0,0.976380911482098
DCST2,0.949004240699984,0.949004240699984,0.949004240699984,0,0,0.949004240699984,0.949004240699984,0.949004240699984,0.949004240699984,0.949004240699984,0.949004240699984,0.949004240699984,0.949004240699984,0.949004240699984,0.949004240699984,0,0.949004240699984,0,0.949004240699984,0.949004240699984,0.949004240699984,0.949004240699984,0.949004240699984,0.949004240699984,0,0.949004240699984,0.949004240699984,0,0.949004240699984
