,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
KNTC1,0.969993021632938,0.969993021632938,0.969993021632938,0.969993021632938,0.969993021632938,0.969993021632938,0.969993021632938,0.969993021632938,0.969993021632938,0.969993021632938,0.969993021632938,0.969993021632938,0.969993021632938,0.969993021632938,0.969993021632938,0.969993021632938,0.969993021632938,0.969993021632938,0.969993021632938,0.969993021632938,0.969993021632938,0.969993021632938,0.969993021632938,0.969993021632938,0.969993021632938,0.969993021632938,0.969993021632938,0.969993021632938,0.969993021632938
CDCA7,0.942401631864298,0.942401631864298,0.942401631864298,0.942401631864298,0.942401631864298,0.942401631864298,0.942401631864298,0.942401631864298,0.942401631864298,0.942401631864298,0.942401631864298,0.942401631864298,0.942401631864298,0.942401631864298,0.942401631864298,0.942401631864298,0.942401631864298,0.942401631864298,0.942401631864298,0.942401631864298,0.942401631864298,0,0.942401631864298,0.942401631864298,0.942401631864298,0.942401631864298,0.942401631864298,0.942401631864298,0.942401631864298
SFI1,0.98384239626389,0.98384239626389,0.98384239626389,0.98384239626389,0.98384239626389,0.98384239626389,0.98384239626389,0.98384239626389,0.98384239626389,0.98384239626389,0.98384239626389,0,0.98384239626389,0.98384239626389,0.98384239626389,0.98384239626389,0.98384239626389,0.98384239626389,0.98384239626389,0.98384239626389,0.98384239626389,0.98384239626389,0.98384239626389,0.98384239626389,0.98384239626389,0.98384239626389,0.98384239626389,0.98384239626389,0.98384239626389
WDR76,0.991733319018734,0.991733319018734,0.991733319018734,0.991733319018734,0.991733319018734,0.991733319018734,0.991733319018734,0.991733319018734,0.991733319018734,0.991733319018734,0.991733319018734,0.991733319018734,0.991733319018734,0.991733319018734,0.991733319018734,0.991733319018734,0.991733319018734,0.991733319018734,0.991733319018734,0.991733319018734,0.991733319018734,0.991733319018734,0.991733319018734,0.991733319018734,0,0.991733319018734,0.991733319018734,0.991733319018734,0.991733319018734
CENPJ,0.973911643137044,0.973911643137044,0.973911643137044,0.973911643137044,0,0.973911643137044,0.973911643137044,0.973911643137044,0.973911643137044,0.973911643137044,0.973911643137044,0.973911643137044,0.973911643137044,0.973911643137044,0.973911643137044,0.973911643137044,0.973911643137044,0.973911643137044,0.973911643137044,0.973911643137044,0.973911643137044,0,0.973911643137044,0.973911643137044,0.973911643137044,0.973911643137044,0.973911643137044,0.973911643137044,0.973911643137044
EIF4ENIF1,0.954211176123249,0.954211176123249,0.954211176123249,0.954211176123249,0.954211176123249,0.954211176123249,0.954211176123249,0.954211176123249,0.954211176123249,0.954211176123249,0.954211176123249,0.954211176123249,0.954211176123249,0.954211176123249,0.954211176123249,0.954211176123249,0.954211176123249,0.954211176123249,0.954211176123249,0.954211176123249,0.954211176123249,0.954211176123249,0.954211176123249,0.954211176123249,0.954211176123249,0.954211176123249,0,0.954211176123249,0.954211176123249
CDC45,0.911911535777551,0.911911535777551,0.911911535777551,0.911911535777551,0.911911535777551,0.911911535777551,0.911911535777551,0.911911535777551,0.911911535777551,0.911911535777551,0.911911535777551,0.911911535777551,0.911911535777551,0.911911535777551,0.911911535777551,0.911911535777551,0.911911535777551,0.911911535777551,0.911911535777551,0.911911535777551,0.911911535777551,0,0.911911535777551,0.911911535777551,0,0.911911535777551,0.911911535777551,0.911911535777551,0.911911535777551
ODF2,0.933759192656611,0.933759192656611,0.933759192656611,0.933759192656611,0,0.933759192656611,0.933759192656611,0.933759192656611,0.933759192656611,0.933759192656611,0.933759192656611,0,0.933759192656611,0.933759192656611,0.933759192656611,0.933759192656611,0.933759192656611,0.933759192656611,0.933759192656611,0.933759192656611,0.933759192656611,0,0.933759192656611,0.933759192656611,0.933759192656611,0.933759192656611,0.933759192656611,0.933759192656611,0.933759192656611
CENPK,0.958022438134092,0.958022438134092,0.958022438134092,0.958022438134092,0.958022438134092,0.958022438134092,0.958022438134092,0.958022438134092,0.958022438134092,0.958022438134092,0.958022438134092,0.958022438134092,0.958022438134092,0.958022438134092,0.958022438134092,0.958022438134092,0.958022438134092,0.958022438134092,0.958022438134092,0.958022438134092,0.958022438134092,0,0.958022438134092,0.958022438134092,0,0.958022438134092,0.958022438134092,0.958022438134092,0.958022438134092
PALB2,0.994417306350314,0.994417306350314,0.994417306350314,0.994417306350314,0.994417306350314,0.994417306350314,0.994417306350314,0.994417306350314,0.994417306350314,0.994417306350314,0.994417306350314,0.994417306350314,0.994417306350314,0.994417306350314,0.994417306350314,0.994417306350314,0.994417306350314,0.994417306350314,0.994417306350314,0.994417306350314,0.994417306350314,0,0.994417306350314,0.994417306350314,0.994417306350314,0.994417306350314,0,0.994417306350314,0.994417306350314
KHDRBS1,0.982070964625047,0.982070964625047,0.982070964625047,0.982070964625047,0.982070964625047,0.982070964625047,0.982070964625047,0.982070964625047,0.982070964625047,0.982070964625047,0.982070964625047,0.982070964625047,0.982070964625047,0.982070964625047,0.982070964625047,0.982070964625047,0.982070964625047,0.982070964625047,0.982070964625047,0.982070964625047,0.982070964625047,0,0.982070964625047,0.982070964625047,0,0.982070964625047,0.982070964625047,0.982070964625047,0.982070964625047
CASP6,0.999194803800526,0.999194803800526,0.999194803800526,0.999194803800526,0.999194803800526,0.999194803800526,0.999194803800526,0.999194803800526,0.999194803800526,0.999194803800526,0.999194803800526,0.999194803800526,0.999194803800526,0.999194803800526,0.999194803800526,0.999194803800526,0.999194803800526,0.999194803800526,0.999194803800526,0.999194803800526,0.999194803800526,0,0.999194803800526,0.999194803800526,0.999194803800526,0.999194803800526,0,0.999194803800526,0.999194803800526
LETM1,0.983305598797574,0.983305598797574,0.983305598797574,0.983305598797574,0,0.983305598797574,0.983305598797574,0.983305598797574,0.983305598797574,0.983305598797574,0.983305598797574,0,0.983305598797574,0.983305598797574,0.983305598797574,0.983305598797574,0.983305598797574,0.983305598797574,0.983305598797574,0.983305598797574,0.983305598797574,0,0.983305598797574,0.983305598797574,0.983305598797574,0.983305598797574,0.983305598797574,0.983305598797574,0.983305598797574
DUT,0.985238069676311,0.985238069676311,0.985238069676311,0.985238069676311,0.985238069676311,0.985238069676311,0.985238069676311,0.985238069676311,0.985238069676311,0.985238069676311,0.985238069676311,0.985238069676311,0.985238069676311,0.985238069676311,0.985238069676311,0.985238069676311,0.985238069676311,0.985238069676311,0.985238069676311,0.985238069676311,0.985238069676311,0,0.985238069676311,0.985238069676311,0,0.985238069676311,0.985238069676311,0.985238069676311,0.985238069676311
CHEK1,0.962209458371357,0.962209458371357,0.962209458371357,0.962209458371357,0,0.962209458371357,0.962209458371357,0.962209458371357,0.962209458371357,0.962209458371357,0.962209458371357,0.962209458371357,0.962209458371357,0.962209458371357,0.962209458371357,0.962209458371357,0.962209458371357,0.962209458371357,0.962209458371357,0.962209458371357,0.962209458371357,0,0.962209458371357,0.962209458371357,0,0.962209458371357,0.962209458371357,0.962209458371357,0.962209458371357
ACTL6A,0.974824198829782,0.974824198829782,0.974824198829782,0.974824198829782,0.974824198829782,0.974824198829782,0.974824198829782,0.974824198829782,0.974824198829782,0.974824198829782,0.974824198829782,0.974824198829782,0.974824198829782,0.974824198829782,0.974824198829782,0.974824198829782,0.974824198829782,0.974824198829782,0.974824198829782,0.974824198829782,0.974824198829782,0,0.974824198829782,0.974824198829782,0,0.974824198829782,0.974824198829782,0.974824198829782,0.974824198829782
DSCC1,0.952761822964196,0.952761822964196,0.952761822964196,0.952761822964196,0,0.952761822964196,0.952761822964196,0.952761822964196,0.952761822964196,0.952761822964196,0.952761822964196,0.952761822964196,0.952761822964196,0.952761822964196,0.952761822964196,0.952761822964196,0.952761822964196,0.952761822964196,0.952761822964196,0.952761822964196,0.952761822964196,0,0.952761822964196,0.952761822964196,0,0.952761822964196,0.952761822964196,0.952761822964196,0.952761822964196
SBF1,0.958559235600408,0.958559235600408,0.958559235600408,0.958559235600408,0,0.958559235600408,0.958559235600408,0.958559235600408,0.958559235600408,0.958559235600408,0.958559235600408,0,0.958559235600408,0.958559235600408,0.958559235600408,0.958559235600408,0.958559235600408,0.958559235600408,0.958559235600408,0.958559235600408,0.958559235600408,0,0.958559235600408,0.958559235600408,0.958559235600408,0.958559235600408,0.958559235600408,0.958559235600408,0.958559235600408
CDCA4,0.976595630468624,0.976595630468624,0.976595630468624,0.976595630468624,0.976595630468624,0.976595630468624,0.976595630468624,0.976595630468624,0.976595630468624,0.976595630468624,0.976595630468624,0.976595630468624,0.976595630468624,0.976595630468624,0.976595630468624,0.976595630468624,0.976595630468624,0.976595630468624,0.976595630468624,0.976595630468624,0.976595630468624,0,0.976595630468624,0.976595630468624,0,0.976595630468624,0.976595630468624,0.976595630468624,0.976595630468624
YWHAH,0.976166192495571,0.976166192495571,0.976166192495571,0.976166192495571,0.976166192495571,0.976166192495571,0.976166192495571,0.976166192495571,0.976166192495571,0.976166192495571,0.976166192495571,0,0.976166192495571,0.976166192495571,0.976166192495571,0.976166192495571,0.976166192495571,0.976166192495571,0.976166192495571,0.976166192495571,0.976166192495571,0.976166192495571,0.976166192495571,0.976166192495571,0,0.976166192495571,0.976166192495571,0.976166192495571,0.976166192495571
MCM10,0.959740190026303,0.959740190026303,0.959740190026303,0.959740190026303,0,0.959740190026303,0.959740190026303,0.959740190026303,0.959740190026303,0.959740190026303,0.959740190026303,0.959740190026303,0.959740190026303,0.959740190026303,0.959740190026303,0.959740190026303,0.959740190026303,0.959740190026303,0.959740190026303,0.959740190026303,0.959740190026303,0,0.959740190026303,0.959740190026303,0,0.959740190026303,0.959740190026303,0.959740190026303,0.959740190026303
KIF15,0.943367867303666,0.943367867303666,0.943367867303666,0.943367867303666,0,0.943367867303666,0.943367867303666,0.943367867303666,0.943367867303666,0.943367867303666,0.943367867303666,0.943367867303666,0.943367867303666,0.943367867303666,0.943367867303666,0.943367867303666,0.943367867303666,0.943367867303666,0.943367867303666,0.943367867303666,0.943367867303666,0,0.943367867303666,0.943367867303666,0,0.943367867303666,0.943367867303666,0.943367867303666,0.943367867303666
SLC25A17,0.904664769982286,0.904664769982286,0.904664769982286,0.904664769982286,0.904664769982286,0.904664769982286,0.904664769982286,0.904664769982286,0.904664769982286,0.904664769982286,0.904664769982286,0,0.904664769982286,0.904664769982286,0.904664769982286,0.904664769982286,0.904664769982286,0.904664769982286,0.904664769982286,0.904664769982286,0.904664769982286,0,0.904664769982286,0.904664769982286,0.904664769982286,0.904664769982286,0,0.904664769982286,0.904664769982286
ARHGAP30,0.977615545654624,0.977615545654624,0.977615545654624,0.977615545654624,0.977615545654624,0.977615545654624,0.977615545654624,0.977615545654624,0.977615545654624,0.977615545654624,0.977615545654624,0.977615545654624,0.977615545654624,0.977615545654624,0.977615545654624,0.977615545654624,0.977615545654624,0.977615545654624,0.977615545654624,0.977615545654624,0.977615545654624,0,0.977615545654624,0.977615545654624,0,0.977615545654624,0.977615545654624,0.977615545654624,0.977615545654624
TTK,0.982607762091363,0.982607762091363,0.982607762091363,0.982607762091363,0,0.982607762091363,0.982607762091363,0.982607762091363,0.982607762091363,0.982607762091363,0.982607762091363,0.982607762091363,0.982607762091363,0.982607762091363,0.982607762091363,0.982607762091363,0.982607762091363,0.982607762091363,0.982607762091363,0.982607762091363,0.982607762091363,0,0.982607762091363,0.982607762091363,0,0.982607762091363,0.982607762091363,0.982607762091363,0.982607762091363
WHSC1,0.936979977454506,0.936979977454506,0.936979977454506,0.936979977454506,0,0.936979977454506,0.936979977454506,0.936979977454506,0.936979977454506,0.936979977454506,0.936979977454506,0.936979977454506,0.936979977454506,0.936979977454506,0.936979977454506,0.936979977454506,0.936979977454506,0.936979977454506,0.936979977454506,0.936979977454506,0.936979977454506,0,0.936979977454506,0.936979977454506,0,0.936979977454506,0.936979977454506,0.936979977454506,0.936979977454506
LPAR2,0.986419024102206,0.986419024102206,0.986419024102206,0.986419024102206,0.986419024102206,0.986419024102206,0.986419024102206,0.986419024102206,0.986419024102206,0.986419024102206,0.986419024102206,0.986419024102206,0.986419024102206,0.986419024102206,0.986419024102206,0.986419024102206,0.986419024102206,0.986419024102206,0.986419024102206,0.986419024102206,0.986419024102206,0,0.986419024102206,0.986419024102206,0.986419024102206,0.986419024102206,0,0.986419024102206,0.986419024102206
GINS1,0.994148907617156,0.994148907617156,0.994148907617156,0.994148907617156,0,0.994148907617156,0.994148907617156,0.994148907617156,0.994148907617156,0.994148907617156,0.994148907617156,0.994148907617156,0.994148907617156,0.994148907617156,0.994148907617156,0.994148907617156,0.994148907617156,0.994148907617156,0.994148907617156,0.994148907617156,0.994148907617156,0,0.994148907617156,0.994148907617156,0,0.994148907617156,0.994148907617156,0.994148907617156,0.994148907617156
CDC25A,0.999570562026947,0.999570562026947,0.999570562026947,0.999570562026947,0,0.999570562026947,0.999570562026947,0.999570562026947,0.999570562026947,0.999570562026947,0.999570562026947,0.999570562026947,0.999570562026947,0.999570562026947,0.999570562026947,0.999570562026947,0.999570562026947,0.999570562026947,0.999570562026947,0.999570562026947,0.999570562026947,0,0.999570562026947,0.999570562026947,0,0.999570562026947,0.999570562026947,0.999570562026947,0.999570562026947
SMC2,0.936013742015138,0.936013742015138,0.936013742015138,0.936013742015138,0,0.936013742015138,0.936013742015138,0.936013742015138,0.936013742015138,0.936013742015138,0.936013742015138,0.936013742015138,0.936013742015138,0.936013742015138,0.936013742015138,0.936013742015138,0.936013742015138,0.936013742015138,0.936013742015138,0.936013742015138,0.936013742015138,0,0.936013742015138,0.936013742015138,0,0.936013742015138,0.936013742015138,0.936013742015138,0.936013742015138
CBY1,0.952332384991143,0.952332384991143,0.952332384991143,0.952332384991143,0.952332384991143,0.952332384991143,0.952332384991143,0.952332384991143,0.952332384991143,0.952332384991143,0.952332384991143,0,0.952332384991143,0.952332384991143,0.952332384991143,0.952332384991143,0.952332384991143,0.952332384991143,0.952332384991143,0.952332384991143,0.952332384991143,0,0.952332384991143,0.952332384991143,0.952332384991143,0.952332384991143,0,0.952332384991143,0.952332384991143
STIL,0.952654463470932,0.952654463470932,0.952654463470932,0.952654463470932,0,0.952654463470932,0.952654463470932,0.952654463470932,0.952654463470932,0.952654463470932,0.952654463470932,0.952654463470932,0.952654463470932,0.952654463470932,0.952654463470932,0.952654463470932,0.952654463470932,0.952654463470932,0.952654463470932,0.952654463470932,0.952654463470932,0,0.952654463470932,0.952654463470932,0,0.952654463470932,0.952654463470932,0.952654463470932,0.952654463470932
