,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
STIL,0,0.854734807816191,0.828537685205068,0.799119604895856,0.791872450075156,0.844964569465321,0.852265406914323,0.859029418080309,0,0,0,0.772654069143225,0,0,0,0.824940949108868,0,0.789403049173288,0,0,0,0.799978526948679,0.763635387588576,0.830684990337127,0.81484861498819,0,0.760414429890487,0.776197122611123,0
CLSPN,0,0.994041228258536,0.993933863001933,0.989317156968005,0.960060124543698,0.993021258320807,0.989746617994417,0.992591797294396,0,0,0,0.994309641400043,0,0,0,0.993933863001933,0,0.994524371913249,0,0,0,0.993558084603822,0.992484432037793,0.994685419798153,0.986203564526519,0,0.988619282800086,0.918241357096844,0
KIF23,0,0.884528666523513,0.858868370195405,0.863485076229332,0.871215374704746,0.883508696585785,0.885763366974447,0.906806957268628,0,0,0,0.869068069572686,0,0,0,0.851567532746403,0,0.856076873523728,0,0,0,0.904015460596951,0.875295254455658,0.89601674898003,0.841475198625725,0,0.870517500536826,0.786772600386515,0
CENPI,0,0.952490873953189,0.964784195834228,0.972890272707752,0.73260682843032,0.935634528666524,0.940519647841958,0.904659652136569,0,0,0,0.971655572256818,0,0,0,0.961080094481426,0,0.975305990981318,0,0,0,0.965750483143655,0.950826712475843,0.973480781619068,0.912980459523298,0,0.978365900794503,0.722782907451149,0
PLK4,0,0.778773888769594,0.799173287524157,0.787363109297831,0.755636675971656,0.789188318660082,0.78043805024694,0.719884045522869,0,0,0,0.804273137212798,0,0,0,0.830470259823921,0,0.813989692935366,0,0,0,0.715750483143655,0.807923555937299,0.738243504401976,0.761810178226326,0,0.721118745973803,0.822364182950397,0
TOP2A,0,0.970581919690788,0.974232338415289,0.975950182520936,0.862948249946317,0.9565170710758,0.963012669100279,0.951470904015461,0,0,0,0.972675542194546,0,0,0,0.968005153532317,0,0.977829074511488,0,0,0,0.973480781619068,0.949162550998497,0.980191110156753,0.924575907236418,0,0.979922697015246,0.797079665020399,0
POLQ,0,0.806474124973159,0.813721279793859,0.820270560446639,0.867887051750054,0.823867296542839,0.810392956839167,0.799119604895856,0,0,0,0.864773459308568,0,0,0,0.80545415503543,0,0.846091904659652,0,0,0,0.84711187459738,0.8767983680481,0.822686278720206,0.857150526089757,0,0.839274210865364,0.786772600386515,0
BRIP1,0,0.826980888984325,0.82537041013528,0.80615202920335,0.782907451148808,0.827678763152244,0.826605110586214,0.803843676186386,0,0,0,0.806044663946747,0,0,0,0.839649989263474,0,0.814955980244793,0,0,0,0.77716340992055,0.808567747476917,0.796274425595877,0.796328108224179,0,0.757998711616921,0.818015890057977,0
RFC5,0,0.864182950397251,0.865149237706678,0.854788490444492,0.918080309211939,0.87610049388018,0.867511273351943,0.859458879106721,0,0,0,0.893601030706463,0,0,0,0.857526304487868,0,0.88334764870088,0,0,0,0.883830792355594,0.901599742323384,0.867994417006657,0.90616276572901,0,0.868584925917973,0.834603822203135,0
SMC2,0,0.76342065707537,0.789564097058192,0.861874597380288,0.728365900794503,0.79203349796006,0.770721494524372,0.725198625724715,0,0,0,0.895211509555508,0,0,0,0.8514601674898,0,0.868907021687782,0,0,0,0.85108438909169,0.908632166630878,0.794449216233627,0.738941378569895,0,0.860747262185957,0.786772600386515,0
ATAD5,0,0.961133777109727,0.979815331758643,0.987169851835946,0.834228043805025,0.947927850547563,0.952115095555078,0.931071505260898,0,0,0,0.979063774962422,0,0,0,0.982660511058621,0,0.980405840669959,0,0,0,0.972407129053038,0.961563238136139,0.977668026626584,0.914644621000644,0,0.986364612411424,0.988834013313292,0
PRC1,0,0.91088683701954,0.913356237921409,0.884582349151814,0.94384797079665,0.917436117672321,0.911799441700666,0.889038007300837,0,0,0,0.902995490659223,0,0,0,0.911692076444063,0,0.911531028559158,0,0,0,0.869121752200988,0.905142795791282,0.885011810178226,0.893601030706463,0,0.850493880180374,0.886031780115955,0
RAD51AP1,0,0.841153102855916,0.819626368907022,0.793429246295899,0.780384367618639,0.833047025982392,0.839435258750268,0.839166845608761,0,0,0,0.772063560231909,0,0,0,0.821505260897574,0,0.787524157182736,0,0,0,0.786289456731802,0.768305776250805,0.813721279793859,0.803092119390165,0,0.749892634743397,0.786772600386515,0
RACGAP1,0,0.878891990551857,0.883938157612197,0.86810178226326,0.841206785484217,0.886407558514065,0.880931930427314,0.852855915825639,0,0,0,0.870356452651922,0,0,0,0.895426240068714,0,0.883938157612197,0,0,0,0.834442774318231,0.865739746617994,0.851138071719991,0.865793429246296,0,0.81919690788061,0.862357741035001,0
