,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
MYCT1,0.808889843246725,0,0.979976379643547,0.980888984324673,0,0,0.883669744470689,0.958610693579558,0.879428816834872,0.817962207429676,0,0.476648056688855,0.871913248872665,0,0.894406270130986,0.929944170066566,0.812271848829719,0,0.959523298260683,0.884689714408417,0.244041228258536,0.803575263044879,0,0.916738243504402,0,0.900472407129053,0.91158471118746,0.981586858492592,0
CD93,0.978204852909598,0,0.992484432037793,0.958557010951256,0,0,0.96086536396822,0.978741679192613,0.967360961992699,0.921999141077947,0,0.975896499892635,0.98985398325102,0,0.932950397251449,0.990605540047241,0.990015031135924,0,0.853929568391668,0.983251019969938,0.953188748121108,0.941754348292892,0,0.910242645479923,0,0.947552072149452,0.947605754777754,0.862518788919906,0
CDH5,0.996564311788705,0,0.99962422160189,0.994953832939661,0,0,0.978043805024694,0.999302125832081,0.990551857418939,0.984539403049173,0,0.951256173502255,0.973856560017178,0,0.989585570109513,0.998980030062272,0.990390809534035,0,0.998604251664161,0.995812754992484,0.285054756280868,0.969025123470045,0,0.998013742752845,0,0.992108653639682,0.935849259179729,0.993343354090616,0
CD34,0.923341206785484,0,0.633884474983895,0.672589649989264,0,0,0.990176079020829,0.880341421515997,0.988726648056689,0.914376207859137,0,0.92607902082886,0.970850332832295,0,0.98115739746618,0.918295039725145,0.872289027270775,0,0.795791281941164,0.907880609834657,0.726057547777539,0.944760575477775,0,0.905196478419583,0,0.789939875456302,0.822632596091905,0.628355164268843,0
TIE1,0.874382649774533,0,0.906860639896929,0.773351943311145,0,0,0.963495812754993,0.672858063130771,0.87465106291604,0.90508911316298,0,0.557494094910887,0.893815761219669,0,0.900472407129053,0.893332617564956,0.975037577839811,0,0.680588361606184,0.918939231264763,0.697122611123041,0.910081597595018,0,0.490390809534035,0,0.963925273781404,0.831651277646554,0.752200987760361,0
TEK,0.901868155464892,0,0.989317156968005,0.931178870517501,0,0,0.938640755851406,0.844320377925703,0.941915396177797,0.877066781189607,0,0.588737384582349,0.92500536826283,0,0.888662228902727,0.934560876100494,0.929407343783552,0,0.725037577839811,0.951470904015461,0.597541335623792,0.86450504616706,0,0.704745544341851,0,0.935956624436332,0.934936654498604,0.980513205926562,0
PTPRB,0.992538114666094,0,0.983465750483144,0.879267768949968,0,0,0.987491947605755,0.800246940090187,0.915074082027056,0.994470689284947,0,0.732338415288812,0.990068713764226,0,0.925112733519433,0.996403263903801,0.959630663517286,0,0.321719991410779,0.989209791711402,0.921569680051535,0.991464462100064,0,0.261273351943311,0,0.956731801589006,0.996779042301911,0.980459523298261,0
ADCY4,0.997691646983036,0,0.995920120249087,0.988672965428387,0,0,0.99817479063775,0.979869014386944,0.995973802877389,0.990766587932145,0,0.965428387373846,0.985988834013313,0,0.995705389735882,0.9927528451793,0.99892634743397,0,0.994524371913249,0.998228473266051,0.552286879965643,0.993343354090616,0,0.944384797079665,0,0.994148593515139,0.900955550783766,0.977131200343569,0
CLEC1A,0.959684346145587,0,0.996617994417007,0.993235988834013,0,0,0.95071934721924,0.986901438694438,0.96414000429461,0.944062701309856,0,0.737491947605755,0.950934077732446,0,0.971494524371913,0.983787846252953,0.931393601030706,0,0.991249731586858,0.970957698088898,0.360049388018037,0.934614558728795,0,0.967468327249302,0,0.969239853983251,0.948572042087181,0.991518144728366,0
FLT4,0.893976809104574,0,0.750590508911316,0.607365256602963,0,0,0.910672106506335,0.950182520936225,0.879321451578269,0.837126905733305,0,0.828913463603178,0.762024908739532,0,0.660027914966717,0.864343998282156,0.905518574189392,0,0.985290959845394,0.907343783551643,0.764172213871591,0.871483787846253,0,0.957000214730513,0,0.728902727077518,0.790691432252523,0.706624436332403,0
PEAR1,0.971655572256818,0,0.964032639038007,0.849957053897359,0,0,0.989048743826498,0.979063774962422,0.995759072364183,0.924844320377926,0,0.95506764011166,0.942452222460812,0,0.979224822847327,0.970313506549281,0.969347219239854,0,0.997262185956624,0.94492162336268,0.114988189821774,0.968058836160618,0,0.996349581275499,0,0.937030277002362,0.787738887695942,0.957053897358815,0
KDR,0.988189821773674,0,0.993558084603822,0.945834228043805,0,0,0.977453296113378,0.980191110156753,0.969347219239854,0.977506978741679,0,0.859673609619927,0.980191110156753,0,0.961616920764441,0.998604251664161,0.981640541120893,0,0.990659222675542,0.994685419798153,0.922374919476058,0.975467038866223,0,0.943257461885334,0,0.981479493235989,0.96193901653425,0.988995061198196,0
BCL6B,0.993665449860425,0,0.512830148164054,0.456087610049388,0,0,0.916201417221387,0.812164483573116,0.960274855056904,0.989317156968005,0,0.980137427528452,0.920120249087395,0,0.967468327249302,0.97643332617565,0.717844105647413,0,0.818445351084389,0.945190036504187,0.622557440412283,0.962636890702169,0,0.768305776250805,0,0.909168992913893,0.721494524371913,0.306688855486365,0
FLI1,0.999570538973588,0,0.956194975305991,0.971548207000215,0,0,0.999731586858493,0.994524371913249,1,0.996832724930213,0,0.998443203779257,0.997637964354735,0,0.999946317371698,0.99962422160189,0.996564311788705,0,0.998335838522654,0.999087395318875,0.492645479922697,0.998067425381147,0,0.997637964354735,0,0.97643332617565,0.62245007515568,0.928548421730728,0
ACVRL1,0.976325960919047,0,0.992699162550999,0.997047455443419,0,0,0.994739102426455,0.968917758213442,0.957537041013528,0.991196048958557,0,0.724232338415289,0.985613055615203,0,0.998067425381147,0.963281082241787,0.997208503328323,0,0.987760360747262,0.991893923126476,0.586267983680481,0.984968864075585,0,0.993343354090616,0,0.998872664805669,0.969347219239854,0.984861498818982,0
PECAM1,0.997960060124544,0,0.972997637964355,0.982499463173717,0,0,0.984646768305776,0.993719132488727,0.9927528451793,0.990551857418939,0,0.989317156968005,0.972031350654928,0,0.999194760575478,0.991518144728366,0.984861498818982,0,0.993235988834013,0.997530599098132,0.271634099205497,0.942774318230621,0,0.991732875241572,0,0.971601889628516,0.768574189392313,0.847702383508697,0
ECSCR,0.989746617994417,0,0.597326605110586,0.604144298904874,0,0,0.976057547777539,0.916952974017608,0.973212368477561,0.971709254885119,0,0.987867726003865,0.940627013098561,0,0.986418295039725,0.933004079879751,0.982821558943526,0,0.738565600171784,0.975842817264333,0.401116598668671,0.901492377066781,0,0.936869229117458,0,0.93805024694009,0.47428602104359,0.55035430534679,0
CALCRL,0.793268198410994,0,0.873792140863217,0.586482714193687,0,0,0.521526733948894,0.915879321451578,0.894621000644192,0.755636675971656,0,0.661047884904445,0.73588146875671,0,0.838576336697445,0.937620785913678,0.403585999570539,0,0.960328537685205,0.668885548636461,0.195887910672107,0.724769164698304,0,0.949484646768306,0,0.755582993343354,0.848078161906807,0.950558299334335,0
S1PR1,0.827786128408847,0,0.846306635172858,0.671140219025123,0,0,0.845823491518145,0.903317586429032,0.826605110586214,0.83079235559373,0,0.611391453725574,0.814794932359888,0,0.926401116598669,0.904176508481855,0.873953188748121,0,0.922321236847756,0.872020614129268,0.720742967575693,0.807494094910887,0,0.893386300193257,0,0.920925488511918,0.700182520936225,0.718434614558729,0
GIMAP6,0.988619282800086,0,0.969400901868155,0.976594374060554,0,0,0.95941593300408,0.977990122396392,0.982714193686923,0.979171140219025,0,0.917275069787417,0.974661799441701,0,0.993450719347219,0.994792785054756,0.917060339274211,0,0.993987545630234,0.970367189177582,0.305346789778828,0.958879106721065,0,0.979493235988834,0,0.955175005368263,0.937835516426884,0.969454584496457,0
GIMAP8,0.913463603178012,0,0.831275499248443,0.648271419368692,0,0,0.754777753918832,0.986096199269916,0.913839381576122,0.798045952329826,0,0.955604466394675,0.73008374490015,0,0.836858492591797,0.964193686922912,0.929085248013743,0,0.969025123470045,0.908202705604466,0.635763366974447,0.693364827141937,0,0.969722997637964,0,0.831007086106936,0.408417436117672,0.478043805024694,0
ARHGEF15,0.947391024264548,0,0.632542409276358,0.871591153102856,0,0,0.869175434829289,0.693686922911746,0.840992054971011,0.958664376207859,0,0.71848829718703,0.948733089972085,0,0.936761863860855,0.92935366115525,0.660618423878033,0,0.51159544771312,0.951309856130556,0.639735881468757,0.94529740176079,0,0.538436761863861,0,0.909759501825209,0.843944599527593,0.581812325531458,0
CLEC14A,0.580684990337127,0,0.898110371483788,0.94637105432682,0,0,0.800944814258106,0.427582134421301,0.644674683272493,0.637964354734808,0,0.218756710328538,0.804541550354305,0,0.639091689929139,0.804165771956195,0.79165771956195,0,0.755046167060339,0.663248872664806,0.600815975950183,0.757569250590509,0,0.371591153102856,0,0.837824779901224,0.843676186386085,0.940465965213657,0
EMCN,0.877388876959416,0,0.783659007945029,0.98115739746618,0,0,0.93042731372128,0.350171784410565,0.820270560446639,0.936278720206141,0,0.329020828859781,0.97643332617565,0,0.90036504187245,0.926293751342066,0.791818767446854,0,0.374167919261327,0.85580846038222,0.840616276572901,0.94454584496457,0,0.239639252737814,0,0.886568606398969,0.972514494309641,0.958073867296543,0
SCARF1,0.954423448572042,0,0.562271848829719,0.712046381790852,0,0,0.947927850547563,0.712529525445566,0.836053253167275,0.970528237062487,0,0.820216877818338,0.894621000644192,0,0.884152888125403,0.834603822203135,0.960919046596521,0,0.845769808889843,0.930749409491089,0.792999785269487,0.962261112304058,0,0.912228902727078,0,0.882810822417866,0.901546059695083,0.553199484646768,0
ESAM,0.958932789349367,0,0.678011595447713,0.672643332617565,0,0,0.931608331543912,0.254240927635817,0.807064633884475,0.983573115739747,0,0.508213442130127,0.97138715911531,0,0.930534678977883,0.903532316942237,0.904874382649774,0,0.510682843031995,0.940519647841958,0.945351084389092,0.985076229332188,0,0.351674898003006,0,0.964998926347434,0.975520721494524,0.856237921408632,0
AFAP1L1,0.989639252737814,0,0.984807816190681,0.99747691646983,0,0,0.997799012239639,0.953564526519218,0.965106291604037,0.994255958771741,0,0.721977668026627,0.995812754992484,0,0.996134850762293,0.975574404122826,0.993558084603822,0,0.934721923985398,0.993074940949109,0.671032853768521,0.995114880824565,0,0.921838093193043,0,0.995759072364183,0.98078161906807,0.991464462100064,0
ARHGAP31,0.979063774962422,0,0.721172428602104,0.569894782048529,0,0,0.975520721494524,0.951148808245652,0.965965213656861,0.966340992054971,0,0.93187674468542,0.932628301481641,0,0.894782048529096,0.932843031994846,0.71848829718703,0,0.83186600815976,0.944438479707966,0.275552931071505,0.957000214730513,0,0.852265406914323,0,0.852963281082242,0.870678548421731,0.767124758428173,0
ENG,0.982821558943526,0,0.688587073223105,0.575799871161692,0,0,0.999355808460382,0.752147305132059,0.993665449860425,0.984700450934078,0,0.934077732445781,0.99527592870947,0,0.967629375134207,0.951148808245652,0.99092763581705,0,0.678655786987331,0.975037577839811,0.625026841314151,0.996134850762293,0,0.741035001073653,0,0.96086536396822,0.93622503757784,0.951739317156968,0
