,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
VGF,0.954533254603038,0.954533254603038,0.954533254603038,0.954533254603038,0.954533254603038,0.954533254603038,0.954533254603038,0.954533254603038,0.954533254603038,0.954533254603038,0.954533254603038,0.954533254603038,0.954533254603038,0.954533254603038,0.954533254603038,0.954533254603038,0.954533254603038,0.954533254603038,0.954533254603038,0.954533254603038,0,0.954533254603038,0.954533254603038,0.954533254603038,0.954533254603038,0.954533254603038,0.954533254603038,0.954533254603038,0.954533254603038
SLC8A2,0.948843201460089,0.948843201460089,0.948843201460089,0.948843201460089,0.948843201460089,0.948843201460089,0.948843201460089,0.948843201460089,0.948843201460089,0.948843201460089,0.948843201460089,0.948843201460089,0.948843201460089,0.948843201460089,0.948843201460089,0.948843201460089,0.948843201460089,0.948843201460089,0.948843201460089,0.948843201460089,0,0.948843201460089,0.948843201460089,0.948843201460089,0.948843201460089,0.948843201460089,0.948843201460089,0.948843201460089,0.948843201460089
UBE2D4,0.991089162059155,0.991089162059155,0.991089162059155,0.991089162059155,0.991089162059155,0.991089162059155,0.991089162059155,0.991089162059155,0.991089162059155,0.991089162059155,0.991089162059155,0.991089162059155,0.991089162059155,0.991089162059155,0.991089162059155,0.991089162059155,0.991089162059155,0.991089162059155,0.991089162059155,0.991089162059155,0,0.991089162059155,0.991089162059155,0.991089162059155,0.991089162059155,0.991089162059155,0.991089162059155,0.991089162059155,0.991089162059155
ACTL6B,0.924579955982608,0.924579955982608,0.924579955982608,0.924579955982608,0.924579955982608,0.924579955982608,0.924579955982608,0.924579955982608,0.924579955982608,0.924579955982608,0.924579955982608,0.924579955982608,0.924579955982608,0.924579955982608,0.924579955982608,0.924579955982608,0.924579955982608,0.924579955982608,0.924579955982608,0,0,0.924579955982608,0.924579955982608,0.924579955982608,0.924579955982608,0.924579955982608,0.924579955982608,0.924579955982608,0.924579955982608
NPR1,0.956465725481776,0.956465725481776,0.956465725481776,0.956465725481776,0.956465725481776,0.956465725481776,0.956465725481776,0.956465725481776,0.956465725481776,0.956465725481776,0.956465725481776,0.956465725481776,0.956465725481776,0.956465725481776,0.956465725481776,0.956465725481776,0.956465725481776,0.956465725481776,0.956465725481776,0.956465725481776,0,0.956465725481776,0.956465725481776,0.956465725481776,0.956465725481776,0.956465725481776,0.956465725481776,0.956465725481776,0.956465725481776
NPDC1,0.972730688711149,0.972730688711149,0.972730688711149,0.972730688711149,0.972730688711149,0.972730688711149,0.972730688711149,0.972730688711149,0.972730688711149,0.972730688711149,0.972730688711149,0.972730688711149,0.972730688711149,0.972730688711149,0.972730688711149,0.972730688711149,0.972730688711149,0.972730688711149,0,0.972730688711149,0.972730688711149,0.972730688711149,0.972730688711149,0.972730688711149,0.972730688711149,0.972730688711149,0.972730688711149,0.972730688711149,0.972730688711149
APOLD1,0.958720274840303,0.958720274840303,0.958720274840303,0.958720274840303,0.958720274840303,0.958720274840303,0.958720274840303,0.958720274840303,0.958720274840303,0.958720274840303,0.958720274840303,0.958720274840303,0.958720274840303,0.958720274840303,0.958720274840303,0.958720274840303,0.958720274840303,0.958720274840303,0.958720274840303,0.958720274840303,0,0.958720274840303,0.958720274840303,0.958720274840303,0.958720274840303,0.958720274840303,0.958720274840303,0.958720274840303,0.958720274840303
LRIG3,0.960330667239251,0.960330667239251,0.960330667239251,0.960330667239251,0.960330667239251,0.960330667239251,0.960330667239251,0.960330667239251,0.960330667239251,0.960330667239251,0.960330667239251,0.960330667239251,0.960330667239251,0.960330667239251,0.960330667239251,0.960330667239251,0.960330667239251,0.960330667239251,0,0.960330667239251,0.960330667239251,0.960330667239251,0.960330667239251,0.960330667239251,0.960330667239251,0.960330667239251,0.960330667239251,0.960330667239251,0.960330667239251
ASPDH,0.962531536851146,0.962531536851146,0.962531536851146,0.962531536851146,0.962531536851146,0.962531536851146,0.962531536851146,0.962531536851146,0.962531536851146,0.962531536851146,0.962531536851146,0.962531536851146,0.962531536851146,0.962531536851146,0.962531536851146,0.962531536851146,0.962531536851146,0.962531536851146,0.962531536851146,0,0,0.962531536851146,0.962531536851146,0.962531536851146,0.962531536851146,0.962531536851146,0.962531536851146,0.962531536851146,0.962531536851146
SCAMP5,0.922218047130818,0.922218047130818,0.922218047130818,0.922218047130818,0.922218047130818,0.922218047130818,0.922218047130818,0.922218047130818,0.922218047130818,0.922218047130818,0.922218047130818,0.922218047130818,0.922218047130818,0.922218047130818,0.922218047130818,0.922218047130818,0.922218047130818,0.922218047130818,0.922218047130818,0,0,0.922218047130818,0.922218047130818,0.922218047130818,0.922218047130818,0.922218047130818,0.922218047130818,0.922218047130818,0.922218047130818
CASP10,0.993075312684524,0.993075312684524,0.993075312684524,0.993075312684524,0.993075312684524,0.993075312684524,0.993075312684524,0.993075312684524,0.993075312684524,0.993075312684524,0.993075312684524,0.993075312684524,0.993075312684524,0.993075312684524,0.993075312684524,0.993075312684524,0.993075312684524,0.993075312684524,0,0.993075312684524,0.993075312684524,0.993075312684524,0.993075312684524,0.993075312684524,0.993075312684524,0.993075312684524,0.993075312684524,0.993075312684524,0.993075312684524
C1orf56,0.997745450641473,0.997745450641473,0.997745450641473,0.997745450641473,0.997745450641473,0.997745450641473,0.997745450641473,0.997745450641473,0.997745450641473,0.997745450641473,0.997745450641473,0.997745450641473,0.997745450641473,0.997745450641473,0.997745450641473,0.997745450641473,0.997745450641473,0.997745450641473,0.997745450641473,0,0.997745450641473,0.997745450641473,0.997745450641473,0.997745450641473,0.997745450641473,0.997745450641473,0.997745450641473,0.997745450641473,0.997745450641473
SYNGR4,0.980890010199152,0.980890010199152,0.980890010199152,0.980890010199152,0.980890010199152,0.980890010199152,0.980890010199152,0.980890010199152,0.980890010199152,0.980890010199152,0.980890010199152,0.980890010199152,0.980890010199152,0.980890010199152,0.980890010199152,0.980890010199152,0.980890010199152,0.980890010199152,0.980890010199152,0,0,0.980890010199152,0.980890010199152,0.980890010199152,0.980890010199152,0.980890010199152,0.980890010199152,0.980890010199152,0.980890010199152
SPAG6,0.922057007890923,0.922057007890923,0.922057007890923,0.922057007890923,0.922057007890923,0.922057007890923,0.922057007890923,0.922057007890923,0.922057007890923,0.922057007890923,0.922057007890923,0.922057007890923,0.922057007890923,0.922057007890923,0.922057007890923,0.922057007890923,0.922057007890923,0.922057007890923,0.922057007890923,0,0,0.922057007890923,0.922057007890923,0.922057007890923,0.922057007890923,0.922057007890923,0.922057007890923,0.922057007890923,0.922057007890923
REC8,0.897149605453862,0.897149605453862,0.897149605453862,0.897149605453862,0.897149605453862,0.897149605453862,0.897149605453862,0.897149605453862,0.897149605453862,0.897149605453862,0.897149605453862,0.897149605453862,0.897149605453862,0.897149605453862,0.897149605453862,0.897149605453862,0.897149605453862,0.897149605453862,0,0.897149605453862,0,0.897149605453862,0.897149605453862,0.897149605453862,0.897149605453862,0.897149605453862,0.897149605453862,0.897149605453862,0.897149605453862
PAX4,0.910784261098288,0.910784261098288,0.910784261098288,0.910784261098288,0.910784261098288,0.910784261098288,0.910784261098288,0.910784261098288,0.910784261098288,0.910784261098288,0.910784261098288,0.910784261098288,0.910784261098288,0.910784261098288,0.910784261098288,0.910784261098288,0.910784261098288,0.910784261098288,0.910784261098288,0,0,0.910784261098288,0.910784261098288,0.910784261098288,0.910784261098288,0.910784261098288,0.910784261098288,0.910784261098288,0.910784261098288
MSI1,0.927961780020398,0.927961780020398,0.927961780020398,0.927961780020398,0.927961780020398,0.927961780020398,0.927961780020398,0.927961780020398,0.927961780020398,0.927961780020398,0.927961780020398,0.927961780020398,0.927961780020398,0.927961780020398,0.927961780020398,0.927961780020398,0.927961780020398,0.927961780020398,0.927961780020398,0,0,0.927961780020398,0.927961780020398,0.927961780020398,0.927961780020398,0.927961780020398,0.927961780020398,0.927961780020398,0.927961780020398
STX16,0.975199957056203,0.975199957056203,0.975199957056203,0.975199957056203,0.975199957056203,0.975199957056203,0.975199957056203,0.975199957056203,0.975199957056203,0.975199957056203,0.975199957056203,0.975199957056203,0.975199957056203,0.975199957056203,0.975199957056203,0.975199957056203,0.975199957056203,0.975199957056203,0,0.975199957056203,0,0.975199957056203,0.975199957056203,0.975199957056203,0.975199957056203,0.975199957056203,0.975199957056203,0.975199957056203,0.975199957056203
PLVAP,0.905416286435128,0.905416286435128,0.905416286435128,0.905416286435128,0.905416286435128,0.905416286435128,0.905416286435128,0.905416286435128,0.905416286435128,0.905416286435128,0.905416286435128,0.905416286435128,0.905416286435128,0.905416286435128,0.905416286435128,0.905416286435128,0.905416286435128,0.905416286435128,0,0.905416286435128,0,0.905416286435128,0.905416286435128,0.905416286435128,0.905416286435128,0.905416286435128,0.905416286435128,0.905416286435128,0.905416286435128
LRRC43,0.913360888936604,0.913360888936604,0.913360888936604,0.913360888936604,0.913360888936604,0.913360888936604,0.913360888936604,0.913360888936604,0.913360888936604,0.913360888936604,0.913360888936604,0.913360888936604,0.913360888936604,0.913360888936604,0.913360888936604,0.913360888936604,0.913360888936604,0.913360888936604,0,0.913360888936604,0,0.913360888936604,0.913360888936604,0.913360888936604,0.913360888936604,0.913360888936604,0.913360888936604,0.913360888936604,0.913360888936604
