,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
GIMAP6,0,0,0.907880609834657,0.950182520936225,0.911047884904445,0,0.859942022761434,0.923502254670389,0.886675971655572,0.979010092334121,0.826121966931501,0.562379214086322,0.817640111659867,0,0.895748335838523,0.817156968005154,0.87427528451793,0,0.779740176079021,0.957053897358815,0,0.941700665664591,0.832510199699377,0.873684775606614,0.818982177367404,0.934614558728795,0.859351513850118,0,0
GIMAP8,0,0,0.942559587717415,0.950558299334335,0.884260253382006,0,0.898110371483788,0.935366115525016,0.97535967360962,0.962529525445566,0.894943096414,0.603124328967146,0.829235559372987,0,0.903102855915826,0.921301266910028,0.943096414000429,0,0.939768091045738,0.961777968649345,0,0.968166201417221,0.911316298045952,0.960113807171999,0.893225252308353,0.977721709254885,0.942881683487224,0,0
RCSD1,0,0,0.983519433111445,0.988189821773674,0.997315868584926,0,0.997315868584926,0.989746617994417,0.934346145587288,0.737116169207644,0.996510629160404,0.832885978097488,0.99855056903586,0,0.996940090186816,0.993772815117028,0.999570538973588,0,0.989370839596307,0.83986471977668,0,0.976379643547348,0.994900150311359,0.992699162550999,0.996779042301911,0.833154391238995,0.976379643547348,0,0
GIMAP4,0,0,0.905303843676186,0.95109512561735,0.954316083315439,0,0.909974232338415,0.919905518574189,0.778559158256388,0.827195619497531,0.927045308138286,0.443418509770238,0.931393601030706,0,0.923072793643977,0.883079235559373,0.969347219239854,0,0.856130556152029,0.750590508911316,0,0.869712261112304,0.93767446854198,0.900257676615847,0.918026626583638,0.75182520936225,0.701739317156968,0,0
GIMAP7,0,0,0.794717629375134,0.898808245651707,0.846950826712476,0,0.835086965857848,0.832993343354091,0.786396821988405,0.726164913034142,0.782853768520507,0.482499463173717,0.802018466824136,0,0.848614988189822,0.745598024479278,0.899184024049817,0,0.722890272707752,0.755153532316942,0,0.868155464891561,0.828215589435259,0.824940949108868,0.828000858922053,0.759823920979171,0.762185956624436,0,0
LCP2,0,0,0.995759072364183,0.999731586858493,0.999516856345287,0,0.999570538973588,0.997584281726433,0.990551857418939,0.839059480352158,0.999570538973588,0.744363324028344,0.998282155894353,0,0.999463173716985,0.998335838522654,0.999033712690573,0,0.985666738243504,0.918402404981748,0,0.994631737169852,0.999355808460382,0.995705389735882,0.999355808460382,0.909866867081812,0.940841743611767,0,0
IL16,0,0,0.989424522224608,0.989961348507623,0.986257247154821,0,0.980191110156753,0.987169851835946,0.984324672535967,0.950665664590938,0.991625509984969,0.469722997637964,0.98223105003221,0,0.977399613485076,0.991786557869873,0.988350869658578,0,0.99457805454155,0.944062701309856,0,0.970689284947391,0.9927528451793,0.989531887481211,0.983519433111445,0.958181232553146,0.798421730727936,0,0
ARHGAP25,0,0,0.966931500966287,0.999033712690573,0.997960060124544,0,0.997637964354735,0.985559372986901,0.95979171140219,0.862035645265192,0.998282155894353,0.795791281941164,0.994255958771741,0,0.998067425381147,0.989907665879321,0.999516856345287,0,0.921677045308138,0.855056903586,0,0.982660511058621,0.996081168133992,0.981694223749195,0.997262185956624,0.802340562593945,0.987545630234056,0,0
CSF2RB,0,0,0.961885333905948,0.978043805024694,0.967468327249302,0,0.958020184668241,0.964515782692721,0.949055185741894,0.958771741464462,0.939284947391024,0.443901653424952,0.942452222460812,0,0.964247369551213,0.944116383938158,0.973427098990767,0,0.967414644621001,0.959952759287095,0,0.972568176937943,0.945941593300408,0.966072578913464,0.941861713549495,0.967522009877604,0.827678763152244,0,0
GIMAP1,0,0,0.920710757998712,0.96628730942667,0.952598239209792,0,0.939929138930642,0.940465965213657,0.756764011165987,0.857794717629375,0.941002791496672,0.555293107150526,0.918939231264763,0,0.940788060983466,0.882703457161263,0.952812969722998,0,0.81774747691647,0.699001503113592,0,0.837932145157827,0.951524586643762,0.880287738887696,0.954262400687138,0.709899076658793,0.963603178011595,0,0
SLCO2B1,0,0,0.949914107794718,0.959523298260683,0.918509770238351,0,0.869068069572686,0.941002791496672,0.960435902941808,0.966770453081383,0.906806957268628,0.307762508052394,0.831329181876745,0,0.874865793429246,0.922267554219455,0.910027914966717,0,0.94889413785699,0.942935366115525,0,0.947552072149452,0.906323813613915,0.93370195404767,0.841421515997423,0.967360961992699,0.813291818767447,0,0
IKZF1,0,0,0.983734163624651,0.983412067854842,0.995598024479278,0,0.996081168133992,0.988565600171784,0.807225681769379,0.500268413141507,0.995222246081168,0.847326605110586,0.997530599098132,0,0.994094910886837,0.989692935366116,0.994524371913249,0,0.986901438694438,0.527861284088469,0,0.888232767876315,0.995329611337771,0.974500751556796,0.997530599098132,0.458449645694653,0.990659222675542,0,0
MPEG1,0,0,0.925864290315654,0.939768091045738,0.87754992484432,0,0.823115739746618,0.90363968219884,0.954155035430535,0.894137856989478,0.85435902941808,0.544449216233627,0.740068713764226,0,0.826175649559802,0.877764655357526,0.872557440412283,0,0.94637105432682,0.92248228473266,0,0.939070216877818,0.859190465965214,0.947927850547563,0.787899935580846,0.973158685849259,0.702974017607902,0,0
GIMAP5,0,0,0.919905518574189,0.883562379214086,0.799924844320378,0,0.729922697015246,0.908417436117672,0.806742538114666,0.879214086321666,0.861337771097273,0.355217951470904,0.646821988404552,0,0.679944170066566,0.826336697444707,0.736633025552931,0,0.84925917972944,0.797938587073223,0,0.63587073223105,0.869175434829289,0.836912175220099,0.777485505690359,0.862411423663303,0.7210113807172,0,0
PECAM1,0,0,0.995436976594374,0.996886407558514,0.987116169207644,0,0.986901438694438,0.995705389735882,0.999892634743397,0.996188533390595,0.990337126905733,0.523835086965858,0.958879106721065,0,0.987921408632167,0.996242216018896,0.965321022117243,0,0.965643117887052,0.998980030062272,0,0.999677904230191,0.974124973158686,0.998711616920764,0.954477131200344,0.999248443203779,0.908739531887481,0,0
GAB3,0,0,0.921677045308138,0.892097917114022,0.910081597595018,0,0.834389091689929,0.904283873738458,0.950880395104144,0.978312218166201,0.895426240068714,0.688748121108009,0.89021902512347,0,0.848668670818123,0.926508481855272,0.892795791281941,0,0.958395963066352,0.949699377281512,0,0.949001503113592,0.888125402619712,0.941002791496672,0.815922267554219,0.967951470904015,0.904552286879966,0,0
ETS1,0,0,0.992913893064204,0.981050032209577,0.991088683701954,0,0.980996349581275,0.989692935366116,0.963388447498389,0.970152458664376,0.988297187030277,0.787738887695942,0.993933863001933,0,0.988243504401976,0.994953832939661,0.996510629160404,0,0.997637964354735,0.973641829503972,0,0.965804165771956,0.988834013313292,0.993665449860425,0.983626798368048,0.950773029847541,0.982499463173717,0,0
EVI2B,0,0,0.963871591153103,0.983304702598239,0.986525660296328,0,0.959201202490874,0.956731801589006,0.40143869443848,0.237491947605755,0.975574404122826,0.488511917543483,0.967522009877604,0,0.971762937513421,0.948947820485291,0.987760360747262,0,0.956839166845609,0.255744041228259,0,0.458610693579558,0.976970152458664,0.927957912819412,0.974608116813399,0.234807816190681,0.763581704960275,0,0
PTPRC,0,0,0.948947820485291,0.961777968649345,0.958879106721065,0,0.94674683272493,0.951363538758858,0.778237062486579,0.327195619497531,0.95979171140219,0.315492806527808,0.941378569894782,0,0.929031565385441,0.931984109942023,0.974769164698304,0,0.949967790423019,0.430158900579772,0,0.770238350869659,0.967575692505905,0.940680695726863,0.960435902941808,0.649237706678119,0.861874597380288,0,0
