,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
AKAP13,0,0.664644621000644,0.955013957483358,0,0.856989478204853,0.866813399184024,0,0.727292248228473,0,0.841475198625725,0.817425381146661,0.593515138501181,0,0,0.904928065278076,0.619980674253811,0,0.964247369551213,0.961777968649345,0.740498174790638,0,0.688479707966502,0,0.651116598668671,0,0,0,0,0
REL,0,0.987223534464247,0.334550139574834,0,0.940788060983466,0.9637642258965,0,0.946317371698518,0,0.932359888340133,0.836751127335194,0.991518144728366,0,0,0.534893708395963,0.888340133132918,0,0.473588146875671,0.582134421301267,0.349420227614344,0,0.570861069357956,0,0.885602319089543,0,0,0,0,0
ETV3,0,0.994094910886837,0.628516212153747,0,0.977238565600172,0.977023835086966,0,0.922965428387374,0,0.963334764870088,0.909705819196908,0.987116169207644,0,0,0.495168563452867,0.974071290530384,0,0.608492591797294,0.670764440627013,0.672052823706249,0,0.620571183165128,0,0.884313936010307,0,0,0,0,0
OSMR,0,0.552931071505261,0.919959201202491,0,0.759448142581061,0.680695726862787,0,0.811788705175005,0,0.732338415288812,0.899559802447928,0.483143654713335,0,0,0.931500966287309,0.716716770453081,0,0.852694867940734,0.884099205497101,0.96666308782478,0,0.944975305990981,0,0.900579772385656,0,0,0,0,0
KLF7,0,0.876959415933004,0.914376207859137,0,0.9021902512347,0.95796650203994,0,0.86085462744256,0,0.909866867081812,0.886031780115955,0.892366330255529,0,0,0.835301696371054,0.733412067854842,0,0.905625939445995,0.917543482928924,0.825907236418295,0,0.547240712905304,0,0.661423663302555,0,0,0,0,0
ERN1,0,0.98078161906807,0.982928924200129,0,0.994685419798153,0.981264762722783,0,0.989531887481211,0,0.990551857418939,0.98588146875671,0.965965213656861,0,0,0.982499463173717,0.986471977668027,0,0.97643332617565,0.97788275713979,0.951578269272064,0,0.990766587932145,0,0.994041228258536,0,0,0,0,0
ASXL2,0,0.893762078591368,0.602480137427528,0,0.79890487438265,0.791496671677045,0,0.911208932789349,0,0.83261756495598,0.917865578698733,0.863377710972729,0,0,0.733251019969938,0.935902941808031,0,0.74527592870947,0.670496027485506,0.891453725574404,0,0.822364182950397,0,0.935634528666524,0,0,0,0,0
AHNAK,0,0.971172428602104,0.996403263903801,0,0.99817479063775,0.995759072364183,0,0.995973802877389,0,0.994792785054756,0.99817479063775,0.959040154605969,0,0,0.997852694867941,0.996832724930213,0,0.996832724930213,0.996188533390595,0.998872664805669,0,0.996993772815117,0,0.995759072364183,0,0,0,0,0
LUZP1,0,0.596091904659652,0.922321236847756,0,0.751019969937728,0.72208503328323,0,0.761327034571613,0,0.800139574833584,0.808245651707108,0.604305346789779,0,0,0.925810607687352,0.668509770238351,0,0.917436117672321,0.929138930642044,0.781082241786558,0,0.894889413785699,0,0.770184668241357,0,0,0,0,0
EXOC6B,0,0.843944599527593,0.817425381146661,0,0.922267554219455,0.790691432252523,0,0.832134421301267,0,0.811466609405196,0.855754777753919,0.735988834013313,0,0,0.868155464891561,0.945780545415503,0,0.864666094051965,0.814043375563668,0.853714837878463,0,0.921515997423234,0,0.923019111015675,0,0,0,0,0
