,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
C9orf152,0,0,0,0,0,0.993021258320807,0,0,0,0,0,0,0,0.99130341421516,0.804380502469401,0.988350869658578,0,0.121215374704746,0.980566888554864,0,0,0,0,0.966394674683272,0,0.770453081382865,0,0,0
GJB1,0,0,0,0,0,0.869604895855701,0,0,0,0,0,0,0,0.969132488726648,0.691593300407988,0.983143654713335,0,0.0178226325960919,0.885978097487653,0,0,0,0,0.538705175005368,0,0.515138501181018,0,0,0
PLCH1,0,0,0,0,0,0.803306849903371,0,0,0,0,0,0,0,0.619121752200988,0.631361391453726,0.952812969722998,0,1,0.893171569680052,0,0,0,0,0.962797938587073,0,0.966555722568177,0,0,0
FAM174B,0,0,0,0,0,0.941378569894782,0,0,0,0,0,0,0,0.689875456302341,0.970474554434185,0.947874167919261,0,1,0.926293751342066,0,0,0,0,0.983948894137857,0,0.969454584496457,0,0,0
SORBS2,0,0,0,0,0,0.662926776894997,0,0,0,0,0,0,0,0.878784625295254,0.859566244363324,0.922213871591153,0,0.533873738458235,0.894674683272493,0,0,0,0,0.906377496242216,0,0.83621430105218,0,0,0
ACVR1B,0,0,0,0,0,0.980298475413356,0,0,0,0,0,0,0,0.929514709040155,0.839757354520077,0.790637749624222,0,0.368745973802877,0.93515138501181,0,0,0,0,0.953457161262615,0,0.938264977453296,0,0,0
CA8,0,0,0,0,0,0.425059050891132,0,0,0,0,0,0,0,0.445082671247584,0.902243933863002,0.676937942881684,0,0.184936654498604,0.84818552716341,0,0,0,0,0.624328967146231,0,0.839596306635173,0,0,0
CLDN2,0,0,0,0,0,0.886729654283874,0,0,0,0,0,0,0,0.581114451363539,0.595823491518145,0.943579557655143,0,0.630878247799012,0.968864075585141,0,0,0,0,0.952974017607902,0,0.721333476487009,0,0,0
IHH,0,0,0,0,0,0.957375993128624,0,0,0,0,0,0,0,0.786450504616706,0.475144943096414,0.80545415503543,0,0.4202812969723,0.97353446424737,0,0,0,0,0.81050032209577,0,0.692774318230621,0,0,0
CAPN8,0,0,0,0,0,0.980727936439768,0,0,0,0,0,0,0,0.923287524157183,0.70324243074941,0.92248228473266,0,0.150955550783766,0.947713120034357,0,0,0,0,0.971601889628516,0,0.809534034786343,0,0,0
SCTR,0,0,0,0,0,0.630556152029203,0,0,0,0,0,0,0,0.349098131844535,0.774801374275285,0.815546489156109,0,0.502791496671677,0.842656216448357,0,0,0,0,0.617887051750054,0,0.805400472407129,0,0,0
SFTPB,0,0,0,0,0,0.577410350010736,0,0,0,0,0,0,0,0.694384797079665,0.828806098346575,0.787792570324243,0,0.0970045093407773,0.536074726218596,0,0,0,0,0.741625509984969,0,0.524479278505476,0,0,0
HNF1B,0,0,0,0,0,0.92355593729869,0,0,0,0,0,0,0,0.96124114236633,0.905894352587503,0.97970796650204,0,0.0930856774747692,0.947874167919261,0,0,0,0,0.977077517715267,0,0.834389091689929,0,0,0
HABP2,0,0,0,0,0,0.941217522009878,0,0,0,0,0,0,0,0.977131200343569,0.987545630234056,0.958288597809749,0,0.0268949967790423,0.903156538544127,0,0,0,0,0.517715267339489,0,0.340455228687997,0,0,0
FMO5,0,0,0,0,0,0.981694223749195,0,0,0,0,0,0,0,0.995168563452867,0.996832724930213,0.928118960704316,0,0.00590508911316298,0.983948894137857,0,0,0,0,0.951417221387159,0,0.516051105862143,0,0,0
FOXP4,0,0,0,0,0,0.925112733519433,0,0,0,0,0,0,0,0.917597165557226,0.841045737599313,0.985559372986901,0,0.334872235344642,0.870141722138716,0,0,0,0,0.979224822847327,0,0.966126261541765,0,0,0
PLA2G1B,0,0,0,0,0,0.996403263903801,0,0,0,0,0,0,0,0.950021473051321,0.898593515138501,0.997906377496242,0,0.326605110586214,0.987867726003865,0,0,0,0,0.972353446424737,0,0.891614773459309,0,0,0
C4BPA,0,0,0,0,0,0.603822203135066,0,0,0,0,0,0,0,0.808836160618424,0.634904444921623,0.999248443203779,0,0.0529310715052609,0.929568391668456,0,0,0,0,0.64021902512347,0,0.460221172428602,0,0,0
ACSS1,0,0,0,0,0,0.822256817693794,0,0,0,0,0,0,0,0.800622718488297,0.500322095769809,0.768037363109298,0,0.62824779901224,0.836482714193687,0,0,0,0,0.845501395748336,0,0.572364182950397,0,0,0
PDX1,0,0,0,0,0,0.699914107794718,0,0,0,0,0,0,0,0.531941163839382,0.648754563023406,0.770184668241357,0,0.191915396177797,0.769486794073438,0,0,0,0,0.693686922911746,0,0.927582134421301,0,0,0
NOSTRIN,0,0,0,0,0,0.612948249946317,0,0,0,0,0,0,0,0.715428387373846,0.843300407987975,0.584174361176723,0,0.233948894137857,0.735988834013313,0,0,0,0,0.932628301481641,0,0.882488726648057,0,0,0
DCDC2,0,0,0,0,0,0.871215374704746,0,0,0,0,0,0,0,0.801481640541121,0.946532102211724,0.746403263903801,0,0.302018466824136,0.882703457161263,0,0,0,0,0.862518788919906,0,0.598990766587932,0,0,0
SLC4A4,0,0,0,0,0,0.285323169422375,0,0,0,0,0,0,0,0.186439768091046,0.664429890487438,0.785645265192184,0,0.539564097058192,0.655679622074297,0,0,0,0,0.548529095984539,0,0.835409061627657,0,0,0
LRRK2,0,0,0,0,0,0.141829503972514,0,0,0,0,0,0,0,0.171784410564741,0.365363968219884,0.756441915396178,0,0.651653424951686,0.0768198410994202,0,0,0,0,0.622181662014172,0,0.522331973373416,0,0,0
C2orf72,0,0,0,0,0,0.988941378569895,0,0,0,0,0,0,0,0.982338415288812,0.846414000429461,0.999087395318875,0,0.0598024479278505,0.980298475413356,0,0,0,0,0.93912389950612,0,0.723802877388877,0,0,0
LRRC36,0,0,0,0,0,0.806796220742968,0,0,0,0,0,0,0,0.60725789134636,0.500805239424522,0.912980459523298,0,0.655733304702598,0.928924200128838,0,0,0,0,0.968864075585141,0,0.966931500966287,0,0,0
PPP1R10,0,0,0,0,0,0.827571397895641,0,0,0,0,0,0,0,0.782370624865793,0.812593944599528,0.433970367189178,0,0.312808675112734,0.871322739961348,0,0,0,0,0.436171354949538,0,0.437459738028774,0,0,0
SLC22A23,0,0,0,0,0,0.903908095340348,0,0,0,0,0,0,0,0.85650633455014,0.856184238780331,0.909705819196908,0,0.228312218166201,0.843031994846468,0,0,0,0,0.837234270989908,0,0.452974017607902,0,0,0
AXL,0,0,0,0,0,0.868584925917973,0,0,0,0,0,0,0,0.608170496027486,0.452920334979601,0.705926562164484,0,0.538597809748765,0.756334550139575,0,0,0,0,0.82316942237492,0,0.681232553145802,0,0,0
RAP1GAP,0,0,0,0,0,0.592602533820056,0,0,0,0,0,0,0,0.421784410564741,0.676240068713764,0.753328322954692,0,0.394459952759287,0.22788275713979,0,0,0,0,0.535698947820485,0,0.684829289242001,0,0,0
SPATA2,0,0,0,0,0,0.975789134636032,0,0,0,0,0,0,0,0.920818123255315,0.690358599957054,0.683648271419369,0,0.414644621000644,0.876529954906592,0,0,0,0,0.964408417436118,0,0.579557655142796,0,0,0
GATA6,0,0,0,0,0,0.965911531028559,0,0,0,0,0,0,0,0.83621430105218,0.990283444277432,0.993450719347219,0,0.126422589649989,0.994470689284947,0,0,0,0,0.703135065492807,0,0.550622718488297,0,0,0
SAMD5,0,0,0,0,0,0.575101996993773,0,0,0,0,0,0,0,0.196317371698518,0.217414644621001,0.868262830148164,0,0.693042731372128,0.912443633240283,0,0,0,0,0.506925059050891,0,0.681769379428817,0,0,0
MLPH,0,0,0,0,0,0.805883616061842,0,0,0,0,0,0,0,0.789939875456302,0.832832295469186,0.63152243933863,0,1,0.145318874812111,0,0,0,0,0.990176079020829,0,0.983089972085033,0,0,0
PIGR,0,0,0,0,0,0.68912389950612,0,0,0,0,0,0,0,0.702383508696586,0.882703457161263,0.956033927421087,0,0.0248013742752845,0.932789349366545,0,0,0,0,0.753865149237707,0,0.872664805668886,0,0,0
ALPL,0,0,0,0,0,0.388340133132918,0,0,0,0,0,0,0,0.845930856774748,0.8912926776895,0.654283873738458,0,0.0106828430319948,0.285913678333691,0,0,0,0,0.348346575048314,0,0.628408846897144,0,0,0
SERTAD2,0,0,0,0,0,0.989961348507623,0,0,0,0,0,0,0,0.939982821558944,0.981640541120893,0.930480996349581,0,0.334496456946532,0.964462100064419,0,0,0,0,0.944814258106077,0,0.689338630019326,0,0,0
PYGL,0,0,0,0,0,0.877764655357526,0,0,0,0,0,0,0,0.890970581919691,0.63007300837449,0.976862787202061,0,0.135441271204638,0.91013528022332,0,0,0,0,0.825746188533391,0,0.503596736096199,0,0,0
DPP4,0,0,0,0,0,0.937352372772171,0,0,0,0,0,0,0,0.766963710543268,0.316834872235345,0.992269701524587,0,0.446102641185312,0.998443203779257,0,0,0,0,0.895963066351729,0,0.941754348292892,0,0,0
STARD10,0,0,0,0,0,0.995061198196264,0,0,0,0,0,0,0,0.970420871805884,0.975091260468113,0.993611767232124,0,0.0438587073223105,0.993235988834013,0,0,0,0,0.996564311788705,0,0.984378355164269,0,0,0
ABCB6,0,0,0,0,0,0.748711616920764,0,0,0,0,0,0,0,0.93370195404767,0.883562379214086,0.828537685205068,0,0.0477775391883187,0.55760146016749,0,0,0,0,0.815600171784411,0,0.87030277002362,0,0,0
DEPDC1B,0,0,0,0,0,0.96628730942667,0,0,0,0,0,0,0,0.987116169207644,0.854036933648271,0.877657290100923,0,0.217522009877604,0.945512132273996,0,0,0,0,0.950504616706034,0,0.523137212797939,0,0,0
CTSH,0,0,0,0,0,0.501127335194331,0,0,0,0,0,0,0,0.829289242001288,0.62717414644621,0.96414000429461,0,0.150579772385656,0.687728151170281,0,0,0,0,0.675595877174146,0,0.669637105432682,0,0,0
C1QTNF3,0,0,0,0,0,0.714247369551213,0,0,0,0,0,0,0,0.762937513420657,0.335033283229547,0.930212583208074,0,1,0.936332402834443,0,0,0,0,0.372986901438694,0,0.217790423019111,0,0,0
SHANK2,0,0,0,0,0,0.304112089327894,0,0,0,0,0,0,0,0.25687137642259,0.157343783551643,0.585784840025768,0,1,0.527807601460167,0,0,0,0,0.631790852480137,0,0.745973802877389,0,0,0
CLDN18,0,0,0,0,0,0.562593944599528,0,0,0,0,0,0,0,0.479278505475628,0.758481855271634,0.807440412282585,0,0.488136139145373,0.597863431393601,0,0,0,0,0.197927850547563,0,0.314258106076874,0,0,0
FLRT3,0,0,0,0,0,0.411799441700666,0,0,0,0,0,0,0,0.444653210221172,0.877120463817909,0.657987975091261,0,1,0.643332617564956,0,0,0,0,0.659974232338415,0,0.350601245436977,0,0,0
NRP2,0,0,0,0,0,0.760038651492377,0,0,0,0,0,0,0,0.818821129482499,0.804112089327893,0.975950182520936,0,0.453564526519218,0.923126476272278,0,0,0,0,0.965965213656861,0,0.755368262830148,0,0,0
SRCIN1,0,0,0,0,0,0.805990981318445,0,0,0,0,0,0,0,0.694599527592871,0.41158471118746,0.879053038436762,0,0.421301266910028,0.705175005368263,0,0,0,0,0.59346145587288,0,0.490283444277432,0,0,0
HNF1A,0,0,0,0,0,0.991893923126476,0,0,0,0,0,0,0,0.97246081168134,0.88839381576122,0.99527592870947,0,0.0573330470259824,0.99237706678119,0,0,0,0,0.992645479922697,0,0.986525660296328,0,0,0
CMTM8,0,0,0,0,0,0.868423878033069,0,0,0,0,0,0,0,0.911155250161048,0.884636031780116,0.907987975091261,0,0.0624328967146231,0.821934721923985,0,0,0,0,0.971440841743612,0,0.989209791711402,0,0,0
CHN2,0,0,0,0,0,0.962207429675757,0,0,0,0,0,0,0,0.953940304917329,0.937567103285377,0.928816834872235,0,0.187030277002362,0.97535967360962,0,0,0,0,0.776304487867726,0,0.554971011380717,0,0,0
F11,0,0,0,0,0,0.421838093193043,0,0,0,0,0,0,0,0.970528237062487,0.939714408417436,0.678226325960919,0,0.00182520936225038,0.297884904444922,0,0,0,0,0.462851621215375,0,0.62245007515568,0,0,0
ARHGEF38,0,0,0,0,0,0.225681769379429,0,0,0,0,0,0,0,0.122127979385871,0.175059050891132,0.945136353875886,0,0.669368692291175,0.896553575263045,0,0,0,0,0.311788705175005,0,0.566834872235345,0,0,0
UBE2C,0,0,0,0,0,0.81377496242216,0,0,0,0,0,0,0,0.954799226970152,0.901385011810178,0.0753167275069787,0,0.231264762722783,0.46338844749839,0,0,0,0,0.907021687781834,0,0.674039080953403,0,0,0
ATP1B1,0,0,0,0,0,0.953135065492807,0,0,0,0,0,0,0,0.941056474124973,0.943203779257032,0.97643332617565,0,0.0681769379428817,0.963549495383294,0,0,0,0,0.954316083315439,0,0.650687137642259,0,0,0
TUBB1,0,0,0,0,0,0.911799441700666,0,0,0,0,0,0,0,0.885119175434829,0.710919046596521,0.728849044449216,0,0.517339488941379,0.830899720850333,0,0,0,0,0.901116598668671,0,0.872289027270775,0,0,0
GLS2,0,0,0,0,0,0.779901223963925,0,0,0,0,0,0,0,0.896338844749839,0.75327464032639,0.731425810607687,0,0.248604251664161,0.476594374060554,0,0,0,0,0.863431393601031,0,0.746617994417007,0,0,0
FOXJ1,0,0,0,0,0,0.917114021902512,0,0,0,0,0,0,0,0.861552501610479,0.684936654498604,0.701846682413571,0,0.675112733519433,0.875563667597166,0,0,0,0,0.830255529310715,0,0.601943311144514,0,0,0
WFDC2,0,0,0,0,0,0.630717199914108,0,0,0,0,0,0,0,0.668509770238351,0.923609619926992,0.722192398539833,0,0.584603822203135,0.762132273996135,0,0,0,0,0.433057762508052,0,0.378838307923556,0,0,0
TPX2,0,0,0,0,0,0.97246081168134,0,0,0,0,0,0,0,0.951792999785269,0.918295039725145,0.846628730942667,0,0.076121966931501,0.940788060983466,0,0,0,0,0.947605754777754,0,0.850118101782263,0,0,0
WISP1,0,0,0,0,0,0.637481211080094,0,0,0,0,0,0,0,0.467951470904015,0.859458879106721,0.928548421730728,0,0.221226111230406,0.973266051105862,0,0,0,0,0.854466394674683,0,0.583369121752201,0,0,0
MUC1,0,0,0,0,0,0.97863431393601,0,0,0,0,0,0,0,0.751181017822633,0.834228043805025,0.70216877818338,0,0.402727077517715,0.819787416791926,0,0,0,0,0.98115739746618,0,0.980620571183165,0,0,0
ZNF444,0,0,0,0,0,0.894943096414,0,0,0,0,0,0,0,0.963120034356882,0.72353446424737,0.743719132488727,0,0.049710113807172,0.733089972085033,0,0,0,0,0.947659437406055,0,0.914054112089328,0,0,0
COL27A1,0,0,0,0,0,0.868799656431179,0,0,0,0,0,0,0,0.773888769594159,0.473373416362465,0.885441271204638,0,0.213925273781404,0.839005797723857,0,0,0,0,0.81232553145802,0,0.824940949108868,0,0,0
NIN,0,0,0,0,0,0.646499892634743,0,0,0,0,0,0,0,0.826551427957913,0.463495812754992,0.638715911531029,0,0.676991625509985,0.749087395318875,0,0,0,0,0.808460382220313,0,0.722138715911531,0,0,0
SH3BGRL2,0,0,0,0,0,0.979869014386944,0,0,0,0,0,0,0,0.971548207000215,0.816995920120249,0.904874382649774,0,0.214784195834228,0.951631951900365,0,0,0,0,0.908632166630878,0,0.88007300837449,0,0,0
DNALI1,0,0,0,0,0,0.719454584496457,0,0,0,0,0,0,0,0.863162980459523,0.603553789993558,0.428280008589221,0,0.425703242430749,0.45399398754563,0,0,0,0,0.891400042946103,0,0.915771956194975,0,0,0
NUF2,0,0,0,0,0,0.271634099205497,0,0,0,0,0,0,0,0.489907665879321,0.727131200343569,0.0299549065922268,0,0.378945673180159,0.410081597595018,0,0,0,0,0.522224608116813,0,0.315385441271205,0,0,0
TM4SF5,0,0,0,0,0,0.967092548851192,0,0,0,0,0,0,0,0.932681984109942,0.649828215589435,0.929675756925059,0,0.171999141077947,0.955389735881469,0,0,0,0,0.981801589005798,0,0.979063774962422,0,0,0
PCCA,0,0,0,0,0,0.627925703242431,0,0,0,0,0,0,0,0.732177367403908,0.929675756925059,0.586643762078591,0,0.295522868799656,0.864773459308568,0,0,0,0,0.748657934292463,0,0.728312218166201,0,0,0
GPAM,0,0,0,0,0,0.910027914966717,0,0,0,0,0,0,0,0.937942881683487,0.939231264762723,0.888286450504617,0,0.00826712475842817,0.946478419583423,0,0,0,0,0.762937513420657,0,0.681554648915611,0,0,0
MNX1,0,0,0,0,0,0.984270989907666,0,0,0,0,0,0,0,0.915020399398755,0.634743397036719,0.981103714837879,0,1,0.967414644621001,0,0,0,0,0.954745544341851,0,0.881200343568821,0,0,0
PSMF1,0,0,0,0,0,0.297348078161907,0,0,0,0,0,0,0,0.606667382435044,0.90906162765729,0.945834228043805,0,0.158363753489371,0.391077947176294,0,0,0,0,0.8804487867726,0,0.884958127549925,0,0,0
GDF15,0,0,0,0,0,0.990605540047241,0,0,0,0,0,0,0,0.994094910886837,0.816136998067425,0.992054971011381,0,0.126905733304703,0.922267554219455,0,0,0,0,0.967736740390809,0,0.441539617779686,0,0,0
AURKA,0,0,0,0,0,0.7427528451793,0,0,0,0,0,0,0,0.935312432896715,0.672267554219455,0.253811466609405,0,0.158793214515783,0.515460596950827,0,0,0,0,0.908578484002577,0,0.954691861713549,0,0,0
STX3,0,0,0,0,0,0.534893708395963,0,0,0,0,0,0,0,0.24457805454155,0.584764870088039,0.469293536611552,0,0.615793429246296,0.838093193042731,0,0,0,0,0.799226970152459,0,0.810124543697659,0,0,0
SGMS2,0,0,0,0,0,0.775284517929998,0,0,0,0,0,0,0,0.850386514923771,0.918724500751557,0.644782048529096,0,0.0538436761863861,0.852372772170925,0,0,0,0,0.924092763581705,0,0.976003865149238,0,0,0
TROAP,0,0,0,0,0,0.550837449001503,0,0,0,0,0,0,0,0.765836375348937,0.739209791711402,0.0191646983036289,0,0.209845394030492,0.576014601674898,0,0,0,0,0.471655572256818,0,0.388071719991411,0,0,0
C2orf70,0,0,0,0,0,0.304541550354305,0,0,0,0,0,0,0,0.321397895640971,0.303145802018467,0.720689284947391,0,0.618209147519863,0.230352158041658,0,0,0,0,0.591850977023835,0,0.762400687137642,0,0,0
PLEKHB1,0,0,0,0,0,0.726272278290745,0,0,0,0,0,0,0,0.817103285376852,0.244739102426455,0.573384152888125,0,0.606774747691647,0.532477990122396,0,0,0,0,0.794395533605325,0,0.950128838307924,0,0,0
TOP2A,0,0,0,0,0,0.426240068713764,0,0,0,0,0,0,0,0.767178441056474,0.977506978741679,0.680856774747692,0,0.0329611337771097,0.526143439982822,0,0,0,0,0.904605969508267,0,0.905733304702598,0,0,0
CNNM3,0,0,0,0,0,0.934936654498604,0,0,0,0,0,0,0,0.972353446424737,0.978097487652996,0.902834442774318,0,0.0639360103070646,0.918670818123255,0,0,0,0,0.981479493235989,0,0.87572471548207,0,0,0
C5orf49,0,0,0,0,0,0.248980030062272,0,0,0,0,0,0,0,0.335462744255959,0.771580416577196,0.941163839381576,0,0.423019111015675,0.396446210006442,0,0,0,0,0.698142581060769,0,0.709899076658793,0,0,0
SMPDL3A,0,0,0,0,0,0.964569465321022,0,0,0,0,0,0,0,0.900955550783766,0.836858492591797,0.989424522224608,0,0.165664590938372,0.997315868584926,0,0,0,0,0.807386729654284,0,0.557816190680696,0,0,0
