,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
ICOS,0,0.990122396392527,0.975574404122826,0.980030062271849,0.985022546703887,0.984485720420872,0,0.978204852909598,0,0.976057547777539,0,0,0,0,0.981908954262401,0.989102426454799,0,0.989317156968005,0.987169851835946,0,0,0.975252308353017,0.980298475413356,0.98878033068499,0.97498389521151,0.976862787202061,0,0.963656860639897,0
TIGIT,0,0.998711616920764,0.999302125832081,0.997154820700021,0.998013742752845,0.999463173716985,0,0.999516856345287,0,0.997423233841529,0,0,0,0,0.998604251664161,0.99892634743397,0,0.998872664805669,0.999087395318875,0,0,0.998389521150956,0.998711616920764,0.998765299549066,0.996188533390595,0.999248443203779,0,0.995168563452867,0
CD3E,0,0.985076229332188,0.984539403049173,0.979224822847327,0.98443203779257,0.972246081168134,0,0.973266051105862,0,0.982714193686923,0,0,0,0,0.97863431393601,0.985076229332188,0,0.9855056903586,0.972675542194546,0,0,0.988082456517071,0.984754133562379,0.975252308353017,0.982660511058621,0.988297187030277,0,0.989585570109513,0
CD2,0,0.990712905303844,0.989692935366116,0.980996349581275,0.985774103500107,0.987384582349152,0,0.985720420871806,0,0.982177367403908,0,0,0,0,0.981962636890702,0.991625509984969,0,0.991840240498175,0.986042516641615,0,0,0.990981318445351,0.990283444277432,0.987599312862358,0.978151170281297,0.992484432037793,0,0.986257247154821,0
IL21R,0,0.997799012239639,0.997262185956624,0.995705389735882,0.994417006656646,0.9927528451793,0,0.995973802877389,0,0.996886407558514,0,0,0,0,0.997047455443419,0.997799012239639,0,0.998013742752845,0.996564311788705,0,0,0.997047455443419,0.997530599098132,0.99747691646983,0.995061198196264,0.997530599098132,0,0.997154820700021,0
CD5,0,0.995812754992484,0.994792785054756,0.9927528451793,0.996510629160404,0.994094910886837,0,0.990283444277432,0,0.990659222675542,0,0,0,0,0.989639252737814,0.996134850762293,0,0.995973802877389,0.989370839596307,0,0,0.996564311788705,0.996188533390595,0.990712905303844,0.993611767232124,0.994470689284947,0,0.99565170710758,0
IL2RB,0,0.98695512132274,0.983787846252953,0.993343354090616,0.99022976164913,0.982767876315224,0,0.980942666952974,0,0.990873953188748,0,0,0,0,0.98947820485291,0.987062486579343,0,0.986740390809534,0.981050032209577,0,0,0.984593085677475,0.989317156968005,0.984378355164269,0.993665449860425,0.972353446424737,0,0.993772815117028,0
ITK,0,0.998228473266051,0.996886407558514,0.998818982177367,0.999033712690573,0.997315868584926,0,0.996564311788705,0,0.997745329611338,0,0,0,0,0.997799012239639,0.998282155894353,0,0.998443203779257,0.997852694867941,0,0,0.998067425381147,0.998818982177367,0.998389521150956,0.998604251664161,0.993182306205712,0,0.998496886407559,0
ITGAL,0,0.985022546703887,0.982821558943526,0.992430749409491,0.993880180373631,0.976003865149238,0,0.984539403049173,0,0.991786557869873,0,0,0,0,0.989746617994417,0.983251019969938,0,0.986686708181233,0.988619282800086,0,0,0.993933863001933,0.991142366330256,0.992269701524587,0.993021258320807,0.961724286021044,0,0.991088683701954,0
SASH3,0,0.93622503757784,0.942183809319304,0.975467038866223,0.952651921838093,0.808728795361821,0,0.936117672321237,0,0.982928924200129,0,0,0,0,0.971333476487009,0.917865578698733,0,0.93622503757784,0.952598239209792,0,0,0.948303628945673,0.95979171140219,0.967790423019111,0.973051320592656,0.887588576336697,0,0.976755421945459,0
PTPRC,0,0.98588146875671,0.984109942022761,0.973856560017178,0.982553145802018,0.988458234915181,0,0.98443203779257,0,0.975198625724715,0,0,0,0,0.979922697015246,0.985935151385012,0,0.985344642473695,0.98695512132274,0,0,0.979171140219025,0.980030062271849,0.985666738243504,0.968971440841744,0.986847756066137,0,0.961080094481426,0
UBASH3A,0,0.990605540047241,0.98223105003221,0.986633025552931,0.991249731586858,0.994631737169852,0,0.983734163624651,0,0.972407129053038,0,0,0,0,0.98115739746618,0.991249731586858,0,0.989692935366116,0.984324672535967,0,0,0.979385870732231,0.98695512132274,0.983519433111445,0.984861498818982,0.97643332617565,0,0.977614343998282,0
IKZF1,0,0.963334764870088,0.964515782692721,0.973963925273781,0.975252308353017,0.936815546489156,0,0.963066351728581,0,0.976003865149238,0,0,0,0,0.970098776036075,0.959899076658793,0,0.967092548851192,0.971923985398325,0,0,0.978741679192613,0.974876529954907,0.979117457590724,0.971709254885119,0.941915396177797,0,0.970528237062487,0
SH2D1A,0,0.943150096628731,0.929407343783552,0.951792999785269,0.962851621215375,0.918778183379858,0,0.916630878247799,0,0.947927850547563,0,0,0,0,0.945028988619283,0.935097702383509,0,0.933165127764655,0.925327464032639,0,0,0.943901653424952,0.936439768091046,0.931715696800515,0.958932789349367,0.917650848185527,0,0.948840455228688,0
CTLA4,0,0.999731586858493,0.999248443203779,0.999355808460382,0.999785269486794,0.999570538973588,0,0.998711616920764,0,0.998818982177367,0,0,0,0,0.998818982177367,0.999731586858493,0,0.999731586858493,0.998818982177367,0,0,0.999892634743397,0.999677904230191,0.999302125832081,0.999409491088684,0.998765299549066,0,0.999302125832081,0
PTPN7,0,0.812271848829719,0.867135494953833,0.870356452651922,0.708557010951256,0.788597809748765,0,0.87175220098776,0,0.862787202061413,0,0,0,0,0.876154176508482,0.848024479278505,0,0.857204208718059,0.842280438050247,0,0,0.858975735452008,0.880985613055615,0.846145587287954,0.85435902941808,0.8297187030277,0,0.885924414859351,0
SLA2,0,0.94454584496457,0.927421086536397,0.952061412926777,0.939338630019326,0.871698518359459,0,0.880609834657505,0,0.954262400687138,0,0,0,0,0.940895426240069,0.937567103285377,0,0.939660725789135,0.900311359244149,0,0,0.919905518574189,0.94019755207215,0.921354949538329,0.953832939660726,0.932359888340133,0,0.966018896285162,0
IL12RB1,0,0.834872235344642,0.858868370195405,0.893332617564956,0.839703671891776,0.807333047025982,0,0.870678548421731,0,0.897197766802663,0,0,0,0,0.897197766802663,0.833905948035216,0,0.846038222031351,0.878033068499034,0,0,0.849849688640756,0.872235344642474,0.889199055185742,0.88587073223105,0.789886192828001,0,0.87534893708396,0
SLAMF1,0,0.94819626368907,0.926723212368478,0.909652136568606,0.921140219025123,0.926132703457161,0,0.922213871591153,0,0.890111659866867,0,0,0,0,0.906968005153532,0.94889413785699,0,0.952598239209792,0.931125187889199,0,0,0.935849259179729,0.941056474124973,0.937620785913678,0.892795791281941,0.935688211294825,0,0.906484861498819,0
ZNF831,0,0.876154176508482,0.856774747691647,0.831919690788061,0.824833583852265,0.880234056259394,0,0.867887051750054,0,0.799871161692076,0,0,0,0,0.83911316298046,0.871698518359459,0,0.870624865793429,0.864934507193472,0,0,0.815546489156109,0.850815975950183,0.853661155250161,0.806849903371269,0.845984539403049,0,0.791872450075156,0
CD53,0,0.999194760575478,0.999409491088684,0.997637964354735,0.998711616920764,0.999087395318875,0,0.999141077947176,0,0.99892634743397,0,0,0,0,0.999087395318875,0.999033712690573,0,0.999087395318875,0.999570538973588,0,0,0.99855056903586,0.998657934292463,0.999570538973588,0.996671677045308,0.99962422160189,0,0.995598024479278,0
DOCK2,0,0.987008803951041,0.972890272707752,0.985452007730299,0.979117457590724,0.975842817264333,0,0.976218595662444,0,0.984754133562379,0,0,0,0,0.985720420871806,0.98588146875671,0,0.986096199269916,0.984807816190681,0,0,0.967146231479493,0.978795361820915,0.986901438694438,0.982928924200129,0.970098776036075,0,0.975681769379429,0
TRAF3IP3,0,0.994685419798153,0.990873953188748,0.997315868584926,0.997423233841529,0.989048743826498,0,0.987491947605755,0,0.996510629160404,0,0,0,0,0.99527592870947,0.99420227614344,0,0.994417006656646,0.990015031135924,0,0,0.994953832939661,0.995544341850977,0.992699162550999,0.99817479063775,0.985666738243504,0,0.998121108009448,0
LCP2,0,0.995114880824565,0.991732875241572,0.993289671462315,0.997208503328323,0.99457805454155,0,0.991518144728366,0,0.99130341421516,0,0,0,0,0.992913893064204,0.99457805454155,0,0.994255958771741,0.993289671462315,0,0,0.994739102426455,0.993074940949109,0.993504401975521,0.99420227614344,0.990337126905733,0,0.990551857418939,0
SIT1,0,0.805024694009019,0.846091904659652,0.874758428172643,0.763313291818767,0.847702383508697,0,0.892312647627228,0,0.867135494953833,0,0,0,0,0.889574833583852,0.825853553789994,0,0.829611337771097,0.885763366974447,0,0,0.793268198410994,0.850601245436977,0.882273996134851,0.851728580631308,0.755958771741464,0,0.820592656216448,0
IL10RA,0,0.968541979815332,0.968810392956839,0.942774318230621,0.950075155679622,0.973963925273781,0,0.972299763796435,0,0.935312432896715,0,0,0,0,0.955497101138072,0.969615632381361,0,0.96918617135495,0.970420871805884,0,0,0.963066351728581,0.964301052179515,0.964998926347434,0.929997852694868,0.969884045522869,0,0.923233841528881,0
CCR8,0,0.99237706678119,0.99237706678119,0.979761649130341,0.986042516641615,0.993450719347219,0,0.992484432037793,0,0.980835301696371,0,0,0,0,0.985452007730299,0.99312862357741,0,0.993397036718918,0.992269701524587,0,0,0.991464462100064,0.99092763581705,0.99130341421516,0.973963925273781,0.99457805454155,0,0.973963925273781,0
