,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
PTCH1,0.947071769821246,0.947071769821246,0,0.947071769821246,0.947071769821246,0.947071769821246,0,0.947071769821246,0.947071769821246,0,0.947071769821246,0.947071769821246,0,0.947071769821246,0,0.947071769821246,0.947071769821246,0.947071769821246,0,0.947071769821246,0.947071769821246,0.947071769821246,0.947071769821246,0,0.947071769821246,0.947071769821246,0.947071769821246,0.947071769821246,0.947071769821246
PDGFRB,0,0.915454399055237,0.915454399055237,0.915454399055237,0.915454399055237,0.915454399055237,0,0,0.915454399055237,0.915454399055237,0.915454399055237,0.915454399055237,0,0.915454399055237,0.915454399055237,0,0,0,0.915454399055237,0,0.915454399055237,0,0.915454399055237,0.915454399055237,0,0.915454399055237,0,0.915454399055237,0.915454399055237
ARHGEF17,0,0.959257072306619,0,0.959257072306619,0.959257072306619,0.959257072306619,0,0,0.959257072306619,0.959257072306619,0.959257072306619,0.959257072306619,0,0.959257072306619,0.959257072306619,0,0.959257072306619,0.959257072306619,0.959257072306619,0,0.959257072306619,0,0.959257072306619,0.959257072306619,0,0.959257072306619,0,0.959257072306619,0.959257072306619
CD248,0.977883944387782,0.977883944387782,0.977883944387782,0.977883944387782,0.977883944387782,0.977883944387782,0,0,0.977883944387782,0.977883944387782,0.977883944387782,0.977883944387782,0,0.977883944387782,0.977883944387782,0,0,0,0.977883944387782,0,0.977883944387782,0,0.977883944387782,0.977883944387782,0,0.977883944387782,0,0.977883944387782,0.977883944387782
ST3GAL2,0,0.976541950721993,0.976541950721993,0.976541950721993,0.976541950721993,0.976541950721993,0,0,0.976541950721993,0.976541950721993,0.976541950721993,0.976541950721993,0,0.976541950721993,0.976541950721993,0,0,0.976541950721993,0.976541950721993,0,0.976541950721993,0.976541950721993,0.976541950721993,0,0,0.976541950721993,0,0.976541950721993,0.976541950721993
CLIP2,0,0.96065274571904,0.96065274571904,0.96065274571904,0.96065274571904,0.96065274571904,0.96065274571904,0.96065274571904,0.96065274571904,0,0.96065274571904,0.96065274571904,0,0.96065274571904,0.96065274571904,0.96065274571904,0,0.96065274571904,0,0.96065274571904,0.96065274571904,0,0.96065274571904,0,0,0.96065274571904,0,0.96065274571904,0.96065274571904
PCOLCE,0,0.991572279778839,0.991572279778839,0.991572279778839,0.991572279778839,0.991572279778839,0,0,0.991572279778839,0.991572279778839,0.991572279778839,0.991572279778839,0,0.991572279778839,0.991572279778839,0,0,0,0.991572279778839,0,0.991572279778839,0,0.991572279778839,0.991572279778839,0,0.991572279778839,0,0.991572279778839,0.991572279778839
TGFB1I1,0,0.912340973750604,0.912340973750604,0.912340973750604,0.912340973750604,0.912340973750604,0,0,0.912340973750604,0.912340973750604,0.912340973750604,0.912340973750604,0,0.912340973750604,0.912340973750604,0,0,0,0,0,0.912340973750604,0,0.912340973750604,0.912340973750604,0,0.912340973750604,0,0.912340973750604,0.912340973750604
C1orf226,0,0.927478662300714,0,0.927478662300714,0.927478662300714,0.927478662300714,0,0,0.927478662300714,0,0.927478662300714,0.927478662300714,0,0.927478662300714,0,0.927478662300714,0.927478662300714,0.927478662300714,0,0,0.927478662300714,0,0.927478662300714,0,0.927478662300714,0.927478662300714,0.927478662300714,0.927478662300714,0.927478662300714
TENC1,0,0.975629395029255,0,0.975629395029255,0.975629395029255,0.975629395029255,0,0,0.975629395029255,0.975629395029255,0.975629395029255,0.975629395029255,0,0.975629395029255,0,0,0.975629395029255,0.975629395029255,0,0,0.975629395029255,0.975629395029255,0.975629395029255,0.975629395029255,0,0.975629395029255,0,0.975629395029255,0.975629395029255
