,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
ATF7,0.995383541789683,0.995383541789683,0,0,0.995383541789683,0.995383541789683,0.995383541789683,0.995383541789683,0.995383541789683,0.995383541789683,0.995383541789683,0.995383541789683,0,0.995383541789683,0,0,0,0.995383541789683,0.995383541789683,0.995383541789683,0.995383541789683,0,0.995383541789683,0.995383541789683,0.995383541789683,0.995383541789683,0.995383541789683,0.995383541789683,0.995383541789683
ZNF407,0.9825004025981,0.9825004025981,0,0,0.9825004025981,0.9825004025981,0.9825004025981,0.9825004025981,0.9825004025981,0.9825004025981,0.9825004025981,0.9825004025981,0,0.9825004025981,0,0,0,0.9825004025981,0.9825004025981,0.9825004025981,0.9825004025981,0,0.9825004025981,0,0.9825004025981,0.9825004025981,0.9825004025981,0.9825004025981,0.9825004025981
CHD9,0.988083096247786,0.988083096247786,0,0.988083096247786,0.988083096247786,0.988083096247786,0,0.988083096247786,0.988083096247786,0.988083096247786,0.988083096247786,0.988083096247786,0,0.988083096247786,0.988083096247786,0.988083096247786,0,0,0.988083096247786,0.988083096247786,0.988083096247786,0,0.988083096247786,0.988083096247786,0,0.988083096247786,0.988083096247786,0.988083096247786,0.988083096247786
ZBTB38,0.9835203177841,0.9835203177841,0,0.9835203177841,0.9835203177841,0.9835203177841,0.9835203177841,0.9835203177841,0.9835203177841,0,0.9835203177841,0.9835203177841,0,0.9835203177841,0,0,0.9835203177841,0,0.9835203177841,0.9835203177841,0.9835203177841,0.9835203177841,0.9835203177841,0,0.9835203177841,0,0.9835203177841,0.9835203177841,0.9835203177841
EXOSC4,0.964195608996726,0.964195608996726,0,0.964195608996726,0.964195608996726,0.964195608996726,0.964195608996726,0.964195608996726,0.964195608996726,0.964195608996726,0.964195608996726,0.964195608996726,0,0.964195608996726,0,0,0,0.964195608996726,0.964195608996726,0.964195608996726,0.964195608996726,0,0.964195608996726,0.964195608996726,0,0,0.964195608996726,0.964195608996726,0.964195608996726
UQCRH,0.994309946857051,0.994309946857051,0,0.994309946857051,0.994309946857051,0.994309946857051,0.994309946857051,0.994309946857051,0.994309946857051,0,0.994309946857051,0.994309946857051,0,0.994309946857051,0.994309946857051,0.994309946857051,0,0.994309946857051,0.994309946857051,0.994309946857051,0.994309946857051,0,0.994309946857051,0,0.994309946857051,0,0.994309946857051,0,0.994309946857051
FAU,0.983305598797574,0.983305598797574,0,0.983305598797574,0.983305598797574,0.983305598797574,0.983305598797574,0.983305598797574,0.983305598797574,0.983305598797574,0.983305598797574,0.983305598797574,0,0.983305598797574,0,0.983305598797574,0,0.983305598797574,0.983305598797574,0.983305598797574,0.983305598797574,0,0.983305598797574,0,0,0.983305598797574,0.983305598797574,0,0.983305598797574
TRIP11,0.94653497235493,0.94653497235493,0,0,0.94653497235493,0.94653497235493,0.94653497235493,0.94653497235493,0.94653497235493,0.94653497235493,0.94653497235493,0.94653497235493,0,0.94653497235493,0.94653497235493,0,0,0,0.94653497235493,0.94653497235493,0.94653497235493,0.94653497235493,0.94653497235493,0,0,0.94653497235493,0.94653497235493,0,0.94653497235493
DENND4C,0.958666595093671,0.958666595093671,0,0,0.958666595093671,0.958666595093671,0.958666595093671,0.958666595093671,0.958666595093671,0.958666595093671,0.958666595093671,0.958666595093671,0,0.958666595093671,0.958666595093671,0,0,0.958666595093671,0.958666595093671,0.958666595093671,0.958666595093671,0,0.958666595093671,0,0,0,0.958666595093671,0,0.958666595093671
NUDT1,0.951044071071985,0.951044071071985,0,0.951044071071985,0.951044071071985,0.951044071071985,0,0.951044071071985,0.951044071071985,0.951044071071985,0,0.951044071071985,0,0.951044071071985,0,0.951044071071985,0,0,0.951044071071985,0.951044071071985,0.951044071071985,0,0.951044071071985,0.951044071071985,0,0.951044071071985,0.951044071071985,0.951044071071985,0.951044071071985
