,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
PRPF6,0,0.914005045896183,0.914005045896183,0.914005045896183,0.914005045896183,0.914005045896183,0.914005045896183,0.914005045896183,0,0.914005045896183,0,0,0.914005045896183,0.914005045896183,0.914005045896183,0.914005045896183,0.914005045896183,0.914005045896183,0.914005045896183,0.914005045896183,0,0.914005045896183,0.914005045896183,0.914005045896183,0,0,0,0.914005045896183,0.914005045896183
DNAJC5,0,0.903752214289549,0.903752214289549,0.903752214289549,0.903752214289549,0.903752214289549,0,0.903752214289549,0.903752214289549,0.903752214289549,0,0,0.903752214289549,0.903752214289549,0.903752214289549,0.903752214289549,0.903752214289549,0.903752214289549,0.903752214289549,0.903752214289549,0.903752214289549,0,0.903752214289549,0.903752214289549,0,0,0,0.903752214289549,0
SCAF1,0,0,0.964625046969778,0.964625046969778,0,0.964625046969778,0.964625046969778,0,0.964625046969778,0.964625046969778,0,0.964625046969778,0.964625046969778,0.964625046969778,0.964625046969778,0.964625046969778,0.964625046969778,0.964625046969778,0.964625046969778,0.964625046969778,0.964625046969778,0.964625046969778,0.964625046969778,0.964625046969778,0.964625046969778,0.964625046969778,0,0.964625046969778,0.964625046969778
FBXO46,0.936550539481454,0.936550539481454,0.936550539481454,0.936550539481454,0,0,0.936550539481454,0,0,0.936550539481454,0.936550539481454,0.936550539481454,0.936550539481454,0.936550539481454,0.936550539481454,0.936550539481454,0.936550539481454,0.936550539481454,0.936550539481454,0.936550539481454,0.936550539481454,0.936550539481454,0.936550539481454,0.936550539481454,0.936550539481454,0.936550539481454,0,0.936550539481454,0
FIZ1,0,0.941703795158087,0.941703795158087,0.941703795158087,0,0,0.941703795158087,0.941703795158087,0.941703795158087,0.941703795158087,0.941703795158087,0.941703795158087,0.941703795158087,0.941703795158087,0.941703795158087,0.941703795158087,0.941703795158087,0.941703795158087,0.941703795158087,0.941703795158087,0.941703795158087,0.941703795158087,0.941703795158087,0.941703795158087,0,0.941703795158087,0,0,0.941703795158087
USP21,0.996886574695367,0.996886574695367,0.996886574695367,0.996886574695367,0.996886574695367,0,0.996886574695367,0.996886574695367,0,0.996886574695367,0.996886574695367,0.996886574695367,0.996886574695367,0.996886574695367,0.996886574695367,0.996886574695367,0.996886574695367,0.996886574695367,0.996886574695367,0.996886574695367,0.996886574695367,0.996886574695367,0.996886574695367,0.996886574695367,0,0.996886574695367,0,0.996886574695367,0.996886574695367
SRRT,0.969617263406517,0.969617263406517,0.969617263406517,0.969617263406517,0.969617263406517,0.969617263406517,0.969617263406517,0.969617263406517,0,0.969617263406517,0.969617263406517,0.969617263406517,0.969617263406517,0.969617263406517,0.969617263406517,0.969617263406517,0.969617263406517,0.969617263406517,0.969617263406517,0.969617263406517,0.969617263406517,0.969617263406517,0.969617263406517,0.969617263406517,0,0,0,0,0
CNOT3,0.961833700144935,0.961833700144935,0.961833700144935,0.961833700144935,0,0,0.961833700144935,0.961833700144935,0,0.961833700144935,0.961833700144935,0.961833700144935,0.961833700144935,0.961833700144935,0.961833700144935,0.961833700144935,0.961833700144935,0.961833700144935,0.961833700144935,0.961833700144935,0.961833700144935,0.961833700144935,0.961833700144935,0.961833700144935,0,0.961833700144935,0.961833700144935,0,0
CHTF18,0,0.954157496376617,0.954157496376617,0.954157496376617,0.954157496376617,0.954157496376617,0.954157496376617,0,0.954157496376617,0.954157496376617,0.954157496376617,0.954157496376617,0.954157496376617,0.954157496376617,0.954157496376617,0.954157496376617,0.954157496376617,0.954157496376617,0.954157496376617,0.954157496376617,0.954157496376617,0.954157496376617,0.954157496376617,0.954157496376617,0,0,0,0.954157496376617,0
ZNF628,0.959042353320092,0.959042353320092,0.959042353320092,0.959042353320092,0.959042353320092,0,0.959042353320092,0.959042353320092,0.959042353320092,0.959042353320092,0,0.959042353320092,0.959042353320092,0.959042353320092,0.959042353320092,0.959042353320092,0.959042353320092,0.959042353320092,0.959042353320092,0.959042353320092,0.959042353320092,0,0.959042353320092,0.959042353320092,0,0,0,0.959042353320092,0.959042353320092
