,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
MAPT,0,0,0.963978956409706,0,0,0,1,0,0,0,0.960543268198411,0,1,1,1,0,0,1,0,0,1,0,0.925864290315654,0,0,0,0,0,1
PEPD,0,0,0.929246295898647,0,0,0,1,0,0,0,0.929085248013743,0,1,1,1,0,0,1,0,0,1,0,0.676293751342066,0,0,0,0,0,1
ST6GALNAC6,0,0,0.958073867296543,0,0,0,1,0,0,0,0.950397251449431,0,1,1,1,0,0,1,0,0,1,0,0.959040154605969,0,0,0,0,0,1
TBC1D16,0,0,0.983948894137857,0,0,0,1,0,0,0,0.968058836160618,0,1,1,1,0,0,1,0,0,1,0,0.986364612411424,0,0,0,0,0,1
PREX1,0,0,0.947552072149452,0,0,0,1,0,0,0,0.927206356023191,0,1,1,1,0,0,1,0,0,1,0,0.867457590723642,0,0,0,0,0,1
TSPAN10,0,0,0.537631522439339,0,0,0,1,0,0,0,0.782316942237492,0,1,1,1,0,0,1,0,0,1,0,0.587180588361606,0,0,0,0,0,1
TTYH2,0,0,0.918617135494954,0,0,0,1,0,0,0,0.937245007515568,0,1,1,1,0,0,1,0,0,1,0,0.863807171999141,0,0,0,0,0,1
PPM1H,0,0,0.708664376207859,0,0,0,1,0,0,0,0.782316942237492,0,1,1,1,0,0,1,0,0,1,0,0.872235344642474,0,0,0,0,0,1
CELSR2,0,0,0.999892634743397,0,0,0,1,0,0,0,0.999946317371698,0,1,1,1,0,0,1,0,0,1,0,0.999355808460382,0,0,0,0,0,1
TRIM63,0,0,0.801964784195834,0,0,0,1,0,0,0,0.782316942237492,0,1,1,1,0,0,1,0,0,1,0,0.897519862572472,0,0,0,0,0,1
GPR143,0,0,0.897358814687567,0,0,0,1,0,0,0,0.895104144298905,0,1,1,1,0,0,1,0,0,1,0,0.768949967790423,0,0,0,0,0,1
