,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
CCDC94,0,0.96048958557011,0.917811896070432,0,0.945458449645695,0.968541979815332,0.934990337126906,0,0.944599527592871,0.924736955121323,0.942666952974018,0,0.945512132273996,0,0,0.958395963066352,0,0,0.913517285806313,0.953457161262615,0.870946961563238,0.946585784840026,0.936386085462744,0,0,0.928763152243934,0,0,0.930051535323169
EIF3G,0,0.968649345071935,0.958127549924844,0,0.962744255958772,0.966233626798368,0.961187459738029,0,0.963603178011595,0.959952759287095,0.96483787846253,0,0.958986471977668,0,0,0.962636890702169,0,0,0.952437191324887,0.965804165771956,0.93949967790423,0.965321022117243,0.96193901653425,0,0,0.961348507622933,0,0,0.95071934721924
MAP2K2,0,0.866706033927421,0.925756925059051,0,0.902404981747906,0.808782477990122,0.916899291389306,0,0.905679622074297,0.922858063130771,0.909383723427099,0,0.884206570753704,0,0,0.848937083959631,0,0,0.918080309211939,0.888662228902727,0.932789349366545,0.905303843676186,0.915449860425166,0,0,0.921408632166631,0,0,0.875080523942452
XAB2,0,0.745168563452867,0.684721923985398,0,0.839918402404982,0.914644621000644,0.775445565814902,0,0.673663302555293,0.682896714623148,0.740068713764226,0,0.909866867081812,0,0,0.929085248013743,0,0,0.824618853339059,0.705658149022976,0.700128838307924,0.734915181447284,0.771634099205497,0,0,0.708986471977668,0,0,0.433540906162766
SGTA,0,0.883669744470689,0.813667597165557,0,0.832134421301267,0.877764655357526,0.82499463173717,0,0.859942022761434,0.823491518144728,0.846414000429461,0,0.818606398969294,0,0,0.847917114021903,0,0,0.785698947820485,0.874543697659437,0.752845179299979,0.853016963710543,0.829557655142796,0,0,0.825799871161692,0,0,0.884528666523513
ELOF1,0,0.947981533175864,0.941217522009878,0,0.934936654498604,0.921623362679837,0.93912389950612,0,0.950611981962637,0.943740605540047,0.945190036504187,0,0.915181447283659,0,0,0.913302555293107,0,0,0.920173931715697,0.951417221387159,0.918295039725145,0.947122611123041,0.940090186815546,0,0,0.943633240283444,0,0,0.947015245866438
MAP2K7,0,0.894835731157397,0.788705175005368,0,0.854305346789779,0.928172643332618,0.826336697444707,0,0.84383723427099,0.801857418939231,0.842495168563453,0,0.867242860210436,0,0,0.904498604251664,0,0,0.794449216233627,0.872181662014172,0.712851621215375,0.850762293321881,0.830148164054112,0,0,0.810607687352373,0,0,0.755636675971656
HDGFRP2,0,0.773727721709255,0.795469186171355,0,0.641185312432897,0.554809963495813,0.725305990981318,0,0.840347863431394,0.803092119390165,0.776358170496028,0,0.489746617994417,0,0,0.484485720420872,0,0,0.61702812969723,0.827088254240928,0.729117457590724,0.784893708395963,0.733089972085033,0,0,0.786987330899721,0,0,0.948518359458879
ZNF414,0,0.948035215804166,0.97428602104359,0,0.95979171140219,0.886729654283874,0.969078806098347,0,0.965750483143655,0.973105003220958,0.967146231479493,0,0.943955336053253,0,0,0.91485935151385,0,0,0.967575692505905,0.958503328322955,0.977721709254885,0.966233626798368,0.969078806098347,0,0,0.971709254885119,0,0,0.952705604466395
SIRT6,0,0.930642044234486,0.922374919476058,0,0.905464891561091,0.883025552931072,0.916630878247799,0,0.936063989692935,0.925542194545845,0.927098990766588,0,0.870785913678334,0,0,0.869014386944385,0,0,0.886192828000859,0.935527163409921,0.894782048529096,0.92897788275714,0.917972943955336,0,0,0.924844320377926,0,0,0.945726862787202
