,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
ZKSCAN1,0.981425810607687,0.972782907451149,0.974876529954907,0.974661799441701,0,0.972782907451149,0.979010092334121,0,0.974715482070002,0.972782907451149,0.972997637964355,0.979869014386944,0.983251019969938,0,0.977721709254885,0.969025123470045,0.975305990981318,0.97353446424737,0,0.972782907451149,0.972782907451149,0,0.975091260468113,0.980405840669959,0.972782907451149,0.972782907451149,0.97535967360962,0.978097487652996,0
NCOA2,0.956356023190895,0.93187674468542,0.914268842602534,0.90143869443848,0,0.93187674468542,0.942076444062701,0,0.899076658793215,0.93187674468542,0.935634528666524,0.903156538544127,0.961455872879536,0,0.947713120034357,0.957698088898432,0.960221172428602,0.938855486364612,0,0.93187674468542,0.93187674468542,0,0.937459738028774,0.91088683701954,0.93187674468542,0.93187674468542,0.917865578698733,0.919798153317586,0
ASXL2,0.915825638823277,0.883669744470689,0.898164054112089,0.892258964998926,0,0.883669744470689,0.912014172213872,0,0.893278934936654,0.883669744470689,0.881737169851836,0.909491088683702,0.918885548636461,0,0.914913034142152,0.889252737814043,0.877496242216019,0.889521150955551,0,0.883669744470689,0.883669744470689,0,0.899398754563023,0.908095340347863,0.883669744470689,0.883669744470689,0.90074082027056,0.906914322525231,0
FAM115A,0.950397251449431,0.91883186600816,0.935688211294825,0.933863001932575,0,0.91883186600816,0.945512132273996,0,0.936171354949538,0.91883186600816,0.92500536826283,0.955228687996564,0.956033927421087,0,0.938694438479708,0.922589649989264,0.944277431823062,0.912443633240283,0,0.91883186600816,0.91883186600816,0,0.927474769164698,0.952490873953189,0.91883186600816,0.91883186600816,0.936976594374061,0.945404767017393,0
CCNT1,0.895104144298905,0.877764655357526,0.898378784625295,0.905411208932789,0,0.877764655357526,0.907558514064849,0,0.908471118745974,0.877764655357526,0.890487438264977,0.926508481855272,0.896660940519648,0,0.896499892634743,0.931823062057118,0.92318015890058,0.879214086321666,0,0.877764655357526,0.877764655357526,0,0.893815761219669,0.917328752415718,0.877764655357526,0.877764655357526,0.896983036289457,0.905142795791282,0
YLPM1,0.972890272707752,0.957268627872021,0.962475842817264,0.960811681339918,0,0.957268627872021,0.965321022117243,0,0.961885333905948,0.957268627872021,0.958181232553146,0.965267339488941,0.975198625724715,0,0.966126261541765,0.978526948679407,0.982123684775607,0.96086536396822,0,0.957268627872021,0.957268627872021,0,0.959576980888984,0.97208503328323,0.957268627872021,0.957268627872021,0.963388447498389,0.967307279364398,0
NUP205,0.97428602104359,0.959147519862573,0.964193686922912,0.962583208073867,0,0.959147519862573,0.96918617135495,0,0.963549495383294,0.959147519862573,0.960006441915396,0.97283659007945,0.976164913034142,0,0.96811251878892,0.947015245866438,0.966340992054971,0.96048958557011,0,0.959147519862573,0.959147519862573,0,0.961187459738029,0.973480781619068,0.959147519862573,0.959147519862573,0.964891561090831,0.968595662443633,0
UHMK1,0.966609405196478,0.947659437406055,0.954369765943741,0.952598239209792,0,0.947659437406055,0.96086536396822,0,0.953886622289027,0.947659437406055,0.949753059909813,0.965535752630449,0.969830362894567,0,0.959147519862573,0.941808030921194,0.9565170710758,0.949538329396607,0,0.947659437406055,0.947659437406055,0,0.950773029847541,0.966394674683272,0.947659437406055,0.947659437406055,0.955550783766373,0.96048958557011,0
RAPGEF6,0.941217522009878,0.900633455013958,0.891346360317801,0.882542409276358,0,0.900633455013958,0.917972943955336,0,0.882273996134851,0.900633455013958,0.910027914966717,0.888662228902727,0.947874167919261,0,0.926401116598669,0.866544986042517,0.865525016104788,0.899130341421516,0,0.900633455013958,0.900633455013958,0,0.912712046381791,0.89059480352158,0.900633455013958,0.900633455013958,0.894298904874383,0.900042946102641,0
TRIP11,0.995222246081168,0.994953832939661,0.994094910886837,0.991142366330256,0,0.994953832939661,0.993880180373631,0,0.99022976164913,0.994953832939661,0.995114880824565,0.982016319519004,0.99382649774533,0,0.996779042301911,0.972782907451149,0.981586858492592,0.995490659222676,0,0.994953832939661,0.994953832939661,0,0.995114880824565,0.984593085677475,0.994953832939661,0.994953832939661,0.994846467683058,0.991518144728366,0
KIAA0947,0.950611981962637,0.944975305990981,0.947068928494739,0.945190036504187,0,0.944975305990981,0.90288812540262,0,0.945136353875886,0.944975305990981,0.94347219239854,0.912980459523298,0.928118960704316,0,0.950987760360747,0.806313077088254,0.917275069787417,0.944867940734378,0,0.944975305990981,0.944975305990981,0,0.924253811466609,0.911208932789349,0.944975305990981,0.944975305990981,0.947283659007945,0.951631951900365,0
NUP155,0.948249946317372,0.914429890487438,0.932950397251449,0.931286235774104,0,0.914429890487438,0.943525875026841,0,0.933165127764655,0.914429890487438,0.921462314794932,0.953832939660726,0.954047670173932,0,0.935634528666524,0.921354949538329,0.906216448357312,0.908900579772386,0,0.914429890487438,0.914429890487438,0,0.923931715696801,0.950450934077732,0.914429890487438,0.914429890487438,0.934399828215589,0.943364827141937,0
MYO9A,0.995114880824565,0.991088683701954,0.992860210435903,0.992269701524587,0,0.991088683701954,0.994685419798153,0,0.99237706678119,0.991088683701954,0.991518144728366,0.995222246081168,0.995812754992484,0,0.994148593515139,0.990605540047241,0.995973802877389,0.991786557869873,0,0.991088683701954,0.991088683701954,0,0.991786557869873,0.995222246081168,0.991088683701954,0.991088683701954,0.993343354090616,0.993450719347219,0
ETV3,0.858546274425596,0.937567103285377,0.888876959415933,0.877013098561306,0,0.937567103285377,0.901975520721495,0,0.87389950611982,0.937567103285377,0.921999141077947,0.841475198625725,0.392473695512132,0,0.898110371483788,0.938909168992914,0.888232767876315,0.945995275928709,0,0.937567103285377,0.937567103285377,0,0.942183809319304,0.862357741035001,0.937567103285377,0.937567103285377,0.891614773459309,0.862035645265192,0
EYA3,0.909544771312003,0.890272707751771,0.918724500751557,0.916147734593086,0,0.890272707751771,0.932198840455229,0,0.918509770238351,0.890272707751771,0.902029203349796,0.946424736955121,0.91051105862143,0,0.919583422804381,0.914966716770453,0.938372342709899,0.89349366544986,0,0.890272707751771,0.890272707751771,0,0.905357526304488,0.939553360532532,0.890272707751771,0.890272707751771,0.920334979600601,0.915610908310071,0
